YouTube Search interest: akon
United States; Jan 2008 - Jul 2015

Interest over time
Week,akon
2009-03-15 - 2009-03-21,88
2009-03-22 - 2009-03-28,83
2009-03-29 - 2009-04-04,71
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,71
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,70
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,65
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,64
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,63
2009-06-21 - 2009-06-27,57
2009-06-28 - 2009-07-04,57
2009-07-05 - 2009-07-11,54
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,54
2009-07-26 - 2009-08-01,53
2009-08-02 - 2009-08-08,50
2009-08-09 - 2009-08-15,49
2009-08-16 - 2009-08-22,50
2009-08-23 - 2009-08-29,48
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,55
2009-10-11 - 2009-10-17,56
2009-10-18 - 2009-10-24,55
2009-10-25 - 2009-10-31,55
2009-11-01 - 2009-11-07,58
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,58
2009-11-29 - 2009-12-05,57
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,56
2009-12-27 - 2010-01-02,56
2010-01-03 - 2010-01-09,52
2010-01-10 - 2010-01-16,54
2010-01-17 - 2010-01-23,52
2010-01-24 - 2010-01-30,57
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,56
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,51
2010-03-07 - 2010-03-13,52
2010-03-14 - 2010-03-20,51
2010-03-21 - 2010-03-27,52
2010-03-28 - 2010-04-03,49
2010-04-04 - 2010-04-10,44
2010-04-11 - 2010-04-17,47
2010-04-18 - 2010-04-24,46
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,45
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,44
2010-05-30 - 2010-06-05,43
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,36
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,31
2010-08-08 - 2010-08-14,31
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,31
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,32
2010-09-12 - 2010-09-18,32
2010-09-19 - 2010-09-25,35
2010-09-26 - 2010-10-02,35
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,37
2010-10-17 - 2010-10-23,36
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,48
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,62
2010-12-26 - 2011-01-01,55
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,51
2011-01-16 - 2011-01-22,51
2011-01-23 - 2011-01-29,52
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,49
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,46
2011-02-27 - 2011-03-05,47
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,43
2011-03-20 - 2011-03-26,40
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,38
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,42
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,38
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,32
2011-06-26 - 2011-07-02,32
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,32
2011-07-17 - 2011-07-23,30
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,26
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,27
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,27
2011-10-16 - 2011-10-22,26
2011-10-23 - 2011-10-29,25
2011-10-30 - 2011-11-05,26
2011-11-06 - 2011-11-12,25
2011-11-13 - 2011-11-19,24
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,22
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,22
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,20
2012-01-08 - 2012-01-14,20
2012-01-15 - 2012-01-21,21
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,21
2012-02-26 - 2012-03-03,19
2012-03-04 - 2012-03-10,19
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,22
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,21
2012-05-13 - 2012-05-19,20
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,19
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,20
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,19
2012-07-08 - 2012-07-14,18
2012-07-15 - 2012-07-21,17
2012-07-22 - 2012-07-28,17
2012-07-29 - 2012-08-04,17
2012-08-05 - 2012-08-11,17
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,17
2012-08-26 - 2012-09-01,16
2012-09-02 - 2012-09-08,15
2012-09-09 - 2012-09-15,15
2012-09-16 - 2012-09-22,16
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,16
2012-10-07 - 2012-10-13,15
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,15
2012-11-04 - 2012-11-10,14
2012-11-11 - 2012-11-17,14
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,14
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,14
2012-12-16 - 2012-12-22,14
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,14
2013-01-06 - 2013-01-12,14
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,14
2013-01-27 - 2013-02-02,14
2013-02-03 - 2013-02-09,13
2013-02-10 - 2013-02-16,14
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,14
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,14
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,13
2013-04-14 - 2013-04-20,14
2013-04-21 - 2013-04-27,15
2013-04-28 - 2013-05-04,15
2013-05-05 - 2013-05-11,14
2013-05-12 - 2013-05-18,14
2013-05-19 - 2013-05-25,14
2013-05-26 - 2013-06-01,14
2013-06-02 - 2013-06-08,14
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,11
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,11
2013-08-04 - 2013-08-10,11
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,9
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,10
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,11
2013-10-20 - 2013-10-26,11
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,10
2013-11-17 - 2013-11-23,11
2013-11-24 - 2013-11-30,10
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,9
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,9
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,9
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,10
2014-02-16 - 2014-02-22,8
2014-02-23 - 2014-03-01,8
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,8
2014-03-16 - 2014-03-22,8
2014-03-23 - 2014-03-29,8
2014-03-30 - 2014-04-05,9
2014-04-06 - 2014-04-12,9
2014-04-13 - 2014-04-19,9
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,9
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,9
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,8
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,6
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,6
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,8
2014-09-28 - 2014-10-04,8
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,8
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,6
2015-01-18 - 2015-01-24,7
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,6
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,6
2015-03-22 - 2015-03-28,7
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,6
2015-04-12 - 2015-04-18,6
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,6
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,6
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,6


Top sub-regions for akon
Sub-region,akon
South Dakota,100
Virginia,90
North Dakota,81
Maine,79
Wyoming,79
California,78
New York,74
Michigan,73
Massachusetts,72
Montana,72
District of Columbia,72
Rhode Island,71
Wisconsin,71
Iowa,70
Alaska,69
Nebraska,69
Colorado,69
New Hampshire,68
Florida,68
Pennsylvania,68
Missouri,67
Ohio,67
New Mexico,66
Minnesota,66
New Jersey,66
Kentucky,65
Hawaii,65
Idaho,64
Connecticut,64
Vermont,64
Kansas,64
Arizona,63
West Virginia,62
Texas,62
Utah,61
Indiana,61
Illinois,61
Washington,60
Nevada,59
Arkansas,57
North Carolina,56
Georgia,56
Oklahoma,54
Oregon,53
Mississippi,53
South Carolina,52
Louisiana,51
Alabama,49
Maryland,49
Delaware,48
Tennessee,48


Top metros for akon
Metro,akon
Sioux Falls(Mitchell) SD,100
Sioux City IA,95
Rapid City SD,94
Fargo-Valley City ND,86
San Francisco-Oakland-San Jose CA,84
Washington DC (Hagerstown MD),82
Wilkes Barre-Scranton PA,81
Green Bay-Appleton WI,81
Wausau-Rhinelander WI,80
Portland-Auburn ME,80
Syracuse NY,79
Minot-Bismarck-Dickinson(Williston) ND,78
Rochester MN-Mason City IA-Austin MN,75
Binghamton NY,75
Erie PA,74
Boston MA-Manchester NH,73
Traverse City-Cadillac MI,72
New York NY,72
Duluth MN-Superior WI,72
La Crosse-Eau Claire WI,72
Johnstown-Altoona PA,71
Providence RI-New Bedford MA,70
Bangor ME,70
Reno NV,70
Des Moines-Ames IA,70
Charleston-Huntington WV,69
Medford-Klamath Falls OR,69
Miami-Ft. Lauderdale FL,68
Kansas City MO,67
Rochester NY,67
Detroit MI,67
Ft. Wayne IN,67
Corpus Christi TX,67
Jackson MS,67
Fresno-Visalia CA,66
Grand Rapids-Kalamazoo-Battle Creek MI,66
Boise ID,66
Palm Springs CA,66
Flint-Saginaw-Bay City MI,66
Tucson (Sierra Vista) AZ,65
Hartford & New Haven CT,65
Anchorage AK,64
Orlando-Daytona Beach-Melbourne FL,64
Louisville KY,64
Burlington VT-Plattsburgh NY,64
El Paso TX,64
Albuquerque-Santa Fe NM,64
Los Angeles CA,63
Dallas-Ft. Worth TX,63
Wichita-Hutchinson KS,63
Toledo OH,63
Albany GA,63
Yakima-Pasco-Richland-Kennewick WA,62
Colorado Springs-Pueblo CO,62
Tampa-St. Petersburg (Sarasota) FL,62
Buffalo NY,62
Albany-Schenectady-Troy NY,62
Tri-Cities TN-VA,62
Columbus OH,62
Honolulu HI,62
West Palm Beach-Ft. Pierce FL,62
Salt Lake City UT,61
Sacramento-Stockton-Modesto CA,61
Amarillo TX,61
Phoenix AZ,61
Lexington KY,61
Wilmington NC,61
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Chicago IL,61
Philadelphia PA,60
Spokane WA,60
Springfield MO,60
Ft. Smith-Fayetteville-Springdale-Rogers AR,60
Denver CO,60
Minneapolis-St. Paul MN,60
Savannah GA,60
Lansing MI,59
Springfield-Holyoke MA,59
Madison WI,59
Abilene-Sweetwater TX,58
Lincoln & Hastings-Kearney NE,58
St. Louis MO,58
Chico-Redding CA,58
Milwaukee WI,58
Pittsburgh PA,57
Champaign & Springfield-Decatur IL,57
Cleveland-Akron (Canton) OH,56
Indianapolis IN,56
Charlotte NC,56
Bakersfield CA,56
Davenport IA-Rock Island-Moline IL,56
Tyler-Longview(Lufkin & Nacogdoches) TX,55
South Bend-Elkhart IN,55
Youngstown OH,55
Dayton OH,55
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
Roanoke-Lynchburg VA,54
Raleigh-Durham (Fayetteville) NC,54
Oklahoma City OK,54
Omaha NE,54
Seattle-Tacoma WA,54
Las Vegas NV,53
Topeka KS,53
Tallahassee FL-Thomasville GA,53
Ft. Myers-Naples FL,53
Eugene OR,53
Columbia SC,53
San Diego CA,52
Harrisburg-Lancaster-Lebanon-York PA,52
Chattanooga TN,52
Columbia-Jefferson City MO,52
Montgomery (Selma) AL,51
Charlottesville VA,51
Lubbock TX,51
Greensboro-High Point-Winston Salem NC,51
Jacksonville FL,51
San Antonio TX,51
Atlanta GA,50
Little Rock-Pine Bluff AR,50
Birmingham AL,50
Cincinnati OH,50
Florence-Myrtle Beach SC,49
Lafayette LA,49
Greenville-New Bern-Washington NC,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Evansville IN,49
Gainesville FL,49
Harlingen-Weslaco-Brownsville-McAllen TX,48
Shreveport LA,48
Houston TX,48
Monterey-Salinas CA,48
New Orleans LA,47
Macon GA,47
Peoria-Bloomington IL,46
Nashville TN,46
Baltimore MD,46
Charleston SC,45
Portland OR,45
Baton Rouge LA,45
Knoxville TN,44
Huntsville-Decatur (Florence) AL,44
Santa Barbara-Santa Maria-San Luis Obispo CA,43
Augusta GA,42
Waco-Temple-Bryan TX,42
Mobile AL-Pensacola (Ft. Walton Beach) FL,42
Austin TX,41
Tulsa OK,39
Memphis TN,38
Richmond-Petersburg VA,36
Norfolk-Portsmouth-Newport News VA,35
Columbus GA,0
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for akon
Town/City,akon
Milpitas,100
Sterling,96
Herndon,79
Richardson,78
Irvine,73
Pleasanton,72
Reston,72
Miami,70
Newark,68
Tampa,66
Orlando,65
Ashburn,64
Los Angeles,59
St. Louis,59
Salt Lake City,57



Top searches for akon
beautiful akon,100
beautiful,100
lil wayne,80
akon lil wayne,75
right now akon,65
right now,65
lonely,55
akon lonely,55
akon new,45
eminem,45
akon songs,40
michael jackson,35
akon dangerous,35
dangerous,35
chris brown,35
smack that,30
akon smack that,30
pitbull,30
hold my hand,30
angel,30
akon angel,30
akon so paid,25
akon locked up,25
im so paid,20
50 cent,20
akon david guetta,20
david guetta,20
t pain,20
usher,20
nelly,20
akon beautiful lyrics,20
kanye west,20
t-pain,15
akon 2010,15
akon sorry,15
ghetto akon,15
akon 2011,15
young jeezy,15
akon new song,15
dont matter akon,15
snoop dogg,15
akon 2009,10
flo rida,10
soulja boy,10
akon hypnotized,10



Rising searches for akon
akon dangerous,Breakout
right now,Breakout
right now akon,Breakout
michael jackson,+1,250%
beautiful akon,+900%
beautiful,+850%
akon songs,+170%
akon lonely,+160%
lonely,+140%
akon new,+110%



