YouTube Search interest: natasha bedingfield
United States; Jan 2008 - Jul 2015

Interest over time
Week,natasha bedingfield
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,28
2009-07-05 - 2009-07-11,32
2009-07-12 - 2009-07-18,29
2009-07-19 - 2009-07-25,31
2009-07-26 - 2009-08-01,33
2009-08-02 - 2009-08-08,31
2009-08-09 - 2009-08-15,29
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,31
2009-08-30 - 2009-09-05,24
2009-09-06 - 2009-09-12,30
2009-09-13 - 2009-09-19,27
2009-09-20 - 2009-09-26,33
2009-09-27 - 2009-10-03,27
2009-10-04 - 2009-10-10,27
2009-10-11 - 2009-10-17,27
2009-10-18 - 2009-10-24,27
2009-10-25 - 2009-10-31,24
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,27
2009-11-15 - 2009-11-21,28
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,28
2009-12-06 - 2009-12-12,28
2009-12-13 - 2009-12-19,27
2009-12-20 - 2009-12-26,29
2009-12-27 - 2010-01-02,26
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,30
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,28
2010-01-31 - 2010-02-06,29
2010-02-07 - 2010-02-13,27
2010-02-14 - 2010-02-20,28
2010-02-21 - 2010-02-27,27
2010-02-28 - 2010-03-06,39
2010-03-07 - 2010-03-13,28
2010-03-14 - 2010-03-20,32
2010-03-21 - 2010-03-27,31
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,29
2010-04-11 - 2010-04-17,29
2010-04-18 - 2010-04-24,27
2010-04-25 - 2010-05-01,29
2010-05-02 - 2010-05-08,34
2010-05-09 - 2010-05-15,29
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,29
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,29
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,45
2010-07-18 - 2010-07-24,45
2010-07-25 - 2010-07-31,45
2010-08-01 - 2010-08-07,43
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,35
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,38
2010-09-26 - 2010-10-02,37
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,54
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,60
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,48
2010-12-05 - 2010-12-11,56
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,41
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,44
2011-02-06 - 2011-02-12,45
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,44
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,46
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,43
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,47
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,43
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,43
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,39
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,51
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,71
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,75
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,75
2011-09-11 - 2011-09-17,79
2011-09-18 - 2011-09-24,74
2011-09-25 - 2011-10-01,78
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,76
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,74
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,78
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,68
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,30
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,31
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,21
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,20
2012-10-14 - 2012-10-20,20
2012-10-21 - 2012-10-27,20
2012-10-28 - 2012-11-03,18
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,20
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,19
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,17
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,15
2013-03-10 - 2013-03-16,15
2013-03-17 - 2013-03-23,15
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,14
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,16
2013-04-21 - 2013-04-27,18
2013-04-28 - 2013-05-04,17
2013-05-05 - 2013-05-11,19
2013-05-12 - 2013-05-18,15
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,14
2013-06-09 - 2013-06-15,16
2013-06-16 - 2013-06-22,13
2013-06-23 - 2013-06-29,13
2013-06-30 - 2013-07-06,13
2013-07-07 - 2013-07-13,14
2013-07-14 - 2013-07-20,15
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,10
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,13
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,13
2013-10-13 - 2013-10-19,13
2013-10-20 - 2013-10-26,10
2013-10-27 - 2013-11-02,10
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,11
2013-11-24 - 2013-11-30,10
2013-12-01 - 2013-12-07,10
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,9
2013-12-22 - 2013-12-28,8
2013-12-29 - 2014-01-04,9
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,10
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,12
2014-02-16 - 2014-02-22,10
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,13
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,10
2014-04-27 - 2014-05-03,11
2014-05-04 - 2014-05-10,10
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,10
2014-05-25 - 2014-05-31,12
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,10
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,8
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,9
2014-07-27 - 2014-08-02,10
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,9
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,8
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,6
2014-11-02 - 2014-11-08,9
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,5
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,8
2015-01-18 - 2015-01-24,7
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,8
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,9
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,5


Top sub-regions for natasha bedingfield
Sub-region,natasha bedingfield
Utah,100
North Dakota,91
South Dakota,90
Idaho,90
Iowa,88
Wyoming,88
Kansas,88
Kentucky,87
Wisconsin,87
Tennessee,86
Michigan,86
Missouri,86
Nebraska,86
North Carolina,85
Ohio,85
South Carolina,85
Alabama,85
Indiana,84
Maine,84
Hawaii,82
Georgia,81
Minnesota,80
District of Columbia,79
Massachusetts,79
West Virginia,79
Pennsylvania,78
Florida,76
Connecticut,76
Louisiana,75
Oklahoma,75
New York,75
Rhode Island,74
Arkansas,73
Arizona,73
Texas,73
Illinois,71
Montana,71
Nevada,71
Washington,70
Maryland,70
Colorado,70
New Hampshire,70
New Jersey,68
Vermont,67
Delaware,67
Mississippi,67
California,66
Virginia,64
Alaska,62
New Mexico,61
Oregon,58


Top metros for natasha bedingfield
Metro,natasha bedingfield
Salt Lake City UT,100
Columbus OH,100
Louisville KY,98
Cincinnati OH,95
Charlotte NC,95
Greenville-Spartanburg SC-Asheville NC-Anderson SC,93
Harrisburg-Lancaster-Lebanon-York PA,91
Kansas City MO,90
Grand Rapids-Kalamazoo-Battle Creek MI,90
St. Louis MO,87
Atlanta GA,86
Pittsburgh PA,86
Minneapolis-St. Paul MN,85
Boston MA-Manchester NH,85
Hartford & New Haven CT,83
Detroit MI,83
Indianapolis IN,82
Raleigh-Durham (Fayetteville) NC,82
Nashville TN,79
Orlando-Daytona Beach-Melbourne FL,78
Sacramento-Stockton-Modesto CA,77
Tampa-St. Petersburg (Sarasota) FL,77
Dallas-Ft. Worth TX,77
Cleveland-Akron (Canton) OH,75
Denver CO,75
Norfolk-Portsmouth-Newport News VA,74
Phoenix AZ,72
San Antonio TX,71
Philadelphia PA,71
San Diego CA,71
Miami-Ft. Lauderdale FL,70
Chicago IL,69
Los Angeles CA,68
Milwaukee WI,68
Houston TX,68
Baltimore MD,67
New York NY,67
Seattle-Tacoma WA,67
Washington DC (Hagerstown MD),66
Las Vegas NV,65
Portland OR,61
San Francisco-Oakland-San Jose CA,53
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for natasha bedingfield
Town/City,natasha bedingfield
Salt Lake City,100
Richardson,92
Reston,89
Orlando,88
St. Louis,83
Herndon,82
Miami,82
Atlanta,82
Cincinnati,80
Columbus,78
Minneapolis,77
Phoenix,76
Las Vegas,76
Irvine,75
Washington,74



Top searches for natasha bedingfield
natasha bedingfield unwritten,100
rascal flatts,100
unwritten,100
easy,95
rascal flatts easy,95
sunshine,65
angel natasha bedingfield,40
pocketful of sunshine,40
love like this,40
strip,30
strip me,30
unwritten lyrics,30
soulmate,30
natasha bedingfield soulmate,30
wild horses,20
take me away,15
touch natasha bedingfield,15
natasha bedingfield single,10
natasha bedingfield live,10
natasha bedingfield again,10
natasha bedingfield happy,5
neon lights,5
natasha bedingfield acoustic,5



Rising searches for natasha bedingfield
angel natasha bedingfield,Breakout
easy,Breakout
pocketful of sunshine,Breakout
rascal flatts,Breakout
rascal flatts easy,Breakout
strip,Breakout
strip me,Breakout
unwritten lyrics,Breakout
sunshine,+1,750%
natasha bedingfield unwritten,+300%



