YouTube Search interest: 50 cent
United States; Jan 2008 - Jul 2015

Interest over time
Week,50 cent
2010-04-11 - 2010-04-17,50
2010-04-18 - 2010-04-24,49
2010-04-25 - 2010-05-01,51
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,47
2010-05-23 - 2010-05-29,55
2010-05-30 - 2010-06-05,55
2010-06-06 - 2010-06-12,48
2010-06-13 - 2010-06-19,48
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,49
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,49
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,49
2010-09-05 - 2010-09-11,47
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,72
2010-11-14 - 2010-11-20,74
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,66
2010-12-19 - 2010-12-25,71
2010-12-26 - 2011-01-01,75
2011-01-02 - 2011-01-08,72
2011-01-09 - 2011-01-15,69
2011-01-16 - 2011-01-22,69
2011-01-23 - 2011-01-29,77
2011-01-30 - 2011-02-05,77
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,72
2011-02-20 - 2011-02-26,74
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,76
2011-03-13 - 2011-03-19,80
2011-03-20 - 2011-03-26,76
2011-03-27 - 2011-04-02,75
2011-04-03 - 2011-04-09,78
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,76
2011-04-24 - 2011-04-30,75
2011-05-01 - 2011-05-07,72
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,66
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,66
2011-06-26 - 2011-07-02,66
2011-07-03 - 2011-07-09,63
2011-07-10 - 2011-07-16,64
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,48
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,51
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,46
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,46
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,44
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,47
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,53
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,44
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,37
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,34
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,63
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,43
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,46
2012-12-30 - 2013-01-05,41
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,37
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,26
2013-06-09 - 2013-06-15,25
2013-06-16 - 2013-06-22,24
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,23
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,22
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,20
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,20
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,30
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,27
2014-05-04 - 2014-05-10,26
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,26
2014-05-25 - 2014-05-31,47
2014-06-01 - 2014-06-07,48
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,22
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,34
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,19
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,17
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,18
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,18
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,15
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,18


Top sub-regions for 50 cent
Sub-region,50 cent
New York,100
Rhode Island,88
Connecticut,83
New Jersey,78
Massachusetts,74
Virginia,73
Maine,70
Pennsylvania,69
District of Columbia,69
Michigan,67
Illinois,67
North Carolina,66
Florida,64
Delaware,63
California,63
South Dakota,63
New Hampshire,62
West Virginia,62
New Mexico,62
Ohio,61
Maryland,60
Vermont,60
Arizona,59
South Carolina,59
North Dakota,58
Texas,58
Kentucky,57
Georgia,55
Wisconsin,55
Indiana,53
Iowa,53
Missouri,53
Mississippi,52
Colorado,52
Louisiana,51
Nevada,51
Minnesota,50
Wyoming,49
Nebraska,49
Alabama,49
Montana,49
Washington,48
Arkansas,48
Kansas,48
Idaho,46
Tennessee,46
Oklahoma,44
Hawaii,42
Oregon,41
Alaska,39
Utah,38


Top metros for 50 cent
Metro,50 cent
New York NY,100
Providence RI-New Bedford MA,91
Utica NY,86
Hartford & New Haven CT,84
Philadelphia PA,79
Binghamton NY,78
Washington DC (Hagerstown MD),77
Chicago IL,77
Springfield-Holyoke MA,76
Salisbury MD,76
Albany-Schenectady-Troy NY,76
Boston MA-Manchester NH,75
Miami-Ft. Lauderdale FL,74
Columbia SC,73
Bangor ME,73
Detroit MI,72
Wilkes Barre-Scranton PA,72
Portland-Auburn ME,71
Syracuse NY,71
Buffalo NY,70
Los Angeles CA,69
Grand Rapids-Kalamazoo-Battle Creek MI,68
Florence-Myrtle Beach SC,68
Richmond-Petersburg VA,68
Greensboro-High Point-Winston Salem NC,68
West Palm Beach-Ft. Pierce FL,67
El Paso TX,67
Raleigh-Durham (Fayetteville) NC,67
Burlington VT-Plattsburgh NY,66
Tucson (Sierra Vista) AZ,66
Rochester NY,66
Charleston-Huntington WV,66
Baltimore MD,66
Palm Springs CA,65
Sioux Falls(Mitchell) SD,65
Albuquerque-Santa Fe NM,64
Wilmington NC,64
Bakersfield CA,64
Louisville KY,62
Charlotte NC,62
Norfolk-Portsmouth-Newport News VA,62
Sioux City IA,62
Lexington KY,62
Rockford IL,62
Abilene-Sweetwater TX,62
Phoenix AZ,62
Columbus OH,62
Colorado Springs-Pueblo CO,62
Harrisburg-Lancaster-Lebanon-York PA,62
Johnstown-Altoona PA,61
Ft. Wayne IN,61
Roanoke-Lynchburg VA,61
Wichita-Hutchinson KS,61
Corpus Christi TX,61
Flint-Saginaw-Bay City MI,60
San Francisco-Oakland-San Jose CA,60
Duluth MN-Superior WI,59
Milwaukee WI,59
Orlando-Daytona Beach-Melbourne FL,59
Tallahassee FL-Thomasville GA,59
Youngstown OH,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Cleveland-Akron (Canton) OH,59
Toledo OH,59
Houston TX,59
Erie PA,59
Greenville-New Bern-Washington NC,59
Ft. Myers-Naples FL,58
Pittsburgh PA,57
Charlottesville VA,57
Tampa-St. Petersburg (Sarasota) FL,57
Amarillo TX,57
Atlanta GA,57
Harlingen-Weslaco-Brownsville-McAllen TX,57
San Antonio TX,57
Fresno-Visalia CA,56
Lansing MI,56
Jackson MS,56
Champaign & Springfield-Decatur IL,55
Dallas-Ft. Worth TX,55
Santa Barbara-Santa Maria-San Luis Obispo CA,55
Savannah GA,55
La Crosse-Eau Claire WI,55
Shreveport LA,55
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,55
Eugene OR,55
Chico-Redding CA,55
Birmingham AL,55
Little Rock-Pine Bluff AR,55
Wausau-Rhinelander WI,54
New Orleans LA,54
Kansas City MO,54
San Diego CA,54
Fargo-Valley City ND,54
Yakima-Pasco-Richland-Kennewick WA,54
Cincinnati OH,54
Peoria-Bloomington IL,54
Dayton OH,53
Knoxville TN,53
Sacramento-Stockton-Modesto CA,53
Reno NV,52
Ft. Smith-Fayetteville-Springdale-Rogers AR,52
Charleston SC,52
Minneapolis-St. Paul MN,51
Indianapolis IN,51
Topeka KS,51
St. Louis MO,51
Denver CO,51
Las Vegas NV,51
Macon GA,51
Omaha NE,50
Green Bay-Appleton WI,50
Augusta GA,50
Spokane WA,50
Davenport IA-Rock Island-Moline IL,50
Jacksonville FL,50
South Bend-Elkhart IN,50
Baton Rouge LA,50
Monterey-Salinas CA,49
Des Moines-Ames IA,49
Boise ID,48
Oklahoma City OK,47
Seattle-Tacoma WA,47
Lincoln & Hastings-Kearney NE,47
Memphis TN,47
Chattanooga TN,47
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,47
Waco-Temple-Bryan TX,46
Evansville IN,46
Nashville TN,46
Tri-Cities TN-VA,46
Honolulu HI,46
Huntsville-Decatur (Florence) AL,46
Madison WI,46
Lafayette LA,45
Columbus GA,45
Montgomery (Selma) AL,45
Tulsa OK,44
Austin TX,44
Anchorage AK,44
Tyler-Longview(Lufkin & Nacogdoches) TX,44
Springfield MO,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Salt Lake City UT,40
Portland OR,40
Gainesville FL,39
Albany GA,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for 50 cent
Town/City,50 cent
New York,100
Newark,79
Milpitas,77
Chicago,76
Sterling,75
Detroit,75
Philadelphia,74
Reston,71
Miami,69
Los Angeles,65
Boston,65
Washington,63
Atlanta,61
Richardson,59
Phoenix,59



Top searches for 50 cent
eminem,100
50 cent eminem,95
50 cent up,80
lil wayne,80
up,80
down on me,65
candy shop,45
in da club,45
new 50 cent,45
many men,35
21 questions,35
the game,30
rick ross,25
50 cent diss,25
jay z,25
akon,20
50 cent instrumental,20
50 cent akon,20
kanye west,20
baby by me,20
wiz khalifa,20
get up,20
soulja boy,20
50 cent freestyle,15
50 cent live,15
snoop dogg,15
50 cent interview,15
window shopper,15
lloyd banks,15
in the club,15
best friend,15
50 cent 2011,15
justin timberlake,15
tupac,15
nelly,15
young jeezy,15
i get money,15
2pac,10
ludacris,10
50 cent movie,10
50 cent fight,10
50cent,10
50 cent 2010,10
50 cent beef,10
g unit,10
ciara,10
young buck,10
50 cent 2012,10
dr dre,10
ja rule,10



Rising searches for 50 cent
down on me,Breakout
21 questions,+700%
rick ross,+700%
candy shop,+350%
in da club,+350%
50 cent instrumental,+300%
many men,+300%
50 cent up,+250%
up,+250%
eminem,+140%



