YouTube Search interest: sara bareilles
United States; Jan 2008 - Jul 2015

Interest over time
Week,sara bareilles
2009-11-22 - 2009-11-28,21
2009-11-29 - 2009-12-05,20
2009-12-06 - 2009-12-12,22
2009-12-13 - 2009-12-19,23
2009-12-20 - 2009-12-26,19
2009-12-27 - 2010-01-02,17
2010-01-03 - 2010-01-09,19
2010-01-10 - 2010-01-16,22
2010-01-17 - 2010-01-23,21
2010-01-24 - 2010-01-30,24
2010-01-31 - 2010-02-06,19
2010-02-07 - 2010-02-13,23
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,25
2010-02-28 - 2010-03-06,22
2010-03-07 - 2010-03-13,20
2010-03-14 - 2010-03-20,19
2010-03-21 - 2010-03-27,21
2010-03-28 - 2010-04-03,19
2010-04-04 - 2010-04-10,18
2010-04-11 - 2010-04-17,21
2010-04-18 - 2010-04-24,19
2010-04-25 - 2010-05-01,22
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,24
2010-05-16 - 2010-05-22,21
2010-05-23 - 2010-05-29,19
2010-05-30 - 2010-06-05,22
2010-06-06 - 2010-06-12,25
2010-06-13 - 2010-06-19,24
2010-06-20 - 2010-06-26,27
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,48
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,51
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,50
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,64
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,78
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,67
2010-09-26 - 2010-10-02,75
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,73
2010-10-17 - 2010-10-23,76
2010-10-24 - 2010-10-30,70
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,67
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,55
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,56
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,65
2011-02-20 - 2011-02-26,75
2011-02-27 - 2011-03-05,67
2011-03-06 - 2011-03-12,81
2011-03-13 - 2011-03-19,61
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,45
2011-06-19 - 2011-06-25,46
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,43
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,41
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,42
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,41
2011-09-18 - 2011-09-24,75
2011-09-25 - 2011-10-01,81
2011-10-02 - 2011-10-08,61
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,53
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,45
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,35
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,39
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,38
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,35
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,36
2012-06-10 - 2012-06-16,33
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,33
2012-07-01 - 2012-07-07,32
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,29
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,24
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,24
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,21
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,25
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,19
2013-03-31 - 2013-04-06,19
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,27
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,48
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,38
2013-06-23 - 2013-06-29,42
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,43
2013-07-14 - 2013-07-20,57
2013-07-21 - 2013-07-27,53
2013-07-28 - 2013-08-03,56
2013-08-04 - 2013-08-10,51
2013-08-11 - 2013-08-17,90
2013-08-18 - 2013-08-24,88
2013-08-25 - 2013-08-31,85
2013-09-01 - 2013-09-07,83
2013-09-08 - 2013-09-14,78
2013-09-15 - 2013-09-21,82
2013-09-22 - 2013-09-28,64
2013-09-29 - 2013-10-05,64
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,67
2013-10-20 - 2013-10-26,70
2013-10-27 - 2013-11-02,66
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,66
2013-11-24 - 2013-11-30,72
2013-12-01 - 2013-12-07,73
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,79
2013-12-22 - 2013-12-28,60
2013-12-29 - 2014-01-04,62
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,74
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,53
2014-03-16 - 2014-03-22,57
2014-03-23 - 2014-03-29,59
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,59
2014-04-20 - 2014-04-26,59
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,69
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,62
2014-06-15 - 2014-06-21,54
2014-06-22 - 2014-06-28,50
2014-06-29 - 2014-07-05,45
2014-07-06 - 2014-07-12,44
2014-07-13 - 2014-07-19,52
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,47
2014-08-03 - 2014-08-09,42
2014-08-10 - 2014-08-16,43
2014-08-17 - 2014-08-23,38
2014-08-24 - 2014-08-30,50
2014-08-31 - 2014-09-06,40
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,44
2014-09-28 - 2014-10-04,41
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,38
2014-10-26 - 2014-11-01,31
2014-11-02 - 2014-11-08,34
2014-11-09 - 2014-11-15,32
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,28
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,26
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,18
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,19
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,23


Top sub-regions for sara bareilles
Sub-region,sara bareilles
Utah,100
Idaho,78
Massachusetts,76
Vermont,73
Wisconsin,72
New Hampshire,72
Minnesota,71
Maine,68
Connecticut,68
Rhode Island,66
Pennsylvania,65
Colorado,64
Indiana,64
Nebraska,63
Montana,63
North Dakota,63
Hawaii,62
Michigan,61
New York,60
Ohio,60
Missouri,60
Iowa,59
Washington,58
South Dakota,57
New Jersey,57
Maryland,57
Arizona,56
Delaware,56
District of Columbia,55
California,54
Kansas,54
Illinois,53
North Carolina,52
Oregon,52
Wyoming,50
Tennessee,50
Nevada,49
Kentucky,48
Texas,48
Oklahoma,48
Florida,47
Georgia,46
South Carolina,46
New Mexico,44
Alabama,43
West Virginia,42
Virginia,41
Alaska,41
Louisiana,40
Arkansas,40
Mississippi,35


Top metros for sara bareilles
Metro,sara bareilles
Salt Lake City UT,100
Burlington VT-Plattsburgh NY,78
Boston MA-Manchester NH,78
Rochester NY,77
Albany-Schenectady-Troy NY,75
Syracuse NY,71
Grand Rapids-Kalamazoo-Battle Creek MI,71
Madison WI,70
Minneapolis-St. Paul MN,70
Hartford & New Haven CT,70
Buffalo NY,67
Providence RI-New Bedford MA,66
Milwaukee WI,66
Honolulu HI,64
Pittsburgh PA,64
Philadelphia PA,61
Indianapolis IN,61
Phoenix AZ,59
Greensboro-High Point-Winston Salem NC,58
St. Louis MO,58
Los Angeles CA,58
Las Vegas NV,58
Baltimore MD,58
Denver CO,58
Cleveland-Akron (Canton) OH,57
Sacramento-Stockton-Modesto CA,57
Raleigh-Durham (Fayetteville) NC,56
New York NY,56
San Diego CA,55
Seattle-Tacoma WA,55
Harrisburg-Lancaster-Lebanon-York PA,55
Cincinnati OH,53
Austin TX,53
Columbus OH,52
Detroit MI,52
Chicago IL,51
Kansas City MO,50
Orlando-Daytona Beach-Melbourne FL,50
Portland OR,50
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Charlotte NC,48
San Antonio TX,48
Nashville TN,47
Houston TX,47
Fresno-Visalia CA,47
Oklahoma City OK,46
Dallas-Ft. Worth TX,46
Atlanta GA,46
Tampa-St. Petersburg (Sarasota) FL,45
Louisville KY,44
Norfolk-Portsmouth-Newport News VA,44
Washington DC (Hagerstown MD),43
San Francisco-Oakland-San Jose CA,40
Miami-Ft. Lauderdale FL,38
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for sara bareilles
Town/City,sara bareilles
Salt Lake City,100
Boston,96
Minneapolis,85
San Francisco,83
Denver,79
Seattle,77
St. Louis,76
San Diego,76
Los Angeles,75
Indianapolis,75
Washington,74
Philadelphia,74
New York,72
Portland,72
Phoenix,71



Top searches for sara bareilles
sara bareilles lyrics,100
gravity,90
gravity sara bareilles,90
sara bareilles brave,85
love song,85
brave,85
king of anything,80
uncharted,25
uncharted sara bareilles,25
love song lyrics,25
i choose you,20
sara bareilles live,15
sara bareilles cover,15
bottle it up,15
ingrid michaelson,15
sarah bareilles,10
winter song,10
sara bareilles fairytale,10
fairytale,10
sara bareilles acoustic,10
sara bareilles city,10
stay sara bareilles,5
sara bareilles yellow,5
gravity john mayer,5
sara bareilles album,5



Rising searches for sara bareilles
brave,Breakout
i choose you,Breakout
king of anything,Breakout
sara bareilles brave,Breakout
sara bareilles live,Breakout
uncharted,Breakout
uncharted sara bareilles,Breakout
sara bareilles lyrics,+1,800%
gravity,+450%
gravity sara bareilles,+450%



