YouTube Search interest: breaking benjamin
United States; Jan 2008 - Jul 2015

Interest over time
Week,breaking benjamin
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,52
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,51
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,58
2011-04-10 - 2011-04-16,57
2011-04-17 - 2011-04-23,55
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,57
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,58
2011-06-05 - 2011-06-11,59
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,57
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,63
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,55
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,52
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,47
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,45
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,48
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,41
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,42
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,44
2012-06-10 - 2012-06-16,43
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,42
2012-08-12 - 2012-08-18,42
2012-08-19 - 2012-08-25,45
2012-08-26 - 2012-09-01,44
2012-09-02 - 2012-09-08,45
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,42
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,39
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,35
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,34
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,35
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,34
2013-06-30 - 2013-07-06,35
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,29
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,29
2013-12-15 - 2013-12-21,29
2013-12-22 - 2013-12-28,28
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,33
2014-03-02 - 2014-03-08,29
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,27
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,28
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,27
2014-08-03 - 2014-08-09,25
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,33
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,30
2014-10-12 - 2014-10-18,32
2014-10-19 - 2014-10-25,31
2014-10-26 - 2014-11-01,28
2014-11-02 - 2014-11-08,29
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,25
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,27
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,40
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,44
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,43
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,40
2015-05-24 - 2015-05-30,39
2015-05-31 - 2015-06-06,37
2015-06-07 - 2015-06-13,36
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,55
2015-06-28 - 2015-07-04,49
2015-07-05 - 2015-07-11,46
2015-07-12 - 2015-07-18,39
2015-07-19 - 2015-07-25,40
2015-07-26 - 2015-08-01,40


Top sub-regions for breaking benjamin
Sub-region,breaking benjamin
South Dakota,100
West Virginia,97
Maine,96
North Dakota,95
Wyoming,90
Missouri,90
Iowa,89
Kentucky,89
Kansas,86
Indiana,82
Ohio,81
Arkansas,77
Tennessee,77
Nebraska,74
Oklahoma,74
Pennsylvania,74
Wisconsin,72
Montana,72
Idaho,71
Alabama,69
Michigan,68
Louisiana,67
South Carolina,65
North Carolina,65
Mississippi,65
New Hampshire,63
Texas,60
Utah,60
Minnesota,59
Colorado,58
New Mexico,58
Alaska,57
Vermont,56
Georgia,55
Florida,52
Arizona,50
Illinois,49
Connecticut,48
Washington,47
Delaware,44
Virginia,44
Massachusetts,43
Oregon,43
Nevada,43
New Jersey,41
New York,41
Rhode Island,41
Maryland,41
District of Columbia,40
California,30
Hawaii,26


Top metros for breaking benjamin
Metro,breaking benjamin
Wilkes Barre-Scranton PA,100
Tri-Cities TN-VA,91
Charleston-Huntington WV,77
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,77
Ft. Wayne IN,77
Johnstown-Altoona PA,77
Lexington KY,74
Dayton OH,73
Sioux Falls(Mitchell) SD,72
Portland-Auburn ME,69
Chattanooga TN,68
Flint-Saginaw-Bay City MI,64
Little Rock-Pine Bluff AR,64
Toledo OH,64
Wichita-Hutchinson KS,63
Knoxville TN,63
Louisville KY,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
St. Louis MO,60
Colorado Springs-Pueblo CO,60
Springfield MO,60
Des Moines-Ames IA,59
Kansas City MO,58
Spokane WA,58
Indianapolis IN,57
Huntsville-Decatur (Florence) AL,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Harrisburg-Lancaster-Lebanon-York PA,57
Grand Rapids-Kalamazoo-Battle Creek MI,55
Syracuse NY,55
Cincinnati OH,55
Cleveland-Akron (Canton) OH,54
Oklahoma City OK,54
Pittsburgh PA,54
Birmingham AL,53
Albany-Schenectady-Troy NY,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Boise ID,51
Roanoke-Lynchburg VA,51
Madison WI,51
Omaha NE,50
Nashville TN,50
Columbus OH,50
Champaign & Springfield-Decatur IL,49
Tulsa OK,49
Greensboro-High Point-Winston Salem NC,48
Rochester NY,48
Charlotte NC,48
Waco-Temple-Bryan TX,47
Burlington VT-Plattsburgh NY,47
Green Bay-Appleton WI,47
Buffalo NY,45
Salt Lake City UT,45
Tampa-St. Petersburg (Sarasota) FL,44
Jacksonville FL,43
New Orleans LA,43
Denver CO,43
Raleigh-Durham (Fayetteville) NC,42
Orlando-Daytona Beach-Melbourne FL,41
Albuquerque-Santa Fe NM,40
Memphis TN,40
Milwaukee WI,40
Phoenix AZ,40
Detroit MI,38
San Antonio TX,38
Dallas-Ft. Worth TX,38
Minneapolis-St. Paul MN,38
Houston TX,37
Philadelphia PA,37
Norfolk-Portsmouth-Newport News VA,35
Hartford & New Haven CT,35
Atlanta GA,34
Fresno-Visalia CA,34
Providence RI-New Bedford MA,34
Boston MA-Manchester NH,33
Chicago IL,33
Sacramento-Stockton-Modesto CA,32
Baltimore MD,32
Richmond-Petersburg VA,32
West Palm Beach-Ft. Pierce FL,32
Seattle-Tacoma WA,32
Las Vegas NV,30
Washington DC (Hagerstown MD),30
Austin TX,29
Portland OR,27
Miami-Ft. Lauderdale FL,26
New York NY,25
Los Angeles CA,23
San Diego CA,22
San Francisco-Oakland-San Jose CA,15
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for breaking benjamin
Town/City,breaking benjamin
St. Louis,100
Indianapolis,83
Herndon,82
Louisville,82
Oklahoma City,76
Columbus,75
Richardson,72
Orlando,70
Tampa,69
Ashburn,68
Reston,65
San Antonio,65
Houston,61
Dallas,60
Atlanta,60



Top searches for breaking benjamin
breaking benjamin lyrics,100
diary of jane,70
breaking benjamin you,65
breaking benjamin cold,55
cold,55
away breaking benjamin,55
breath,45
breath breaking benjamin,45
so cold,45
three days grace,30
dear agony,25
breaking benjamin live,25
breaking benjamin acoustic,20
blow me away,20
until the end,20
rain breaking benjamin,15
skillet,15
disturbed,15
breaking benjamin cover,15
seether,15
polyamorous breaking benjamin,10
breaking benjamin home,10
breaking benjamin album,10
breaking benjamin follow,10
shinedown,10
firefly breaking benjamin,10
firefly,10
papa roach,10
forever breaking benjamin,10
chevelle,10
breaking benjamin halo,10
breaking bad,10
crossfade,5
lights out,5
breathe breaking benjamin,5
unknown soldier,5
breakdown breaking benjamin,5
breaking benjamin crawl,5



Rising searches for breaking benjamin
dear agony,Breakout
breaking benjamin lyrics,+2,150%
skillet,+250%
diary of jane,+200%
breaking benjamin you,+150%
so cold,+150%
breaking benjamin acoustic,+110%
breaking benjamin cold,+110%
cold,+100%
breath,+70%



