YouTube Search interest: florence+the machine
United States; Jan 2008 - Jul 2015

Interest over time
Week,florence+the machine
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for florence+the machine
Town/City,florence+the machine
Portland,100
Austin,98
Denver,97
Los Angeles,92
Columbus,90
San Diego,87
Boston,87
Seattle,84
Minneapolis,84
San Antonio,84
San Francisco,83
New York,83
Philadelphia,79
Phoenix,78
St. Louis,77



Top searches for florence+the machine
florence the machine,100
rage,50
dog days,20
shake it out,15
cosmic love,10
time machine,10
the time machine,10
machine gun kelly,5
bulls on parade,5
machine head,5
calvin harris,5
the machine trailer,5
florence welch,5
dancing machine,5
pink floyd,5
renegades of funk,5
guerilla radio,0
feed the machine,0
john john florence,0
bird machine,0
know your enemy,0
austrian death machine,0
the claw machine,0
claw machine,0
the m machine,0
the black keys,0
audioslave,0
start the machine,0
tom morello,0



Rising searches for florence+the machine
calvin harris,Breakout
cosmic love,Breakout
dog days,Breakout
florence the machine,Breakout
florence welch,Breakout
machine gun kelly,Breakout
shake it out,Breakout
the machine trailer,+300%
time machine,+80%
the time machine,+60%



