YouTube Search interest: selena gomez
United States; Jan 2008 - Jul 2015

Interest over time
Week,selena gomez
2009-08-02 - 2009-08-08,29
2009-08-09 - 2009-08-15,28
2009-08-16 - 2009-08-22,29
2009-08-23 - 2009-08-29,29
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,24
2009-09-20 - 2009-09-26,29
2009-09-27 - 2009-10-03,33
2009-10-04 - 2009-10-10,28
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,21
2009-10-25 - 2009-10-31,19
2009-11-01 - 2009-11-07,19
2009-11-08 - 2009-11-14,17
2009-11-15 - 2009-11-21,15
2009-11-22 - 2009-11-28,19
2009-11-29 - 2009-12-05,15
2009-12-06 - 2009-12-12,20
2009-12-13 - 2009-12-19,26
2009-12-20 - 2009-12-26,31
2009-12-27 - 2010-01-02,34
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,33
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,35
2010-02-14 - 2010-02-20,36
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,30
2010-03-07 - 2010-03-13,28
2010-03-14 - 2010-03-20,28
2010-03-21 - 2010-03-27,29
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,28
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,24
2010-05-02 - 2010-05-08,25
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,24
2010-05-23 - 2010-05-29,22
2010-05-30 - 2010-06-05,21
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,22
2010-06-20 - 2010-06-26,36
2010-06-27 - 2010-07-03,36
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,35
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,26
2010-08-08 - 2010-08-14,25
2010-08-15 - 2010-08-21,24
2010-08-22 - 2010-08-28,22
2010-08-29 - 2010-09-04,28
2010-09-05 - 2010-09-11,38
2010-09-12 - 2010-09-18,37
2010-09-19 - 2010-09-25,36
2010-09-26 - 2010-10-02,34
2010-10-03 - 2010-10-09,31
2010-10-10 - 2010-10-16,28
2010-10-17 - 2010-10-23,27
2010-10-24 - 2010-10-30,24
2010-10-31 - 2010-11-06,27
2010-11-07 - 2010-11-13,27
2010-11-14 - 2010-11-20,26
2010-11-21 - 2010-11-27,30
2010-11-28 - 2010-12-04,26
2010-12-05 - 2010-12-11,25
2010-12-12 - 2010-12-18,24
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,26
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,26
2011-01-16 - 2011-01-22,24
2011-01-23 - 2011-01-29,21
2011-01-30 - 2011-02-05,22
2011-02-06 - 2011-02-12,23
2011-02-13 - 2011-02-19,26
2011-02-20 - 2011-02-26,23
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,35
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,43
2011-05-22 - 2011-05-28,42
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,72
2011-06-26 - 2011-07-02,100
2011-07-03 - 2011-07-09,91
2011-07-10 - 2011-07-16,82
2011-07-17 - 2011-07-23,83
2011-07-24 - 2011-07-30,71
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,45
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,45
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,39
2011-10-30 - 2011-11-05,39
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,43
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,34
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,32
2012-03-11 - 2012-03-17,29
2012-03-18 - 2012-03-24,24
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,23
2012-04-15 - 2012-04-21,25
2012-04-22 - 2012-04-28,25
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,21
2012-05-13 - 2012-05-19,20
2012-05-20 - 2012-05-26,21
2012-05-27 - 2012-06-02,20
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,21
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,19
2012-07-08 - 2012-07-14,21
2012-07-15 - 2012-07-21,18
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,19
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,16
2012-08-26 - 2012-09-01,16
2012-09-02 - 2012-09-08,14
2012-09-09 - 2012-09-15,12
2012-09-16 - 2012-09-22,12
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,13
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,11
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,12
2012-11-11 - 2012-11-17,14
2012-11-18 - 2012-11-24,15
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,10
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,12
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,11
2013-01-13 - 2013-01-19,11
2013-01-20 - 2013-01-26,14
2013-01-27 - 2013-02-02,13
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,10
2013-02-17 - 2013-02-23,11
2013-02-24 - 2013-03-02,11
2013-03-03 - 2013-03-09,11
2013-03-10 - 2013-03-16,16
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,15
2013-04-07 - 2013-04-13,23
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,29
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,45
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,34
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,24
2013-09-08 - 2013-09-14,23
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,20
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,22
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,12
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,11
2014-02-16 - 2014-02-22,11
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,11
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,10
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,9
2014-04-13 - 2014-04-19,9
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,9
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,8
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,8
2014-07-06 - 2014-07-12,8
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,10
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,6
2014-09-14 - 2014-09-20,6
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,5
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,14
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,9
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,11
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,10
2015-04-05 - 2015-04-11,10
2015-04-12 - 2015-04-18,9
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,8
2015-05-10 - 2015-05-16,8
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,15


Top sub-regions for selena gomez
Sub-region,selena gomez
Texas,100
California,98
Utah,96
Arizona,96
Florida,91
Nevada,89
New York,88
New Jersey,88
New Mexico,87
Idaho,82
Illinois,82
Pennsylvania,80
Nebraska,79
Connecticut,79
South Dakota,79
Colorado,78
Michigan,78
Ohio,77
Kansas,77
Wisconsin,76
Missouri,76
Kentucky,76
Hawaii,76
Oklahoma,75
Massachusetts,75
Rhode Island,74
Indiana,74
Minnesota,74
North Dakota,73
Georgia,73
Washington,73
Iowa,73
North Carolina,71
Virginia,70
Wyoming,69
West Virginia,69
Louisiana,69
Tennessee,69
Maryland,68
Montana,68
Arkansas,67
South Carolina,67
Delaware,67
Maine,66
Mississippi,66
Alabama,66
Oregon,65
New Hampshire,65
Alaska,59
District of Columbia,59
Vermont,54


Top metros for selena gomez
Metro,selena gomez
Laredo TX,100
Palm Springs CA,87
Odessa-Midland TX,87
Bakersfield CA,86
Harlingen-Weslaco-Brownsville-McAllen TX,84
San Antonio TX,84
Yuma AZ-El Centro CA,84
El Paso TX,82
Los Angeles CA,80
Amarillo TX,78
Phoenix AZ,75
New York NY,74
Fresno-Visalia CA,74
Salt Lake City UT,74
Sioux City IA,73
Houston TX,71
Dallas-Ft. Worth TX,70
Abilene-Sweetwater TX,70
Albuquerque-Santa Fe NM,69
Idaho Falls-Pocatello ID,69
Rapid City SD,69
Tucson (Sierra Vista) AZ,68
Corpus Christi TX,68
Monterey-Salinas CA,68
Las Vegas NV,67
Miami-Ft. Lauderdale FL,67
Rochester MN-Mason City IA-Austin MN,66
Boise ID,66
Wichita-Hutchinson KS,66
Sacramento-Stockton-Modesto CA,66
Biloxi-Gulfport MS,66
Green Bay-Appleton WI,66
San Diego CA,65
Yakima-Pasco-Richland-Kennewick WA,65
Minot-Bismarck-Dickinson(Williston) ND,64
Ft. Myers-Naples FL,64
West Palm Beach-Ft. Pierce FL,64
Tyler-Longview(Lufkin & Nacogdoches) TX,64
Colorado Springs-Pueblo CO,63
Ft. Wayne IN,63
Milwaukee WI,62
Chattanooga TN,62
Orlando-Daytona Beach-Melbourne FL,62
Denver CO,62
Louisville KY,61
Wichita Falls TX & Lawton OK,61
Sioux Falls(Mitchell) SD,60
Grand Rapids-Kalamazoo-Battle Creek MI,60
Tampa-St. Petersburg (Sarasota) FL,60
Erie PA,60
Dayton OH,60
Philadelphia PA,60
Lincoln & Hastings-Kearney NE,59
Providence RI-New Bedford MA,59
Chicago IL,59
Reno NV,59
Hartford & New Haven CT,59
Rockford IL,59
Beaumont-Port Arthur TX,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
Indianapolis IN,59
Cleveland-Akron (Canton) OH,59
Harrisburg-Lancaster-Lebanon-York PA,58
Kansas City MO,58
Honolulu HI,58
Detroit MI,58
Wilkes Barre-Scranton PA,58
Waco-Temple-Bryan TX,58
St. Louis MO,57
Missoula MT,57
Omaha NE,57
San Francisco-Oakland-San Jose CA,57
Florence-Myrtle Beach SC,57
Lexington KY,56
Topeka KS,56
Seattle-Tacoma WA,56
Columbus OH,56
Santa Barbara-Santa Maria-San Luis Obispo CA,56
Chico-Redding CA,56
Davenport IA-Rock Island-Moline IL,55
Oklahoma City OK,55
Raleigh-Durham (Fayetteville) NC,55
Jacksonville FL,55
Binghamton NY,55
Flint-Saginaw-Bay City MI,55
Washington DC (Hagerstown MD),54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Wilmington NC,54
Evansville IN,54
Minneapolis-St. Paul MN,54
Charlotte NC,54
Atlanta GA,54
Boston MA-Manchester NH,54
Buffalo NY,54
South Bend-Elkhart IN,54
Shreveport LA,54
Des Moines-Ames IA,53
Lubbock TX,53
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,53
Spokane WA,53
Traverse City-Cadillac MI,53
Toledo OH,53
Austin TX,53
Tri-Cities TN-VA,53
Medford-Klamath Falls OR,52
Jackson MS,52
Portland-Auburn ME,52
Youngstown OH,52
Eugene OR,52
Albany-Schenectady-Troy NY,52
Syracuse NY,51
Memphis TN,51
Springfield MO,51
Portland OR,51
La Crosse-Eau Claire WI,51
Lansing MI,51
Tulsa OK,51
Wausau-Rhinelander WI,51
Nashville TN,51
Anchorage AK,51
Charleston-Huntington WV,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
Birmingham AL,50
Greensboro-High Point-Winston Salem NC,50
Fargo-Valley City ND,49
Cincinnati OH,49
Baltimore MD,49
Little Rock-Pine Bluff AR,49
Augusta GA,49
New Orleans LA,49
Columbia-Jefferson City MO,49
Johnstown-Altoona PA,49
Greenville-New Bern-Washington NC,49
Columbia SC,48
Knoxville TN,48
Rochester NY,48
Peoria-Bloomington IL,48
Duluth MN-Superior WI,48
Charlottesville VA,47
Springfield-Holyoke MA,47
Macon GA,46
Savannah GA,46
Baton Rouge LA,46
Madison WI,46
Burlington VT-Plattsburgh NY,45
Charleston SC,45
Pittsburgh PA,45
Huntsville-Decatur (Florence) AL,44
Champaign & Springfield-Decatur IL,44
Richmond-Petersburg VA,44
Norfolk-Portsmouth-Newport News VA,44
Albany GA,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,43
Lafayette LA,42
Montgomery (Selma) AL,42
Roanoke-Lynchburg VA,39
Gainesville FL,39
Columbus GA,38
Tallahassee FL-Thomasville GA,34
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for selena gomez
Town/City,selena gomez
El Paso,100
Las Vegas,94
Los Angeles,93
Phoenix,93
San Antonio,92
Houston,90
New York,83
Miami,82
Sacramento,78
Richardson,76
Dallas,75
San Diego,75
Denver,75
Irvine,75
Orlando,73



Top searches for selena gomez
selena gomez lyrics,100
justin bieber,55
who says,45
demi lovato,30
music,30
naturally,30
naturally selena gomez,30
miley cyrus,30
selena gomez songs,25
taylor swift,20
songs,20
i love you,20
who says lyrics,15
baby,15
katy perry,15
nicki minaj,15
round and round,10
hit the lights,10
selena gomez live,10
rihanna,10
shake it up,10
selena gomez magic,10
lady gaga,10
magic,10
super bass,10
baby justin bieber,10
hannah montana,10
bruno mars,10
selena gomez interview,5
falling down,5
jonas brothers,5
kesha,5
shakira,5
selena gomez hot,5
ariana grande,5
britney spears,5
selena gomez dancing,5
ellen,5
birthday selena gomez,5
love songs,5
one direction,5
adele,5
friday,5
avril lavigne,5
never say never,5
nick jonas,5
victoria justice,5
how to love,5
call me maybe,5
victorious,5



Rising searches for selena gomez
baby,Breakout
demi lovato,Breakout
i love you,Breakout
justin bieber,Breakout
katy perry,Breakout
music,Breakout
naturally,Breakout
naturally selena gomez,Breakout
selena gomez lyrics,Breakout
songs,Breakout



