YouTube Search interest: keri hilson
United States; Jan 2008 - Jul 2015

Interest over time
Week,keri hilson
2009-08-02 - 2009-08-08,67
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,64
2009-08-23 - 2009-08-29,60
2009-08-30 - 2009-09-05,60
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,62
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,55
2009-10-11 - 2009-10-17,55
2009-10-18 - 2009-10-24,50
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,47
2009-11-08 - 2009-11-14,44
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,44
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,41
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,44
2010-01-03 - 2010-01-09,43
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,42
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,41
2010-02-07 - 2010-02-13,39
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,36
2010-02-28 - 2010-03-06,35
2010-03-07 - 2010-03-13,34
2010-03-14 - 2010-03-20,33
2010-03-21 - 2010-03-27,32
2010-03-28 - 2010-04-03,34
2010-04-04 - 2010-04-10,32
2010-04-11 - 2010-04-17,31
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,26
2010-05-02 - 2010-05-08,27
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,26
2010-05-23 - 2010-05-29,32
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,29
2010-06-13 - 2010-06-19,28
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,29
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,39
2010-08-01 - 2010-08-07,38
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,35
2010-08-22 - 2010-08-28,33
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,31
2010-09-19 - 2010-09-25,29
2010-09-26 - 2010-10-02,29
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,33
2010-10-17 - 2010-10-23,36
2010-10-24 - 2010-10-30,35
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,73
2010-12-05 - 2010-12-11,68
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,74
2010-12-26 - 2011-01-01,68
2011-01-02 - 2011-01-08,70
2011-01-09 - 2011-01-15,66
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,60
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,53
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,53
2011-03-06 - 2011-03-12,55
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,61
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,67
2011-04-10 - 2011-04-16,60
2011-04-17 - 2011-04-23,64
2011-04-24 - 2011-04-30,68
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,44
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,38
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,28
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,25
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,30
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,25
2011-11-06 - 2011-11-12,25
2011-11-13 - 2011-11-19,23
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,22
2011-12-04 - 2011-12-10,21
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,21
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,21
2012-01-22 - 2012-01-28,19
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,18
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,18
2012-03-04 - 2012-03-10,17
2012-03-11 - 2012-03-17,16
2012-03-18 - 2012-03-24,19
2012-03-25 - 2012-03-31,18
2012-04-01 - 2012-04-07,17
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,16
2012-04-29 - 2012-05-05,16
2012-05-06 - 2012-05-12,16
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,15
2012-06-03 - 2012-06-09,16
2012-06-10 - 2012-06-16,16
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,13
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,14
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,13
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,12
2012-09-30 - 2012-10-06,15
2012-10-07 - 2012-10-13,13
2012-10-14 - 2012-10-20,12
2012-10-21 - 2012-10-27,12
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,11
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,11
2012-12-09 - 2012-12-15,10
2012-12-16 - 2012-12-22,10
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,9
2013-01-06 - 2013-01-12,10
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,9
2013-01-27 - 2013-02-02,10
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,10
2013-02-17 - 2013-02-23,9
2013-02-24 - 2013-03-02,9
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,9
2013-03-17 - 2013-03-23,9
2013-03-24 - 2013-03-30,9
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,9
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,8
2013-05-05 - 2013-05-11,9
2013-05-12 - 2013-05-18,8
2013-05-19 - 2013-05-25,7
2013-05-26 - 2013-06-01,8
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,7
2013-06-16 - 2013-06-22,8
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,7
2013-07-21 - 2013-07-27,7
2013-07-28 - 2013-08-03,7
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,6
2013-08-18 - 2013-08-24,6
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,7
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,7
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,7
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,7
2013-10-27 - 2013-11-02,7
2013-11-03 - 2013-11-09,7
2013-11-10 - 2013-11-16,8
2013-11-17 - 2013-11-23,7
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,7
2013-12-15 - 2013-12-21,7
2013-12-22 - 2013-12-28,6
2013-12-29 - 2014-01-04,6
2014-01-05 - 2014-01-11,7
2014-01-12 - 2014-01-18,7
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,6
2014-02-02 - 2014-02-08,6
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,5
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,5
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,5
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,5
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,4
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,5
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,4
2015-02-08 - 2015-02-14,4
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,4
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,4
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,2


Top sub-regions for keri hilson
Sub-region,keri hilson
Mississippi,100
Louisiana,89
Georgia,79
District of Columbia,74
Alabama,70
South Carolina,65
Maryland,65
North Carolina,60
Delaware,56
Arkansas,55
Hawaii,53
New York,52
Florida,52
Tennessee,51
Missouri,51
Ohio,49
Pennsylvania,49
New Jersey,49
Michigan,48
Texas,48
Illinois,47
Virginia,45
Connecticut,43
Indiana,42
Kentucky,42
Rhode Island,42
Massachusetts,40
California,39
Wisconsin,38
Oklahoma,37
Nevada,35
Washington,34
Minnesota,33
Kansas,33
Arizona,32
Nebraska,31
New Mexico,29
Colorado,28
West Virginia,28
Alaska,27
South Dakota,27
Iowa,26
Vermont,25
North Dakota,24
New Hampshire,24
Maine,24
Utah,22
Wyoming,22
Idaho,19
Montana,19
Oregon,18


Top metros for keri hilson
Metro,keri hilson
Jackson MS,100
Montgomery (Selma) AL,88
Albany GA,77
Macon GA,75
Baton Rouge LA,73
Shreveport LA,72
Memphis TN,71
New Orleans LA,70
Augusta GA,69
Columbia SC,66
Florence-Myrtle Beach SC,65
Atlanta GA,63
Birmingham AL,61
Lafayette LA,61
Little Rock-Pine Bluff AR,61
Raleigh-Durham (Fayetteville) NC,59
Richmond-Petersburg VA,58
Columbus GA,56
Baltimore MD,56
Tallahassee FL-Thomasville GA,55
Greensboro-High Point-Winston Salem NC,54
Savannah GA,53
Philadelphia PA,51
Jacksonville FL,50
Norfolk-Portsmouth-Newport News VA,49
Toledo OH,48
Detroit MI,47
West Palm Beach-Ft. Pierce FL,46
Miami-Ft. Lauderdale FL,46
Charlotte NC,45
Huntsville-Decatur (Florence) AL,45
New York NY,45
Dallas-Ft. Worth TX,44
St. Louis MO,44
Charleston SC,43
Cleveland-Akron (Canton) OH,43
Washington DC (Hagerstown MD),43
Louisville KY,43
Chicago IL,42
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Houston TX,41
Indianapolis IN,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Orlando-Daytona Beach-Melbourne FL,39
Rochester NY,39
Honolulu HI,39
Greenville-New Bern-Washington NC,38
Nashville TN,38
Hartford & New Haven CT,38
Kansas City MO,38
Milwaukee WI,38
Columbus OH,37
Waco-Temple-Bryan TX,37
Flint-Saginaw-Bay City MI,35
Sacramento-Stockton-Modesto CA,35
Champaign & Springfield-Decatur IL,35
Springfield-Holyoke MA,35
Fresno-Visalia CA,34
Buffalo NY,34
Providence RI-New Bedford MA,34
Tampa-St. Petersburg (Sarasota) FL,34
Oklahoma City OK,34
Las Vegas NV,34
Roanoke-Lynchburg VA,33
Albany-Schenectady-Troy NY,33
Dayton OH,33
San Antonio TX,33
Cincinnati OH,32
Los Angeles CA,32
Boston MA-Manchester NH,32
Wilkes Barre-Scranton PA,31
Grand Rapids-Kalamazoo-Battle Creek MI,30
Harrisburg-Lancaster-Lebanon-York PA,29
Phoenix AZ,29
Seattle-Tacoma WA,28
Pittsburgh PA,28
Tucson (Sierra Vista) AZ,28
Madison WI,28
Wichita-Hutchinson KS,28
Austin TX,28
Minneapolis-St. Paul MN,27
San Francisco-Oakland-San Jose CA,27
Lexington KY,27
Syracuse NY,27
San Diego CA,25
Denver CO,23
Albuquerque-Santa Fe NM,23
Salt Lake City UT,18
Portland OR,17
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for keri hilson
Town/City,keri hilson
Jackson,100
New Orleans,79
Atlanta,78
Memphis,70
Baltimore,69
Detroit,68
Reston,64
Norfolk,64
Philadelphia,62
Washington,57
St. Louis,56
Richardson,54
Herndon,53
Raleigh,51
Ashburn,49



Top searches for keri hilson
keri hilson lyrics,100
down,90
keri hilson love,90
knock you down,65
chris brown,60
keri hilson pretty,55
keri hilson energy,40
energy,40
beyonce,35
one night stand,25
pretty girl rock,25
turning me on,25
make love,20
slow dance,20
trey songz,20
ciara,20
superhuman,15
keri hilson superhuman,15
t.i,15
turnin me on,15
superhuman chris brown,15
r kelly,10
turn me on,10
keri hilson beautiful,10
keyshia cole,10
plies,10
knock me down,10
keri hilson live,10
kelly rowland,10
medicine keri hilson,10
ti keri hilson,10
keri hilson 2010,10
neyo,5
trina,5
motivation kelly rowland,5



Rising searches for keri hilson
beyonce,Breakout
chris brown,Breakout
down,Breakout
energy,Breakout
keri hilson energy,Breakout
keri hilson love,Breakout
keri hilson lyrics,Breakout
keri hilson pretty,Breakout
knock you down,Breakout
one night stand,Breakout



