YouTube Search interest: kelly clarkson
United States; Jan 2008 - Jul 2015

Interest over time
Week,kelly clarkson
2012-01-22 - 2012-01-28,69
2012-01-29 - 2012-02-04,76
2012-02-05 - 2012-02-11,100
2012-02-12 - 2012-02-18,83
2012-02-19 - 2012-02-25,76
2012-02-26 - 2012-03-03,74
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,40
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,37
2012-07-29 - 2012-08-04,39
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,38
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,40
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,40
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,49
2013-02-17 - 2013-02-23,38
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,34
2013-03-10 - 2013-03-16,34
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,31
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,29
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,28
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,26
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,24
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,22
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,22
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,26
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,14
2014-01-12 - 2014-01-18,16
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,13
2014-03-02 - 2014-03-08,12
2014-03-09 - 2014-03-15,14
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,12
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,11
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,12
2014-06-15 - 2014-06-21,11
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,10
2014-07-06 - 2014-07-12,11
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,11
2014-08-03 - 2014-08-09,11
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,10
2014-08-24 - 2014-08-30,10
2014-08-31 - 2014-09-06,10
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,10
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,10
2014-10-05 - 2014-10-11,10
2014-10-12 - 2014-10-18,11
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,9
2015-01-04 - 2015-01-10,9
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,23
2015-03-01 - 2015-03-07,36
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,15


Top sub-regions for kelly clarkson
Sub-region,kelly clarkson
South Dakota,100
Iowa,99
Utah,97
West Virginia,95
Indiana,95
Kentucky,95
Wyoming,94
Ohio,93
Idaho,93
Maine,93
Nebraska,92
North Dakota,89
Missouri,89
Wisconsin,89
Minnesota,87
Montana,86
Pennsylvania,86
Oklahoma,83
Michigan,82
Texas,82
Massachusetts,81
Tennessee,80
Arkansas,80
Kansas,79
Colorado,79
New Hampshire,78
South Carolina,78
North Carolina,77
New York,77
Arizona,75
New Jersey,75
Alabama,74
Illinois,74
Vermont,73
Rhode Island,73
New Mexico,73
Connecticut,73
Florida,73
Mississippi,72
Louisiana,70
Georgia,70
Nevada,69
Washington,69
Hawaii,69
California,68
Virginia,63
Alaska,63
Maryland,62
District of Columbia,62
Delaware,61
Oregon,60


Top metros for kelly clarkson
Metro,kelly clarkson
Sioux City IA,100
Sioux Falls(Mitchell) SD,97
Erie PA,97
Charleston-Huntington WV,91
Salt Lake City UT,91
Lexington KY,89
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,86
Tri-Cities TN-VA,86
Youngstown OH,86
Toledo OH,86
Springfield MO,85
Boise ID,84
Johnstown-Altoona PA,84
South Bend-Elkhart IN,84
Ft. Wayne IN,84
Des Moines-Ames IA,84
Dayton OH,82
Lincoln & Hastings-Kearney NE,82
Wilkes Barre-Scranton PA,82
Omaha NE,82
Lansing MI,82
Grand Rapids-Kalamazoo-Battle Creek MI,82
La Crosse-Eau Claire WI,81
Flint-Saginaw-Bay City MI,81
Wichita-Hutchinson KS,81
Reno NV,80
Green Bay-Appleton WI,80
Oklahoma City OK,80
Syracuse NY,80
Portland-Auburn ME,79
Madison WI,79
Louisville KY,79
Fargo-Valley City ND,78
Knoxville TN,78
Corpus Christi TX,77
Albany-Schenectady-Troy NY,77
Champaign & Springfield-Decatur IL,77
Evansville IN,77
Binghamton NY,76
Minneapolis-St. Paul MN,76
Cleveland-Akron (Canton) OH,76
Harrisburg-Lancaster-Lebanon-York PA,76
Cincinnati OH,75
Columbus OH,75
Greenville-Spartanburg SC-Asheville NC-Anderson SC,75
Yakima-Pasco-Richland-Kennewick WA,75
Chattanooga TN,75
Providence RI-New Bedford MA,74
Peoria-Bloomington IL,74
Indianapolis IN,74
Colorado Springs-Pueblo CO,73
Pittsburgh PA,72
Burlington VT-Plattsburgh NY,71
Dallas-Ft. Worth TX,71
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70
Charlotte NC,70
Buffalo NY,70
Boston MA-Manchester NH,69
Bakersfield CA,69
Kansas City MO,69
Davenport IA-Rock Island-Moline IL,68
St. Louis MO,68
Florence-Myrtle Beach SC,68
Philadelphia PA,67
Tyler-Longview(Lufkin & Nacogdoches) TX,67
Detroit MI,67
Fresno-Visalia CA,66
Birmingham AL,66
Denver CO,66
Phoenix AZ,66
Greenville-New Bern-Washington NC,65
Orlando-Daytona Beach-Melbourne FL,65
Huntsville-Decatur (Florence) AL,65
Spokane WA,65
Raleigh-Durham (Fayetteville) NC,64
New York NY,64
Hartford & New Haven CT,64
Milwaukee WI,64
Nashville TN,64
Tampa-St. Petersburg (Sarasota) FL,64
Tucson (Sierra Vista) AZ,64
Houston TX,63
Shreveport LA,63
Honolulu HI,63
Eugene OR,63
Greensboro-High Point-Winston Salem NC,62
Los Angeles CA,62
Springfield-Holyoke MA,62
Richmond-Petersburg VA,62
Chicago IL,61
Macon GA,61
Little Rock-Pine Bluff AR,61
Rochester NY,61
Tulsa OK,61
Charleston SC,60
Sacramento-Stockton-Modesto CA,60
New Orleans LA,60
San Antonio TX,59
Jackson MS,59
Las Vegas NV,58
Jacksonville FL,58
Austin TX,58
Waco-Temple-Bryan TX,58
Atlanta GA,58
Washington DC (Hagerstown MD),57
Roanoke-Lynchburg VA,56
Savannah GA,56
Seattle-Tacoma WA,55
Ft. Smith-Fayetteville-Springdale-Rogers AR,55
Harlingen-Weslaco-Brownsville-McAllen TX,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
El Paso TX,55
Santa Barbara-Santa Maria-San Luis Obispo CA,55
Memphis TN,55
West Palm Beach-Ft. Pierce FL,54
Ft. Myers-Naples FL,54
Columbia SC,54
Baltimore MD,53
Tallahassee FL-Thomasville GA,53
Albuquerque-Santa Fe NM,52
Baton Rouge LA,51
Miami-Ft. Lauderdale FL,50
San Francisco-Oakland-San Jose CA,49
Monterey-Salinas CA,49
Norfolk-Portsmouth-Newport News VA,49
Portland OR,49
San Diego CA,48
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for kelly clarkson
Town/City,kelly clarkson
Salt Lake City,100
Richardson,80
St. Louis,79
Minneapolis,75
Denver,75
Phoenix,74
Columbus,73
New York,70
Philadelphia,70
San Antonio,70
Los Angeles,70
Dallas,69
Houston,69
Orlando,68
Boston,67



Top searches for kelly clarkson
kelly clarkson lyrics,100
kelly clarkson gone,50
kelly clarkson stronger,45
stronger,45
because of you,40
already gone,30
breakaway,20
breakaway kelly clarkson,20
jason aldean,15
carrie underwood,15
kelly clarkson songs,15
kelly clarkson live,10
american idol,10
kelly clarkson karaoke,10
avril lavigne,10
never again,5
christina aguilera,5
walk away,5
miss independent,5
kelly clarkson audition,5
kelly clarkson cry,5
kelly clarkson heartbeat,5
leona lewis,5
reba mcentire,5
kelly clarkson sober,5
maybe kelly clarkson,5
kelly clarkson low,5
addicted kelly clarkson,5



Rising searches for kelly clarkson
already gone,Breakout
jason aldean,Breakout
kelly clarkson stronger,+2,800%
stronger,+2,400%
kelly clarkson lyrics,+1,250%
breakaway,+200%
kelly clarkson gone,+200%
breakaway kelly clarkson,+160%
kelly clarkson songs,+150%
because of you,+120%



