YouTube Search interest: mariah carey
United States; Jan 2008 - Jul 2015

Interest over time
Week,mariah carey
2009-02-15 - 2009-02-21,31
2009-02-22 - 2009-02-28,30
2009-03-01 - 2009-03-07,33
2009-03-08 - 2009-03-14,36
2009-03-15 - 2009-03-21,35
2009-03-22 - 2009-03-28,35
2009-03-29 - 2009-04-04,28
2009-04-05 - 2009-04-11,33
2009-04-12 - 2009-04-18,32
2009-04-19 - 2009-04-25,32
2009-04-26 - 2009-05-02,29
2009-05-03 - 2009-05-09,32
2009-05-10 - 2009-05-16,32
2009-05-17 - 2009-05-23,31
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,28
2009-06-07 - 2009-06-13,28
2009-06-14 - 2009-06-20,36
2009-06-21 - 2009-06-27,35
2009-06-28 - 2009-07-04,41
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,63
2009-07-19 - 2009-07-25,71
2009-07-26 - 2009-08-01,80
2009-08-02 - 2009-08-08,100
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,72
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,65
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,80
2009-09-27 - 2009-10-03,80
2009-10-04 - 2009-10-10,75
2009-10-11 - 2009-10-17,73
2009-10-18 - 2009-10-24,69
2009-10-25 - 2009-10-31,66
2009-11-01 - 2009-11-07,69
2009-11-08 - 2009-11-14,68
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,72
2009-12-13 - 2009-12-19,75
2009-12-20 - 2009-12-26,81
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,80
2010-01-10 - 2010-01-16,59
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,54
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,61
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,49
2010-03-28 - 2010-04-03,46
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,41
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,37
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,39
2010-05-30 - 2010-06-05,37
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,34
2010-07-04 - 2010-07-10,32
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,32
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,32
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,32
2010-09-12 - 2010-09-18,31
2010-09-19 - 2010-09-25,32
2010-09-26 - 2010-10-02,38
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,33
2010-10-17 - 2010-10-23,32
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,38
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,38
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,60
2010-12-05 - 2010-12-11,63
2010-12-12 - 2010-12-18,69
2010-12-19 - 2010-12-25,74
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,33
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,32
2011-02-13 - 2011-02-19,31
2011-02-20 - 2011-02-26,31
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,30
2011-04-10 - 2011-04-16,30
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,30
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,29
2011-06-05 - 2011-06-11,31
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,28
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,27
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,28
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,28
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,66
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,80
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,25
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,22
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,22
2012-03-11 - 2012-03-17,23
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,22
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,20
2012-04-22 - 2012-04-28,22
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,22
2012-05-27 - 2012-06-02,21
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,20
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,21
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,20
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,22
2012-11-04 - 2012-11-10,25
2012-11-11 - 2012-11-17,30
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,51
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,19
2013-03-24 - 2013-03-30,19
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,21
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,42
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,33
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,21
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,18
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,27
2013-11-17 - 2013-11-23,28
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,16
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,15
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,14
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,15
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,14
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,13
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,13
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,51
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,42
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,12
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,11
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,12


Top sub-regions for mariah carey
Sub-region,mariah carey
Hawaii,100
Mississippi,90
Louisiana,89
New York,84
District of Columbia,84
Georgia,83
California,82
Florida,79
North Carolina,75
Virginia,75
New Mexico,75
Maryland,74
South Carolina,74
Alabama,73
Pennsylvania,73
Ohio,73
Texas,72
Rhode Island,72
New Jersey,72
Nevada,70
Arizona,69
Missouri,69
Massachusetts,68
Delaware,67
Connecticut,66
Michigan,66
Kentucky,64
Arkansas,63
Tennessee,63
Illinois,62
Indiana,61
Colorado,60
Oklahoma,60
South Dakota,59
Washington,58
Alaska,55
Kansas,54
Minnesota,53
Nebraska,53
Wisconsin,52
West Virginia,52
Utah,49
Iowa,48
North Dakota,46
Maine,45
Wyoming,45
New Hampshire,45
Vermont,44
Idaho,43
Oregon,41
Montana,41


Top metros for mariah carey
Metro,mariah carey
Jackson MS,100
Honolulu HI,98
Montgomery (Selma) AL,91
Albany GA,89
New Orleans LA,87
Biloxi-Gulfport MS,87
Baton Rouge LA,86
Macon GA,85
Florence-Myrtle Beach SC,83
Atlanta GA,82
Lafayette LA,80
Bakersfield CA,80
West Palm Beach-Ft. Pierce FL,79
Philadelphia PA,78
Miami-Ft. Lauderdale FL,78
Birmingham AL,77
Columbia SC,77
Columbus GA,77
Augusta GA,76
Fresno-Visalia CA,76
Savannah GA,75
Palm Springs CA,75
Los Angeles CA,75
Louisville KY,75
New York NY,74
Shreveport LA,74
Raleigh-Durham (Fayetteville) NC,74
Washington DC (Hagerstown MD),74
Sacramento-Stockton-Modesto CA,73
Richmond-Petersburg VA,73
Baltimore MD,72
Charleston SC,72
Phoenix AZ,72
Albuquerque-Santa Fe NM,71
Norfolk-Portsmouth-Newport News VA,71
Providence RI-New Bedford MA,70
Albany-Schenectady-Troy NY,69
Greensboro-High Point-Winston Salem NC,69
Las Vegas NV,69
Waco-Temple-Bryan TX,69
Memphis TN,69
Amarillo TX,68
Tallahassee FL-Thomasville GA,68
Dallas-Ft. Worth TX,68
San Antonio TX,67
St. Louis MO,67
Orlando-Daytona Beach-Melbourne FL,67
Charlotte NC,66
Cleveland-Akron (Canton) OH,66
Detroit MI,66
Toledo OH,66
San Francisco-Oakland-San Jose CA,66
Kansas City MO,66
Houston TX,66
Tampa-St. Petersburg (Sarasota) FL,66
Little Rock-Pine Bluff AR,66
Tyler-Longview(Lufkin & Nacogdoches) TX,65
San Diego CA,64
Syracuse NY,64
Columbus OH,64
Erie PA,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,63
Greenville-New Bern-Washington NC,63
Tucson (Sierra Vista) AZ,62
Wilkes Barre-Scranton PA,62
Boston MA-Manchester NH,61
Wilmington NC,61
Jacksonville FL,61
Anchorage AK,61
Colorado Springs-Pueblo CO,60
Lubbock TX,60
Chicago IL,60
Corpus Christi TX,60
Lexington KY,59
Flint-Saginaw-Bay City MI,59
Hartford & New Haven CT,59
Ft. Wayne IN,59
Huntsville-Decatur (Florence) AL,59
Youngstown OH,59
Rochester NY,59
Dayton OH,59
Gainesville FL,59
Harrisburg-Lancaster-Lebanon-York PA,58
Milwaukee WI,58
Indianapolis IN,58
Monterey-Salinas CA,58
Chattanooga TN,58
Santa Barbara-Santa Maria-San Luis Obispo CA,58
Ft. Myers-Naples FL,57
Denver CO,57
Seattle-Tacoma WA,57
Pittsburgh PA,57
Oklahoma City OK,57
Grand Rapids-Kalamazoo-Battle Creek MI,57
Springfield-Holyoke MA,56
Champaign & Springfield-Decatur IL,56
Binghamton NY,56
Nashville TN,56
Cincinnati OH,56
Charlottesville VA,56
Topeka KS,55
Sioux Falls(Mitchell) SD,55
Buffalo NY,55
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
Reno NV,55
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Roanoke-Lynchburg VA,54
Austin TX,54
Lansing MI,53
Chico-Redding CA,52
Charleston-Huntington WV,52
Minneapolis-St. Paul MN,52
Ft. Smith-Fayetteville-Springdale-Rogers AR,51
Peoria-Bloomington IL,51
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,51
Wichita-Hutchinson KS,50
Lincoln & Hastings-Kearney NE,50
Spokane WA,49
Yakima-Pasco-Richland-Kennewick WA,49
El Paso TX,48
Salt Lake City UT,48
Evansville IN,47
Des Moines-Ames IA,47
South Bend-Elkhart IN,47
Portland-Auburn ME,47
Tulsa OK,46
Davenport IA-Rock Island-Moline IL,46
Omaha NE,45
Green Bay-Appleton WI,45
Burlington VT-Plattsburgh NY,44
Madison WI,44
Knoxville TN,43
Fargo-Valley City ND,42
Tri-Cities TN-VA,42
Boise ID,42
La Crosse-Eau Claire WI,41
Harlingen-Weslaco-Brownsville-McAllen TX,41
Springfield MO,41
Eugene OR,40
Johnstown-Altoona PA,39
Portland OR,38
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for mariah carey
Town/City,mariah carey
Atlanta,100
Reston,98
New York,93
Philadelphia,92
Richardson,92
Miami,92
Los Angeles,91
Irvine,89
Baltimore,88
Tampa,86
Orlando,86
Herndon,84
St. Louis,83
Washington,82
Pleasanton,81



Top searches for mariah carey
mariah carey christmas,100
christmas,100
mariah carey obsessed,75
obsessed,70
we belong together,65
beautiful,45
mariah carey beautiful,45
beyonce,45
nicki minaj,40
mariah carey hero,40
hero,40
mariah carey songs,40
eminem,35
bye bye,35
mariah carey live,30
rihanna,30
whitney houston,30
without you,20
fantasy mariah carey,20
usher,15
angels cry,15
mariah carey karaoke,15
christina aguilera,15
touch my body,15
diss,15
alicia keys,15
christmas songs,15
the dream,15
celine dion,10
boyz 2 men,10
forever mariah carey,10
ciara,10
heartbreaker mariah carey,10
heartbreaker,10
when you believe,10
shake it off,10
keyshia cole,10
love songs,10
ariana grande,10
mariah carey honey,10
emotions mariah carey,10
mariah carey instrumental,10
mary j blige,10
monica,10
breakdown mariah carey,10



Rising searches for mariah carey
bye bye,Breakout
mariah carey obsessed,Breakout
nicki minaj,Breakout
obsessed,Breakout
eminem,+1,350%
beautiful,+550%
mariah carey beautiful,+500%
rihanna,+200%
we belong together,+110%
without you,+80%



