YouTube Search interest: evanescence
United States; Jan 2008 - Jul 2015

Interest over time
Week,evanescence
2009-02-08 - 2009-02-14,60
2009-02-15 - 2009-02-21,60
2009-02-22 - 2009-02-28,62
2009-03-01 - 2009-03-07,58
2009-03-08 - 2009-03-14,63
2009-03-15 - 2009-03-21,62
2009-03-22 - 2009-03-28,66
2009-03-29 - 2009-04-04,60
2009-04-05 - 2009-04-11,62
2009-04-12 - 2009-04-18,65
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,61
2009-05-03 - 2009-05-09,65
2009-05-10 - 2009-05-16,66
2009-05-17 - 2009-05-23,66
2009-05-24 - 2009-05-30,63
2009-05-31 - 2009-06-06,64
2009-06-07 - 2009-06-13,62
2009-06-14 - 2009-06-20,68
2009-06-21 - 2009-06-27,65
2009-06-28 - 2009-07-04,61
2009-07-05 - 2009-07-11,57
2009-07-12 - 2009-07-18,64
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,62
2009-08-02 - 2009-08-08,59
2009-08-09 - 2009-08-15,60
2009-08-16 - 2009-08-22,64
2009-08-23 - 2009-08-29,62
2009-08-30 - 2009-09-05,62
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,60
2009-09-27 - 2009-10-03,60
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,63
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,62
2009-11-15 - 2009-11-21,60
2009-11-22 - 2009-11-28,55
2009-11-29 - 2009-12-05,58
2009-12-06 - 2009-12-12,59
2009-12-13 - 2009-12-19,59
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,56
2010-01-03 - 2010-01-09,56
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,58
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,57
2010-02-28 - 2010-03-06,63
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,55
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,58
2010-04-25 - 2010-05-01,62
2010-05-02 - 2010-05-08,61
2010-05-09 - 2010-05-15,61
2010-05-16 - 2010-05-22,64
2010-05-23 - 2010-05-29,58
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,59
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,61
2010-07-11 - 2010-07-17,63
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,60
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,57
2010-08-15 - 2010-08-21,58
2010-08-22 - 2010-08-28,56
2010-08-29 - 2010-09-04,60
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,61
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,61
2010-10-24 - 2010-10-30,60
2010-10-31 - 2010-11-06,57
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,60
2010-12-12 - 2010-12-18,56
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,52
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,58
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,54
2011-03-06 - 2011-03-12,57
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,52
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,55
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,56
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,76
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,68
2011-09-11 - 2011-09-17,78
2011-09-18 - 2011-09-24,76
2011-09-25 - 2011-10-01,70
2011-10-02 - 2011-10-08,80
2011-10-09 - 2011-10-15,100
2011-10-16 - 2011-10-22,88
2011-10-23 - 2011-10-29,74
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,66
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,63
2011-12-18 - 2011-12-24,62
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,59
2012-01-15 - 2012-01-21,63
2012-01-22 - 2012-01-28,79
2012-01-29 - 2012-02-04,73
2012-02-05 - 2012-02-11,58
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,51
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,52
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,33
2012-12-30 - 2013-01-05,37
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,38
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,35
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,36
2013-06-30 - 2013-07-06,34
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,34
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,35
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,33
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,29
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,26
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,27
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,26
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,26
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,23
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,28
2014-09-14 - 2014-09-20,27
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,25
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,24
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,24
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,26
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,21
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,22


Top sub-regions for evanescence
Sub-region,evanescence
Kentucky,100
West Virginia,99
Wyoming,97
Arkansas,95
Missouri,95
Idaho,94
Maine,93
Montana,92
South Dakota,92
Virginia,91
Oklahoma,90
Indiana,89
Ohio,89
New Mexico,87
Tennessee,86
Kansas,85
Utah,84
Texas,83
North Dakota,82
Florida,82
Colorado,81
Arizona,81
Pennsylvania,81
Wisconsin,80
Michigan,80
Nebraska,80
New Hampshire,78
Iowa,78
Alabama,77
South Carolina,76
Mississippi,75
North Carolina,75
Louisiana,75
Nevada,74
Georgia,73
Alaska,71
Illinois,70
Washington,70
California,69
New York,68
Minnesota,67
Rhode Island,67
Vermont,65
Connecticut,64
Oregon,63
Massachusetts,63
New Jersey,62
Delaware,62
Maryland,60
District of Columbia,56
Hawaii,44


Top metros for evanescence
Metro,evanescence
Springfield MO,100
Charleston-Huntington WV,98
Tri-Cities TN-VA,97
Ft. Wayne IN,88
Greenville-Spartanburg SC-Asheville NC-Anderson SC,87
Boise ID,87
Lexington KY,86
Chattanooga TN,85
Portland-Auburn ME,84
Wilkes Barre-Scranton PA,84
Peoria-Bloomington IL,83
Colorado Springs-Pueblo CO,82
Reno NV,81
Flint-Saginaw-Bay City MI,81
Dayton OH,80
Louisville KY,80
El Paso TX,80
Oklahoma City OK,78
Sioux Falls(Mitchell) SD,78
Albuquerque-Santa Fe NM,77
Kansas City MO,76
Green Bay-Appleton WI,75
Nashville TN,75
Knoxville TN,75
Wichita-Hutchinson KS,75
Harrisburg-Lancaster-Lebanon-York PA,74
Cleveland-Akron (Canton) OH,74
Indianapolis IN,74
Salt Lake City UT,74
Orlando-Daytona Beach-Melbourne FL,73
Grand Rapids-Kalamazoo-Battle Creek MI,73
South Bend-Elkhart IN,73
Spokane WA,72
Washington DC (Hagerstown MD),72
Roanoke-Lynchburg VA,71
Albany-Schenectady-Troy NY,71
Greenville-New Bern-Washington NC,71
Pittsburgh PA,71
Phoenix AZ,70
Toledo OH,70
Huntsville-Decatur (Florence) AL,70
Columbus OH,70
St. Louis MO,70
Waco-Temple-Bryan TX,68
Tucson (Sierra Vista) AZ,68
Tampa-St. Petersburg (Sarasota) FL,68
Little Rock-Pine Bluff AR,65
Buffalo NY,65
Birmingham AL,65
Cincinnati OH,65
San Francisco-Oakland-San Jose CA,65
Denver CO,65
Mobile AL-Pensacola (Ft. Walton Beach) FL,64
New Orleans LA,64
Omaha NE,64
Dallas-Ft. Worth TX,63
Syracuse NY,63
San Antonio TX,63
Burlington VT-Plattsburgh NY,61
Tulsa OK,60
Jacksonville FL,60
Providence RI-New Bedford MA,60
Fresno-Visalia CA,59
Raleigh-Durham (Fayetteville) NC,59
Charlotte NC,59
Philadelphia PA,59
Detroit MI,59
Rochester NY,59
Greensboro-High Point-Winston Salem NC,59
Austin TX,59
Houston TX,59
Richmond-Petersburg VA,58
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Norfolk-Portsmouth-Newport News VA,57
Champaign & Springfield-Decatur IL,56
Hartford & New Haven CT,56
Madison WI,56
Las Vegas NV,56
Miami-Ft. Lauderdale FL,55
Des Moines-Ames IA,54
Chicago IL,54
West Palm Beach-Ft. Pierce FL,54
Boston MA-Manchester NH,53
Milwaukee WI,53
Atlanta GA,53
Memphis TN,53
Harlingen-Weslaco-Brownsville-McAllen TX,52
Portland OR,52
Sacramento-Stockton-Modesto CA,52
Minneapolis-St. Paul MN,52
New York NY,51
Los Angeles CA,50
Seattle-Tacoma WA,50
Columbia SC,50
Baltimore MD,50
San Diego CA,38
Honolulu HI,38
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for evanescence
Town/City,evanescence
Milpitas,100
Sterling,95
Phoenix,62
St. Louis,61
Orlando,61
Salt Lake City,59
San Antonio,59
Herndon,59
Richardson,58
Denver,55
Miami,55
Indianapolis,55
Tampa,53
Dallas,52
Las Vegas,51



Top searches for evanescence
immortal evanescence,100
my immortal,100
my immortal evanescence,100
evanescence lyrics,95
evanescence you,75
broken,30
broken evanescence,25
immortal evanescence lyrics,25
my immortal lyrics,25
going under evanescence,25
evanescence lithium,20
lithium,20
hello,15
evanescence hello,15
evanescence live,15
linkin park,15
wake me up,10
seether,10
paramore,10
missing evanescence,10
evanescence like you,10
amy lee,10
evanescence haunted,10
flyleaf,10
evanescence karaoke,10
evanescence sober,10
evanescence tourniquet,5
good enough evanescence,5
sweet sacrifice evanescence,5
broken seether,5
evanescence acoustic,5
evanescence hello lyrics,5
evanescence lithium lyrics,5
whisper evanescence,5
evanescence album,5
evanescence imaginary,5
evanescence 2011,5
evanescence lies,5



Rising searches for evanescence
immortal evanescence lyrics,Breakout
my immortal lyrics,Breakout
evanescence lyrics,+1,650%
immortal evanescence,+500%
my immortal,+500%
my immortal evanescence,+500%
going under evanescence,+300%
broken,+250%
broken evanescence,+250%
evanescence you,+160%



