YouTube Search interest: ingrid michaelson
United States; Jan 2008 - Jul 2015

Interest over time
Week,ingrid michaelson
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,72
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,67
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,74
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,73
2011-01-23 - 2011-01-29,84
2011-01-30 - 2011-02-05,73
2011-02-06 - 2011-02-12,71
2011-02-13 - 2011-02-19,81
2011-02-20 - 2011-02-26,75
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,64
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,60
2011-03-27 - 2011-04-02,58
2011-04-03 - 2011-04-09,65
2011-04-10 - 2011-04-16,60
2011-04-17 - 2011-04-23,59
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,63
2011-05-15 - 2011-05-21,64
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,58
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,65
2011-06-19 - 2011-06-25,70
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,57
2011-07-17 - 2011-07-23,54
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,64
2011-08-07 - 2011-08-13,63
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,65
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,71
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,74
2011-11-13 - 2011-11-19,85
2011-11-20 - 2011-11-26,79
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,71
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,60
2012-01-15 - 2012-01-21,63
2012-01-22 - 2012-01-28,93
2012-01-29 - 2012-02-04,90
2012-02-05 - 2012-02-11,84
2012-02-12 - 2012-02-18,81
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,67
2012-03-04 - 2012-03-10,67
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,78
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,61
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,66
2012-04-22 - 2012-04-28,76
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,68
2012-05-13 - 2012-05-19,61
2012-05-20 - 2012-05-26,66
2012-05-27 - 2012-06-02,67
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,61
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,52
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,56
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,68
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,60
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,65
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,54
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,46
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,47
2012-11-25 - 2012-12-01,52
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,46
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,49
2013-02-03 - 2013-02-09,44
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,44
2013-05-12 - 2013-05-18,41
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,51
2014-02-09 - 2014-02-15,44
2014-02-16 - 2014-02-22,33
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,51
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,49
2014-03-30 - 2014-04-05,46
2014-04-06 - 2014-04-12,65
2014-04-13 - 2014-04-19,80
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,64
2014-05-04 - 2014-05-10,71
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,72
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,75
2014-06-08 - 2014-06-14,90
2014-06-15 - 2014-06-21,80
2014-06-22 - 2014-06-28,90
2014-06-29 - 2014-07-05,91
2014-07-06 - 2014-07-12,94
2014-07-13 - 2014-07-19,88
2014-07-20 - 2014-07-26,94
2014-07-27 - 2014-08-02,91
2014-08-03 - 2014-08-09,100
2014-08-10 - 2014-08-16,92
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,92
2014-08-31 - 2014-09-06,88
2014-09-07 - 2014-09-13,86
2014-09-14 - 2014-09-20,79
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,65
2014-10-05 - 2014-10-11,67
2014-10-12 - 2014-10-18,63
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,49
2014-11-09 - 2014-11-15,50
2014-11-16 - 2014-11-22,48
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,36
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,44
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,43
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,54
2015-03-01 - 2015-03-07,36
2015-03-08 - 2015-03-14,35
2015-03-15 - 2015-03-21,38
2015-03-22 - 2015-03-28,34
2015-03-29 - 2015-04-04,35
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,33
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,36
2015-06-07 - 2015-06-13,34
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,32
2015-06-28 - 2015-07-04,34
2015-07-05 - 2015-07-11,31
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,17


Top sub-regions for ingrid michaelson
Sub-region,ingrid michaelson
Utah,100
Vermont,77
Maine,74
Idaho,71
Massachusetts,71
Wisconsin,68
New Hampshire,68
Minnesota,66
Montana,58
Rhode Island,56
Pennsylvania,55
Connecticut,54
Iowa,54
Michigan,54
Washington,54
Nebraska,51
Colorado,51
Indiana,49
South Dakota,49
Ohio,48
District of Columbia,48
North Dakota,48
New York,48
Missouri,48
California,48
Oregon,48
Maryland,46
Kansas,45
Arizona,44
Delaware,43
Illinois,43
New Jersey,42
Hawaii,42
Alaska,40
Tennessee,39
North Carolina,39
New Mexico,37
Kentucky,37
Texas,36
Virginia,33
South Carolina,33
Georgia,33
Oklahoma,33
Alabama,33
Nevada,33
Florida,32
West Virginia,31
Arkansas,30
Louisiana,26
Mississippi,24
Wyoming,0


Top metros for ingrid michaelson
Metro,ingrid michaelson
Salt Lake City UT,100
Boston MA-Manchester NH,71
Minneapolis-St. Paul MN,65
Hartford & New Haven CT,63
Seattle-Tacoma WA,58
Los Angeles CA,54
Columbus OH,53
Philadelphia PA,52
Pittsburgh PA,49
Detroit MI,48
New York NY,47
Denver CO,46
Baltimore MD,45
Sacramento-Stockton-Modesto CA,45
San Diego CA,44
Raleigh-Durham (Fayetteville) NC,44
Chicago IL,43
Kansas City MO,42
St. Louis MO,42
Phoenix AZ,40
Portland OR,39
Orlando-Daytona Beach-Melbourne FL,38
Cleveland-Akron (Canton) OH,38
Dallas-Ft. Worth TX,36
Atlanta GA,35
Washington DC (Hagerstown MD),33
San Francisco-Oakland-San Jose CA,33
Tampa-St. Petersburg (Sarasota) FL,32
Houston TX,29
Miami-Ft. Lauderdale FL,23
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for ingrid michaelson
Town/City,ingrid michaelson
Madison,100
Salt Lake City,92
Minneapolis,77
Boston,76
Portland,65
Seattle,65
San Francisco,62
Washington,61
San Diego,60
Austin,59
Milwaukee,59
Columbus,58
Los Angeles,57
Denver,55
Philadelphia,55



Top searches for ingrid michaelson
you and i,100
ingrid michaelson lyrics,75
sara bareilles,25
be ok,25
parachute,25
parachute ingrid michaelson,25
ingrid michaelson maybe,25
everybody ingrid michaelson,25
chain ingrid michaelson,20
winter song,20
the chain,20
ingrid michaelson cover,20
ingrid michaelson breathing,15
keep breathing,15
ingrid michaelson live,15
regina spektor,10
ingrid michaelson karaoke,10
turn to stone,10
breakable ingrid michaelson,10
home ingrid michaelson,10
fire ingrid michaelson,10
ingrid michaelson ghost,5
soldier ingrid michaelson,5
boys chase girls,5
be okay,5
joshua radin,5
be ok lyrics,5
ingrid michaelson afterlife,5
ingrid michaelson album,5
ingrid michaelson creep,5



Rising searches for ingrid michaelson
be ok,Breakout
chain ingrid michaelson,Breakout
everybody ingrid michaelson,Breakout
ingrid michaelson cover,Breakout
ingrid michaelson lyrics,Breakout
ingrid michaelson maybe,Breakout
parachute,Breakout
parachute ingrid michaelson,Breakout
sara bareilles,Breakout
the chain,Breakout



