YouTube Search interest: faith hill
United States; Jan 2008 - Jul 2015

Interest over time
Week,faith hill
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,76
2009-12-06 - 2009-12-12,77
2009-12-13 - 2009-12-19,84
2009-12-20 - 2009-12-26,88
2009-12-27 - 2010-01-02,49
2010-01-03 - 2010-01-09,48
2010-01-10 - 2010-01-16,49
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,47
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,47
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,40
2010-02-28 - 2010-03-06,46
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,41
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,42
2010-04-11 - 2010-04-17,39
2010-04-18 - 2010-04-24,45
2010-04-25 - 2010-05-01,48
2010-05-02 - 2010-05-08,43
2010-05-09 - 2010-05-15,40
2010-05-16 - 2010-05-22,35
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,41
2010-06-13 - 2010-06-19,42
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,36
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,38
2010-07-18 - 2010-07-24,42
2010-07-25 - 2010-07-31,40
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,41
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,41
2010-09-05 - 2010-09-11,42
2010-09-12 - 2010-09-18,40
2010-09-19 - 2010-09-25,40
2010-09-26 - 2010-10-02,42
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,44
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,44
2010-10-31 - 2010-11-06,53
2010-11-07 - 2010-11-13,53
2010-11-14 - 2010-11-20,58
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,71
2010-12-05 - 2010-12-11,77
2010-12-12 - 2010-12-18,75
2010-12-19 - 2010-12-25,84
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,56
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,58
2011-02-06 - 2011-02-12,86
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,57
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,54
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,44
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,57
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,47
2011-06-19 - 2011-06-25,45
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,44
2011-07-24 - 2011-07-30,46
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,48
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,47
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,88
2011-11-13 - 2011-11-19,70
2011-11-20 - 2011-11-26,57
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,73
2011-12-11 - 2011-12-17,80
2011-12-18 - 2011-12-24,100
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,51
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,39
2012-03-11 - 2012-03-17,36
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,35
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,31
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,35
2012-06-10 - 2012-06-16,34
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,36
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,36
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,32
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,41
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,36
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,50
2012-11-11 - 2012-11-17,50
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,69
2012-12-09 - 2012-12-15,64
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,28
2013-01-27 - 2013-02-02,30
2013-02-03 - 2013-02-09,29
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,28
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,26
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,27
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,22
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,23
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,23
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,51
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,55
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,22
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,28
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,21
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,20
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,17
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,44
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,19


Top sub-regions for faith hill
Sub-region,faith hill
West Virginia,100
Kentucky,88
South Dakota,82
North Dakota,76
Maine,75
Arkansas,72
Nebraska,72
Ohio,71
Iowa,71
Wyoming,70
Tennessee,70
Mississippi,68
Indiana,67
Montana,67
Kansas,66
Missouri,66
Idaho,64
Alabama,64
Utah,63
South Carolina,62
Wisconsin,62
Oklahoma,60
North Carolina,59
New Mexico,59
Michigan,57
Louisiana,56
Pennsylvania,54
New Hampshire,53
Minnesota,53
Georgia,52
Texas,49
Vermont,48
Colorado,48
Alaska,47
Arizona,47
Florida,43
Washington,42
Delaware,40
Massachusetts,39
Illinois,38
Nevada,38
Oregon,38
Rhode Island,37
Virginia,37
District of Columbia,36
Connecticut,36
Maryland,36
New York,36
Hawaii,35
New Jersey,32
California,28


Top metros for faith hill
Metro,faith hill
Lexington KY,100
Nashville TN,93
Louisville KY,88
Greenville-Spartanburg SC-Asheville NC-Anderson SC,81
Wilkes Barre-Scranton PA,80
Pittsburgh PA,79
Kansas City MO,78
Greensboro-High Point-Winston Salem NC,76
Columbus OH,76
Cleveland-Akron (Canton) OH,75
Indianapolis IN,75
Charlotte NC,74
Cincinnati OH,73
Salt Lake City UT,72
Grand Rapids-Kalamazoo-Battle Creek MI,72
St. Louis MO,64
Tampa-St. Petersburg (Sarasota) FL,59
Detroit MI,59
Norfolk-Portsmouth-Newport News VA,58
Raleigh-Durham (Fayetteville) NC,57
San Antonio TX,56
Atlanta GA,56
Minneapolis-St. Paul MN,56
Austin TX,53
Dallas-Ft. Worth TX,52
Phoenix AZ,52
Denver CO,48
Seattle-Tacoma WA,48
Hartford & New Haven CT,47
Orlando-Daytona Beach-Melbourne FL,47
Boston MA-Manchester NH,47
Baltimore MD,46
Philadelphia PA,44
Sacramento-Stockton-Modesto CA,43
Portland OR,43
Houston TX,43
Chicago IL,34
Washington DC (Hagerstown MD),33
Miami-Ft. Lauderdale FL,33
New York NY,33
San Diego CA,30
Los Angeles CA,29
San Francisco-Oakland-San Jose CA,20
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for faith hill
Town/City,faith hill
Louisville,100
Nashville,99
Salt Lake City,94
Cincinnati,93
Columbus,89
Indianapolis,86
St. Louis,86
Herndon,83
Oklahoma City,81
Tampa,81
San Antonio,76
Atlanta,76
Richardson,75
Dallas,71
Phoenix,71



Top searches for faith hill
tim mcgraw,100
faith hill lyrics,65
i need you,35
faith hill christmas,30
breathe,30
breathe faith hill,30
its your love,25
faith hill songs,20
this kiss,20
faith hill cry,15
shania twain,10
faith hill live,10
faith evans,10
martina mcbride,10
faith hill karaoke,5
lets make love,5
wild one,5
reba mcentire,5
breath faith hill,5
faith hill mississippi,5
leann rimes,5
lost faith hill,5
fireflies faith hill,5
just breathe,5
faith hill stronger,5



Rising searches for faith hill
faith hill lyrics,+2,300%
its your love,+1,850%
breathe faith hill,+350%
faith hill songs,+350%
breathe,+300%
i need you,+300%
this kiss,+250%
faith hill cry,+120%
tim mcgraw,+110%
faith hill christmas,+100%



