YouTube Search interest: gorilla zoe
United States; Jan 2008 - Jul 2015

Interest over time
Week,gorilla zoe
Alaska,59
Nebraska,58
Kansas,58
Louisiana,56
Oklahoma,52
Texas,50
New Mexico,50
North Carolina,50
Florida,48
Colorado,48
Illinois,48
West Virginia,45
Idaho,38
Arizona,38
Washington,36
Vermont,36
Maine,35
District of Columbia,34
Hawaii,30
New Hampshire,29
Utah,28
Oregon,28
Virginia,27
Pennsylvania,25
Nevada,24
Maryland,23
Massachusetts,21
California,21
Rhode Island,20
Connecticut,17
New York,17
New Jersey,17
Delaware,16


Top metros for gorilla zoe
Metro,gorilla zoe
Jackson MS,100
Green Bay-Appleton WI,64
Des Moines-Ames IA,61
Birmingham AL,59
Memphis TN,57
Little Rock-Pine Bluff AR,56
St. Louis MO,55
Flint-Saginaw-Bay City MI,54
Louisville KY,54
Atlanta GA,53
Milwaukee WI,51
Cincinnati OH,51
Columbia SC,51
Greenville-Spartanburg SC-Asheville NC-Anderson SC,50
Madison WI,50
Lexington KY,48
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Omaha NE,46
Cleveland-Akron (Canton) OH,45
Indianapolis IN,44
Oklahoma City OK,44
Minneapolis-St. Paul MN,43
Detroit MI,42
Kansas City MO,41
Dallas-Ft. Worth TX,40
West Palm Beach-Ft. Pierce FL,39
Columbus OH,38
Nashville TN,38
Tampa-St. Petersburg (Sarasota) FL,37
Orlando-Daytona Beach-Melbourne FL,36
Denver CO,35
Grand Rapids-Kalamazoo-Battle Creek MI,35
Charlotte NC,33
Chicago IL,32
Raleigh-Durham (Fayetteville) NC,31
Pittsburgh PA,30
San Antonio TX,29
Austin TX,29
Phoenix AZ,27
Seattle-Tacoma WA,24
Houston TX,23
Salt Lake City UT,21
Miami-Ft. Lauderdale FL,21
Sacramento-Stockton-Modesto CA,20
Washington DC (Hagerstown MD),20
Philadelphia PA,16
Baltimore MD,16
Portland OR,16
Boston MA-Manchester NH,15
San Diego CA,14
Los Angeles CA,12
San Francisco-Oakland-San Jose CA,11
New York NY,9
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for gorilla zoe
Town/City,gorilla zoe
Jackson,100
Atlanta,79
St. Louis,73
Memphis,64
Richardson,62
Cincinnati,59
Milwaukee,56
Louisville,55
Tampa,49
Dallas,46
Ashburn,46
Detroit,46
Columbus,45
Orlando,45
Indianapolis,44



Top searches for gorilla zoe
lost gorilla zoe,100
lost,100
gorilla zoe echo,85
echo,85
i got it,40
new gorilla zoe,20
gorilla zoe money,20
what it is,20
hood nigga,15
gorilla zoe paper,15
echo lyrics,15
gorilla zoe baddest,10
juice box,10
gorilla zoe instrumental,10
gorilla zoe twisted,10
so sick,5
gucci man,5
gorilla zoe 2011,5
gorilla zoe 2010,5
gorilla zoe blowed,5
so fly,5
yung joc,5
crazy gorilla zoe,5
gorilla zoe last,5
young joc,5



Rising searches for gorilla zoe
echo,Breakout
gorilla zoe echo,Breakout
i got it,Breakout
lost,Breakout
lost gorilla zoe,Breakout
what it is,Breakout
new gorilla zoe,+200%
gorilla zoe paper,+70%



