YouTube Search interest: sheryl crow
United States; Jan 2008 - Jul 2015

Interest over time
Week,sheryl crow
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,33
2013-11-17 - 2013-11-23,33
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,30
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,28
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,28
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,35
2014-02-23 - 2014-03-01,32
2014-03-02 - 2014-03-08,33
2014-03-09 - 2014-03-15,31
2014-03-16 - 2014-03-22,33
2014-03-23 - 2014-03-29,38
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,26
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,24
2014-11-02 - 2014-11-08,25
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,27
2014-12-21 - 2014-12-27,26
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,28
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,27
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,27
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,30
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,29
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,28
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,22


Top sub-regions for sheryl crow
Sub-region,sheryl crow
West Virginia,100
Kentucky,89
South Dakota,89
Montana,82
Maine,81
North Dakota,79
Wyoming,73
Iowa,73
Indiana,72
Tennessee,70
Arkansas,70
Missouri,68
Ohio,66
Vermont,65
Oklahoma,65
Alabama,62
Wisconsin,62
New Mexico,61
New Hampshire,61
South Carolina,60
Idaho,59
Nebraska,59
Michigan,59
Pennsylvania,58
Minnesota,57
Kansas,55
Mississippi,54
North Carolina,54
Colorado,54
Arizona,51
Massachusetts,49
Alaska,49
Texas,48
Washington,48
Illinois,48
Rhode Island,47
Connecticut,46
Georgia,45
Oregon,44
Utah,44
Louisiana,43
Florida,43
Nevada,41
New York,41
Delaware,40
Hawaii,39
New Jersey,38
Virginia,37
Maryland,37
California,36
District of Columbia,32


Top metros for sheryl crow
Metro,sheryl crow
Indianapolis IN,100
Kansas City MO,91
Columbus OH,89
Nashville TN,87
Cincinnati OH,87
Cleveland-Akron (Canton) OH,86
Pittsburgh PA,83
Tampa-St. Petersburg (Sarasota) FL,77
St. Louis MO,76
Charlotte NC,74
Denver CO,71
Minneapolis-St. Paul MN,70
Seattle-Tacoma WA,69
Hartford & New Haven CT,67
Raleigh-Durham (Fayetteville) NC,65
Phoenix AZ,64
Boston MA-Manchester NH,63
Baltimore MD,63
Atlanta GA,57
Orlando-Daytona Beach-Melbourne FL,56
Dallas-Ft. Worth TX,55
Detroit MI,55
Sacramento-Stockton-Modesto CA,55
Houston TX,53
Portland OR,53
Philadelphia PA,51
Chicago IL,50
New York NY,47
Washington DC (Hagerstown MD),43
Los Angeles CA,42
San Diego CA,40
San Francisco-Oakland-San Jose CA,39
Miami-Ft. Lauderdale FL,34
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for sheryl crow
Town/City,sheryl crow
Louisville,100
Indianapolis,98
Denver,87
St. Louis,86
Columbus,79
Minneapolis,79
San Antonio,78
Phoenix,77
Portland,77
Austin,67
Richardson,66
Boston,64
Seattle,63
Houston,61
Atlanta,60



Top searches for sheryl crow
kid rock,100
sheryl crow picture,90
picture,85
picture kid rock,85
picture lyrics,20
strong enough,15
sheryl crow easy,10
collide,10
sheryl crow live,10
sheryl crow home,5
sheryl crow karaoke,5
all summer long,5
cheryl crow,5
steve mcqueen,5
kid rock cowboy,0



Rising searches for sheryl crow
collide,Breakout
picture lyrics,Breakout
sheryl crow easy,Breakout
sheryl crow live,Breakout
picture kid rock,+1,400%
sheryl crow picture,+950%
picture,+750%
kid rock,+450%
strong enough,+250%
sheryl crow home,+50%



