YouTube Search interest: twista
United States; Jan 2008 - Jul 2015

Interest over time
Week,twista
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,22
2012-11-11 - 2012-11-17,21
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,20
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,19
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,21
2013-02-10 - 2013-02-16,21
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,19
2013-03-17 - 2013-03-23,19
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,19
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,19
2013-04-28 - 2013-05-04,19
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,18
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,16
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,17
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,15
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,15
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,13
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,15
2014-01-19 - 2014-01-25,12
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,14
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,14
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,12
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,13
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,12
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,12
2014-10-05 - 2014-10-11,12
2014-10-12 - 2014-10-18,11
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,11
2014-11-16 - 2014-11-22,10
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,12
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,10
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,9
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,9
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,9
2015-04-05 - 2015-04-11,7
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,9
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,9


Top sub-regions for twista
Sub-region,twista
Mississippi,100
Illinois,94
Indiana,76
Wisconsin,69
Arkansas,67
Nebraska,65
Oklahoma,64
Alabama,62
Missouri,61
Minnesota,58
Georgia,56
Iowa,55
Louisiana,55
Ohio,55
New Mexico,54
Kansas,53
Michigan,53
Colorado,52
Tennessee,52
Texas,51
South Carolina,51
Arizona,49
Nevada,48
Kentucky,48
Florida,46
Washington,43
North Carolina,43
South Dakota,42
Wyoming,41
North Dakota,40
District of Columbia,39
Alaska,36
Hawaii,35
West Virginia,35
California,34
Maryland,33
Vermont,32
Montana,31
Pennsylvania,29
Oregon,29
Virginia,28
Delaware,28
Idaho,28
New York,27
Utah,26
New Jersey,26
Connecticut,25
Massachusetts,25
Rhode Island,24
New Hampshire,23
Maine,22


Top metros for twista
Metro,twista
Jackson MS,100
Chicago IL,91
Memphis TN,71
Milwaukee WI,70
Indianapolis IN,68
Little Rock-Pine Bluff AR,66
Omaha NE,65
Champaign & Springfield-Decatur IL,64
Madison WI,63
Birmingham AL,60
Oklahoma City OK,59
Louisville KY,55
St. Louis MO,55
Minneapolis-St. Paul MN,54
Las Vegas NV,52
West Palm Beach-Ft. Pierce FL,52
Kansas City MO,52
Albuquerque-Santa Fe NM,48
Dallas-Ft. Worth TX,48
Grand Rapids-Kalamazoo-Battle Creek MI,48
Cleveland-Akron (Canton) OH,47
Denver CO,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Cincinnati OH,45
Atlanta GA,44
San Antonio TX,44
Detroit MI,44
Phoenix AZ,42
Tampa-St. Petersburg (Sarasota) FL,42
Columbus OH,42
Raleigh-Durham (Fayetteville) NC,40
Nashville TN,39
Fresno-Visalia CA,38
New Orleans LA,37
Sacramento-Stockton-Modesto CA,37
Jacksonville FL,36
Seattle-Tacoma WA,36
Greensboro-High Point-Winston Salem NC,36
Orlando-Daytona Beach-Melbourne FL,35
Norfolk-Portsmouth-Newport News VA,34
Austin TX,34
Houston TX,33
Charlotte NC,32
Miami-Ft. Lauderdale FL,32
Honolulu HI,30
Pittsburgh PA,29
San Diego CA,29
Greenville-Spartanburg SC-Asheville NC-Anderson SC,29
Philadelphia PA,28
Los Angeles CA,28
Baltimore MD,27
Washington DC (Hagerstown MD),25
Salt Lake City UT,24
Boston MA-Manchester NH,22
Portland OR,22
New York NY,21
Hartford & New Haven CT,19
San Francisco-Oakland-San Jose CA,19
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for twista
Town/City,twista
Jackson,100
Chicago,85
Milwaukee,81
Indianapolis,69
Memphis,64
Omaha,59
Oklahoma City,58
Minneapolis,57
St. Louis,57
Richardson,52
Atlanta,51
Dallas,49
Phoenix,49
Las Vegas,48
Louisville,47



Top searches for twista
wetter twista,100
wetter,100
chris brown twista,80
make a movie,60
busta rhymes,35
slow jamz,35
twista slow jamz,35
twista overnight,30
do you twista,30
new twista,30
fire twista,25
do or die,25
twista adrenaline rush,20
twista daddy,20
twista instrumental,20
tech n9ne,20
yellow light twista,15
yelawolf,15
twista overnight celeb,15
twista i do,15
twista freestyle,15
wetter twista lyrics,15
yo body twista,15
hope twista,15
overnight celebrity- twista,15
wetter lil wayne,10
twista wetter video,10
twister,10



Rising searches for twista
busta rhymes,Breakout
make a movie,Breakout
wetter,Breakout
wetter twista,Breakout
chris brown twista,+900%
slow jamz,+750%
twista slow jamz,+750%
do you twista,+300%
twista overnight,+190%



