YouTube Search interest: monica
United States; Jan 2008 - Jul 2015

Interest over time
Week,monica
2009-04-05 - 2009-04-11,28
2009-04-12 - 2009-04-18,30
2009-04-19 - 2009-04-25,32
2009-04-26 - 2009-05-02,29
2009-05-03 - 2009-05-09,36
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,39
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,34
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,44
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,37
2009-07-19 - 2009-07-25,41
2009-07-26 - 2009-08-01,39
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,35
2009-08-16 - 2009-08-22,33
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,34
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,34
2009-10-04 - 2009-10-10,39
2009-10-11 - 2009-10-17,35
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,44
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,46
2009-11-15 - 2009-11-21,51
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,46
2009-12-06 - 2009-12-12,46
2009-12-13 - 2009-12-19,48
2009-12-20 - 2009-12-26,40
2009-12-27 - 2010-01-02,46
2010-01-03 - 2010-01-09,46
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,54
2010-01-24 - 2010-01-30,54
2010-01-31 - 2010-02-06,51
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,70
2010-02-28 - 2010-03-06,76
2010-03-07 - 2010-03-13,79
2010-03-14 - 2010-03-20,78
2010-03-21 - 2010-03-27,100
2010-03-28 - 2010-04-03,88
2010-04-04 - 2010-04-10,83
2010-04-11 - 2010-04-17,79
2010-04-18 - 2010-04-24,79
2010-04-25 - 2010-05-01,73
2010-05-02 - 2010-05-08,75
2010-05-09 - 2010-05-15,72
2010-05-16 - 2010-05-22,67
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,64
2010-06-06 - 2010-06-12,64
2010-06-13 - 2010-06-19,65
2010-06-20 - 2010-06-26,61
2010-06-27 - 2010-07-03,69
2010-07-04 - 2010-07-10,68
2010-07-11 - 2010-07-17,80
2010-07-18 - 2010-07-24,86
2010-07-25 - 2010-07-31,85
2010-08-01 - 2010-08-07,79
2010-08-08 - 2010-08-14,81
2010-08-15 - 2010-08-21,77
2010-08-22 - 2010-08-28,77
2010-08-29 - 2010-09-04,74
2010-09-05 - 2010-09-11,64
2010-09-12 - 2010-09-18,64
2010-09-19 - 2010-09-25,62
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,54
2010-10-10 - 2010-10-16,53
2010-10-17 - 2010-10-23,53
2010-10-24 - 2010-10-30,52
2010-10-31 - 2010-11-06,47
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,37
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,42
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,41
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,39
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,37
2011-05-01 - 2011-05-07,35
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,38
2011-05-22 - 2011-05-28,37
2011-05-29 - 2011-06-04,34
2011-06-05 - 2011-06-11,38
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,33
2011-07-03 - 2011-07-09,34
2011-07-10 - 2011-07-16,39
2011-07-17 - 2011-07-23,35
2011-07-24 - 2011-07-30,36
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,32
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,33
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,41
2011-09-25 - 2011-10-01,41
2011-10-02 - 2011-10-08,39
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,38
2011-11-06 - 2011-11-12,38
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,34
2011-12-04 - 2011-12-10,31
2011-12-11 - 2011-12-17,31
2011-12-18 - 2011-12-24,30
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,28
2012-01-08 - 2012-01-14,31
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,39
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,36
2012-04-22 - 2012-04-28,40
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,33
2012-05-13 - 2012-05-19,31
2012-05-20 - 2012-05-26,31
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,36
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,27
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,24
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,20
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,19
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,19
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,17
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,20
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,16
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,17
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,16
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,17
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,16
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,15
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,14
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,15
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,14
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,14
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,13
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,15
2014-06-01 - 2014-06-07,14
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,14
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,15
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,12
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,12
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,14
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,15
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,15


Top sub-regions for monica
Sub-region,monica
Mississippi,100
Louisiana,92
Georgia,76
Alabama,71
South Carolina,64
District of Columbia,57
North Carolina,55
Virginia,50
Maryland,50
Florida,48
Delaware,46
Arkansas,45
Tennessee,42
Missouri,39
Texas,38
Ohio,37
Michigan,36
New Jersey,36
Pennsylvania,35
Illinois,34
California,34
Kentucky,34
New York,33
Indiana,32
Vermont,28
Connecticut,27
Oklahoma,27
Massachusetts,25
Wisconsin,25
Nevada,24
Kansas,23
Rhode Island,22
Nebraska,21
Arizona,21
Minnesota,21
Washington,21
Hawaii,20
Colorado,20
Iowa,18
West Virginia,18
New Mexico,17
Alaska,16
Wyoming,15
South Dakota,15
Oregon,15
North Dakota,13
Utah,13
New Hampshire,13
Maine,12
Montana,12
Idaho,12


Top metros for monica
Metro,monica
Jackson MS,100
Albany GA,98
Montgomery (Selma) AL,95
Macon GA,74
New Orleans LA,74
Tallahassee FL-Thomasville GA,74
Baton Rouge LA,73
Augusta GA,72
Memphis TN,69
Shreveport LA,69
Birmingham AL,67
Columbia SC,65
Savannah GA,62
Lafayette LA,61
Florence-Myrtle Beach SC,59
Atlanta GA,57
West Palm Beach-Ft. Pierce FL,55
Charleston SC,55
Columbus GA,54
Raleigh-Durham (Fayetteville) NC,48
Greenville-New Bern-Washington NC,47
Richmond-Petersburg VA,44
Baltimore MD,44
Little Rock-Pine Bluff AR,43
Miami-Ft. Lauderdale FL,42
Jacksonville FL,41
Norfolk-Portsmouth-Newport News VA,41
Tyler-Longview(Lufkin & Nacogdoches) TX,40
Washington DC (Hagerstown MD),40
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Greensboro-High Point-Winston Salem NC,40
Philadelphia PA,37
Charlotte NC,35
Dallas-Ft. Worth TX,34
Louisville KY,34
Detroit MI,34
Waco-Temple-Bryan TX,33
Tampa-St. Petersburg (Sarasota) FL,33
Houston TX,33
St. Louis MO,32
Orlando-Daytona Beach-Melbourne FL,32
Cleveland-Akron (Canton) OH,31
San Francisco-Oakland-San Jose CA,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,31
Chicago IL,30
Nashville TN,30
New York NY,30
Columbus OH,29
Los Angeles CA,29
Toledo OH,28
Milwaukee WI,28
Cincinnati OH,28
Roanoke-Lynchburg VA,27
Indianapolis IN,27
Kansas City MO,27
Flint-Saginaw-Bay City MI,26
Dayton OH,25
Rochester NY,24
Pittsburgh PA,24
Oklahoma City OK,23
Syracuse NY,22
Grand Rapids-Kalamazoo-Battle Creek MI,22
Buffalo NY,21
Sacramento-Stockton-Modesto CA,21
Harrisburg-Lancaster-Lebanon-York PA,20
Tulsa OK,20
Albany-Schenectady-Troy NY,20
Hartford & New Haven CT,20
Las Vegas NV,20
Omaha NE,20
San Antonio TX,20
Boston MA-Manchester NH,19
Seattle-Tacoma WA,19
Providence RI-New Bedford MA,19
Fresno-Visalia CA,19
San Diego CA,18
Madison WI,18
Wilkes Barre-Scranton PA,18
Phoenix AZ,18
Denver CO,18
Austin TX,18
Honolulu HI,18
Minneapolis-St. Paul MN,17
Portland OR,15
Salt Lake City UT,10
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for monica
Town/City,monica
Jackson,100
New Orleans,91
Delray Beach,89
Montgomery,89
Atlanta,75
Memphis,70
Baltimore,66
Columbia,66
Detroit,59
Norfolk,54
Ashburn,50
Philadelphia,48
Washington,45
Jacksonville,45
Tampa,44



Top searches for monica
monica lyrics,100
brandy,50
everything monica,50
santa monica,45
keyshia cole,40
everything to me,35
monica and brandy,30
still standing,30
monica still standing,30
angel of mine,25
trina,25
monica naranjo,25
monica so gone,20
trust,20
monica trust,20
monica with you,20
keyshia cole trust,15
everclear,15
everclear santa monica,15
mary j blige,15
monica bellucci,15
monica live,15
fantasia,15
keyshia cole love,10
monica lewinsky,10
monica my everything,10
aaliyah,10
monica why her,10
trina ft monica,10
ashanti,10
turma da monica,10
monica superman,10
tamia,10
monica without you,10
chandler and monica,5
monica anything,5
jennifer hudson,5
mya,5
toni braxton,5
xscape,5



Rising searches for monica
everything to me,Breakout
monica still standing,Breakout
still standing,Breakout
monica lyrics,+2,500%
everything monica,+1,650%
trina,+600%
keyshia cole,+250%
monica and brandy,+250%
angel of mine,+120%
brandy,+60%



