YouTube Search interest: keith urban
United States; Jan 2008 - Jul 2015

Interest over time
Week,keith urban
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,48
2009-04-26 - 2009-05-02,53
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,47
2009-05-17 - 2009-05-23,100
2009-05-24 - 2009-05-30,90
2009-05-31 - 2009-06-06,62
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,60
2009-06-21 - 2009-06-27,51
2009-06-28 - 2009-07-04,45
2009-07-05 - 2009-07-11,42
2009-07-12 - 2009-07-18,49
2009-07-19 - 2009-07-25,55
2009-07-26 - 2009-08-01,52
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,75
2009-08-16 - 2009-08-22,75
2009-08-23 - 2009-08-29,62
2009-08-30 - 2009-09-05,62
2009-09-06 - 2009-09-12,67
2009-09-13 - 2009-09-19,59
2009-09-20 - 2009-09-26,56
2009-09-27 - 2009-10-03,60
2009-10-04 - 2009-10-10,68
2009-10-11 - 2009-10-17,63
2009-10-18 - 2009-10-24,57
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,63
2009-11-22 - 2009-11-28,60
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,50
2009-12-20 - 2009-12-26,49
2009-12-27 - 2010-01-02,44
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,53
2010-01-17 - 2010-01-23,66
2010-01-24 - 2010-01-30,65
2010-01-31 - 2010-02-06,62
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,54
2010-02-28 - 2010-03-06,57
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,58
2010-03-21 - 2010-03-27,52
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,55
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,53
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,48
2010-05-16 - 2010-05-22,46
2010-05-23 - 2010-05-29,44
2010-05-30 - 2010-06-05,47
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,42
2010-08-01 - 2010-08-07,43
2010-08-08 - 2010-08-14,41
2010-08-15 - 2010-08-21,42
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,44
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,43
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,46
2010-10-31 - 2010-11-06,53
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,72
2010-11-21 - 2010-11-27,55
2010-11-28 - 2010-12-04,60
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,50
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,60
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,57
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,65
2011-03-27 - 2011-04-02,67
2011-04-03 - 2011-04-09,78
2011-04-10 - 2011-04-16,72
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,72
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,67
2011-05-15 - 2011-05-21,68
2011-05-22 - 2011-05-28,74
2011-05-29 - 2011-06-04,65
2011-06-05 - 2011-06-11,85
2011-06-12 - 2011-06-18,77
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,67
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,72
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,81
2011-08-21 - 2011-08-27,82
2011-08-28 - 2011-09-03,71
2011-09-04 - 2011-09-10,66
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,71
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,54
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,56
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,43
2012-01-01 - 2012-01-07,43
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,49
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,48
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,66
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,50
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,42
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,58
2012-06-17 - 2012-06-23,53
2012-06-24 - 2012-06-30,52
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,51
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,53
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,35
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,29
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,30
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,40
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,41
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,30
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,32
2013-06-02 - 2013-06-08,43
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,41
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,41
2013-07-28 - 2013-08-03,51
2013-08-04 - 2013-08-10,48
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,44
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,43
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,50
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,43
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,43
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,56
2013-11-17 - 2013-11-23,59
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,37
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,39
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,68
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,64
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,62
2014-03-02 - 2014-03-08,58
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,58
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,56
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,53
2014-04-20 - 2014-04-26,50
2014-04-27 - 2014-05-03,49
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,38
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,33
2014-06-15 - 2014-06-21,33
2014-06-22 - 2014-06-28,33
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,31
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,38
2014-08-10 - 2014-08-16,38
2014-08-17 - 2014-08-23,35
2014-08-24 - 2014-08-30,38
2014-08-31 - 2014-09-06,35
2014-09-07 - 2014-09-13,39
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,49
2014-10-05 - 2014-10-11,44
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,53
2014-11-09 - 2014-11-15,42
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,34
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,26
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,32
2015-01-25 - 2015-01-31,34
2015-02-01 - 2015-02-07,33
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,29
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,33
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,29
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,29
2015-06-28 - 2015-07-04,28
2015-07-05 - 2015-07-11,28
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,28


Top sub-regions for keith urban
Sub-region,keith urban
North Dakota,100
South Dakota,92
West Virginia,89
Kentucky,83
Iowa,82
Nebraska,77
Maine,75
Wisconsin,70
Tennessee,70
Indiana,69
Wyoming,67
Montana,67
Missouri,65
Kansas,64
Minnesota,64
Idaho,63
Ohio,63
Michigan,62
South Carolina,60
Oklahoma,59
Alabama,57
New Hampshire,57
Vermont,56
Arkansas,56
North Carolina,54
Pennsylvania,52
Mississippi,51
Utah,48
Georgia,47
Colorado,47
New Mexico,46
Louisiana,46
Texas,45
Illinois,43
Massachusetts,41
Arizona,38
Florida,37
Washington,36
Connecticut,36
Delaware,35
Rhode Island,35
Maryland,34
Virginia,33
Oregon,33
Alaska,31
Nevada,27
New York,27
District of Columbia,26
New Jersey,25
California,21
Hawaii,20


Top metros for keith urban
Metro,keith urban
Sioux Falls(Mitchell) SD,100
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,98
La Crosse-Eau Claire WI,95
Lexington KY,90
Charleston-Huntington WV,88
Lincoln & Hastings-Kearney NE,84
Johnstown-Altoona PA,83
Flint-Saginaw-Bay City MI,79
Des Moines-Ames IA,79
Chattanooga TN,76
Toledo OH,74
Nashville TN,73
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,73
Green Bay-Appleton WI,72
Grand Rapids-Kalamazoo-Battle Creek MI,72
Portland-Auburn ME,71
Roanoke-Lynchburg VA,70
Springfield MO,70
Louisville KY,70
Wichita-Hutchinson KS,67
Knoxville TN,67
Madison WI,66
Dayton OH,65
Omaha NE,62
Minneapolis-St. Paul MN,61
Buffalo NY,61
Champaign & Springfield-Decatur IL,60
Spokane WA,60
Kansas City MO,59
Cleveland-Akron (Canton) OH,59
Burlington VT-Plattsburgh NY,58
St. Louis MO,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57
Pittsburgh PA,57
Greensboro-High Point-Winston Salem NC,57
Syracuse NY,57
Colorado Springs-Pueblo CO,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Wilkes Barre-Scranton PA,56
Indianapolis IN,56
Harrisburg-Lancaster-Lebanon-York PA,56
Columbus OH,54
Cincinnati OH,54
Birmingham AL,54
Little Rock-Pine Bluff AR,53
Rochester NY,50
Oklahoma City OK,50
Detroit MI,50
San Antonio TX,49
Salt Lake City UT,49
Milwaukee WI,49
Albany-Schenectady-Troy NY,48
Charlotte NC,47
Waco-Temple-Bryan TX,47
Jacksonville FL,46
Tulsa OK,45
Tampa-St. Petersburg (Sarasota) FL,45
Richmond-Petersburg VA,44
Denver CO,44
Boston MA-Manchester NH,44
Albuquerque-Santa Fe NM,42
Norfolk-Portsmouth-Newport News VA,41
Atlanta GA,41
Raleigh-Durham (Fayetteville) NC,40
Fresno-Visalia CA,40
Phoenix AZ,38
New Orleans LA,37
Chicago IL,37
Baltimore MD,37
Providence RI-New Bedford MA,36
Hartford & New Haven CT,36
Philadelphia PA,35
Houston TX,35
Dallas-Ft. Worth TX,34
Orlando-Daytona Beach-Melbourne FL,33
Portland OR,31
Sacramento-Stockton-Modesto CA,31
Seattle-Tacoma WA,30
West Palm Beach-Ft. Pierce FL,30
Austin TX,27
Washington DC (Hagerstown MD),25
San Diego CA,23
Los Angeles CA,19
New York NY,18
Miami-Ft. Lauderdale FL,18
San Francisco-Oakland-San Jose CA,12
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for keith urban
Town/City,keith urban
Nashville,100
Louisville,94
St. Louis,83
Columbus,77
San Antonio,75
Indianapolis,72
Minneapolis,71
Oklahoma City,68
Atlanta,58
Denver,57
Dallas,55
Tampa,54
Phoenix,53
Richardson,52
Houston,52



Top searches for keith urban
keith urban lyrics,100
keith urban summer,50
stupid boy,35
without you,35
everything keith urban,30
long hot summer,25
somebody like you,25
rascal flatts,20
brad paisley,20
cop car,20
kenny chesney,20
miranda lambert,20
keith urban songs,20
jason aldean,20
tim mcgraw,20
keith urban live,15
sweet thing,15
luke bryan,15
we were us,15
blake shelton,15
toby keith,10
kiss a girl,10
dierks bentley,10
country songs,5
jake owen,5
keith urban acoustic,5
billy currington,5
you chris young,5
eli young band,5
kieth urban,5



Rising searches for keith urban
cop car,Breakout
keith urban lyrics,Breakout
keith urban summer,Breakout
long hot summer,Breakout
without you,Breakout
everything keith urban,+300%
somebody like you,+250%
brad paisley,+160%
kenny chesney,+70%
rascal flatts,+50%



