YouTube Search interest: my chemical romance
United States; Jan 2008 - Jul 2015

Interest over time
Week,my chemical romance
2009-01-25 - 2009-01-31,56
2009-02-01 - 2009-02-07,66
2009-02-08 - 2009-02-14,51
2009-02-15 - 2009-02-21,49
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,54
2009-03-08 - 2009-03-14,51
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,45
2009-03-29 - 2009-04-04,43
2009-04-05 - 2009-04-11,42
2009-04-12 - 2009-04-18,37
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,42
2009-05-03 - 2009-05-09,36
2009-05-10 - 2009-05-16,42
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,39
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,37
2009-06-14 - 2009-06-20,39
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,37
2009-07-12 - 2009-07-18,39
2009-07-19 - 2009-07-25,37
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,32
2009-08-23 - 2009-08-29,33
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,33
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,33
2009-10-04 - 2009-10-10,34
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,30
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,30
2009-11-15 - 2009-11-21,33
2009-11-22 - 2009-11-28,33
2009-11-29 - 2009-12-05,30
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,34
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,31
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,31
2010-01-17 - 2010-01-23,30
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,32
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,30
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,31
2010-03-21 - 2010-03-27,30
2010-03-28 - 2010-04-03,33
2010-04-04 - 2010-04-10,32
2010-04-11 - 2010-04-17,30
2010-04-18 - 2010-04-24,31
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,32
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,29
2010-05-23 - 2010-05-29,33
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,27
2010-06-13 - 2010-06-19,29
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,28
2010-07-25 - 2010-07-31,30
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,29
2010-08-15 - 2010-08-21,28
2010-08-22 - 2010-08-28,27
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,29
2010-09-12 - 2010-09-18,33
2010-09-19 - 2010-09-25,44
2010-09-26 - 2010-10-02,55
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,69
2010-10-17 - 2010-10-23,67
2010-10-24 - 2010-10-30,60
2010-10-31 - 2010-11-06,65
2010-11-07 - 2010-11-13,62
2010-11-14 - 2010-11-20,83
2010-11-21 - 2010-11-27,100
2010-11-28 - 2010-12-04,98
2010-12-05 - 2010-12-11,74
2010-12-12 - 2010-12-18,70
2010-12-19 - 2010-12-25,76
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,68
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,66
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,87
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,65
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,55
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,49
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,43
2011-07-24 - 2011-07-30,48
2011-07-31 - 2011-08-06,52
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,46
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,42
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,38
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,39
2011-12-25 - 2011-12-31,33
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,32
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,32
2012-02-19 - 2012-02-25,31
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,32
2012-03-11 - 2012-03-17,31
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,33
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,31
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,28
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,27
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,25
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,28
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,26
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,28
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,27
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,25
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,23
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,23
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,27
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,27
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,26
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,27
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,26
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,31
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,29
2014-11-23 - 2014-11-29,24
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,27
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,26
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,27
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,31
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,29
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,23
2015-07-26 - 2015-08-01,20


Top sub-regions for my chemical romance
Sub-region,my chemical romance
Ohio,100
Michigan,95
Kentucky,94
Missouri,93
Iowa,91
Indiana,91
Utah,91
Wyoming,90
West Virginia,90
Pennsylvania,90
Wisconsin,88
Arizona,88
South Dakota,88
New Mexico,87
Nebraska,87
Kansas,86
Oklahoma,85
Montana,85
Texas,84
Colorado,84
Nevada,84
Arkansas,83
Idaho,83
New Jersey,81
Maine,80
Illinois,79
California,78
Virginia,77
New Hampshire,77
North Dakota,77
Tennessee,76
Florida,74
Alabama,73
North Carolina,72
South Carolina,71
Rhode Island,71
Alaska,70
Connecticut,70
New York,70
Minnesota,69
Delaware,67
Washington,66
Georgia,65
Louisiana,65
Massachusetts,65
Maryland,63
Mississippi,63
Vermont,63
Oregon,62
Hawaii,55
District of Columbia,53


Top metros for my chemical romance
Metro,my chemical romance
Wilkes Barre-Scranton PA,100
Toledo OH,98
Springfield MO,92
Louisville KY,88
Green Bay-Appleton WI,87
Colorado Springs-Pueblo CO,86
Cincinnati OH,85
Grand Rapids-Kalamazoo-Battle Creek MI,84
Cleveland-Akron (Canton) OH,83
El Paso TX,82
Flint-Saginaw-Bay City MI,81
Wichita-Hutchinson KS,79
Des Moines-Ames IA,79
Tucson (Sierra Vista) AZ,79
Kansas City MO,77
Phoenix AZ,76
Las Vegas NV,76
Little Rock-Pine Bluff AR,74
Salt Lake City UT,74
Tampa-St. Petersburg (Sarasota) FL,73
Spokane WA,73
Pittsburgh PA,73
Portland-Auburn ME,72
Dayton OH,72
San Antonio TX,72
Milwaukee WI,71
St. Louis MO,70
Indianapolis IN,70
Oklahoma City OK,69
Hartford & New Haven CT,69
Omaha NE,68
Harrisburg-Lancaster-Lebanon-York PA,68
Dallas-Ft. Worth TX,68
Albuquerque-Santa Fe NM,68
Buffalo NY,68
Detroit MI,68
Philadelphia PA,67
Los Angeles CA,65
Syracuse NY,65
Fresno-Visalia CA,65
Columbus OH,64
Harlingen-Weslaco-Brownsville-McAllen TX,64
Lexington KY,64
Denver CO,63
Rochester NY,63
Chicago IL,63
Sacramento-Stockton-Modesto CA,60
Madison WI,60
Providence RI-New Bedford MA,59
Washington DC (Hagerstown MD),59
Baltimore MD,58
Jacksonville FL,57
Orlando-Daytona Beach-Melbourne FL,57
Nashville TN,57
Norfolk-Portsmouth-Newport News VA,57
Birmingham AL,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Houston TX,56
Albany-Schenectady-Troy NY,55
Austin TX,55
Raleigh-Durham (Fayetteville) NC,55
San Diego CA,55
New York NY,55
Seattle-Tacoma WA,54
Greensboro-High Point-Winston Salem NC,54
West Palm Beach-Ft. Pierce FL,54
Atlanta GA,54
Charlotte NC,53
New Orleans LA,53
Boston MA-Manchester NH,53
San Francisco-Oakland-San Jose CA,51
Minneapolis-St. Paul MN,50
Honolulu HI,48
Miami-Ft. Lauderdale FL,45
Portland OR,43
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for my chemical romance
Town/City,my chemical romance
Richardson,100
Phoenix,97
Louisville,92
Salt Lake City,92
St. Louis,91
Tucson,91
Sterling,90
Tampa,90
San Antonio,90
Las Vegas,89
Milpitas,88
Herndon,88
Los Angeles,87
Reston,84
Denver,81



Top searches for my chemical romance
black parade,100
teenagers,90
helena,85
sing,55
na na na,50
the black parade,50
famous last words,35
ghost of you,35
im not okay,25
cancer,20
mcr,15
fall out boy,15
desolation row,10
bulletproof heart,5
gerard way,5
under pressure,5
sing glee,5
afi,5
taking back sunday,5



Rising searches for my chemical romance
na na na,Breakout
sing,Breakout
im not okay,+350%
black parade,+250%
ghost of you,+200%
helena,+200%
the black parade,+180%
famous last words,+150%
cancer,+80%
teenagers,+50%



