YouTube Search interest: gucci mane
United States; Jan 2008 - Jul 2015

Interest over time
Week,gucci mane
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,34
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,37
2012-11-25 - 2012-12-01,35
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,31
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,32
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,41
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,43
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,38
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,34
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,33
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,38
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,24
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,21
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,24
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,18
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,19
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,14
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,15
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,13


Top sub-regions for gucci mane
Sub-region,gucci mane
Mississippi,100
Alabama,92
South Carolina,73
Georgia,70
North Carolina,55
Tennessee,53
Ohio,46
Maryland,46
Michigan,44
Arkansas,43
District of Columbia,43
Illinois,43
Florida,42
Indiana,39
Missouri,37
Kentucky,34
Wisconsin,30
Louisiana,28
Texas,26
Virginia,25
West Virginia,22
Vermont,20
Minnesota,20
Delaware,20
Oklahoma,19
Iowa,19
Pennsylvania,18
Kansas,18
Arizona,18
Nebraska,17
New Jersey,16
New York,16
New Mexico,15
Rhode Island,14
Washington,14
Colorado,14
Alaska,13
North Dakota,13
Massachusetts,12
California,12
Nevada,12
Connecticut,12
South Dakota,11
Wyoming,10
Maine,10
Hawaii,8
Montana,8
New Hampshire,8
Oregon,7
Idaho,6
Utah,4


Top metros for gucci mane
Metro,gucci mane
Greenwood-Greenville MS,100
Meridian MS,90
Montgomery (Selma) AL,73
Memphis TN,69
Columbus-Tupelo-West Point MS,67
Jackson MS,64
Birmingham AL,61
Albany GA,59
Augusta GA,59
Florence-Myrtle Beach SC,55
Macon GA,54
Columbus GA,52
Columbia SC,50
Jackson TN,47
Jonesboro AR,45
Tallahassee FL-Thomasville GA,44
Savannah GA,43
Charleston SC,40
Atlanta GA,38
Dothan AL,36
Little Rock-Pine Bluff AR,36
Raleigh-Durham (Fayetteville) NC,36
Huntsville-Decatur (Florence) AL,35
Biloxi-Gulfport MS,34
Detroit MI,34
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Charlotte NC,32
West Palm Beach-Ft. Pierce FL,31
Cleveland-Akron (Canton) OH,30
Baltimore MD,30
Greensboro-High Point-Winston Salem NC,30
St. Louis MO,29
Richmond-Petersburg VA,29
Monroe LA-El Dorado AR,29
Chicago IL,28
Greenville-Spartanburg SC-Asheville NC-Anderson SC,27
Greenville-New Bern-Washington NC,27
Jacksonville FL,27
Wilmington NC,27
Toledo OH,27
Indianapolis IN,26
Milwaukee WI,26
Tampa-St. Petersburg (Sarasota) FL,26
Louisville KY,26
Panama City FL,26
Chattanooga TN,25
Cincinnati OH,25
Dallas-Ft. Worth TX,24
Columbus OH,24
Shreveport LA,24
Flint-Saginaw-Bay City MI,23
Dayton OH,23
Orlando-Daytona Beach-Melbourne FL,23
Gainesville FL,23
Norfolk-Portsmouth-Newport News VA,22
Nashville TN,22
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21
Roanoke-Lynchburg VA,20
Grand Rapids-Kalamazoo-Battle Creek MI,20
Ft. Wayne IN,20
Champaign & Springfield-Decatur IL,19
Miami-Ft. Lauderdale FL,19
Rochester NY,18
Lexington KY,17
South Bend-Elkhart IN,17
Peoria-Bloomington IL,17
Evansville IN,17
Youngstown OH,17
Lansing MI,17
Baton Rouge LA,17
Washington DC (Hagerstown MD),16
New Orleans LA,16
Pittsburgh PA,16
Davenport IA-Rock Island-Moline IL,15
Columbia-Jefferson City MO,15
Ft. Myers-Naples FL,15
Knoxville TN,15
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,14
Kansas City MO,14
Charlottesville VA,14
Tyler-Longview(Lufkin & Nacogdoches) TX,14
Madison WI,13
Buffalo NY,13
Waco-Temple-Bryan TX,13
Lafayette LA,12
Minneapolis-St. Paul MN,12
Charleston-Huntington WV,12
Philadelphia PA,12
San Antonio TX,12
Burlington VT-Plattsburgh NY,11
Oklahoma City OK,11
La Crosse-Eau Claire WI,11
Tri-Cities TN-VA,11
Phoenix AZ,11
Omaha NE,11
Lincoln & Hastings-Kearney NE,11
El Paso TX,11
Des Moines-Ames IA,11
Houston TX,11
Seattle-Tacoma WA,11
Springfield MO,10
Ft. Smith-Fayetteville-Springdale-Rogers AR,10
Wichita-Hutchinson KS,10
Green Bay-Appleton WI,10
Albuquerque-Santa Fe NM,10
New York NY,9
Tucson (Sierra Vista) AZ,9
Tulsa OK,9
Colorado Springs-Pueblo CO,9
Denver CO,9
Austin TX,8
Sacramento-Stockton-Modesto CA,8
Las Vegas NV,8
Albany-Schenectady-Troy NY,8
Fresno-Visalia CA,8
Providence RI-New Bedford MA,8
Syracuse NY,8
Los Angeles CA,7
Springfield-Holyoke MA,7
Boston MA-Manchester NH,7
Harrisburg-Lancaster-Lebanon-York PA,7
Hartford & New Haven CT,6
Wilkes Barre-Scranton PA,6
Harlingen-Weslaco-Brownsville-McAllen TX,6
Honolulu HI,6
Portland-Auburn ME,6
San Francisco-Oakland-San Jose CA,6
San Diego CA,5
Portland OR,4
Salt Lake City UT,3
Binghamton NY,0
Erie PA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Topeka KS,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Lubbock TX,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for gucci mane
Town/City,gucci mane
Birmingham,100
Memphis,96
Jackson,87
Columbia,71
Rocky Mount,69
Delray Beach,64
Atlanta,64
Cleveland,63
Detroit,62
Baltimore,52
Greensboro,51
St. Louis,48
Milwaukee,46
Charlotte,46
Indianapolis,45



Top searches for gucci mane
lil wayne,100
gucci mane me,80
gucci man,45
new gucci mane,45
waka flocka,45
drake,40
gucci mane drake,40
young jeezy,35
yo gotti,30
lil boosie,30
gucci mane instrumental,30
wiz khalifa,30
rick ross,25
gucci mane freestyle,25
soulja boy,25
lemonade gucci mane,25
lemonade gucci,25
future,20
wasted,20
gucci mane wasted,20
plies,20
gucci mane 2010,20
gucci mane 2011,20
chief keef,15
gucci mane bricks,15
bricks,15
waka flocka flames,15
trey songz,15
2 chainz,10
gucci mane kitchen,10
pretty boy swag,10
tyga,10
webbie,10
gucci mane heavy,10
photo shoot,10
gorilla zoe,10
travis porter,10
gucci mane 2012,10
oj da juiceman,10
gucci mane truth,10
gucci mane instrumentals,5
rocko,5
waka flocka flame,5
gucci mane 2013,5
migos,5
shawty lo,5
lil b,5
t.i,5
french montana,5
gucci mane stupid,5



Rising searches for gucci mane
drake,Breakout
gucci mane drake,Breakout
lemonade gucci mane,Breakout
waka flocka,Breakout
wiz khalifa,Breakout
gucci mane instrumental,+700%
yo gotti,+600%
rick ross,+550%
gucci mane me,+190%
new gucci mane,+170%



