YouTube Search interest: justin timberlake
United States; Jan 2008 - Jul 2015

Interest over time
Week,justin timberlake
2012-08-12 - 2012-08-18,9
2012-08-19 - 2012-08-25,8
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,8
2012-09-09 - 2012-09-15,8
2012-09-16 - 2012-09-22,9
2012-09-23 - 2012-09-29,8
2012-09-30 - 2012-10-06,8
2012-10-07 - 2012-10-13,7
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,7
2012-11-04 - 2012-11-10,8
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,7
2012-11-25 - 2012-12-01,9
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,7
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,12
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,28
2013-01-27 - 2013-02-02,22
2013-02-03 - 2013-02-09,21
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,38
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,74
2013-03-17 - 2013-03-23,97
2013-03-24 - 2013-03-30,85
2013-03-31 - 2013-04-06,67
2013-04-07 - 2013-04-13,58
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,65
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,59
2013-05-12 - 2013-05-18,59
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,56
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,42
2013-08-04 - 2013-08-10,39
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,32
2013-08-25 - 2013-08-31,100
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,59
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,39
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,28
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,36
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,26
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,24
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,29
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,32
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,24
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,13
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,11
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,12
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,9
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,10
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,9
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,8
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,7


Top sub-regions for justin timberlake
Sub-region,justin timberlake
New York,100
California,94
Pennsylvania,92
Michigan,91
Indiana,91
Texas,91
Illinois,90
Missouri,90
Ohio,90
Florida,90
District of Columbia,89
New Jersey,89
North Carolina,89
Tennessee,89
Maryland,89
Nebraska,88
Wisconsin,88
Massachusetts,87
Minnesota,86
Rhode Island,86
Arizona,86
Virginia,85
Georgia,85
Hawaii,85
Colorado,85
Connecticut,84
South Carolina,84
Iowa,83
Mississippi,83
Delaware,83
Nevada,83
Kentucky,83
Arkansas,82
Oklahoma,82
Louisiana,82
North Dakota,81
Alabama,81
Kansas,80
Washington,79
New Mexico,78
South Dakota,77
Utah,75
Idaho,75
West Virginia,74
New Hampshire,71
Oregon,71
Maine,70
Montana,70
Wyoming,66
Alaska,65
Vermont,62


Top metros for justin timberlake
Metro,justin timberlake
Columbia-Jefferson City MO,100
New York NY,99
Tucson (Sierra Vista) AZ,96
Indianapolis IN,95
Cincinnati OH,95
Detroit MI,94
Omaha NE,94
Philadelphia PA,94
Lansing MI,93
Memphis TN,93
Minneapolis-St. Paul MN,93
Grand Rapids-Kalamazoo-Battle Creek MI,93
Charleston SC,93
St. Louis MO,92
Champaign & Springfield-Decatur IL,92
Toledo OH,92
Fargo-Valley City ND,92
Raleigh-Durham (Fayetteville) NC,92
Greensboro-High Point-Winston Salem NC,91
Los Angeles CA,91
La Crosse-Eau Claire WI,91
Chicago IL,91
Providence RI-New Bedford MA,91
Louisville KY,90
Washington DC (Hagerstown MD),90
Orlando-Daytona Beach-Melbourne FL,90
Tri-Cities TN-VA,90
Charlotte NC,90
Peoria-Bloomington IL,89
Richmond-Petersburg VA,89
Santa Barbara-Santa Maria-San Luis Obispo CA,88
Oklahoma City OK,88
Baltimore MD,87
San Antonio TX,87
Montgomery (Selma) AL,87
Norfolk-Portsmouth-Newport News VA,87
Atlanta GA,87
Pittsburgh PA,87
Topeka KS,87
Boston MA-Manchester NH,87
Kansas City MO,87
Dallas-Ft. Worth TX,87
Buffalo NY,86
San Diego CA,86
Corpus Christi TX,86
Miami-Ft. Lauderdale FL,86
Nashville TN,85
Erie PA,85
Las Vegas NV,85
Columbus OH,85
Evansville IN,85
Houston TX,85
Monterey-Salinas CA,85
Milwaukee WI,85
Knoxville TN,85
New Orleans LA,85
Gainesville FL,85
Tampa-St. Petersburg (Sarasota) FL,85
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,84
Albany-Schenectady-Troy NY,84
Fresno-Visalia CA,84
Harrisburg-Lancaster-Lebanon-York PA,84
Tallahassee FL-Thomasville GA,83
Columbia SC,83
San Francisco-Oakland-San Jose CA,83
Greenville-New Bern-Washington NC,83
Denver CO,83
Cleveland-Akron (Canton) OH,83
Florence-Myrtle Beach SC,83
Hartford & New Haven CT,83
Charlottesville VA,82
Little Rock-Pine Bluff AR,82
Honolulu HI,82
Colorado Springs-Pueblo CO,82
Austin TX,82
Baton Rouge LA,82
Phoenix AZ,82
Springfield-Holyoke MA,81
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,81
Jackson MS,81
Sacramento-Stockton-Modesto CA,81
Rochester NY,81
Bakersfield CA,81
Sioux Falls(Mitchell) SD,81
Flint-Saginaw-Bay City MI,80
Jacksonville FL,80
Johnstown-Altoona PA,80
Roanoke-Lynchburg VA,80
Birmingham AL,80
Huntsville-Decatur (Florence) AL,80
Binghamton NY,80
Springfield MO,79
Green Bay-Appleton WI,79
South Bend-Elkhart IN,79
Lexington KY,78
Salt Lake City UT,78
Waco-Temple-Bryan TX,78
Madison WI,78
Davenport IA-Rock Island-Moline IL,77
Dayton OH,77
Mobile AL-Pensacola (Ft. Walton Beach) FL,77
Wilmington NC,77
Seattle-Tacoma WA,77
Greenville-Spartanburg SC-Asheville NC-Anderson SC,77
Boise ID,76
Albuquerque-Santa Fe NM,76
Columbus GA,76
Des Moines-Ames IA,76
Spokane WA,76
Tulsa OK,75
Portland OR,75
Portland-Auburn ME,75
Shreveport LA,74
Chattanooga TN,74
Wichita-Hutchinson KS,73
Macon GA,73
Savannah GA,72
Ft. Wayne IN,72
Tyler-Longview(Lufkin & Nacogdoches) TX,72
Harlingen-Weslaco-Brownsville-McAllen TX,72
West Palm Beach-Ft. Pierce FL,72
Wilkes Barre-Scranton PA,71
Syracuse NY,71
Charleston-Huntington WV,70
Yakima-Pasco-Richland-Kennewick WA,70
El Paso TX,70
Lafayette LA,70
Palm Springs CA,68
Ft. Smith-Fayetteville-Springdale-Rogers AR,67
Ft. Myers-Naples FL,67
Anchorage AK,66
Augusta GA,66
Youngstown OH,66
Reno NV,66
Lincoln & Hastings-Kearney NE,65
Eugene OR,62
Burlington VT-Plattsburgh NY,61
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for justin timberlake
Town/City,justin timberlake
New York,100
Los Angeles,89
Philadelphia,85
Washington,81
Boston,80
San Diego,78
Houston,77
Chicago,76
St. Louis,76
Phoenix,76
Minneapolis,75
Orlando,75
Richardson,75
Irvine,75
Tampa,74



Top searches for justin timberlake
mirrors justin timberlake,100
mirrors,100
snl,70
justin timberlake snl,70
suit and tie,60
justin timberlake beyonce,50
beyonce,45
my love,45
justin timberlake gone,40
jimmy fallon,40
justin timberlake live,40
single ladies,35
dead and gone,35
rihanna,30
jay z,20
justin timberlake songs,20
history of rap,20
holy grail,20
timbaland,20
madonna,20
t.i,15
carry out,15
britney spears,15
ciara justin timberlake,15
ciara,15
50 cent,15
ti,15
ti justin timberlake,15
nelly,15
beyonce single ladies,15
justin timberlake tko,10
4 minutes,10
summer love,10
justin timberlake sexyback,10
rock your body,10
saturday night live,10
justin timberlake vma,10
nsync,10
jamie foxx,10
vma 2013,10
winner,10
justin timberlake ellen,10
justin timberlake senorita,10
ayo technology,10



Rising searches for justin timberlake
dead and gone,Breakout
history of rap,Breakout
mirrors,Breakout
mirrors justin timberlake,Breakout
single ladies,Breakout
suit and tie,Breakout
jimmy fallon,+1,550%
jay z,+450%
justin timberlake gone,+450%
justin timberlake songs,+100%



