YouTube Search interest: kenny chesney
United States; Jan 2008 - Jul 2015

Interest over time
Week,kenny chesney
2011-01-09 - 2011-01-15,66
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,67
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,56
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,57
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,62
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,68
2011-06-19 - 2011-06-25,74
2011-06-26 - 2011-07-02,76
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,60
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,54
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,40
2011-12-25 - 2011-12-31,39
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,42
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,38
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,39
2012-04-01 - 2012-04-07,45
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,42
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,49
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,55
2012-06-03 - 2012-06-09,73
2012-06-10 - 2012-06-16,78
2012-06-17 - 2012-06-23,100
2012-06-24 - 2012-06-30,81
2012-07-01 - 2012-07-07,72
2012-07-08 - 2012-07-14,71
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,62
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,59
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,30
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,39
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,37
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,41
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,45
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,23
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,22
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,19
2013-12-01 - 2013-12-07,22
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,19
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,18
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,19
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,17
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,19
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,20
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,28
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,33
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,31
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,32
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,19
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,23
2015-07-19 - 2015-07-25,23
2015-07-26 - 2015-08-01,19


Top sub-regions for kenny chesney
Sub-region,kenny chesney
West Virginia,100
North Dakota,100
Kentucky,94
South Dakota,90
Iowa,82
Ohio,79
Nebraska,76
Indiana,74
Tennessee,74
Maine,74
South Carolina,72
Montana,69
Missouri,68
Wisconsin,68
North Carolina,67
Wyoming,67
Alabama,67
New Mexico,66
Kansas,64
New Hampshire,63
Arkansas,60
Michigan,60
Vermont,59
Pennsylvania,58
Oklahoma,57
Louisiana,57
Minnesota,57
Idaho,54
Mississippi,53
Georgia,52
Texas,49
Colorado,49
Massachusetts,47
Utah,46
Delaware,44
Florida,44
Illinois,42
Arizona,40
Rhode Island,37
Connecticut,37
Maryland,34
Virginia,33
Washington,33
Alaska,31
Oregon,29
New Jersey,26
District of Columbia,26
New York,26
Nevada,23
California,18
Hawaii,16


Top metros for kenny chesney
Metro,kenny chesney
Charleston-Huntington WV,100
Tri-Cities TN-VA,97
Lexington KY,93
Lincoln & Hastings-Kearney NE,88
Evansville IN,88
Knoxville TN,87
Johnstown-Altoona PA,86
Davenport IA-Rock Island-Moline IL,86
La Crosse-Eau Claire WI,86
Sioux Falls(Mitchell) SD,84
Dayton OH,82
Greenville-New Bern-Washington NC,80
Topeka KS,79
Cincinnati OH,79
Fargo-Valley City ND,78
Louisville KY,77
Youngstown OH,77
Chattanooga TN,76
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,75
Florence-Myrtle Beach SC,74
Corpus Christi TX,74
Ft. Wayne IN,73
Pittsburgh PA,72
Springfield MO,71
Wichita-Hutchinson KS,71
Greenville-Spartanburg SC-Asheville NC-Anderson SC,71
Flint-Saginaw-Bay City MI,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,69
Des Moines-Ames IA,68
Peoria-Bloomington IL,68
Portland-Auburn ME,68
Green Bay-Appleton WI,67
Savannah GA,67
Indianapolis IN,67
Toledo OH,67
Huntsville-Decatur (Florence) AL,67
Little Rock-Pine Bluff AR,66
Champaign & Springfield-Decatur IL,66
Roanoke-Lynchburg VA,64
Wilkes Barre-Scranton PA,63
Cleveland-Akron (Canton) OH,62
Charlotte NC,61
Syracuse NY,61
Nashville TN,60
Kansas City MO,60
Albuquerque-Santa Fe NM,60
Omaha NE,59
Albany-Schenectady-Troy NY,59
Charleston SC,59
Tallahassee FL-Thomasville GA,59
Columbus OH,59
Mobile AL-Pensacola (Ft. Walton Beach) FL,59
Greensboro-High Point-Winston Salem NC,58
St. Louis MO,58
Burlington VT-Plattsburgh NY,57
San Antonio TX,57
Shreveport LA,56
Tampa-St. Petersburg (Sarasota) FL,55
South Bend-Elkhart IN,55
Boise ID,55
Columbia SC,55
Lansing MI,54
Grand Rapids-Kalamazoo-Battle Creek MI,54
Birmingham AL,54
Madison WI,53
Harrisburg-Lancaster-Lebanon-York PA,52
Raleigh-Durham (Fayetteville) NC,52
Colorado Springs-Pueblo CO,52
Springfield-Holyoke MA,51
Baton Rouge LA,50
Buffalo NY,50
Jacksonville FL,50
Ft. Smith-Fayetteville-Springdale-Rogers AR,49
Tulsa OK,49
Minneapolis-St. Paul MN,49
Oklahoma City OK,48
Ft. Myers-Naples FL,48
Waco-Temple-Bryan TX,47
Richmond-Petersburg VA,47
Spokane WA,46
Milwaukee WI,45
Salt Lake City UT,45
Detroit MI,45
Jackson MS,45
Rochester NY,45
Providence RI-New Bedford MA,44
Boston MA-Manchester NH,44
New Orleans LA,44
Atlanta GA,43
Denver CO,43
Orlando-Daytona Beach-Melbourne FL,41
Houston TX,40
Norfolk-Portsmouth-Newport News VA,39
Memphis TN,39
Baltimore MD,38
Philadelphia PA,37
El Paso TX,37
Dallas-Ft. Worth TX,36
Hartford & New Haven CT,36
West Palm Beach-Ft. Pierce FL,35
Phoenix AZ,35
Harlingen-Weslaco-Brownsville-McAllen TX,35
Tucson (Sierra Vista) AZ,35
Austin TX,33
Chicago IL,30
Fresno-Visalia CA,29
Seattle-Tacoma WA,28
Sacramento-Stockton-Modesto CA,26
Washington DC (Hagerstown MD),22
Portland OR,19
San Diego CA,19
New York NY,16
Miami-Ft. Lauderdale FL,16
Las Vegas NV,16
Los Angeles CA,15
San Francisco-Oakland-San Jose CA,10
Binghamton NY,0
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for kenny chesney
Town/City,kenny chesney
Louisville,100
Columbus,86
Indianapolis,85
Pittsburgh,84
St. Louis,80
San Antonio,76
Charlotte,64
Denver,61
Atlanta,58
Dallas,57
Houston,56
Tampa,55
Minneapolis,53
Austin,51
Boston,50



Top searches for kenny chesney
kenny chesney lyrics,100
somewhere with you,80
you and tequila,55
come over,40
me and you,40
tim mcgraw,35
country,35
young kenny chesney,30
jason aldean,30
brad paisley,25
summertime,25
kenny chesney summertime,25
kenny chesney songs,25
kenny chesney live,20
luke bryan,20
blake shelton,20
rascal flatts,15
keith urban,15
pirate flag,15
toby keith,15
george strait,15
zac brown band,15
eric church,10
boys of fall,10
alan jackson,10
billy currington,10
garth brooks,10
country music,10
miranda lambert,10
down the road,10
dierks bentley,10
chris young,10
country songs,10
sugarland,10
jake owen,10
reality kenny chesney,5
reality,5
darius rucker,5
dirt road anthem,5
kenny chesney rockstar,5
trace adkins,5
uncle kracker,5
brooks and dunn,5
josh turner,5
tracy lawrence,5
lee brice,5
justin moore,5



Rising searches for kenny chesney
come over,Breakout
somewhere with you,Breakout
you and tequila,Breakout
kenny chesney lyrics,+2,550%
jason aldean,+500%
me and you,+250%
young kenny chesney,+250%
summertime,+120%
kenny chesney songs,+110%
country,+100%



