YouTube Search interest: jason mraz
United States; Jan 2008 - Jul 2015

Interest over time
Week,jason mraz
2009-08-16 - 2009-08-22,59
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,62
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,45
2009-09-20 - 2009-09-26,52
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,48
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,38
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,52
2009-11-22 - 2009-11-28,47
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,48
2009-12-13 - 2009-12-19,65
2009-12-20 - 2009-12-26,46
2009-12-27 - 2010-01-02,45
2010-01-03 - 2010-01-09,44
2010-01-10 - 2010-01-16,44
2010-01-17 - 2010-01-23,47
2010-01-24 - 2010-01-30,44
2010-01-31 - 2010-02-06,49
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,39
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,39
2010-04-18 - 2010-04-24,38
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,35
2010-05-09 - 2010-05-15,34
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,34
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,32
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,28
2010-08-22 - 2010-08-28,29
2010-08-29 - 2010-09-04,28
2010-09-05 - 2010-09-11,31
2010-09-12 - 2010-09-18,32
2010-09-19 - 2010-09-25,32
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,45
2010-10-17 - 2010-10-23,41
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,32
2010-11-07 - 2010-11-13,32
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,30
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,30
2010-12-19 - 2010-12-25,30
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,32
2011-02-13 - 2011-02-19,34
2011-02-20 - 2011-02-26,30
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,30
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,29
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,28
2011-05-29 - 2011-06-04,29
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,22
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,21
2011-09-11 - 2011-09-17,23
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,25
2011-10-02 - 2011-10-08,22
2011-10-09 - 2011-10-15,21
2011-10-16 - 2011-10-22,20
2011-10-23 - 2011-10-29,21
2011-10-30 - 2011-11-05,21
2011-11-06 - 2011-11-12,21
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,17
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,14
2012-01-01 - 2012-01-07,20
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,36
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,34
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,37
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,39
2012-05-06 - 2012-05-12,42
2012-05-13 - 2012-05-19,44
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,48
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,48
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,53
2012-08-19 - 2012-08-25,54
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,55
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,53
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,46
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,18
2013-01-20 - 2013-01-26,18
2013-01-27 - 2013-02-02,16
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,16
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,15
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,15
2013-04-14 - 2013-04-20,14
2013-04-21 - 2013-04-27,14
2013-04-28 - 2013-05-04,13
2013-05-05 - 2013-05-11,13
2013-05-12 - 2013-05-18,15
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,13
2013-06-02 - 2013-06-08,14
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,13
2013-06-23 - 2013-06-29,13
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,12
2013-07-21 - 2013-07-27,11
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,12
2013-08-18 - 2013-08-24,12
2013-08-25 - 2013-08-31,11
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,14
2013-09-15 - 2013-09-21,13
2013-09-22 - 2013-09-28,12
2013-09-29 - 2013-10-05,13
2013-10-06 - 2013-10-12,13
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,13
2013-10-27 - 2013-11-02,13
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,12
2013-12-08 - 2013-12-14,12
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,11
2014-02-16 - 2014-02-22,10
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,10
2014-03-09 - 2014-03-15,10
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,9
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,10
2014-04-20 - 2014-04-26,10
2014-04-27 - 2014-05-03,11
2014-05-04 - 2014-05-10,10
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,11
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,12
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,11
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,11
2014-08-10 - 2014-08-16,10
2014-08-17 - 2014-08-23,10
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,12
2014-09-14 - 2014-09-20,10
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,10
2014-10-05 - 2014-10-11,10
2014-10-12 - 2014-10-18,10
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,9
2014-11-09 - 2014-11-15,10
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,8
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,6
2014-12-28 - 2015-01-03,7
2015-01-04 - 2015-01-10,8
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,8
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,8
2015-03-22 - 2015-03-28,7
2015-03-29 - 2015-04-04,8
2015-04-05 - 2015-04-11,7
2015-04-12 - 2015-04-18,8
2015-04-19 - 2015-04-25,8
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,8
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,7


Top sub-regions for jason mraz
Sub-region,jason mraz
Hawaii,100
Utah,83
California,82
Minnesota,74
Idaho,74
New Hampshire,72
Massachusetts,72
Wisconsin,70
Virginia,70
Washington,70
Missouri,69
South Dakota,68
Colorado,66
New Jersey,65
North Dakota,65
Connecticut,65
District of Columbia,65
Nebraska,64
Maine,64
Rhode Island,64
Indiana,63
Pennsylvania,63
Michigan,63
Nevada,63
Arizona,62
Ohio,62
Wyoming,62
Alaska,61
Texas,61
Montana,61
Iowa,60
New York,60
Kansas,60
Illinois,60
Florida,59
Oregon,58
Vermont,57
Oklahoma,55
North Carolina,54
Maryland,54
Kentucky,54
Arkansas,53
Delaware,52
South Carolina,51
Georgia,51
Tennessee,50
West Virginia,49
New Mexico,47
Louisiana,45
Alabama,45
Mississippi,41


Top metros for jason mraz
Metro,jason mraz
Honolulu HI,100
San Diego CA,82
La Crosse-Eau Claire WI,79
Boise ID,79
Los Angeles CA,79
Salt Lake City UT,76
Eugene OR,75
Santa Barbara-Santa Maria-San Luis Obispo CA,73
Syracuse NY,72
Boston MA-Manchester NH,71
Kansas City MO,69
Dayton OH,68
San Francisco-Oakland-San Jose CA,68
Colorado Springs-Pueblo CO,68
Green Bay-Appleton WI,68
Seattle-Tacoma WA,67
Albany-Schenectady-Troy NY,66
Champaign & Springfield-Decatur IL,66
Providence RI-New Bedford MA,66
Minneapolis-St. Paul MN,65
Rochester NY,65
Springfield MO,65
Denver CO,65
Grand Rapids-Kalamazoo-Battle Creek MI,65
Washington DC (Hagerstown MD),64
Hartford & New Haven CT,62
Indianapolis IN,62
Las Vegas NV,61
St. Louis MO,61
Portland-Auburn ME,60
Burlington VT-Plattsburgh NY,60
Madison WI,60
Phoenix AZ,59
Sacramento-Stockton-Modesto CA,59
New York NY,59
Roanoke-Lynchburg VA,59
Oklahoma City OK,59
Fresno-Visalia CA,58
Buffalo NY,58
Toledo OH,58
Des Moines-Ames IA,58
Philadelphia PA,57
Dallas-Ft. Worth TX,57
Milwaukee WI,57
Jacksonville FL,56
Orlando-Daytona Beach-Melbourne FL,56
Wichita-Hutchinson KS,55
Chicago IL,55
El Paso TX,55
Springfield-Holyoke MA,55
Wilkes Barre-Scranton PA,55
Pittsburgh PA,54
Portland OR,54
Detroit MI,54
Louisville KY,54
Greensboro-High Point-Winston Salem NC,54
Little Rock-Pine Bluff AR,53
Tucson (Sierra Vista) AZ,53
Omaha NE,53
Spokane WA,53
Baltimore MD,53
Norfolk-Portsmouth-Newport News VA,53
San Antonio TX,52
Cleveland-Akron (Canton) OH,52
Columbus OH,51
Flint-Saginaw-Bay City MI,51
Cincinnati OH,50
Charlotte NC,50
Harlingen-Weslaco-Brownsville-McAllen TX,50
Nashville TN,50
Waco-Temple-Bryan TX,49
Miami-Ft. Lauderdale FL,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Austin TX,48
Tampa-St. Petersburg (Sarasota) FL,48
Richmond-Petersburg VA,48
Raleigh-Durham (Fayetteville) NC,48
Atlanta GA,48
Lexington KY,47
Houston TX,47
Albuquerque-Santa Fe NM,45
Harrisburg-Lancaster-Lebanon-York PA,44
Tulsa OK,43
New Orleans LA,40
Birmingham AL,37
West Palm Beach-Ft. Pierce FL,37
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for jason mraz
Town/City,jason mraz
Honolulu,100
Irvine,98
Pleasanton,98
Salt Lake City,94
Richardson,90
Los Angeles,88
San Diego,83
Milpitas,78
Minneapolis,77
San Francisco,77
St. Louis,76
Seattle,76
Sterling,75
Reston,75
Boston,70



Top searches for jason mraz
im yours,100
jason mraz lucky,100
lucky,95
jason mraz lyrics,95
colbie caillat,65
im yours lyrics,35
you and i,20
jason mraz live,20
lucky lyrics,15
remedy,15
remedy jason mraz,15
the remedy,15
jason mraz cover,10
jason mraz acoustic,10
butterfly jason mraz,10
butterfly,10
jason mraz karaoke,5
beautiful mess,5
jack johnson,5
wordplay jason mraz,5
jason mraz plane,5
jason marz,5
jason mraz christmas,5
lucky glee,5
im yours cover,0
elmo jason mraz,0



Rising searches for jason mraz
butterfly,Breakout
butterfly jason mraz,Breakout
colbie caillat,Breakout
im yours lyrics,Breakout
jason mraz lucky,Breakout
jason mraz lyrics,Breakout
lucky,Breakout
lucky lyrics,Breakout
im yours,+250%
you and i,+100%



