YouTube Search interest: mary mary
United States; Jan 2008 - Jul 2015

Interest over time
Week,mary mary
2010-03-28 - 2010-04-03,59
2010-04-04 - 2010-04-10,57
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,57
2010-05-02 - 2010-05-08,67
2010-05-09 - 2010-05-15,80
2010-05-16 - 2010-05-22,62
2010-05-23 - 2010-05-29,61
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,54
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,54
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,57
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,53
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,56
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,57
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,57
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,59
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,65
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,70
2010-12-12 - 2010-12-18,69
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,63
2011-01-02 - 2011-01-08,66
2011-01-09 - 2011-01-15,68
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,76
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,65
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,65
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,76
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,76
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,74
2011-05-22 - 2011-05-28,75
2011-05-29 - 2011-06-04,73
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,72
2011-06-19 - 2011-06-25,68
2011-06-26 - 2011-07-02,71
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,65
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,64
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,61
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,65
2011-10-23 - 2011-10-29,78
2011-10-30 - 2011-11-05,74
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,82
2011-11-20 - 2011-11-26,86
2011-11-27 - 2011-12-03,88
2011-12-04 - 2011-12-10,92
2011-12-11 - 2011-12-17,89
2011-12-18 - 2011-12-24,100
2011-12-25 - 2011-12-31,83
2012-01-01 - 2012-01-07,75
2012-01-08 - 2012-01-14,80
2012-01-15 - 2012-01-21,86
2012-01-22 - 2012-01-28,87
2012-01-29 - 2012-02-04,81
2012-02-05 - 2012-02-11,77
2012-02-12 - 2012-02-18,73
2012-02-19 - 2012-02-25,74
2012-02-26 - 2012-03-03,77
2012-03-04 - 2012-03-10,76
2012-03-11 - 2012-03-17,73
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,70
2012-04-01 - 2012-04-07,83
2012-04-08 - 2012-04-14,75
2012-04-15 - 2012-04-21,91
2012-04-22 - 2012-04-28,79
2012-04-29 - 2012-05-05,78
2012-05-06 - 2012-05-12,75
2012-05-13 - 2012-05-19,78
2012-05-20 - 2012-05-26,73
2012-05-27 - 2012-06-02,72
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,72
2012-06-17 - 2012-06-23,67
2012-06-24 - 2012-06-30,68
2012-07-01 - 2012-07-07,67
2012-07-08 - 2012-07-14,67
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,67
2012-08-05 - 2012-08-11,70
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,71
2012-08-26 - 2012-09-01,65
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,61
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,61
2012-10-07 - 2012-10-13,61
2012-10-14 - 2012-10-20,63
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,62
2012-11-18 - 2012-11-24,64
2012-11-25 - 2012-12-01,67
2012-12-02 - 2012-12-08,70
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,78
2012-12-23 - 2012-12-29,73
2012-12-30 - 2013-01-05,59
2013-01-06 - 2013-01-12,60
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,61
2013-01-27 - 2013-02-02,59
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,59
2013-02-17 - 2013-02-23,57
2013-02-24 - 2013-03-02,57
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,57
2013-03-17 - 2013-03-23,57
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,53
2013-04-21 - 2013-04-27,55
2013-04-28 - 2013-05-04,54
2013-05-05 - 2013-05-11,54
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,52
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,49
2013-06-30 - 2013-07-06,51
2013-07-07 - 2013-07-13,50
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,46
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,45
2013-08-25 - 2013-08-31,47
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,47
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,53
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,61
2013-12-15 - 2013-12-21,64
2013-12-22 - 2013-12-28,64
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,49
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,50
2014-01-26 - 2014-02-01,51
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,47
2014-03-30 - 2014-04-05,47
2014-04-06 - 2014-04-12,50
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,46
2014-05-18 - 2014-05-24,43
2014-05-25 - 2014-05-31,43
2014-06-01 - 2014-06-07,44
2014-06-08 - 2014-06-14,44
2014-06-15 - 2014-06-21,44
2014-06-22 - 2014-06-28,45
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,44
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,49
2014-07-27 - 2014-08-02,44
2014-08-03 - 2014-08-09,46
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,44
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,54
2014-09-14 - 2014-09-20,51
2014-09-21 - 2014-09-27,56
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,54
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,52
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,73
2014-11-23 - 2014-11-29,70
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,82
2014-12-14 - 2014-12-20,82
2014-12-21 - 2014-12-27,79
2014-12-28 - 2015-01-03,46
2015-01-04 - 2015-01-10,45
2015-01-11 - 2015-01-17,46
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,42
2015-02-01 - 2015-02-07,41
2015-02-08 - 2015-02-14,50
2015-02-15 - 2015-02-21,40
2015-02-22 - 2015-02-28,45
2015-03-01 - 2015-03-07,46
2015-03-08 - 2015-03-14,48
2015-03-15 - 2015-03-21,49
2015-03-22 - 2015-03-28,45
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,49
2015-04-19 - 2015-04-25,45
2015-04-26 - 2015-05-02,44
2015-05-03 - 2015-05-09,42
2015-05-10 - 2015-05-16,42
2015-05-17 - 2015-05-23,40
2015-05-24 - 2015-05-30,42
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,39
2015-06-21 - 2015-06-27,39
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,39
2015-07-12 - 2015-07-18,35
2015-07-19 - 2015-07-25,38
2015-07-26 - 2015-08-01,35


Top sub-regions for mary mary
Sub-region,mary mary
Mississippi,100
South Carolina,88
Alabama,87
Louisiana,84
Georgia,83
North Carolina,79
District of Columbia,70
Maryland,67
Tennessee,66
Arkansas,65
Kentucky,63
Florida,62
Delaware,62
Ohio,61
New York,61
Michigan,60
Missouri,59
Texas,58
Pennsylvania,58
Indiana,56
Illinois,54
West Virginia,53
New Jersey,52
Oklahoma,52
Wisconsin,51
Connecticut,51
Rhode Island,50
New Mexico,50
Virginia,50
Massachusetts,49
Kansas,48
Arizona,47
Nebraska,47
Minnesota,47
California,46
Colorado,45
Vermont,45
South Dakota,44
Iowa,44
Wyoming,44
Montana,44
Washington,44
North Dakota,43
Maine,42
Nevada,42
New Hampshire,39
Idaho,39
Utah,39
Hawaii,38
Oregon,36
Alaska,36


Top metros for mary mary
Metro,mary mary
Greenwood-Greenville MS,100
Albany GA,73
Montgomery (Selma) AL,71
Columbus-Tupelo-West Point MS,69
Jackson MS,66
Augusta GA,65
Columbia SC,65
Baton Rouge LA,63
Hattiesburg-Laurel MS,63
Macon GA,60
Florence-Myrtle Beach SC,60
Charleston SC,60
Monroe LA-El Dorado AR,59
Birmingham AL,59
Memphis TN,57
Norfolk-Portsmouth-Newport News VA,55
Tallahassee FL-Thomasville GA,53
Columbus GA,52
Little Rock-Pine Bluff AR,52
Raleigh-Durham (Fayetteville) NC,52
Savannah GA,51
Shreveport LA,51
Greenville-New Bern-Washington NC,51
Atlanta GA,51
Lafayette LA,50
Dothan AL,49
New Orleans LA,48
Jacksonville FL,48
Beaumont-Port Arthur TX,48
Mobile AL-Pensacola (Ft. Walton Beach) FL,46
Biloxi-Gulfport MS,46
Greensboro-High Point-Winston Salem NC,46
Wilmington NC,44
Richmond-Petersburg VA,44
Charlotte NC,44
Huntsville-Decatur (Florence) AL,44
Baltimore MD,43
Jackson TN,43
Salisbury MD,43
Philadelphia PA,43
Louisville KY,42
Tyler-Longview(Lufkin & Nacogdoches) TX,41
Greenville-Spartanburg SC-Asheville NC-Anderson SC,41
New York NY,41
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,40
Nashville TN,40
Houston TX,39
Panama City FL,39
Abilene-Sweetwater TX,39
Flint-Saginaw-Bay City MI,39
Detroit MI,39
Indianapolis IN,39
Cleveland-Akron (Canton) OH,39
Charlottesville VA,39
Gainesville FL,39
Tampa-St. Petersburg (Sarasota) FL,38
Dallas-Ft. Worth TX,38
West Palm Beach-Ft. Pierce FL,38
Chattanooga TN,37
Rochester NY,37
Lexington KY,37
St. Louis MO,37
Lubbock TX,37
South Bend-Elkhart IN,37
Dayton OH,37
Orlando-Daytona Beach-Melbourne FL,36
Tri-Cities TN-VA,36
Columbus OH,36
Kansas City MO,36
Toledo OH,36
Hartford & New Haven CT,36
Miami-Ft. Lauderdale FL,35
Pittsburgh PA,35
Champaign & Springfield-Decatur IL,35
Cincinnati OH,35
Roanoke-Lynchburg VA,35
Grand Rapids-Kalamazoo-Battle Creek MI,35
Waco-Temple-Bryan TX,35
Buffalo NY,35
Odessa-Midland TX,35
Harrisburg-Lancaster-Lebanon-York PA,34
Milwaukee WI,34
Providence RI-New Bedford MA,34
Albany-Schenectady-Troy NY,34
Washington DC (Hagerstown MD),34
Evansville IN,34
Columbia-Jefferson City MO,34
Charleston-Huntington WV,34
Syracuse NY,33
Chicago IL,33
Lincoln & Hastings-Kearney NE,33
Oklahoma City OK,33
Wilkes Barre-Scranton PA,33
Binghamton NY,33
Ft. Myers-Naples FL,33
Springfield-Holyoke MA,33
Peoria-Bloomington IL,32
Albuquerque-Santa Fe NM,32
Youngstown OH,32
Ft. Wayne IN,32
Lansing MI,32
Colorado Springs-Pueblo CO,32
Phoenix AZ,32
Boston MA-Manchester NH,32
Medford-Klamath Falls OR,32
Knoxville TN,32
Omaha NE,32
Bangor ME,32
Bakersfield CA,32
Austin TX,32
Sioux City IA,31
Denver CO,31
Topeka KS,31
Madison WI,31
Traverse City-Cadillac MI,31
Los Angeles CA,31
Wichita-Hutchinson KS,30
Fresno-Visalia CA,30
Sioux Falls(Mitchell) SD,30
Palm Springs CA,30
Minot-Bismarck-Dickinson(Williston) ND,30
Erie PA,30
Minneapolis-St. Paul MN,30
Davenport IA-Rock Island-Moline IL,30
Corpus Christi TX,29
Springfield MO,29
Reno NV,29
Green Bay-Appleton WI,29
San Antonio TX,29
Tulsa OK,29
Fargo-Valley City ND,29
La Crosse-Eau Claire WI,28
Rockford IL,28
Las Vegas NV,28
Burlington VT-Plattsburgh NY,28
Rochester MN-Mason City IA-Austin MN,28
Portland-Auburn ME,28
San Diego CA,28
Duluth MN-Superior WI,28
Des Moines-Ames IA,28
Seattle-Tacoma WA,28
Ft. Smith-Fayetteville-Springdale-Rogers AR,27
Yakima-Pasco-Richland-Kennewick WA,27
Sacramento-Stockton-Modesto CA,27
Honolulu HI,27
Santa Barbara-Santa Maria-San Luis Obispo CA,27
Johnstown-Altoona PA,27
Salt Lake City UT,26
Amarillo TX,26
El Paso TX,26
Chico-Redding CA,26
Tucson (Sierra Vista) AZ,26
Spokane WA,26
Boise ID,24
Portland OR,24
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24
Eugene OR,23
Anchorage AK,23
San Francisco-Oakland-San Jose CA,23
Wausau-Rhinelander WI,22
Monterey-Salinas CA,22
Harlingen-Weslaco-Brownsville-McAllen TX,20
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Sherman TX-Ada OK,0
San Angelo TX,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for mary mary
Town/City,mary mary
Baltimore,100
Atlanta,94
Raleigh,89
Charlotte,88
Washington,85
Philadelphia,82
Jacksonville,80
New York,79
Indianapolis,75
Tampa,75
Columbus,74
Houston,74
Louisville,74
St. Louis,72
Orlando,70



Top searches for mary mary
mary j,100
mary j blige,85
mary jane,20
hail mary,15
bloody mary,15
mary poppins,10
beyonce,10
tupac,5
proud mary,5
hail mary tupac,5
the one,5
peter paul mary,5
mary black,5
mary j. blige,5
trey songz,5
2pac,5
mary lambert,5
tom petty,5
mary carey,5
rick james,5
runaway love,5
2pac hail mary,5
kirk franklin,5
mary j blidge,5
mariah carey,5
queen mary,5
scary mary,5
heaven mary mary,5
tina turner,5
keyshia cole,5
mary the night,5
just fine,5
seven mary three,5
get up,5
monica,5
mary wells,5
real love,5
mary mary walking,5
alicia keys,0
mary chapin carpenter,0
mary kay,0
mary mary yesterday,0
mary mary shackles,0
yesterday,0
mary tyler moore,0
wind cries mary,0
whitney houston,0



Rising searches for mary mary
trey songz,+700%
hail mary tupac,+200%
the one,+160%
tupac,+130%
2pac,+90%
mary black,+60%
proud mary,+50%
beyonce,+40%
hail mary,+40%
mary jane,+40%



