YouTube Search interest: nero
United States; Jan 2008 - Jul 2015

Interest over time
Week,nero
2011-10-09 - 2011-10-15,45
2011-10-16 - 2011-10-22,43
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,38
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,53
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,41
2012-05-13 - 2012-05-19,41
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,41
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,87
2012-07-01 - 2012-07-07,79
2012-07-08 - 2012-07-14,97
2012-07-15 - 2012-07-21,88
2012-07-22 - 2012-07-28,96
2012-07-29 - 2012-08-04,100
2012-08-05 - 2012-08-11,68
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,69
2012-08-26 - 2012-09-01,72
2012-09-02 - 2012-09-08,74
2012-09-09 - 2012-09-15,70
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,66
2012-09-30 - 2012-10-06,62
2012-10-07 - 2012-10-13,58
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,40
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,36
2013-02-03 - 2013-02-09,34
2013-02-10 - 2013-02-16,31
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,34
2013-03-17 - 2013-03-23,34
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,27
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,32
2013-05-26 - 2013-06-01,32
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,27
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,18
2013-11-24 - 2013-11-30,21
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,18
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,16
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,13
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,16
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,12
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,12
2014-08-31 - 2014-09-06,12
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,12
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,11
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,10
2014-12-21 - 2014-12-27,10
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,10
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,12


Top sub-regions for nero
Sub-region,nero
Colorado,100
Vermont,90
Utah,86
New Mexico,84
Montana,83
Wyoming,82
California,81
Washington,80
Florida,77
Nevada,74
Connecticut,74
Idaho,70
New Hampshire,70
Arizona,69
Maine,69
Massachusetts,66
Illinois,66
Oregon,65
Texas,65
Alaska,63
Michigan,63
Wisconsin,63
Maryland,62
Hawaii,61
Rhode Island,60
New Jersey,60
Pennsylvania,60
New York,60
Indiana,57
North Dakota,56
Minnesota,56
Louisiana,54
North Carolina,53
Tennessee,53
Iowa,53
West Virginia,53
Kansas,53
South Carolina,53
Delaware,53
Ohio,52
Georgia,52
Oklahoma,52
Virginia,50
South Dakota,50
Missouri,48
Nebraska,47
Alabama,47
Arkansas,46
Kentucky,44
Mississippi,41
District of Columbia,34


Top metros for nero
Metro,nero
Denver CO,100
Salt Lake City UT,87
San Diego CA,83
Los Angeles CA,79
Orlando-Daytona Beach-Melbourne FL,75
Miami-Ft. Lauderdale FL,73
Seattle-Tacoma WA,73
Austin TX,71
Phoenix AZ,69
Pittsburgh PA,66
Hartford & New Haven CT,65
Tampa-St. Petersburg (Sarasota) FL,63
Boston MA-Manchester NH,63
Las Vegas NV,61
Chicago IL,61
Portland OR,60
San Francisco-Oakland-San Jose CA,60
Detroit MI,59
Houston TX,58
New York NY,58
Sacramento-Stockton-Modesto CA,57
San Antonio TX,56
Philadelphia PA,54
Minneapolis-St. Paul MN,53
Dallas-Ft. Worth TX,52
Baltimore MD,51
Charlotte NC,48
Kansas City MO,48
Raleigh-Durham (Fayetteville) NC,48
Atlanta GA,48
Cleveland-Akron (Canton) OH,43
Washington DC (Hagerstown MD),40
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for nero
Town/City,nero
Denver,100
Austin,88
San Diego,88
Las Vegas,85
Los Angeles,76
Portland,75
San Antonio,73
San Jose,73
Seattle,72
Houston,63
San Francisco,62
Miami,59
New York,58
Phoenix,56
Boston,54



Top searches for nero
nero promises,100
promises,95
skrillex,60
nero remix,60
nero skrillex,60
skrillex promises nero,35
nero dubstep,35
skrillex promises,35
doomsday,25
doomsday nero,25
nero promises remix,15
nero innocence,15
nero crush,15
crush on you,15
dubstep remix,10
promises nero lyrics,10
feel so close,10
nero guilt,10
nero calvin harris,10
nero live,5
flux pavillion,5
dj nero,5
nero mix,5
knife party,5
ghosts n stuff,5
dante nero,5
sub focus,5
nero 9,5
reaching out nero,5
rusko,5
nero my eyes,5
dante vs nero,5
nero this way,5
nero 10,5
datsik,5
nero 7,5
zeds dead,5
nero welcome reality,5
nero innocence dubstep,5
flux pavilion,5



Rising searches for nero
doomsday,Breakout
doomsday nero,Breakout
nero dubstep,Breakout
nero innocence,Breakout
nero promises,Breakout
nero promises remix,Breakout
nero remix,Breakout
nero skrillex,Breakout
promises,Breakout
skrillex,Breakout



