YouTube Search interest: dierks bentley
United States; Jan 2008 - Jul 2015

Interest over time
Week,dierks bentley
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,41
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,39
2011-03-27 - 2011-04-02,42
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,46
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,58
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,61
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,62
2011-06-12 - 2011-06-18,63
2011-06-19 - 2011-06-25,67
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,65
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,69
2011-08-21 - 2011-08-27,70
2011-08-28 - 2011-09-03,72
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,66
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,50
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,55
2012-01-08 - 2012-01-14,61
2012-01-15 - 2012-01-21,57
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,59
2012-02-05 - 2012-02-11,77
2012-02-12 - 2012-02-18,67
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,53
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,53
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,63
2012-05-20 - 2012-05-26,76
2012-05-27 - 2012-06-02,80
2012-06-03 - 2012-06-09,89
2012-06-10 - 2012-06-16,94
2012-06-17 - 2012-06-23,96
2012-06-24 - 2012-06-30,86
2012-07-01 - 2012-07-07,90
2012-07-08 - 2012-07-14,94
2012-07-15 - 2012-07-21,87
2012-07-22 - 2012-07-28,80
2012-07-29 - 2012-08-04,74
2012-08-05 - 2012-08-11,70
2012-08-12 - 2012-08-18,72
2012-08-19 - 2012-08-25,72
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,55
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,54
2012-10-14 - 2012-10-20,51
2012-10-21 - 2012-10-27,53
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,54
2012-11-11 - 2012-11-17,54
2012-11-18 - 2012-11-24,49
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,46
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,51
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,44
2013-02-10 - 2013-02-16,54
2013-02-17 - 2013-02-23,46
2013-02-24 - 2013-03-02,55
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,40
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,37
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,37
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,34
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,42
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,39
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,36
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,39
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,45
2014-02-02 - 2014-02-08,36
2014-02-09 - 2014-02-15,49
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,71
2014-03-02 - 2014-03-08,63
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,58
2014-03-23 - 2014-03-29,44
2014-03-30 - 2014-04-05,52
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,45
2014-04-27 - 2014-05-03,41
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,72
2014-05-18 - 2014-05-24,81
2014-05-25 - 2014-05-31,87
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,100
2014-06-15 - 2014-06-21,93
2014-06-22 - 2014-06-28,96
2014-06-29 - 2014-07-05,96
2014-07-06 - 2014-07-12,94
2014-07-13 - 2014-07-19,79
2014-07-20 - 2014-07-26,82
2014-07-27 - 2014-08-02,88
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,85
2014-08-17 - 2014-08-23,82
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,72
2014-09-07 - 2014-09-13,66
2014-09-14 - 2014-09-20,68
2014-09-21 - 2014-09-27,71
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,52
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,72
2014-11-09 - 2014-11-15,54
2014-11-16 - 2014-11-22,46
2014-11-23 - 2014-11-29,44
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,37
2014-12-21 - 2014-12-27,35
2014-12-28 - 2015-01-03,37
2015-01-04 - 2015-01-10,41
2015-01-11 - 2015-01-17,38
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,45
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,39
2015-02-22 - 2015-02-28,45
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,46
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,46
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,39
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,44
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,45
2015-05-17 - 2015-05-23,42
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,34
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,39
2015-07-05 - 2015-07-11,38
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,42


Top sub-regions for dierks bentley
Sub-region,dierks bentley
North Dakota,100
West Virginia,92
South Dakota,91
Montana,90
Iowa,89
Kentucky,77
Wisconsin,77
Wyoming,74
Nebraska,72
Maine,70
Indiana,58
Kansas,58
Ohio,58
Vermont,57
Minnesota,57
Idaho,57
Missouri,56
Tennessee,55
Arkansas,54
Oklahoma,53
New Hampshire,51
Michigan,51
Alabama,51
South Carolina,50
North Carolina,49
Pennsylvania,46
Colorado,44
New Mexico,41
Mississippi,39
Utah,39
Illinois,36
Georgia,34
Texas,32
Louisiana,32
Arizona,32
Delaware,30
Oregon,30
Alaska,30
Rhode Island,29
Massachusetts,28
Washington,28
Florida,28
Maryland,27
Connecticut,27
Virginia,27
New York,21
District of Columbia,20
Nevada,18
New Jersey,18
California,14
Hawaii,11


Top metros for dierks bentley
Metro,dierks bentley
Lexington KY,100
Wilkes Barre-Scranton PA,73
Grand Rapids-Kalamazoo-Battle Creek MI,68
Nashville TN,65
Pittsburgh PA,65
Indianapolis IN,62
Louisville KY,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
Columbus OH,59
Cincinnati OH,57
Minneapolis-St. Paul MN,57
Milwaukee WI,56
Kansas City MO,53
Charlotte NC,53
Cleveland-Akron (Canton) OH,52
St. Louis MO,49
Oklahoma City OK,49
Tampa-St. Petersburg (Sarasota) FL,46
Salt Lake City UT,45
Denver CO,43
Raleigh-Durham (Fayetteville) NC,37
Phoenix AZ,35
Boston MA-Manchester NH,35
Atlanta GA,32
Baltimore MD,32
Orlando-Daytona Beach-Melbourne FL,31
Detroit MI,31
Dallas-Ft. Worth TX,30
Chicago IL,29
Philadelphia PA,28
Seattle-Tacoma WA,26
Houston TX,25
Sacramento-Stockton-Modesto CA,25
Portland OR,24
Washington DC (Hagerstown MD),21
New York NY,13
Los Angeles CA,11
San Francisco-Oakland-San Jose CA,9
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for dierks bentley
Town/City,dierks bentley
Louisville,100
Nashville,88
Columbus,80
St. Louis,71
Denver,68
Minneapolis,62
San Antonio,62
Phoenix,57
Houston,51
Dallas,46
Atlanta,45
Washington,44
Chicago,38
Seattle,37
Los Angeles,20



Top searches for dierks bentley
dierks bentley lyrics,100
home dierks bentley,50
5150 dierks bentley,40
5150,40
luke bryan,35
sideways,30
sideways dierks bentley,30
i hold on,30
slowdown dierks bentley,25
eric church,25
close your eyes,25
5-1-5-0 dierks bentley,20
billy currington,20
feel that fire,15
jake owen,15
long trip alone,10
dierks bently,10
montgomery gentry,5
kip moore,5
jerrod niemann,5
dirks bentley,5



Rising searches for dierks bentley
5150,Breakout
5150 dierks bentley,Breakout
dierks bentley lyrics,Breakout
home dierks bentley,Breakout
i hold on,Breakout
luke bryan,Breakout
sideways,Breakout
sideways dierks bentley,Breakout



