YouTube Search interest: hannah montana
United States; Jan 2008 - Jul 2015

Interest over time
Week,hannah montana
2009-04-26 - 2009-05-02,63
2009-05-03 - 2009-05-09,59
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,53
2009-05-24 - 2009-05-30,58
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,61
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,61
2009-06-28 - 2009-07-04,71
2009-07-05 - 2009-07-11,100
2009-07-12 - 2009-07-18,89
2009-07-19 - 2009-07-25,82
2009-07-26 - 2009-08-01,68
2009-08-02 - 2009-08-08,62
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,67
2009-08-23 - 2009-08-29,60
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,48
2009-09-13 - 2009-09-19,39
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,42
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,42
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,37
2009-11-01 - 2009-11-07,37
2009-11-08 - 2009-11-14,39
2009-11-15 - 2009-11-21,34
2009-11-22 - 2009-11-28,42
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,30
2009-12-20 - 2009-12-26,38
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,34
2010-01-10 - 2010-01-16,31
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,30
2010-01-31 - 2010-02-06,28
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,29
2010-02-21 - 2010-02-27,33
2010-02-28 - 2010-03-06,34
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,31
2010-03-28 - 2010-04-03,31
2010-04-04 - 2010-04-10,26
2010-04-11 - 2010-04-17,24
2010-04-18 - 2010-04-24,24
2010-04-25 - 2010-05-01,23
2010-05-02 - 2010-05-08,24
2010-05-09 - 2010-05-15,23
2010-05-16 - 2010-05-22,24
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,23
2010-06-06 - 2010-06-12,24
2010-06-13 - 2010-06-19,23
2010-06-20 - 2010-06-26,24
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,40
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,41
2010-08-08 - 2010-08-14,38
2010-08-15 - 2010-08-21,41
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,25
2010-09-26 - 2010-10-02,25
2010-10-03 - 2010-10-09,39
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,39
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,45
2010-11-21 - 2010-11-27,46
2010-11-28 - 2010-12-04,34
2010-12-05 - 2010-12-11,34
2010-12-12 - 2010-12-18,29
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,31
2011-01-02 - 2011-01-08,27
2011-01-09 - 2011-01-15,31
2011-01-16 - 2011-01-22,40
2011-01-23 - 2011-01-29,27
2011-01-30 - 2011-02-05,23
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,20
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,15
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,14
2011-03-27 - 2011-04-02,14
2011-04-03 - 2011-04-09,14
2011-04-10 - 2011-04-16,12
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,12
2011-05-01 - 2011-05-07,11
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,12
2011-05-22 - 2011-05-28,11
2011-05-29 - 2011-06-04,14
2011-06-05 - 2011-06-11,14
2011-06-12 - 2011-06-18,14
2011-06-19 - 2011-06-25,13
2011-06-26 - 2011-07-02,13
2011-07-03 - 2011-07-09,13
2011-07-10 - 2011-07-16,12
2011-07-17 - 2011-07-23,12
2011-07-24 - 2011-07-30,12
2011-07-31 - 2011-08-06,12
2011-08-07 - 2011-08-13,11
2011-08-14 - 2011-08-20,10
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,10
2011-09-04 - 2011-09-10,9
2011-09-11 - 2011-09-17,9
2011-09-18 - 2011-09-24,8
2011-09-25 - 2011-10-01,9
2011-10-02 - 2011-10-08,9
2011-10-09 - 2011-10-15,9
2011-10-16 - 2011-10-22,8
2011-10-23 - 2011-10-29,8
2011-10-30 - 2011-11-05,8
2011-11-06 - 2011-11-12,8
2011-11-13 - 2011-11-19,8
2011-11-20 - 2011-11-26,9
2011-11-27 - 2011-12-03,8
2011-12-04 - 2011-12-10,7
2011-12-11 - 2011-12-17,7
2011-12-18 - 2011-12-24,8
2011-12-25 - 2011-12-31,8
2012-01-01 - 2012-01-07,7
2012-01-08 - 2012-01-14,7
2012-01-15 - 2012-01-21,7
2012-01-22 - 2012-01-28,7
2012-01-29 - 2012-02-04,7
2012-02-05 - 2012-02-11,7
2012-02-12 - 2012-02-18,7
2012-02-19 - 2012-02-25,7
2012-02-26 - 2012-03-03,7
2012-03-04 - 2012-03-10,7
2012-03-11 - 2012-03-17,6
2012-03-18 - 2012-03-24,6
2012-03-25 - 2012-03-31,7
2012-04-01 - 2012-04-07,7
2012-04-08 - 2012-04-14,7
2012-04-15 - 2012-04-21,6
2012-04-22 - 2012-04-28,7
2012-04-29 - 2012-05-05,6
2012-05-06 - 2012-05-12,8
2012-05-13 - 2012-05-19,7
2012-05-20 - 2012-05-26,7
2012-05-27 - 2012-06-02,7
2012-06-03 - 2012-06-09,8
2012-06-10 - 2012-06-16,9
2012-06-17 - 2012-06-23,8
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,9
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,8
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,9
2012-08-12 - 2012-08-18,9
2012-08-19 - 2012-08-25,8
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,7
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,8
2012-09-30 - 2012-10-06,8
2012-10-07 - 2012-10-13,7
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,6
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,7
2012-11-11 - 2012-11-17,7
2012-11-18 - 2012-11-24,7
2012-11-25 - 2012-12-01,6
2012-12-02 - 2012-12-08,5
2012-12-09 - 2012-12-15,6
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,9
2013-01-27 - 2013-02-02,8
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,8
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,7
2013-03-10 - 2013-03-16,8
2013-03-17 - 2013-03-23,7
2013-03-24 - 2013-03-30,9
2013-03-31 - 2013-04-06,8
2013-04-07 - 2013-04-13,8
2013-04-14 - 2013-04-20,8
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,7
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,7
2013-05-26 - 2013-06-01,8
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,8
2013-06-16 - 2013-06-22,11
2013-06-23 - 2013-06-29,11
2013-06-30 - 2013-07-06,10
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,12
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,11
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,11
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,11
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,12
2013-09-22 - 2013-09-28,11
2013-09-29 - 2013-10-05,11
2013-10-06 - 2013-10-12,12
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,10
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,11
2013-11-17 - 2013-11-23,11
2013-11-24 - 2013-11-30,12
2013-12-01 - 2013-12-07,9
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,8
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,6
2014-06-01 - 2014-06-07,6
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,5
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,5
2014-07-27 - 2014-08-02,5
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,4
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,4
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,4
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,4
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,4


Top sub-regions for hannah montana
Sub-region,hannah montana
District of Columbia,100
Virginia,94
Mississippi,94
Texas,90
Missouri,90
New York,85
Louisiana,85
New Jersey,85
Georgia,84
Kentucky,83
South Dakota,82
Florida,80
California,78
Ohio,77
Pennsylvania,77
Michigan,75
Massachusetts,75
Illinois,74
North Carolina,74
Connecticut,74
Alabama,74
Arkansas,72
South Carolina,71
Kansas,71
Rhode Island,70
Minnesota,70
Wisconsin,69
Nebraska,69
Tennessee,68
Oklahoma,67
Arizona,67
Colorado,65
Washington,65
Nevada,65
Indiana,65
Maine,64
Maryland,63
Utah,63
Iowa,62
North Dakota,61
Hawaii,60
New Hampshire,58
Wyoming,56
Idaho,56
Alaska,54
West Virginia,53
Delaware,52
Vermont,49
New Mexico,49
Oregon,47
Montana,46


Top metros for hannah montana
Metro,hannah montana
Jackson MS,100
Albany GA,92
Dallas-Ft. Worth TX,91
Washington DC (Hagerstown MD),88
Rochester MN-Mason City IA-Austin MN,86
Kansas City MO,84
St. Louis MO,79
Tyler-Longview(Lufkin & Nacogdoches) TX,78
Shreveport LA,78
Louisville KY,77
Philadelphia PA,77
New York NY,74
Corpus Christi TX,73
Atlanta GA,73
San Francisco-Oakland-San Jose CA,72
Columbia SC,72
Sioux Falls(Mitchell) SD,71
La Crosse-Eau Claire WI,70
New Orleans LA,69
Montgomery (Selma) AL,69
Flint-Saginaw-Bay City MI,69
Houston TX,69
Cleveland-Akron (Canton) OH,68
Orlando-Daytona Beach-Melbourne FL,68
Birmingham AL,67
Memphis TN,66
Toledo OH,66
West Palm Beach-Ft. Pierce FL,66
Miami-Ft. Lauderdale FL,66
Savannah GA,66
Augusta GA,65
Fargo-Valley City ND,65
San Antonio TX,65
Chicago IL,65
Rochester NY,65
Los Angeles CA,64
Wilkes Barre-Scranton PA,64
Detroit MI,63
Charlotte NC,63
Omaha NE,63
Indianapolis IN,63
Lafayette LA,63
Baton Rouge LA,62
Columbus OH,62
Madison WI,62
Grand Rapids-Kalamazoo-Battle Creek MI,62
Tri-Cities TN-VA,61
Boston MA-Manchester NH,61
Syracuse NY,61
Albany-Schenectady-Troy NY,61
Tampa-St. Petersburg (Sarasota) FL,61
Portland-Auburn ME,60
Raleigh-Durham (Fayetteville) NC,60
Fresno-Visalia CA,60
Florence-Myrtle Beach SC,60
Oklahoma City OK,59
Phoenix AZ,59
El Paso TX,58
Ft. Smith-Fayetteville-Springdale-Rogers AR,58
Hartford & New Haven CT,58
Macon GA,58
Greensboro-High Point-Winston Salem NC,58
Providence RI-New Bedford MA,57
Ft. Wayne IN,57
Wichita-Hutchinson KS,57
Lexington KY,57
Jacksonville FL,57
Harlingen-Weslaco-Brownsville-McAllen TX,57
Little Rock-Pine Bluff AR,56
Cincinnati OH,56
Sacramento-Stockton-Modesto CA,56
Lincoln & Hastings-Kearney NE,56
Springfield MO,55
Honolulu HI,55
Minneapolis-St. Paul MN,55
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
South Bend-Elkhart IN,55
Seattle-Tacoma WA,55
Green Bay-Appleton WI,55
Baltimore MD,54
Boise ID,54
San Diego CA,53
Salt Lake City UT,53
Chattanooga TN,53
Austin TX,53
Pittsburgh PA,52
Bakersfield CA,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Johnstown-Altoona PA,52
Las Vegas NV,51
Harrisburg-Lancaster-Lebanon-York PA,51
Charleston-Huntington WV,51
Reno NV,51
Denver CO,50
Nashville TN,50
Huntsville-Decatur (Florence) AL,50
Dayton OH,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Buffalo NY,48
Des Moines-Ames IA,48
Tucson (Sierra Vista) AZ,47
Roanoke-Lynchburg VA,46
Milwaukee WI,46
Norfolk-Portsmouth-Newport News VA,46
Colorado Springs-Pueblo CO,45
Waco-Temple-Bryan TX,45
Springfield-Holyoke MA,45
Ft. Myers-Naples FL,44
Knoxville TN,44
Richmond-Petersburg VA,43
Spokane WA,41
Tulsa OK,41
Champaign & Springfield-Decatur IL,40
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,39
Albuquerque-Santa Fe NM,38
Burlington VT-Plattsburgh NY,37
Portland OR,37
Santa Barbara-Santa Maria-San Luis Obispo CA,34
Binghamton NY,0
Erie PA,0
Charleston SC,0
Columbus GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for hannah montana
Town/City,hannah montana
Richardson,100
Reston,92
Irvine,77
Herndon,75
Pleasanton,74
Miami,72
Newark,70
Atlanta,68
St. Louis,66
Orlando,64
Tampa,63
Louisville,59
Milpitas,58
Los Angeles,56
Sterling,55



Top searches for hannah montana
hannah montana lyrics,100
hannah montana songs,70
miley,65
miley cyrus,60
hannah montana episode,50
hannah montana movie,50
hannah montana 3,30
hannah montana forever,30
hannah montana episodes,30
hannah montana music,25
jonas,20
new hannah montana,20
selena gomez,20
hoedown,20
hoedown throwdown,15
jonas brothers,15
the climb,15
hannah montana rockstar,15
rockstar,15
demi lovato,10
migos hannah montana,10
migos,10
miley cyrus songs,10
true friend,10
high school musical,10
david archuleta,10
hannah montana crazy,10
ice cream freeze,10
hannah montana karaoke,10
hanna montana,5
gonna get this,5
7 things,5
hannah montana ordinary,5
i miss you,5
hannah montana videos,5
the climb lyrics,5
camp rock,5
dream hannah montana,5
icarly,5
see you again,5
hannah montana supergirl,5
supergirl,5
selena gomez songs,5
lets get crazy,5
hannah montanna,5
hoedown throwdown lyrics,5



Rising searches for hannah montana
hannah montana forever,Breakout
hoedown,Breakout
hoedown throwdown,Breakout
selena gomez,+1,650%
hannah montana 3,+350%
hannah montana movie,+200%
hannah montana songs,+200%
hannah montana lyrics,+160%
hannah montana episode,+150%
hannah montana episodes,+100%



