YouTube Search interest: green day
United States; Jan 2008 - Jul 2015

Interest over time
Week,green day
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,16


Top sub-regions for green day
Sub-region,green day
South Dakota,100
North Dakota,95
Maine,89
Missouri,88
Ohio,87
Pennsylvania,87
Nebraska,87
Wisconsin,87
Virginia,86
Iowa,86
New Hampshire,85
Kentucky,82
Indiana,82
Montana,79
Michigan,79
Wyoming,79
Minnesota,78
Kansas,78
West Virginia,78
Colorado,78
California,77
Idaho,76
Oklahoma,75
New Jersey,74
Utah,73
Vermont,73
Arizona,73
New Mexico,71
Massachusetts,71
Connecticut,71
Illinois,70
Texas,69
Rhode Island,69
Nevada,67
Washington,67
New York,66
Tennessee,66
Arkansas,64
North Carolina,62
District of Columbia,62
Florida,61
Alaska,60
South Carolina,60
Louisiana,59
Oregon,59
Georgia,57
Maryland,57
Alabama,57
Delaware,57
Mississippi,54
Hawaii,51


Top metros for green day
Metro,green day
Wilkes Barre-Scranton PA,100
Pittsburgh PA,96
Toledo OH,90
La Crosse-Eau Claire WI,90
Sioux Falls(Mitchell) SD,90
Tri-Cities TN-VA,90
Reno NV,88
Flint-Saginaw-Bay City MI,87
Portland-Auburn ME,86
Madison WI,85
Albany-Schenectady-Troy NY,83
San Francisco-Oakland-San Jose CA,81
Harrisburg-Lancaster-Lebanon-York PA,80
Johnstown-Altoona PA,79
Kansas City MO,79
Buffalo NY,78
Green Bay-Appleton WI,78
El Paso TX,78
Boise ID,78
St. Louis MO,78
Ft. Wayne IN,77
Lincoln & Hastings-Kearney NE,77
Minneapolis-St. Paul MN,77
Charleston-Huntington WV,77
Davenport IA-Rock Island-Moline IL,76
Louisville KY,76
Omaha NE,76
Washington DC (Hagerstown MD),76
Cleveland-Akron (Canton) OH,76
Rochester NY,75
Des Moines-Ames IA,75
Springfield MO,75
Lexington KY,74
Colorado Springs-Pueblo CO,74
Cincinnati OH,74
Grand Rapids-Kalamazoo-Battle Creek MI,73
Bakersfield CA,73
Dayton OH,71
Albuquerque-Santa Fe NM,71
Philadelphia PA,71
Columbus OH,71
South Bend-Elkhart IN,70
Springfield-Holyoke MA,70
Indianapolis IN,70
Denver CO,69
Boston MA-Manchester NH,69
Oklahoma City OK,67
Phoenix AZ,67
Wichita-Hutchinson KS,67
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,67
Spokane WA,66
Hartford & New Haven CT,66
Knoxville TN,65
Syracuse NY,65
Dallas-Ft. Worth TX,65
Detroit MI,65
Providence RI-New Bedford MA,65
Tucson (Sierra Vista) AZ,65
Seattle-Tacoma WA,64
Salt Lake City UT,64
Chicago IL,63
Los Angeles CA,63
Milwaukee WI,63
Burlington VT-Plattsburgh NY,63
Champaign & Springfield-Decatur IL,61
Sacramento-Stockton-Modesto CA,61
Fresno-Visalia CA,60
Orlando-Daytona Beach-Melbourne FL,60
New York NY,59
Chattanooga TN,58
Tulsa OK,58
Baltimore MD,58
Baton Rouge LA,58
San Diego CA,58
Huntsville-Decatur (Florence) AL,57
Harlingen-Weslaco-Brownsville-McAllen TX,57
Roanoke-Lynchburg VA,57
Greensboro-High Point-Winston Salem NC,57
Tampa-St. Petersburg (Sarasota) FL,56
Raleigh-Durham (Fayetteville) NC,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
San Antonio TX,56
Honolulu HI,55
Jacksonville FL,55
Santa Barbara-Santa Maria-San Luis Obispo CA,55
Las Vegas NV,54
Atlanta GA,54
Little Rock-Pine Bluff AR,54
Charlotte NC,53
Nashville TN,53
New Orleans LA,52
West Palm Beach-Ft. Pierce FL,51
Birmingham AL,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
Norfolk-Portsmouth-Newport News VA,51
Richmond-Petersburg VA,51
Houston TX,51
Portland OR,50
Memphis TN,50
Austin TX,50
Miami-Ft. Lauderdale FL,48
Columbia SC,47
Waco-Temple-Bryan TX,46
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for green day
Town/City,green day
Milpitas,100
Sterling,96
Richardson,79
St. Louis,78
Reston,75
Herndon,71
Phoenix,69
Los Angeles,65
Irvine,65
Denver,63
Pleasanton,63
Oklahoma City,62
Columbus,60
Atlanta,57
Orlando,57



Top searches for green day
green day lyrics,100
21 guns,75
green day holiday,50
holiday,50
american idiot,40
green day live,40
when september ends,30
green day enemy,25
know your enemy,25
basket case,25
jesus of suburbia,20
green day songs,20
good riddance,20
linkin park,20
green day cover,15
21 guns lyrics,15
greenday,15
blink 182,15
green day she,15
brain stew,10
i walk alone,10
my chemical romance,10
waiting green day,10
longview,10
longview green day,5
green day acoustic,5
minority green day,5
21st century breakdown,5
warning green day,5
green day interview,5
simple plan,5
all american rejects,5
green day dookie,5
sum 41,5
homecoming green day,5



Rising searches for green day
21 guns,Breakout
21 guns lyrics,Breakout
green day enemy,Breakout
know your enemy,Breakout
green day lyrics,+1,000%
when september ends,+160%
basket case,+140%
good riddance,+130%
jesus of suburbia,+130%
american idiot,+100%



