YouTube Search interest: craig morgan
United States; Jan 2008 - Jul 2015

Interest over time
Week,craig morgan
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,50
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,55
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,66
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,54
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,60
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,55
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,55
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,62
2012-01-29 - 2012-02-04,61
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,66
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,86
2012-03-04 - 2012-03-10,80
2012-03-11 - 2012-03-17,88
2012-03-18 - 2012-03-24,100
2012-03-25 - 2012-03-31,93
2012-04-01 - 2012-04-07,90
2012-04-08 - 2012-04-14,86
2012-04-15 - 2012-04-21,84
2012-04-22 - 2012-04-28,79
2012-04-29 - 2012-05-05,81
2012-05-06 - 2012-05-12,86
2012-05-13 - 2012-05-19,79
2012-05-20 - 2012-05-26,73
2012-05-27 - 2012-06-02,79
2012-06-03 - 2012-06-09,68
2012-06-10 - 2012-06-16,72
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,55
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,56
2012-08-19 - 2012-08-25,55
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,47
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,48
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,48
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,38
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,32
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,46
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,41
2013-04-21 - 2013-04-27,41
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,57
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,41
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,42
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,44
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,45
2013-09-15 - 2013-09-21,49
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,44
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,48
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,50
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,42
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,39
2014-01-12 - 2014-01-18,42
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,38
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,51
2014-02-23 - 2014-03-01,47
2014-03-02 - 2014-03-08,50
2014-03-09 - 2014-03-15,46
2014-03-16 - 2014-03-22,58
2014-03-23 - 2014-03-29,54
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,57
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,63
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,46
2014-06-01 - 2014-06-07,46
2014-06-08 - 2014-06-14,43
2014-06-15 - 2014-06-21,33
2014-06-22 - 2014-06-28,29
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,24
2014-07-27 - 2014-08-02,29
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,26
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,24
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,21
2015-03-15 - 2015-03-21,32
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,22
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,20


Top sub-regions for craig morgan
Sub-region,craig morgan
West Virginia,100
Kentucky,78
North Dakota,63
Iowa,63
Tennessee,62
South Dakota,57
Alabama,56
Indiana,55
Missouri,55
Maine,55
Wisconsin,53
South Carolina,53
Ohio,52
Arkansas,52
Vermont,50
Kansas,49
North Carolina,48
Montana,46
Nebraska,45
Idaho,45
Mississippi,45
Oklahoma,42
Georgia,36
Louisiana,35
Michigan,35
Pennsylvania,33
Minnesota,33
New Hampshire,30
New Mexico,28
Florida,27
Colorado,27
Texas,25
Illinois,24
Virginia,22
Washington,21
Oregon,20
Maryland,19
Arizona,18
Utah,18
Connecticut,16
Massachusetts,16
New York,15
District of Columbia,14
Nevada,12
New Jersey,12
California,9
Alaska,0
Delaware,0
Hawaii,0
Rhode Island,0
Wyoming,0


Top metros for craig morgan
Metro,craig morgan
Nashville TN,100
Columbus OH,87
Raleigh-Durham (Fayetteville) NC,72
Cleveland-Akron (Canton) OH,67
St. Louis MO,64
Atlanta GA,52
Minneapolis-St. Paul MN,52
Tampa-St. Petersburg (Sarasota) FL,51
Houston TX,34
Dallas-Ft. Worth TX,31
Chicago IL,25
Philadelphia PA,25
Washington DC (Hagerstown MD),24
New York NY,13
Los Angeles CA,11
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Boston MA-Manchester NH,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
San Francisco-Oakland-San Jose CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for craig morgan
Town/City,craig morgan
Louisville,100
Nashville,86
Columbus,81
Indianapolis,79
Cincinnati,75
St. Louis,75
Oklahoma City,70
Pittsburgh,64
Atlanta,54
Charlotte,51
San Antonio,48
Tampa,44
Denver,41
Houston,39
Richardson,39



Top searches for craig morgan
craig morgan lyrics,100
almost home,80
this ole boy,55
bonfire craig morgan,45
bonfire,45
redneck yacht club,45
international harvester,40
this aint nothing,30
love remembers,25
tough,20
tough craig morgan,20
craig morgan songs,15
sunday craig morgan,15
craig morgan live,10
sticks craig morgan,5
craig morgan fish,5



Rising searches for craig morgan
bonfire,Breakout
bonfire craig morgan,Breakout
craig morgan lyrics,Breakout
love remembers,Breakout
redneck yacht club,Breakout
this aint nothing,Breakout
this ole boy,Breakout
almost home,+350%



