YouTube Search interest: fabolous
United States; Jan 2008 - Jul 2015

Interest over time
Week,fabolous
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,37
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,39
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,31
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,28
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,26
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,38
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,37
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,39
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,47
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,43
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,34
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,33
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,26
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,25
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,20
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,19
2013-12-22 - 2013-12-28,32
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,30
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,31
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,26
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,22
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,17
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,18
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,35
2014-12-28 - 2015-01-03,44
2015-01-04 - 2015-01-10,37
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,31
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,21
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,22
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,26
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,27
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,22
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,15


Top sub-regions for fabolous
Sub-region,fabolous
New York,100
Rhode Island,77
Connecticut,63
New Jersey,58
Massachusetts,56
Delaware,51
Pennsylvania,47
District of Columbia,43
Maryland,37
North Carolina,35
Michigan,33
Florida,32
South Carolina,31
Georgia,31
New Hampshire,30
Vermont,29
Virginia,28
Ohio,26
Illinois,25
Louisiana,24
Mississippi,22
Nevada,22
West Virginia,22
Maine,21
Arizona,20
California,20
Indiana,20
Alabama,20
Texas,19
Kentucky,19
Missouri,19
Wisconsin,19
New Mexico,18
Minnesota,18
Tennessee,18
Colorado,18
South Dakota,17
Hawaii,17
Washington,16
Kansas,16
Iowa,15
Wyoming,15
North Dakota,15
Arkansas,15
Oklahoma,13
Alaska,13
Nebraska,13
Oregon,11
Utah,10
Montana,10
Idaho,10


Top metros for fabolous
Metro,fabolous
New York NY,100
Providence RI-New Bedford MA,71
Hartford & New Haven CT,60
Albany-Schenectady-Troy NY,59
Philadelphia PA,56
Springfield-Holyoke MA,56
Boston MA-Manchester NH,55
Rochester NY,50
Norfolk-Portsmouth-Newport News VA,48
Syracuse NY,47
Buffalo NY,45
Wilkes Barre-Scranton PA,45
Greenville-New Bern-Washington NC,44
Detroit MI,41
Baltimore MD,39
Miami-Ft. Lauderdale FL,38
Greensboro-High Point-Winston Salem NC,36
Columbia SC,36
Richmond-Petersburg VA,36
Pittsburgh PA,35
Raleigh-Durham (Fayetteville) NC,34
Burlington VT-Plattsburgh NY,34
West Palm Beach-Ft. Pierce FL,32
Harrisburg-Lancaster-Lebanon-York PA,32
Atlanta GA,31
Charlotte NC,31
New Orleans LA,31
Washington DC (Hagerstown MD),30
Orlando-Daytona Beach-Melbourne FL,30
Cleveland-Akron (Canton) OH,28
Columbus OH,28
Memphis TN,27
Tampa-St. Petersburg (Sarasota) FL,26
Chicago IL,26
Grand Rapids-Kalamazoo-Battle Creek MI,26
Las Vegas NV,24
Cincinnati OH,23
Milwaukee WI,23
Louisville KY,23
Birmingham AL,22
Los Angeles CA,22
Albuquerque-Santa Fe NM,21
Jacksonville FL,21
Sacramento-Stockton-Modesto CA,21
Dallas-Ft. Worth TX,21
Phoenix AZ,20
St. Louis MO,20
Fresno-Visalia CA,20
Greenville-Spartanburg SC-Asheville NC-Anderson SC,20
Indianapolis IN,20
Houston TX,19
Denver CO,19
Nashville TN,18
Kansas City MO,18
Honolulu HI,18
Minneapolis-St. Paul MN,18
San Diego CA,17
San Antonio TX,17
Seattle-Tacoma WA,16
Austin TX,16
San Francisco-Oakland-San Jose CA,14
Portland OR,12
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for fabolous
Town/City,fabolous
New York,100
Providence,68
Philadelphia,57
Newark,56
Rochester,49
Detroit,49
Boston,47
Reston,41
Baltimore,40
Washington,37
Raleigh,32
Charlotte,31
Atlanta,28
Miami,28
Orlando,27



Top searches for fabolous
fabolous killin em,100
fabolous into you,95
new fabolous,85
my time,70
my time fabolous,70
trey songz,70
fabolous freestyle,70
rick ross,65
fabulous,65
breathe fabolous,60
breathe,55
fabolous instrumental,55
fabolous baby,45
fabolous ready,45
imma do it,40
jadakiss,35
neyo,35
killin me fabolous,35
fabolous 2011,35
fabolous soul tape,30
ray j,30
lloyd banks,30
french montana,25
juelz santana,25
fabolous pain,25
cassidy,25
its my time,20
deuces remix,20
jim jones,15
fab,15
roscoe dash,15
im raw fabolous,15
ryan leslie,15
lights out fabolous,15



Rising searches for fabolous
fabolous killin em,Breakout
my time,Breakout
my time fabolous,Breakout
rick ross,Breakout
trey songz,+500%
fabolous into you,+250%
breathe fabolous,+200%
breathe,+150%
new fabolous,+90%
fabolous freestyle,+40%



