YouTube Search interest: bon jovi
United States; Jan 2008 - Jul 2015

Interest over time
Week,bon jovi
2010-05-02 - 2010-05-08,63
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,66
2010-05-23 - 2010-05-29,71
2010-05-30 - 2010-06-05,66
2010-06-06 - 2010-06-12,61
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,60
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,57
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,63
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,59
2010-08-15 - 2010-08-21,55
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,80
2010-10-03 - 2010-10-09,78
2010-10-10 - 2010-10-16,67
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,100
2010-11-14 - 2010-11-20,77
2010-11-21 - 2010-11-27,90
2010-11-28 - 2010-12-04,70
2010-12-05 - 2010-12-11,74
2010-12-12 - 2010-12-18,74
2010-12-19 - 2010-12-25,66
2010-12-26 - 2011-01-01,68
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,51
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,47
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,43
2011-07-24 - 2011-07-30,48
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,41
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,38
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,38
2011-11-20 - 2011-11-26,38
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,43
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,36
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,37
2012-04-08 - 2012-04-14,38
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,36
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,38
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,39
2012-05-27 - 2012-06-02,37
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,35
2012-07-01 - 2012-07-07,36
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,31
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,31
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,32
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,34
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,49
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,39
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,33
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,34
2013-06-09 - 2013-06-15,29
2013-06-16 - 2013-06-22,30
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,27
2013-09-29 - 2013-10-05,27
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,26
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,26
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,26
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,28
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,24
2014-05-04 - 2014-05-10,24
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,24
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,23
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,27
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,25
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,22
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,24
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,25
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,19


Top sub-regions for bon jovi
Sub-region,bon jovi
Virginia,100
South Dakota,94
North Dakota,92
Kentucky,85
West Virginia,83
Wyoming,82
Pennsylvania,79
Maine,78
Montana,78
Nebraska,77
Iowa,77
New Jersey,76
Ohio,74
Wisconsin,73
Missouri,72
Minnesota,69
Indiana,68
Connecticut,68
Tennessee,67
New Hampshire,67
Utah,67
Kansas,67
New York,66
Idaho,66
California,65
Michigan,65
North Carolina,64
Arkansas,64
Oklahoma,64
South Carolina,63
Florida,62
Illinois,62
Massachusetts,62
Vermont,61
Rhode Island,61
Texas,60
Colorado,59
District of Columbia,58
Alabama,58
New Mexico,58
Georgia,58
Alaska,55
Mississippi,54
Arizona,54
Hawaii,54
Louisiana,53
Nevada,52
Washington,52
Oregon,48
Maryland,48
Delaware,45


Top metros for bon jovi
Metro,bon jovi
Johnstown-Altoona PA,100
Wilkes Barre-Scranton PA,85
San Francisco-Oakland-San Jose CA,78
Lexington KY,76
Washington DC (Hagerstown MD),76
Charleston-Huntington WV,73
Pittsburgh PA,69
Portland-Auburn ME,68
Green Bay-Appleton WI,66
Flint-Saginaw-Bay City MI,65
Albany-Schenectady-Troy NY,63
Grand Rapids-Kalamazoo-Battle Creek MI,61
Louisville KY,60
Madison WI,60
Harrisburg-Lancaster-Lebanon-York PA,59
New York NY,58
Dayton OH,58
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58
Minneapolis-St. Paul MN,57
Hartford & New Haven CT,57
Cleveland-Akron (Canton) OH,56
Cincinnati OH,56
Indianapolis IN,56
Providence RI-New Bedford MA,55
Kansas City MO,55
Charlotte NC,55
Boston MA-Manchester NH,55
Syracuse NY,54
Buffalo NY,53
Columbus OH,53
Greensboro-High Point-Winston Salem NC,53
St. Louis MO,52
San Antonio TX,52
Detroit MI,52
Salt Lake City UT,51
Chicago IL,51
Miami-Ft. Lauderdale FL,50
Philadelphia PA,50
Rochester NY,49
Atlanta GA,49
Orlando-Daytona Beach-Melbourne FL,49
Oklahoma City OK,49
Tucson (Sierra Vista) AZ,49
Dallas-Ft. Worth TX,48
Raleigh-Durham (Fayetteville) NC,48
Tampa-St. Petersburg (Sarasota) FL,47
Denver CO,47
Milwaukee WI,46
Albuquerque-Santa Fe NM,45
Nashville TN,45
West Palm Beach-Ft. Pierce FL,44
Phoenix AZ,44
Seattle-Tacoma WA,43
Las Vegas NV,43
Austin TX,41
Birmingham AL,41
New Orleans LA,41
Houston TX,40
Honolulu HI,39
Portland OR,38
Los Angeles CA,38
Baltimore MD,37
Fresno-Visalia CA,37
Sacramento-Stockton-Modesto CA,36
San Diego CA,35
Norfolk-Portsmouth-Newport News VA,34
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for bon jovi
Town/City,bon jovi
Milpitas,100
Sterling,96
Miami,44
Herndon,42
St. Louis,40
Richardson,36
Atlanta,36
Orlando,35
Tampa,34
New York,34
Dallas,33
Minneapolis,33
San Antonio,32
Washington,32
Chicago,32



Top searches for bon jovi
bon jovi lyrics,100
my life,80
dead or alive,70
its my life,70
always bon jovi,55
always,55
bon jovi wanted,55
bon jovi live,45
jon bon jovi,35
bed of roses,30
bon jovi songs,25
bon jovi baby,20
blaze of glory,20
runaway,20
bon jovi runaway,20
aerosmith,20
john bon jovi,20
bon jovi home,20
bon jovi memory,15
bon jovi hallelujah,15
guns n roses,15
def leppard,10
bon jovi acoustic,10
never say goodbye,10
bryan adams,10
bon jovi sugarland,5
motley crue,5
guns and roses,5
bonjovi,5
bon jovi cowboy,5
glee bon jovi,5
bon jovi videos,5
november rain,5
skid row,5
whitesnake,5



Rising searches for bon jovi
bon jovi lyrics,+2,050%
its my life,+500%
blaze of glory,+400%
bed of roses,+350%
my life,+350%
always bon jovi,+300%
always,+250%
bon jovi runaway,+250%
bon jovi wanted,+250%
runaway,+250%



