YouTube Search interest: 3 doors down
United States; Jan 2008 - Jul 2015

Interest over time
Week,3 doors down
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,65
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,65
2009-09-27 - 2009-10-03,63
2009-10-04 - 2009-10-10,68
2009-10-11 - 2009-10-17,57
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,58
2009-11-01 - 2009-11-07,57
2009-11-08 - 2009-11-14,61
2009-11-15 - 2009-11-21,54
2009-11-22 - 2009-11-28,55
2009-11-29 - 2009-12-05,65
2009-12-06 - 2009-12-12,55
2009-12-13 - 2009-12-19,52
2009-12-20 - 2009-12-26,55
2009-12-27 - 2010-01-02,52
2010-01-03 - 2010-01-09,53
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,58
2010-02-07 - 2010-02-13,58
2010-02-14 - 2010-02-20,57
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,54
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,53
2010-04-11 - 2010-04-17,50
2010-04-18 - 2010-04-24,56
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,56
2010-05-09 - 2010-05-15,52
2010-05-16 - 2010-05-22,55
2010-05-23 - 2010-05-29,54
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,56
2010-07-11 - 2010-07-17,52
2010-07-18 - 2010-07-24,50
2010-07-25 - 2010-07-31,50
2010-08-01 - 2010-08-07,51
2010-08-08 - 2010-08-14,56
2010-08-15 - 2010-08-21,53
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,50
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,53
2010-09-19 - 2010-09-25,53
2010-09-26 - 2010-10-02,52
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,51
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,45
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,67
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,56
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,67
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,61
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,58
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,69
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,62
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,82
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,59
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,61
2011-10-02 - 2011-10-08,63
2011-10-09 - 2011-10-15,59
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,58
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,49
2011-12-11 - 2011-12-17,51
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,51
2012-01-08 - 2012-01-14,49
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,45
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,46
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,39
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,43
2012-08-26 - 2012-09-01,44
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,41
2012-09-23 - 2012-09-29,43
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,40
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,38
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,37
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,35
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,33
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,34
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,33
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,33
2013-06-09 - 2013-06-15,29
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,28
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,24
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,26
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,19
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,23
2014-06-29 - 2014-07-05,20
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,19
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,19
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,22
2015-02-15 - 2015-02-21,19
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,20
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,20


Top sub-regions for 3 doors down
Sub-region,3 doors down
West Virginia,100
Kentucky,91
Wyoming,83
South Dakota,82
Maine,80
Arkansas,74
North Dakota,70
Indiana,69
Montana,69
Tennessee,69
Missouri,68
Mississippi,67
Iowa,65
Ohio,65
Alabama,64
Kansas,64
Idaho,63
Nebraska,63
New Hampshire,62
Oklahoma,61
Louisiana,59
South Carolina,59
North Carolina,59
New Mexico,58
Michigan,56
Wisconsin,55
Pennsylvania,55
Georgia,52
Colorado,52
Texas,51
Vermont,51
Utah,49
Arizona,48
Florida,48
Alaska,47
Minnesota,46
Rhode Island,46
Virginia,44
Massachusetts,44
Washington,43
Illinois,42
Nevada,42
Connecticut,42
New York,41
Oregon,40
New Jersey,39
Delaware,37
Maryland,36
District of Columbia,35
California,33
Hawaii,31


Top metros for 3 doors down
Metro,3 doors down
Tri-Cities TN-VA,100
Charleston-Huntington WV,93
Lexington KY,89
Springfield MO,75
Wilkes Barre-Scranton PA,64
Louisville KY,64
Roanoke-Lynchburg VA,64
Portland-Auburn ME,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Little Rock-Pine Bluff AR,60
Dayton OH,59
Wichita-Hutchinson KS,58
Flint-Saginaw-Bay City MI,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Grand Rapids-Kalamazoo-Battle Creek MI,55
Kansas City MO,55
Birmingham AL,54
Syracuse NY,53
Indianapolis IN,53
Harrisburg-Lancaster-Lebanon-York PA,51
Cleveland-Akron (Canton) OH,51
Cincinnati OH,51
Pittsburgh PA,51
Albany-Schenectady-Troy NY,51
Oklahoma City OK,49
St. Louis MO,49
Nashville TN,48
Omaha NE,48
New Orleans LA,47
Charlotte NC,47
Rochester NY,44
Columbus OH,44
Detroit MI,44
Greensboro-High Point-Winston Salem NC,43
Salt Lake City UT,42
Hartford & New Haven CT,42
Denver CO,42
Raleigh-Durham (Fayetteville) NC,42
Tucson (Sierra Vista) AZ,42
Buffalo NY,41
Tampa-St. Petersburg (Sarasota) FL,41
Albuquerque-Santa Fe NM,40
Atlanta GA,40
Orlando-Daytona Beach-Melbourne FL,40
Dallas-Ft. Worth TX,40
Fresno-Visalia CA,39
Providence RI-New Bedford MA,39
Boston MA-Manchester NH,38
Minneapolis-St. Paul MN,37
San Antonio TX,37
Phoenix AZ,37
Las Vegas NV,36
West Palm Beach-Ft. Pierce FL,36
Norfolk-Portsmouth-Newport News VA,34
Washington DC (Hagerstown MD),33
Seattle-Tacoma WA,33
Philadelphia PA,33
Milwaukee WI,32
Baltimore MD,32
Houston TX,32
Sacramento-Stockton-Modesto CA,31
Chicago IL,31
Portland OR,29
New York NY,29
Miami-Ft. Lauderdale FL,26
Los Angeles CA,26
Austin TX,26
San Diego CA,25
San Francisco-Oakland-San Jose CA,20
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for 3 doors down
Town/City,3 doors down
St. Louis,100
Louisville,95
Oklahoma City,94
Herndon,91
Indianapolis,90
Richardson,84
Orlando,83
Columbus,81
Phoenix,80
Tampa,79
Atlanta,79
San Antonio,76
Denver,70
Dallas,69
Miami,64



Top searches for 3 doors down
without you,100
here without you,95
kryptonite,95
nickelback,25
kryptonite lyrics,20
when im gone,20
three doors down,15
3 days grace,15
citizen soldier,15
be like that,15
loser,15
landing in london,10
staind,5
hinder,5
here by me,5
far away nickelback,5
hinder without you,0



Rising searches for 3 doors down
kryptonite lyrics,Breakout
landing in london,Breakout
here without you,+900%
without you,+750%
kryptonite,+450%
when im gone,+350%
loser,+190%
be like that,+180%
nickelback,+80%
citizen soldier,+40%



