YouTube Search interest: carrie underwood
United States; Jan 2008 - Jul 2015

Interest over time
Week,carrie underwood
2010-02-07 - 2010-02-13,73
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,51
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,44
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,48
2010-05-02 - 2010-05-08,50
2010-05-09 - 2010-05-15,50
2010-05-16 - 2010-05-22,47
2010-05-23 - 2010-05-29,62
2010-05-30 - 2010-06-05,58
2010-06-06 - 2010-06-12,57
2010-06-13 - 2010-06-19,55
2010-06-20 - 2010-06-26,49
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,47
2010-07-11 - 2010-07-17,52
2010-07-18 - 2010-07-24,45
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,45
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,42
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,41
2010-09-05 - 2010-09-11,39
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,44
2010-09-26 - 2010-10-02,52
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,41
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,43
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,43
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,50
2011-01-23 - 2011-01-29,46
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,37
2011-03-13 - 2011-03-19,36
2011-03-20 - 2011-03-26,36
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,71
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,100
2011-05-01 - 2011-05-07,53
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,50
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,58
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,65
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,64
2011-07-17 - 2011-07-23,63
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,85
2011-08-07 - 2011-08-13,77
2011-08-14 - 2011-08-20,71
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,63
2011-09-18 - 2011-09-24,59
2011-09-25 - 2011-10-01,58
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,52
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,56
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,54
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,82
2012-05-06 - 2012-05-12,80
2012-05-13 - 2012-05-19,76
2012-05-20 - 2012-05-26,77
2012-05-27 - 2012-06-02,67
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,55
2012-07-01 - 2012-07-07,51
2012-07-08 - 2012-07-14,52
2012-07-15 - 2012-07-21,55
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,76
2012-08-05 - 2012-08-11,74
2012-08-12 - 2012-08-18,77
2012-08-19 - 2012-08-25,72
2012-08-26 - 2012-09-01,71
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,67
2012-09-16 - 2012-09-22,72
2012-09-23 - 2012-09-29,74
2012-09-30 - 2012-10-06,72
2012-10-07 - 2012-10-13,68
2012-10-14 - 2012-10-20,69
2012-10-21 - 2012-10-27,63
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,66
2012-11-18 - 2012-11-24,75
2012-11-25 - 2012-12-01,62
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,59
2012-12-16 - 2012-12-22,62
2012-12-23 - 2012-12-29,58
2012-12-30 - 2013-01-05,54
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,68
2013-01-27 - 2013-02-02,66
2013-02-03 - 2013-02-09,58
2013-02-10 - 2013-02-16,87
2013-02-17 - 2013-02-23,56
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,50
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,48
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,52
2013-04-14 - 2013-04-20,50
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,49
2013-05-12 - 2013-05-18,49
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,45
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,57
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,44
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,40
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,42
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,45
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,52
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,42
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,42
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,59
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,33
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,31
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,26
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,24
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,42
2014-05-25 - 2014-05-31,30
2014-06-01 - 2014-06-07,38
2014-06-08 - 2014-06-14,33
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,54
2014-06-29 - 2014-07-05,45
2014-07-06 - 2014-07-12,38
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,34
2014-08-03 - 2014-08-09,34
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,30
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,44
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,32
2014-10-19 - 2014-10-25,30
2014-10-26 - 2014-11-01,32
2014-11-02 - 2014-11-08,60
2014-11-09 - 2014-11-15,51
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,35
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,38
2014-12-14 - 2014-12-20,38
2014-12-21 - 2014-12-27,33
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,28
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,32
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,28
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,28
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,30
2015-04-19 - 2015-04-25,32
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,25
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,19


Top sub-regions for carrie underwood
Sub-region,carrie underwood
Kentucky,100
South Dakota,99
West Virginia,99
North Dakota,96
Iowa,89
Oklahoma,89
Montana,85
Idaho,83
Indiana,82
Tennessee,82
Nebraska,81
Missouri,80
Arkansas,80
Ohio,80
Maine,80
Kansas,78
Wyoming,78
Alabama,77
Wisconsin,77
South Carolina,74
Utah,71
Michigan,70
Mississippi,69
Minnesota,69
North Carolina,68
Louisiana,63
New Mexico,60
Texas,59
Colorado,59
Pennsylvania,59
Georgia,59
Vermont,58
New Hampshire,57
Arizona,50
Illinois,49
Washington,48
Florida,47
Delaware,45
Massachusetts,43
Oregon,43
Connecticut,42
Alaska,41
Rhode Island,41
Maryland,39
Virginia,39
Nevada,39
Hawaii,35
New York,35
District of Columbia,34
New Jersey,32
California,31


Top metros for carrie underwood
Metro,carrie underwood
Charleston-Huntington WV,100
Clarksburg-Weston WV,96
Tri-Cities TN-VA,93
Sioux City IA,90
Evansville IN,90
Terre Haute IN,90
Joplin MO-Pittsburg KS,89
Springfield MO,84
Lexington KY,81
Dayton OH,81
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,80
Rochester MN-Mason City IA-Austin MN,79
Biloxi-Gulfport MS,79
Fargo-Valley City ND,78
Green Bay-Appleton WI,77
Sioux Falls(Mitchell) SD,77
Chattanooga TN,76
Davenport IA-Rock Island-Moline IL,76
Columbus-Tupelo-West Point MS,76
Ft. Wayne IN,75
Duluth MN-Superior WI,75
La Crosse-Eau Claire WI,75
Jackson TN,75
Knoxville TN,75
Corpus Christi TX,74
Odessa-Midland TX,73
Rapid City SD,72
Missoula MT,72
Louisville KY,71
Minot-Bismarck-Dickinson(Williston) ND,71
Amarillo TX,71
Wichita-Hutchinson KS,71
Abilene-Sweetwater TX,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Flint-Saginaw-Bay City MI,70
Huntsville-Decatur (Florence) AL,69
Little Rock-Pine Bluff AR,69
Des Moines-Ames IA,68
Cincinnati OH,68
Traverse City-Cadillac MI,67
Boise ID,67
Lubbock TX,67
Lafayette LA,67
Panama City FL,66
Topeka KS,66
Bowling Green KY,66
Toledo OH,66
Bangor ME,65
Wausau-Rhinelander WI,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65
Birmingham AL,65
Oklahoma City OK,65
Nashville TN,65
Wilmington NC,65
Columbia-Jefferson City MO,64
Erie PA,64
Portland-Auburn ME,64
Grand Rapids-Kalamazoo-Battle Creek MI,63
St. Louis MO,63
Youngstown OH,63
Tulsa OK,63
Augusta GA,63
Indianapolis IN,63
Binghamton NY,62
South Bend-Elkhart IN,62
Yakima-Pasco-Richland-Kennewick WA,62
Charlottesville VA,62
Salt Lake City UT,62
Columbus GA,61
Tyler-Longview(Lufkin & Nacogdoches) TX,61
Salisbury MD,61
Mobile AL-Pensacola (Ft. Walton Beach) FL,60
Chico-Redding CA,60
Spokane WA,60
Lincoln & Hastings-Kearney NE,60
Omaha NE,59
Shreveport LA,59
Peoria-Bloomington IL,59
Idaho Falls-Pocatello ID,59
Colorado Springs-Pueblo CO,59
Rockford IL,58
Albany GA,58
Johnstown-Altoona PA,58
Kansas City MO,58
Columbus OH,58
Columbia SC,58
Cleveland-Akron (Canton) OH,57
Florence-Myrtle Beach SC,57
Roanoke-Lynchburg VA,57
Lansing MI,57
Wilkes Barre-Scranton PA,56
Beaumont-Port Arthur TX,56
Pittsburgh PA,56
Charleston SC,56
Greensboro-High Point-Winston Salem NC,55
Charlotte NC,55
Champaign & Springfield-Decatur IL,55
Madison WI,54
Ft. Smith-Fayetteville-Springdale-Rogers AR,54
Minneapolis-St. Paul MN,54
Macon GA,54
Jackson MS,53
Greenville-New Bern-Washington NC,53
Burlington VT-Plattsburgh NY,53
Tallahassee FL-Thomasville GA,51
Raleigh-Durham (Fayetteville) NC,51
Gainesville FL,51
Medford-Klamath Falls OR,51
Savannah GA,50
Harrisburg-Lancaster-Lebanon-York PA,50
Albany-Schenectady-Troy NY,50
Syracuse NY,50
Albuquerque-Santa Fe NM,49
Waco-Temple-Bryan TX,49
Dallas-Ft. Worth TX,49
Montgomery (Selma) AL,49
Milwaukee WI,47
Reno NV,47
Atlanta GA,46
Memphis TN,46
Buffalo NY,46
Springfield-Holyoke MA,46
Baton Rouge LA,45
Detroit MI,45
Jacksonville FL,45
San Antonio TX,44
Tampa-St. Petersburg (Sarasota) FL,44
Fresno-Visalia CA,44
Rochester NY,42
Denver CO,42
Bakersfield CA,42
New Orleans LA,41
Eugene OR,41
Ft. Myers-Naples FL,40
Tucson (Sierra Vista) AZ,40
Houston TX,40
Orlando-Daytona Beach-Melbourne FL,40
El Paso TX,38
Richmond-Petersburg VA,38
Phoenix AZ,38
Chicago IL,37
Boston MA-Manchester NH,37
Harlingen-Weslaco-Brownsville-McAllen TX,37
Norfolk-Portsmouth-Newport News VA,37
Austin TX,37
Sacramento-Stockton-Modesto CA,36
Hartford & New Haven CT,35
Providence RI-New Bedford MA,35
Seattle-Tacoma WA,35
Anchorage AK,34
Baltimore MD,33
Portland OR,32
Philadelphia PA,31
West Palm Beach-Ft. Pierce FL,31
Honolulu HI,27
Los Angeles CA,27
Santa Barbara-Santa Maria-San Luis Obispo CA,26
Las Vegas NV,25
San Diego CA,25
Washington DC (Hagerstown MD),24
New York NY,20
Miami-Ft. Lauderdale FL,19
San Francisco-Oakland-San Jose CA,13
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Bend OR,0
Monterey-Salinas CA,0


Top cities for carrie underwood
Town/City,carrie underwood
Oklahoma City,100
Louisville,94
St. Louis,90
Salt Lake City,89
Indianapolis,84
San Antonio,78
Columbus,78
Denver,69
Minneapolis,65
Richardson,65
Dallas,64
Atlanta,63
Tampa,62
Phoenix,61
Houston,61



Top searches for carrie underwood
carrie underwood lyrics,100
blown away,35
brad paisley,35
taylor swift,30
before he cheats,30
remind me,30
just a dream,30
good girl,25
temporary home,25
miranda lambert,20
carrie underwood songs,20
undo it,15
cowboy casanova,15
american idol,15
carrie underwood karaoke,10
karaoke,10
country,10
kelly clarkson,10
carrie underwood live,10
rascal flatts,10
so small,10
lady antebellum,5
jason aldean,5
last name,5
luke bryan,5
carrie underwood audition,5
tim mcgraw,5
sugarland,5
blake shelton,5
american girl,5
kenny chesney,5
the band perry,5
carrie underwood christmas,5
randy travis,5
wasted carrie underwood,5
wasted,5
alone carrie underwood,5
kellie pickler,5
carrie underwood cover,5
cowboy casanova lyrics,5
country music,5
martina mcbride,5
keith urban,5
faith hill,5
all american girl,5



Rising searches for carrie underwood
blown away,Breakout
cowboy casanova,Breakout
good girl,Breakout
remind me,Breakout
temporary home,Breakout
undo it,Breakout
miranda lambert,+1,050%
brad paisley,+900%
carrie underwood lyrics,+850%
just a dream,+400%



