YouTube Search interest: tiesto
United States; Jan 2008 - Jul 2015

Interest over time
Week,tiesto
2010-05-02 - 2010-05-08,89
2010-05-09 - 2010-05-15,91
2010-05-16 - 2010-05-22,84
2010-05-23 - 2010-05-29,87
2010-05-30 - 2010-06-05,81
2010-06-06 - 2010-06-12,75
2010-06-13 - 2010-06-19,75
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,75
2010-07-04 - 2010-07-10,78
2010-07-11 - 2010-07-17,85
2010-07-18 - 2010-07-24,85
2010-07-25 - 2010-07-31,82
2010-08-01 - 2010-08-07,77
2010-08-08 - 2010-08-14,75
2010-08-15 - 2010-08-21,80
2010-08-22 - 2010-08-28,83
2010-08-29 - 2010-09-04,85
2010-09-05 - 2010-09-11,83
2010-09-12 - 2010-09-18,82
2010-09-19 - 2010-09-25,85
2010-09-26 - 2010-10-02,82
2010-10-03 - 2010-10-09,84
2010-10-10 - 2010-10-16,87
2010-10-17 - 2010-10-23,87
2010-10-24 - 2010-10-30,79
2010-10-31 - 2010-11-06,83
2010-11-07 - 2010-11-13,77
2010-11-14 - 2010-11-20,78
2010-11-21 - 2010-11-27,74
2010-11-28 - 2010-12-04,72
2010-12-05 - 2010-12-11,72
2010-12-12 - 2010-12-18,74
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,61
2011-01-30 - 2011-02-05,65
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,65
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,71
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,74
2011-04-10 - 2011-04-16,71
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,61
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,57
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,47
2011-07-31 - 2011-08-06,49
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,65
2011-09-25 - 2011-10-01,64
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,47
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,48
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,45
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,44
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,49
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,49
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,54
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,74
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,49
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,41
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,48
2012-09-02 - 2012-09-08,47
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,41
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,46
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,38
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,41
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,36
2013-06-23 - 2013-06-29,38
2013-06-30 - 2013-07-06,40
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,40
2013-08-04 - 2013-08-10,34
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,38
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,31
2013-11-24 - 2013-11-30,29
2013-12-01 - 2013-12-07,29
2013-12-08 - 2013-12-14,31
2013-12-15 - 2013-12-21,31
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,30
2014-01-05 - 2014-01-11,29
2014-01-12 - 2014-01-18,33
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,36
2014-02-09 - 2014-02-15,38
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,40
2014-03-02 - 2014-03-08,47
2014-03-09 - 2014-03-15,53
2014-03-16 - 2014-03-22,60
2014-03-23 - 2014-03-29,68
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,69
2014-04-13 - 2014-04-19,71
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,74
2014-05-18 - 2014-05-24,74
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,72
2014-06-08 - 2014-06-14,76
2014-06-15 - 2014-06-21,100
2014-06-22 - 2014-06-28,97
2014-06-29 - 2014-07-05,88
2014-07-06 - 2014-07-12,83
2014-07-13 - 2014-07-19,72
2014-07-20 - 2014-07-26,73
2014-07-27 - 2014-08-02,70
2014-08-03 - 2014-08-09,62
2014-08-10 - 2014-08-16,54
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,48
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,47
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,32
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,34
2015-03-22 - 2015-03-28,37
2015-03-29 - 2015-04-04,42
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,32
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,34
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,38
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,34
2015-06-14 - 2015-06-20,33
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,33
2015-07-05 - 2015-07-11,33
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,33
2015-07-26 - 2015-08-01,34


Top sub-regions for tiesto
Sub-region,tiesto
California,100
Virginia,89
New York,80
New Jersey,79
Illinois,74
Florida,74
Texas,67
Rhode Island,66
Nevada,66
Connecticut,65
Massachusetts,63
Colorado,63
New Mexico,60
District of Columbia,59
Arizona,51
Utah,49
Delaware,48
Vermont,48
Maryland,47
Washington,46
Pennsylvania,46
New Hampshire,45
Wisconsin,43
Wyoming,40
Minnesota,40
Michigan,40
Oregon,39
Hawaii,39
Kansas,36
Montana,34
Idaho,34
Georgia,34
Missouri,33
North Dakota,33
North Carolina,32
Indiana,32
Alaska,31
Maine,30
Ohio,30
South Carolina,29
Iowa,29
Nebraska,29
Oklahoma,28
Louisiana,28
South Dakota,27
Arkansas,25
Tennessee,24
Mississippi,23
West Virginia,22
Kentucky,20
Alabama,18


Top metros for tiesto
Metro,tiesto
El Paso TX,100
Harlingen-Weslaco-Brownsville-McAllen TX,86
San Francisco-Oakland-San Jose CA,69
Los Angeles CA,69
Miami-Ft. Lauderdale FL,66
Washington DC (Hagerstown MD),60
Santa Barbara-Santa Maria-San Luis Obispo CA,59
New York NY,56
San Diego CA,53
Chicago IL,52
Las Vegas NV,47
Springfield-Holyoke MA,46
Denver CO,45
Syracuse NY,42
Orlando-Daytona Beach-Melbourne FL,42
Tucson (Sierra Vista) AZ,42
San Antonio TX,41
Boston MA-Manchester NH,40
Austin TX,37
Hartford & New Haven CT,37
Philadelphia PA,37
Tampa-St. Petersburg (Sarasota) FL,36
Madison WI,36
West Palm Beach-Ft. Pierce FL,35
Dallas-Ft. Worth TX,35
Providence RI-New Bedford MA,35
Houston TX,34
Albuquerque-Santa Fe NM,33
Phoenix AZ,31
Seattle-Tacoma WA,31
Fresno-Visalia CA,31
Albany-Schenectady-Troy NY,30
Salt Lake City UT,29
Minneapolis-St. Paul MN,28
Sacramento-Stockton-Modesto CA,28
Portland OR,27
Baltimore MD,27
Milwaukee WI,26
Honolulu HI,26
Detroit MI,26
Indianapolis IN,24
Atlanta GA,24
Oklahoma City OK,22
St. Louis MO,21
Pittsburgh PA,21
Kansas City MO,20
Columbus OH,19
Raleigh-Durham (Fayetteville) NC,19
Charlotte NC,19
Nashville TN,18
Cleveland-Akron (Canton) OH,16
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for tiesto
Town/City,tiesto
Milpitas,100
Sterling,98
El Paso,89
Miami,68
Irvine,59
Los Angeles,56
Chicago,52
New York,49
San Diego,48
San Francisco,40
San Antonio,40
Orlando,38
Boston,37
San Jose,37
Denver,37



Top searches for tiesto
dj,100
dj tiesto,95
tiesto remix,45
tiesto mix,20
tiesto live,10
adagio for strings,10
feel it tiesto,10
tiesto red lights,10
wasted tiesto,10
techno,10
wasted,10
dj tiesto mix,10
tiesto 2010,10
tiesto 2011,10
elements of life,10
tiesto power mix,10
deadmau5,5
armin van buuren,5
trance,5
tiesto club life,5
tiesto maximal crazy,5
avicii,5
tiesto escape me,5
traffic tiesto,5
traffic,5
tiesto 2012,5
tiesto 2009,5
hardwell,5
benny benassi,5
dj tiesto 2010,5
afrojack,5
titanic tiesto,5
nelly furtado,5
kaskade,5
take me tiesto,5
tiesto 2013,5
dj tiesto live,5
just be,5
tiesto just be,5
tiesto paradise,5
swedish house mafia,5
dj tiesto titanic,5
steve aoki,5
tiesto 2008,5
insomnia,5
tiesto insomnia,5
tiesto extacy,5
dj tiesto 2011,5



Rising searches for tiesto
feel it tiesto,Breakout
tiesto 2010,Breakout
tiesto 2011,Breakout
tiesto red lights,Breakout
wasted,Breakout
wasted tiesto,Breakout
adagio for strings,+350%
dj tiesto mix,+350%
tiesto power mix,+350%
tiesto mix,+300%



