YouTube Search interest: keyshia cole
United States; Jan 2008 - Jul 2015

Interest over time
Week,keyshia cole
2009-05-10 - 2009-05-16,79
2009-05-17 - 2009-05-23,90
2009-05-24 - 2009-05-30,84
2009-05-31 - 2009-06-06,83
2009-06-07 - 2009-06-13,75
2009-06-14 - 2009-06-20,75
2009-06-21 - 2009-06-27,78
2009-06-28 - 2009-07-04,81
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,69
2009-07-19 - 2009-07-25,68
2009-07-26 - 2009-08-01,64
2009-08-02 - 2009-08-08,60
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,55
2009-08-30 - 2009-09-05,52
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,48
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,51
2009-10-04 - 2009-10-10,49
2009-10-11 - 2009-10-17,47
2009-10-18 - 2009-10-24,46
2009-10-25 - 2009-10-31,49
2009-11-01 - 2009-11-07,48
2009-11-08 - 2009-11-14,44
2009-11-15 - 2009-11-21,47
2009-11-22 - 2009-11-28,47
2009-11-29 - 2009-12-05,47
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,47
2009-12-27 - 2010-01-02,50
2010-01-03 - 2010-01-09,49
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,45
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,44
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,42
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,42
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,36
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,38
2010-05-30 - 2010-06-05,38
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,38
2010-06-27 - 2010-07-03,40
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,36
2010-07-18 - 2010-07-24,41
2010-07-25 - 2010-07-31,38
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,34
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,34
2010-10-10 - 2010-10-16,33
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,40
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,48
2010-11-28 - 2010-12-04,52
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,63
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,65
2011-01-23 - 2011-01-29,72
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,67
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,64
2011-02-27 - 2011-03-05,68
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,69
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,67
2011-04-03 - 2011-04-09,67
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,94
2011-04-24 - 2011-04-30,91
2011-05-01 - 2011-05-07,87
2011-05-08 - 2011-05-14,83
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,73
2011-05-29 - 2011-06-04,68
2011-06-05 - 2011-06-11,63
2011-06-12 - 2011-06-18,65
2011-06-19 - 2011-06-25,59
2011-06-26 - 2011-07-02,57
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,51
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,45
2011-08-21 - 2011-08-27,40
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,38
2011-10-02 - 2011-10-08,38
2011-10-09 - 2011-10-15,37
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,36
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,35
2011-11-27 - 2011-12-03,29
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,33
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,29
2012-01-29 - 2012-02-04,30
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,28
2012-03-04 - 2012-03-10,29
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,26
2012-04-22 - 2012-04-28,26
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,25
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,24
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,32
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,59
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,61
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,46
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,90
2012-11-18 - 2012-11-24,98
2012-11-25 - 2012-12-01,100
2012-12-02 - 2012-12-08,96
2012-12-09 - 2012-12-15,81
2012-12-16 - 2012-12-22,86
2012-12-23 - 2012-12-29,86
2012-12-30 - 2013-01-05,68
2013-01-06 - 2013-01-12,70
2013-01-13 - 2013-01-19,67
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,53
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,44
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,39
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,38
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,27
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,24
2013-06-23 - 2013-06-29,24
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,23
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,19
2013-09-15 - 2013-09-21,20
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,19
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,20
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,16
2014-02-02 - 2014-02-08,16
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,15
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,22
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,21
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,20
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,13
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,12
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,12
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,10
2015-07-26 - 2015-08-01,9


Top sub-regions for keyshia cole
Sub-region,keyshia cole
Mississippi,100
Louisiana,85
South Carolina,66
Alabama,66
Georgia,66
North Carolina,55
Delaware,52
District of Columbia,49
Florida,48
Maryland,46
Arkansas,43
Michigan,41
New York,41
Tennessee,40
Ohio,38
Pennsylvania,38
New Jersey,37
Texas,36
Missouri,34
Connecticut,34
Illinois,33
Indiana,32
Rhode Island,31
Kentucky,30
Virginia,30
California,27
Oklahoma,25
Wisconsin,24
Massachusetts,24
Nevada,23
Arizona,22
Kansas,20
Minnesota,20
New Mexico,19
Nebraska,19
Colorado,19
Hawaii,18
West Virginia,18
Washington,16
Iowa,16
South Dakota,14
Alaska,12
North Dakota,11
Vermont,10
New Hampshire,10
Utah,9
Maine,9
Oregon,9
Idaho,8
Montana,8
Wyoming,0


Top metros for keyshia cole
Metro,keyshia cole
Albany GA,100
Jackson MS,77
Montgomery (Selma) AL,72
Baton Rouge LA,65
Tallahassee FL-Thomasville GA,65
Columbia SC,64
Augusta GA,60
Florence-Myrtle Beach SC,59
Macon GA,58
New Orleans LA,56
Shreveport LA,56
Lafayette LA,55
Memphis TN,53
Raleigh-Durham (Fayetteville) NC,50
Columbus GA,50
Savannah GA,48
Charleston SC,48
Norfolk-Portsmouth-Newport News VA,44
Birmingham AL,44
Jacksonville FL,41
Atlanta GA,41
Little Rock-Pine Bluff AR,39
Greenville-New Bern-Washington NC,39
Richmond-Petersburg VA,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,37
Philadelphia PA,37
West Palm Beach-Ft. Pierce FL,36
Baltimore MD,36
Detroit MI,35
Greensboro-High Point-Winston Salem NC,34
Miami-Ft. Lauderdale FL,33
Charlotte NC,33
New York NY,32
Tampa-St. Petersburg (Sarasota) FL,32
Waco-Temple-Bryan TX,31
Bakersfield CA,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,30
St. Louis MO,30
Louisville KY,29
Houston TX,29
Dallas-Ft. Worth TX,28
Cleveland-Akron (Canton) OH,28
Toledo OH,28
Orlando-Daytona Beach-Melbourne FL,28
Huntsville-Decatur (Florence) AL,27
Milwaukee WI,27
Sacramento-Stockton-Modesto CA,27
Nashville TN,26
Indianapolis IN,26
Dayton OH,26
Columbus OH,26
Chicago IL,26
Syracuse NY,26
Rochester NY,25
Cincinnati OH,24
Kansas City MO,24
Providence RI-New Bedford MA,23
Fresno-Visalia CA,23
Hartford & New Haven CT,23
Washington DC (Hagerstown MD),22
Grand Rapids-Kalamazoo-Battle Creek MI,22
Albany-Schenectady-Troy NY,22
Harrisburg-Lancaster-Lebanon-York PA,22
Flint-Saginaw-Bay City MI,22
Los Angeles CA,21
Buffalo NY,21
Las Vegas NV,20
Oklahoma City OK,19
Omaha NE,19
Phoenix AZ,19
Pittsburgh PA,18
San Antonio TX,17
Lexington KY,16
Boston MA-Manchester NH,16
San Francisco-Oakland-San Jose CA,16
San Diego CA,16
Austin TX,15
Wilkes Barre-Scranton PA,14
Minneapolis-St. Paul MN,14
Denver CO,14
Albuquerque-Santa Fe NM,13
Honolulu HI,13
Seattle-Tacoma WA,13
Salt Lake City UT,7
Portland OR,7
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for keyshia cole
Town/City,keyshia cole
Jackson,100
Detroit,91
Baton Rouge,85
New Orleans,80
Memphis,76
Birmingham,72
Baltimore,72
Philadelphia,66
Atlanta,64
Jacksonville,55
Milwaukee,53
Tampa,51
Newark,50
Charlotte,49
Raleigh,48



Top searches for keyshia cole
keyshia cole love,100
keyshia cole lyrics,75
trust,70
keyshia cole trust,65
take me away,25
monica,20
heaven sent,20
keyshia cole remember,15
cheated keyshia cole,15
i remember,15
trina,10
ciara,10
keyshia cole complete,10
last night,10
keri hilson,10
you complete me,10
alicia keys,10
mary j blige,10
ashanti,10
kelly rowland,5
keisha cole,5
she keyshia cole,5
keyshia cole live,5
fantasia,5
sean paul,5
brandy,5
this is us,5
aaliyah,5
jaheim,5
jennifer hudson,5
kesha cole,5
work it out,5
lil kim,5
pleasure p,5
tamia,5
k michelle,5
keshia cole,5



Rising searches for keyshia cole
take me away,Breakout
keyshia cole trust,+2,550%
trust,+2,300%
keyshia cole lyrics,+900%
monica,+400%
cheated keyshia cole,+300%
keyshia cole love,+160%
heaven sent,+80%



