YouTube Search interest: the game
United States; Jan 2008 - Jul 2015

Interest over time
Week,the game
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,56
2009-04-05 - 2009-04-11,62
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,56
2009-04-26 - 2009-05-02,57
2009-05-03 - 2009-05-09,60
2009-05-10 - 2009-05-16,66
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,65
2009-05-31 - 2009-06-06,61
2009-06-07 - 2009-06-13,62
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,65
2009-06-28 - 2009-07-04,67
2009-07-05 - 2009-07-11,69
2009-07-12 - 2009-07-18,70
2009-07-19 - 2009-07-25,66
2009-07-26 - 2009-08-01,62
2009-08-02 - 2009-08-08,61
2009-08-09 - 2009-08-15,59
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,55
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,53
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,57
2009-10-25 - 2009-10-31,51
2009-11-01 - 2009-11-07,54
2009-11-08 - 2009-11-14,52
2009-11-15 - 2009-11-21,50
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,52
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,53
2009-12-20 - 2009-12-26,55
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,50
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,47
2010-01-31 - 2010-02-06,48
2010-02-07 - 2010-02-13,48
2010-02-14 - 2010-02-20,50
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,48
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,46
2010-04-04 - 2010-04-10,47
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,46
2010-04-25 - 2010-05-01,46
2010-05-02 - 2010-05-08,50
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,46
2010-05-30 - 2010-06-05,48
2010-06-06 - 2010-06-12,47
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,47
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,46
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,47
2010-08-22 - 2010-08-28,43
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,39
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,41
2010-10-17 - 2010-10-23,41
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,47
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,44
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,53
2011-02-20 - 2011-02-26,57
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,55
2011-03-13 - 2011-03-19,55
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,55
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,53
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,51
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,52
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,53
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,58
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,52
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,45
2011-10-23 - 2011-10-29,45
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,42
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,43
2011-12-18 - 2011-12-24,50
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,52
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,42
2012-03-04 - 2012-03-10,42
2012-03-11 - 2012-03-17,45
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,46
2012-04-15 - 2012-04-21,43
2012-04-22 - 2012-04-28,47
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,45
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,47
2012-06-03 - 2012-06-09,48
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,51
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,56
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,44
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,48
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,48
2012-10-14 - 2012-10-20,48
2012-10-21 - 2012-10-27,48
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,51
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,55
2013-01-06 - 2013-01-12,51
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,45
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,44
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,43
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,43
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,43
2013-07-07 - 2013-07-13,43
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,37
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,37
2013-11-17 - 2013-11-23,38
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,40
2013-12-22 - 2013-12-28,41
2013-12-29 - 2014-01-04,42
2014-01-05 - 2014-01-11,38
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,39
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,37
2014-03-30 - 2014-04-05,37
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,40
2014-04-20 - 2014-04-26,39
2014-04-27 - 2014-05-03,41
2014-05-04 - 2014-05-10,43
2014-05-11 - 2014-05-17,39
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,40
2014-06-01 - 2014-06-07,44
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,46
2014-06-29 - 2014-07-05,45
2014-07-06 - 2014-07-12,42
2014-07-13 - 2014-07-19,39
2014-07-20 - 2014-07-26,41
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,38
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,40
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,36
2014-09-28 - 2014-10-04,36
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,38
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,36
2014-11-02 - 2014-11-08,33
2014-11-09 - 2014-11-15,34
2014-11-16 - 2014-11-22,35
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,34
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,41
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,40
2015-01-25 - 2015-01-31,37
2015-02-01 - 2015-02-07,35
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,37
2015-02-22 - 2015-02-28,35
2015-03-01 - 2015-03-07,36
2015-03-08 - 2015-03-14,37
2015-03-15 - 2015-03-21,37
2015-03-22 - 2015-03-28,37
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,36
2015-04-19 - 2015-04-25,32
2015-04-26 - 2015-05-02,35
2015-05-03 - 2015-05-09,38
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,42
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,43
2015-06-21 - 2015-06-27,41
2015-06-28 - 2015-07-04,41
2015-07-05 - 2015-07-11,37
2015-07-12 - 2015-07-18,35
2015-07-19 - 2015-07-25,34
2015-07-26 - 2015-08-01,37


Top sub-regions for the game
Sub-region,the game
Mississippi,100
South Dakota,99
Louisiana,98
Arizona,97
California,97
Ohio,96
Nevada,94
Pennsylvania,94
South Carolina,93
Rhode Island,93
Georgia,93
Michigan,92
New York,92
North Carolina,92
Alabama,92
Massachusetts,91
Kentucky,90
Texas,90
Missouri,89
New Mexico,88
Arkansas,87
Indiana,87
Florida,87
Connecticut,86
Illinois,86
New Hampshire,86
Maine,86
Oklahoma,85
New Jersey,85
Tennessee,85
Wisconsin,84
Delaware,84
Colorado,83
Washington,82
Maryland,82
Nebraska,82
West Virginia,82
District of Columbia,81
Kansas,81
North Dakota,80
Montana,80
Minnesota,79
Iowa,79
Utah,79
Wyoming,78
Idaho,78
Vermont,73
Alaska,71
Virginia,71
Oregon,70
Hawaii,67


Top metros for the game
Metro,the game
Bakersfield CA,100
Los Angeles CA,96
Palm Springs CA,94
Rapid City SD,92
Albany GA,91
Fresno-Visalia CA,88
Biloxi-Gulfport MS,87
Montgomery (Selma) AL,87
Jackson MS,87
Baton Rouge LA,85
Yakima-Pasco-Richland-Kennewick WA,84
Youngstown OH,83
Columbia SC,82
Providence RI-New Bedford MA,82
Lafayette LA,81
Columbus-Tupelo-West Point MS,81
Albuquerque-Santa Fe NM,80
Little Rock-Pine Bluff AR,79
Phoenix AZ,79
Louisville KY,79
Rockford IL,79
Detroit MI,78
Las Vegas NV,78
New York NY,77
Laredo TX,77
Santa Barbara-Santa Maria-San Luis Obispo CA,77
Lexington KY,76
Wilkes Barre-Scranton PA,76
Macon GA,76
Cincinnati OH,76
Philadelphia PA,75
Utica NY,75
Medford-Klamath Falls OR,75
Wausau-Rhinelander WI,75
Flint-Saginaw-Bay City MI,75
Sacramento-Stockton-Modesto CA,74
New Orleans LA,74
Boston MA-Manchester NH,74
Raleigh-Durham (Fayetteville) NC,74
Chicago IL,74
Kansas City MO,74
Ft. Wayne IN,74
Greenville-New Bern-Washington NC,74
Cleveland-Akron (Canton) OH,74
Norfolk-Portsmouth-Newport News VA,74
St. Louis MO,74
Charlotte NC,73
Tucson (Sierra Vista) AZ,73
Bangor ME,73
Minot-Bismarck-Dickinson(Williston) ND,73
Reno NV,73
Charleston SC,73
Boise ID,73
Salisbury MD,73
Florence-Myrtle Beach SC,73
Shreveport LA,73
Binghamton NY,73
Beaumont-Port Arthur TX,72
Memphis TN,72
Hartford & New Haven CT,72
Orlando-Daytona Beach-Melbourne FL,72
Huntsville-Decatur (Florence) AL,72
Dallas-Ft. Worth TX,72
Tallahassee FL-Thomasville GA,72
Duluth MN-Superior WI,71
Corpus Christi TX,71
Harrisburg-Lancaster-Lebanon-York PA,71
San Antonio TX,71
Atlanta GA,71
Tri-Cities TN-VA,71
San Diego CA,71
Odessa-Midland TX,70
Sioux Falls(Mitchell) SD,70
Richmond-Petersburg VA,70
Colorado Springs-Pueblo CO,70
Jackson TN,70
Columbus OH,70
Wilmington NC,70
Birmingham AL,70
Pittsburgh PA,70
Jacksonville FL,70
Columbus GA,70
Milwaukee WI,70
Sioux City IA,70
Charleston-Huntington WV,69
Rochester NY,69
Albany-Schenectady-Troy NY,69
Missoula MT,69
Springfield-Holyoke MA,69
Houston TX,69
Spokane WA,69
Johnstown-Altoona PA,68
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,68
Wichita-Hutchinson KS,68
Baltimore MD,68
Dayton OH,68
Fargo-Valley City ND,68
South Bend-Elkhart IN,68
Syracuse NY,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68
West Palm Beach-Ft. Pierce FL,68
Omaha NE,68
Grand Rapids-Kalamazoo-Battle Creek MI,68
Denver CO,67
Miami-Ft. Lauderdale FL,67
Abilene-Sweetwater TX,67
Evansville IN,67
Portland-Auburn ME,67
Seattle-Tacoma WA,67
Mobile AL-Pensacola (Ft. Walton Beach) FL,67
Monterey-Salinas CA,67
Toledo OH,66
Indianapolis IN,66
Topeka KS,66
Ft. Smith-Fayetteville-Springdale-Rogers AR,66
Lubbock TX,66
Augusta GA,65
Erie PA,65
El Paso TX,65
Eugene OR,65
Amarillo TX,65
Savannah GA,65
Bowling Green KY,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65
Greensboro-High Point-Winston Salem NC,65
Oklahoma City OK,65
Ft. Myers-Naples FL,64
Roanoke-Lynchburg VA,64
Minneapolis-St. Paul MN,64
Buffalo NY,64
Salt Lake City UT,64
Rochester MN-Mason City IA-Austin MN,63
La Crosse-Eau Claire WI,63
Tyler-Longview(Lufkin & Nacogdoches) TX,63
Green Bay-Appleton WI,63
Chattanooga TN,63
Lansing MI,63
Washington DC (Hagerstown MD),63
Tampa-St. Petersburg (Sarasota) FL,63
Champaign & Springfield-Decatur IL,62
Nashville TN,62
Waco-Temple-Bryan TX,62
Madison WI,61
Davenport IA-Rock Island-Moline IL,61
Peoria-Bloomington IL,61
Columbia-Jefferson City MO,60
Lincoln & Hastings-Kearney NE,60
Chico-Redding CA,60
Springfield MO,59
Austin TX,59
Knoxville TN,58
Honolulu HI,58
Traverse City-Cadillac MI,58
Harlingen-Weslaco-Brownsville-McAllen TX,58
Tulsa OK,57
Gainesville FL,57
Burlington VT-Plattsburgh NY,56
Des Moines-Ames IA,56
Portland OR,55
Charlottesville VA,53
Anchorage AK,52
San Francisco-Oakland-San Jose CA,52
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for the game
Town/City,the game
Los Angeles,100
Irvine,95
Richardson,85
Phoenix,83
Las Vegas,80
New York,77
Philadelphia,77
Atlanta,75
St. Louis,75
Orlando,73
San Diego,73
Houston,72
Tampa,71
Sacramento,71
Columbus,70



Top searches for the game
lil wayne,100
love game,95
my life,70
the game trailer,60
the game new,55
play the game,50
50 cent,35
like the game,35
the game 2011,30
celebration the game,25
game of thrones,25
the city game,25
the maze game,25
the game money,25
the game instrumental,20
kanye west,20
the walking dead,20
love game lyrics,20
the name game,15
scary maze game,15
dreams the game,15
the guy game,15
red nation,15
transformers,15
jay z,15
transformers the game,15
batman,15
rick ross,15
the game freestyle,15
end game,15
kendrick lamar,15
tyga,15
the game pain,15
game grumps,15
the online game,15
snoop dogg,10
young jeezy,10
2pac,10
the game interview,10
tupac,10
how we do,10
disturbed,10
disturbed the game,10
the dating game,10
the impossible game,10
nas,10
wicked game,10
harry potter,10
martians vs goblins,10
the simpsons game,10



Rising searches for the game
celebration the game,Breakout
game of thrones,Breakout
the game 2011,Breakout
my life,+1,450%
the game trailer,+150%
lil wayne,+100%
love game,+80%
the city game,+50%
the game money,+50%
the maze game,+50%



