YouTube Search interest: daughtry
United States; Jan 2008 - Jul 2015

Interest over time
Week,daughtry
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,32
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,28
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,27
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,29
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,24
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,21
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,16
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,18
2013-04-28 - 2013-05-04,19
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,16
2013-06-09 - 2013-06-15,15
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,15
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,16
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,54
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,53
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,43
2014-01-12 - 2014-01-18,48
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,44
2014-02-02 - 2014-02-08,46
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,47
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,37
2014-03-30 - 2014-04-05,35
2014-04-06 - 2014-04-12,38
2014-04-13 - 2014-04-19,34
2014-04-20 - 2014-04-26,33
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,31
2014-05-11 - 2014-05-17,28
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,30
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,26
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,27
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,28
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,25
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,21
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,19
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,15


Top sub-regions for daughtry
Sub-region,daughtry
South Dakota,100
Maine,85
West Virginia,84
North Dakota,83
Kentucky,81
Wisconsin,75
Ohio,72
Missouri,71
New Hampshire,71
Indiana,69
Iowa,69
Arkansas,68
Wyoming,68
Nebraska,67
Pennsylvania,65
Tennessee,65
Vermont,63
Idaho,63
Kansas,62
North Carolina,61
Montana,61
Michigan,60
Utah,60
Alabama,60
Mississippi,60
South Carolina,58
Minnesota,57
Oklahoma,55
Massachusetts,54
Connecticut,52
Louisiana,51
New York,50
Rhode Island,50
Illinois,50
Colorado,49
Georgia,49
New Jersey,48
Alaska,48
Arizona,47
Texas,46
New Mexico,44
Virginia,44
Florida,44
District of Columbia,42
Washington,42
Nevada,41
Maryland,41
Delaware,40
Hawaii,39
Oregon,37
California,33


Top metros for daughtry
Metro,daughtry
Sioux Falls(Mitchell) SD,100
Green Bay-Appleton WI,90
Portland-Auburn ME,89
Charleston-Huntington WV,87
Wilkes Barre-Scranton PA,78
Lexington KY,72
Dayton OH,71
Des Moines-Ames IA,71
Cleveland-Akron (Canton) OH,68
Albany-Schenectady-Troy NY,68
Grand Rapids-Kalamazoo-Battle Creek MI,68
Burlington VT-Plattsburgh NY,67
Louisville KY,67
Wichita-Hutchinson KS,64
Indianapolis IN,64
Flint-Saginaw-Bay City MI,64
Pittsburgh PA,64
Rochester NY,63
Harrisburg-Lancaster-Lebanon-York PA,63
Columbus OH,63
Syracuse NY,61
St. Louis MO,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
Omaha NE,59
Madison WI,59
Kansas City MO,58
Birmingham AL,57
Greensboro-High Point-Winston Salem NC,57
Salt Lake City UT,55
Fresno-Visalia CA,54
Charlotte NC,53
Buffalo NY,53
Cincinnati OH,51
Raleigh-Durham (Fayetteville) NC,51
Nashville TN,49
Hartford & New Haven CT,48
Boston MA-Manchester NH,48
Minneapolis-St. Paul MN,48
Providence RI-New Bedford MA,47
Detroit MI,47
Phoenix AZ,46
Milwaukee WI,45
Denver CO,45
Dallas-Ft. Worth TX,45
Philadelphia PA,45
Oklahoma City OK,44
Orlando-Daytona Beach-Melbourne FL,44
Baltimore MD,42
Honolulu HI,41
New York NY,41
Atlanta GA,41
Chicago IL,40
Tampa-St. Petersburg (Sarasota) FL,40
San Antonio TX,37
Houston TX,37
Washington DC (Hagerstown MD),36
Seattle-Tacoma WA,35
Sacramento-Stockton-Modesto CA,34
Portland OR,33
Norfolk-Portsmouth-Newport News VA,33
Las Vegas NV,30
Los Angeles CA,30
Miami-Ft. Lauderdale FL,28
San Diego CA,27
Austin TX,26
San Francisco-Oakland-San Jose CA,25
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for daughtry
Town/City,daughtry
Herndon,100
St. Louis,97
Richardson,86
Louisville,85
Indianapolis,76
Columbus,75
Orlando,73
Atlanta,71
Minneapolis,69
Phoenix,69
Boston,66
Denver,63
Dallas,63
Tampa,62
Philadelphia,61



Top searches for daughtry
chris daughtry,100
daughtry lyrics,95
daughtry september,55
september,50
home daughtry,50
life after you,50
over you,45
daughtry over you,45
daughtry superman,40
superman,40
daughtry no surprise,35
no surprise,35
what about now,30
waiting for superman,30
nickelback,20
american idol daughtry,15
its not over,15
over you lyrics,15
daughtry live,15
home chris daughtry,15
september daughtry lyrics,10
daughtry poker face,10
daughtry home lyrics,10
lifehouse,10
daughtry acoustic,10
superman daughtry lyrics,10
daughtry cover,10
daughtry crashed,10
david cook,10
daughtry battleships,5
chris daughtry audition,5
daughtry photograph,5
used to daughtry,5
daughtry sorry,5



Rising searches for daughtry
daughtry no surprise,Breakout
daughtry september,Breakout
daughtry superman,Breakout
life after you,Breakout
no surprise,Breakout
september,Breakout
superman,Breakout
waiting for superman,Breakout
what about now,+1,700%
daughtry lyrics,+1,200%



