YouTube Search interest: demi lovato
United States; Jan 2008 - Jul 2015

Interest over time
Week,demi lovato
2009-08-02 - 2009-08-08,70
2009-08-09 - 2009-08-15,63
2009-08-16 - 2009-08-22,62
2009-08-23 - 2009-08-29,58
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,50
2009-09-13 - 2009-09-19,42
2009-09-20 - 2009-09-26,45
2009-09-27 - 2009-10-03,44
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,40
2009-10-18 - 2009-10-24,38
2009-10-25 - 2009-10-31,36
2009-11-01 - 2009-11-07,34
2009-11-08 - 2009-11-14,36
2009-11-15 - 2009-11-21,35
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,33
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,33
2009-12-20 - 2009-12-26,38
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,29
2010-01-24 - 2010-01-30,31
2010-01-31 - 2010-02-06,29
2010-02-07 - 2010-02-13,28
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,28
2010-02-28 - 2010-03-06,29
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,39
2010-03-28 - 2010-04-03,37
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,35
2010-04-18 - 2010-04-24,33
2010-04-25 - 2010-05-01,33
2010-05-02 - 2010-05-08,33
2010-05-09 - 2010-05-15,34
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,33
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,33
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,31
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,33
2010-09-12 - 2010-09-18,26
2010-09-19 - 2010-09-25,28
2010-09-26 - 2010-10-02,24
2010-10-03 - 2010-10-09,28
2010-10-10 - 2010-10-16,27
2010-10-17 - 2010-10-23,29
2010-10-24 - 2010-10-30,27
2010-10-31 - 2010-11-06,36
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,25
2010-11-21 - 2010-11-27,26
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,23
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,23
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,22
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,20
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,16
2011-03-06 - 2011-03-12,21
2011-03-13 - 2011-03-19,19
2011-03-20 - 2011-03-26,17
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,18
2011-04-10 - 2011-04-16,16
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,17
2011-05-08 - 2011-05-14,16
2011-05-15 - 2011-05-21,15
2011-05-22 - 2011-05-28,16
2011-05-29 - 2011-06-04,18
2011-06-05 - 2011-06-11,16
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,18
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,22
2011-07-10 - 2011-07-16,95
2011-07-17 - 2011-07-23,100
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,61
2011-09-11 - 2011-09-17,59
2011-09-18 - 2011-09-24,96
2011-09-25 - 2011-10-01,84
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,57
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,39
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,43
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,51
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,57
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,55
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,86
2012-09-16 - 2012-09-22,69
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,39
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,30
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,63
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,53
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,57
2013-04-07 - 2013-04-13,88
2013-04-14 - 2013-04-20,75
2013-04-21 - 2013-04-27,68
2013-04-28 - 2013-05-04,66
2013-05-05 - 2013-05-11,75
2013-05-12 - 2013-05-18,87
2013-05-19 - 2013-05-25,75
2013-05-26 - 2013-06-01,68
2013-06-02 - 2013-06-08,64
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,60
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,36
2013-09-08 - 2013-09-14,41
2013-09-15 - 2013-09-21,39
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,32
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,44
2013-12-08 - 2013-12-14,46
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,39
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,40
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,41
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,38
2014-04-06 - 2014-04-12,38
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,31
2014-05-11 - 2014-05-17,33
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,28
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,24
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,18
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,19
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,20
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,12
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,11
2015-06-07 - 2015-06-13,10
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,23


Top sub-regions for demi lovato
Sub-region,demi lovato
New York,100
New Jersey,99
California,98
Florida,96
Connecticut,93
Pennsylvania,92
Texas,91
Rhode Island,88
Arizona,88
Michigan,87
Nevada,87
Hawaii,86
Ohio,86
Massachusetts,84
Utah,83
Illinois,83
Wisconsin,82
South Dakota,82
Iowa,80
Nebraska,78
Indiana,78
New Hampshire,77
Virginia,77
Georgia,77
Missouri,76
Minnesota,76
Delaware,76
Idaho,75
Maine,75
North Carolina,75
Louisiana,74
Maryland,73
Colorado,73
Oklahoma,72
Kansas,72
Kentucky,72
New Mexico,71
Washington,70
South Carolina,69
West Virginia,67
Arkansas,67
Tennessee,67
Mississippi,66
Alabama,65
North Dakota,63
District of Columbia,62
Montana,60
Vermont,60
Wyoming,60
Oregon,59
Alaska,56


Top metros for demi lovato
Metro,demi lovato
Bakersfield CA,100
Los Angeles CA,97
New York NY,96
Palm Springs CA,94
El Paso TX,91
Miami-Ft. Lauderdale FL,90
Providence RI-New Bedford MA,89
Harlingen-Weslaco-Brownsville-McAllen TX,89
Fresno-Visalia CA,88
Las Vegas NV,87
Rockford IL,87
Philadelphia PA,86
Tampa-St. Petersburg (Sarasota) FL,86
Orlando-Daytona Beach-Melbourne FL,85
Hartford & New Haven CT,85
Cleveland-Akron (Canton) OH,83
Sioux Falls(Mitchell) SD,83
Sacramento-Stockton-Modesto CA,82
Sioux City IA,82
Phoenix AZ,81
Honolulu HI,81
San Antonio TX,81
Ft. Myers-Naples FL,80
Harrisburg-Lancaster-Lebanon-York PA,80
Wilkes Barre-Scranton PA,80
Salt Lake City UT,80
Detroit MI,79
Houston TX,79
Dallas-Ft. Worth TX,78
Rochester MN-Mason City IA-Austin MN,78
Milwaukee WI,78
Omaha NE,78
Chicago IL,78
Boston MA-Manchester NH,77
Toledo OH,77
Davenport IA-Rock Island-Moline IL,77
Youngstown OH,77
Springfield-Holyoke MA,76
Wausau-Rhinelander WI,76
Green Bay-Appleton WI,76
Grand Rapids-Kalamazoo-Battle Creek MI,75
San Diego CA,75
Tucson (Sierra Vista) AZ,74
Washington DC (Hagerstown MD),74
Chico-Redding CA,73
Binghamton NY,73
Ft. Wayne IN,73
Albany-Schenectady-Troy NY,73
Corpus Christi TX,73
New Orleans LA,72
Charlotte NC,71
Albuquerque-Santa Fe NM,71
Portland-Auburn ME,71
Yakima-Pasco-Richland-Kennewick WA,71
Boise ID,71
Baltimore MD,71
San Francisco-Oakland-San Jose CA,71
Jacksonville FL,71
Peoria-Bloomington IL,71
Buffalo NY,71
Colorado Springs-Pueblo CO,70
Dayton OH,70
Minneapolis-St. Paul MN,70
Rochester NY,70
Louisville KY,70
West Palm Beach-Ft. Pierce FL,70
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Reno NV,69
Florence-Myrtle Beach SC,69
Atlanta GA,69
Cincinnati OH,69
Flint-Saginaw-Bay City MI,68
Lincoln & Hastings-Kearney NE,68
Johnstown-Altoona PA,68
Spokane WA,68
South Bend-Elkhart IN,67
Madison WI,67
St. Louis MO,66
Fargo-Valley City ND,66
Pittsburgh PA,66
Des Moines-Ames IA,66
Syracuse NY,66
Waco-Temple-Bryan TX,66
Indianapolis IN,65
La Crosse-Eau Claire WI,65
Columbus OH,65
Lafayette LA,65
Chattanooga TN,64
Kansas City MO,64
Jackson MS,64
Tyler-Longview(Lufkin & Nacogdoches) TX,64
Greensboro-High Point-Winston Salem NC,64
Baton Rouge LA,63
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Montgomery (Selma) AL,63
Denver CO,63
Springfield MO,63
Charleston SC,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
Norfolk-Portsmouth-Newport News VA,63
Burlington VT-Plattsburgh NY,62
Shreveport LA,62
Wichita-Hutchinson KS,62
Nashville TN,62
Seattle-Tacoma WA,62
Topeka KS,62
Ft. Smith-Fayetteville-Springdale-Rogers AR,62
Lexington KY,62
Champaign & Springfield-Decatur IL,61
Monterey-Salinas CA,61
Mobile AL-Pensacola (Ft. Walton Beach) FL,61
Huntsville-Decatur (Florence) AL,61
Greenville-New Bern-Washington NC,60
Birmingham AL,60
Evansville IN,60
Austin TX,60
Portland OR,59
Augusta GA,59
Gainesville FL,59
Little Rock-Pine Bluff AR,59
Charleston-Huntington WV,59
Tulsa OK,59
Richmond-Petersburg VA,59
Raleigh-Durham (Fayetteville) NC,58
Roanoke-Lynchburg VA,58
Knoxville TN,58
Eugene OR,57
Oklahoma City OK,56
Tri-Cities TN-VA,56
Columbia SC,56
Macon GA,55
Lansing MI,55
Charlottesville VA,54
Tallahassee FL-Thomasville GA,53
Savannah GA,53
Anchorage AK,52
Memphis TN,50
Erie PA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for demi lovato
Town/City,demi lovato
Los Angeles,100
Las Vegas,94
New York,92
Miami,91
Fresno,90
Richardson,89
Irvine,88
Phoenix,88
Orlando,84
San Antonio,83
Houston,81
San Diego,80
Philadelphia,79
Tampa,74
Milpitas,71



Top searches for demi lovato
demi lovato lyrics,100
heart,70
skyscraper,50
demi lovato skyscraper,50
selena,40
selena gomez,40
heart attack,30
miley cyrus,20
taylor swift,15
skyscraper lyrics,15
demi lovato songs,15
justin bieber,15
demi lovato live,10
jonas brothers,10
this is me,10
la la land,10
katy perry,10
catch me,10
joe jonas,5
get back,5
demi lovato forget,5
one direction,5
fix a heart,5
unbroken demi lovato,5
camp rock,5
hannah montana,5
remember december,5
ariana grande,5
demi lovato interview,5
demi lovato lightweight,5
together demi lovato,5
dont forget,5
kelly clarkson,5
lala land,5
avril lavigne,5
nick jonas,5
frozen,5
demi lovato warrior,5
demi lovato dancing,5
selena gomez songs,5
cher lloyd,5
demi lavato,5
miley and mandy,0
the climb,0
camp rock 2,0



Rising searches for demi lovato
demi lovato lyrics,Breakout
demi lovato skyscraper,Breakout
demi lovato songs,Breakout
heart,Breakout
heart attack,Breakout
justin bieber,Breakout
miley cyrus,Breakout
selena,Breakout
selena gomez,Breakout
skyscraper,Breakout



