YouTube Search interest: ace hood
United States; Jan 2008 - Jul 2015

Interest over time
Week,ace hood
2009-03-22 - 2009-03-28,13
2009-03-29 - 2009-04-04,11
2009-04-05 - 2009-04-11,12
2009-04-12 - 2009-04-18,13
2009-04-19 - 2009-04-25,10
2009-04-26 - 2009-05-02,10
2009-05-03 - 2009-05-09,14
2009-05-10 - 2009-05-16,15
2009-05-17 - 2009-05-23,28
2009-05-24 - 2009-05-30,29
2009-05-31 - 2009-06-06,21
2009-06-07 - 2009-06-13,21
2009-06-14 - 2009-06-20,19
2009-06-21 - 2009-06-27,22
2009-06-28 - 2009-07-04,26
2009-07-05 - 2009-07-11,23
2009-07-12 - 2009-07-18,24
2009-07-19 - 2009-07-25,23
2009-07-26 - 2009-08-01,19
2009-08-02 - 2009-08-08,18
2009-08-09 - 2009-08-15,16
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,15
2009-08-30 - 2009-09-05,14
2009-09-06 - 2009-09-12,12
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,15
2009-09-27 - 2009-10-03,12
2009-10-04 - 2009-10-10,15
2009-10-11 - 2009-10-17,13
2009-10-18 - 2009-10-24,12
2009-10-25 - 2009-10-31,12
2009-11-01 - 2009-11-07,11
2009-11-08 - 2009-11-14,11
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,11
2009-11-29 - 2009-12-05,12
2009-12-06 - 2009-12-12,10
2009-12-13 - 2009-12-19,10
2009-12-20 - 2009-12-26,11
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,12
2010-01-10 - 2010-01-16,11
2010-01-17 - 2010-01-23,10
2010-01-24 - 2010-01-30,10
2010-01-31 - 2010-02-06,10
2010-02-07 - 2010-02-13,10
2010-02-14 - 2010-02-20,11
2010-02-21 - 2010-02-27,11
2010-02-28 - 2010-03-06,11
2010-03-07 - 2010-03-13,10
2010-03-14 - 2010-03-20,11
2010-03-21 - 2010-03-27,9
2010-03-28 - 2010-04-03,9
2010-04-04 - 2010-04-10,10
2010-04-11 - 2010-04-17,12
2010-04-18 - 2010-04-24,10
2010-04-25 - 2010-05-01,11
2010-05-02 - 2010-05-08,10
2010-05-09 - 2010-05-15,8
2010-05-16 - 2010-05-22,8
2010-05-23 - 2010-05-29,10
2010-05-30 - 2010-06-05,9
2010-06-06 - 2010-06-12,9
2010-06-13 - 2010-06-19,7
2010-06-20 - 2010-06-26,8
2010-06-27 - 2010-07-03,7
2010-07-04 - 2010-07-10,10
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,8
2010-07-25 - 2010-07-31,7
2010-08-01 - 2010-08-07,8
2010-08-08 - 2010-08-14,7
2010-08-15 - 2010-08-21,9
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,8
2010-09-05 - 2010-09-11,8
2010-09-12 - 2010-09-18,8
2010-09-19 - 2010-09-25,9
2010-09-26 - 2010-10-02,8
2010-10-03 - 2010-10-09,7
2010-10-10 - 2010-10-16,8
2010-10-17 - 2010-10-23,8
2010-10-24 - 2010-10-30,8
2010-10-31 - 2010-11-06,9
2010-11-07 - 2010-11-13,8
2010-11-14 - 2010-11-20,7
2010-11-21 - 2010-11-27,7
2010-11-28 - 2010-12-04,8
2010-12-05 - 2010-12-11,8
2010-12-12 - 2010-12-18,9
2010-12-19 - 2010-12-25,9
2010-12-26 - 2011-01-01,8
2011-01-02 - 2011-01-08,11
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,19
2011-01-23 - 2011-01-29,26
2011-01-30 - 2011-02-05,28
2011-02-06 - 2011-02-12,23
2011-02-13 - 2011-02-19,25
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,41
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,40
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,52
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,65
2011-07-10 - 2011-07-16,74
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,75
2011-07-31 - 2011-08-06,84
2011-08-07 - 2011-08-13,92
2011-08-14 - 2011-08-20,84
2011-08-21 - 2011-08-27,74
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,49
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,42
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,39
2012-01-01 - 2012-01-07,36
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,30
2012-01-22 - 2012-01-28,30
2012-01-29 - 2012-02-04,29
2012-02-05 - 2012-02-11,26
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,28
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,31
2012-04-29 - 2012-05-05,32
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,30
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,28
2012-06-10 - 2012-06-16,25
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,32
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,27
2012-09-09 - 2012-09-15,24
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,26
2012-11-04 - 2012-11-10,28
2012-11-11 - 2012-11-17,30
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,29
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,23
2012-12-30 - 2013-01-05,23
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,76
2013-03-03 - 2013-03-09,80
2013-03-10 - 2013-03-16,96
2013-03-17 - 2013-03-23,100
2013-03-24 - 2013-03-30,99
2013-03-31 - 2013-04-06,96
2013-04-07 - 2013-04-13,91
2013-04-14 - 2013-04-20,96
2013-04-21 - 2013-04-27,82
2013-04-28 - 2013-05-04,82
2013-05-05 - 2013-05-11,86
2013-05-12 - 2013-05-18,90
2013-05-19 - 2013-05-25,81
2013-05-26 - 2013-06-01,75
2013-06-02 - 2013-06-08,70
2013-06-09 - 2013-06-15,65
2013-06-16 - 2013-06-22,59
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,74
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,81
2013-07-21 - 2013-07-27,70
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,45
2013-08-25 - 2013-08-31,45
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,37
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,28
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,30
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,23
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,21
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,22
2014-05-18 - 2014-05-24,21
2014-05-25 - 2014-05-31,22
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,18
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,19
2014-09-14 - 2014-09-20,17
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,16
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,16
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,14
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,10
2015-04-26 - 2015-05-02,11
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,12


Top sub-regions for ace hood
Sub-region,ace hood
Mississippi,100
Florida,96
South Carolina,86
North Carolina,83
Alabama,81
Georgia,80
Louisiana,78
Maryland,72
Delaware,67
Kentucky,66
Ohio,65
Tennessee,65
Indiana,62
West Virginia,61
Michigan,60
Pennsylvania,60
Wisconsin,60
Illinois,59
Arkansas,54
Iowa,54
Rhode Island,54
Missouri,53
New York,53
New Jersey,48
Connecticut,48
Minnesota,47
Massachusetts,47
District of Columbia,46
Texas,44
South Dakota,42
Kansas,41
North Dakota,40
Virginia,40
New Mexico,40
Oklahoma,39
Nebraska,38
Maine,38
New Hampshire,37
Arizona,36
Colorado,36
Nevada,32
Vermont,32
Montana,26
Wyoming,26
Washington,25
California,25
Alaska,23
Hawaii,19
Oregon,19
Idaho,18
Utah,18


Top metros for ace hood
Metro,ace hood
Tallahassee FL-Thomasville GA,100
Macon GA,86
Miami-Ft. Lauderdale FL,81
Savannah GA,81
West Palm Beach-Ft. Pierce FL,80
Ft. Myers-Naples FL,75
Columbia SC,72
Jackson MS,68
Mobile AL-Pensacola (Ft. Walton Beach) FL,66
Norfolk-Portsmouth-Newport News VA,62
Tampa-St. Petersburg (Sarasota) FL,62
New Orleans LA,62
Raleigh-Durham (Fayetteville) NC,62
Memphis TN,61
Orlando-Daytona Beach-Melbourne FL,60
Jacksonville FL,58
Birmingham AL,53
Atlanta GA,53
Richmond-Petersburg VA,52
Louisville KY,52
Milwaukee WI,51
Baltimore MD,51
Columbus OH,51
Toledo OH,50
Greensboro-High Point-Winston Salem NC,50
Flint-Saginaw-Bay City MI,50
Nashville TN,50
Buffalo NY,48
Charlotte NC,48
Cincinnati OH,46
Waco-Temple-Bryan TX,46
Philadelphia PA,45
Rochester NY,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,45
Cleveland-Akron (Canton) OH,44
Dayton OH,44
Indianapolis IN,42
Chicago IL,40
Harrisburg-Lancaster-Lebanon-York PA,40
New York NY,40
Grand Rapids-Kalamazoo-Battle Creek MI,39
Detroit MI,38
Pittsburgh PA,38
Providence RI-New Bedford MA,38
St. Louis MO,37
Houston TX,36
Wilkes Barre-Scranton PA,36
Hartford & New Haven CT,35
San Antonio TX,33
Minneapolis-St. Paul MN,33
Boston MA-Manchester NH,32
Kansas City MO,31
Washington DC (Hagerstown MD),29
Dallas-Ft. Worth TX,29
Las Vegas NV,28
Denver CO,27
Phoenix AZ,26
Austin TX,24
Sacramento-Stockton-Modesto CA,21
Los Angeles CA,20
Seattle-Tacoma WA,18
San Diego CA,17
Portland OR,15
San Francisco-Oakland-San Jose CA,10
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for ace hood
Town/City,ace hood
Jacksonville,100
Miami,100
Baltimore,99
Milwaukee,97
Philadelphia,92
Charlotte,76
Orlando,73
Columbus,73
Tampa,69
Nashville,65
St. Louis,64
New York,62
Chicago,62
Atlanta,61
Houston,55



Top searches for ace hood
ace hood bugatti,100
bugatti,100
ace hood hustle,90
ace hood remix,85
ace hood lyrics,70
rick ross,40
ride ace hood,40
new ace hood,35
body 2 body,30
ace hood instrumental,25
ace hood future,25
ride or die,25
body to body,25
meek mill,20
ace hood freestyle,20
ace hood 2011,15
ace hood overtime,15
dj khaled,15
overtime,15
cash flow,15
ace hood starvation,10
ace hood john,10
ace hood 2012,10
bugatti remix,10
stressin ace hood,10
racks on racks,5



Rising searches for ace hood
ace hood bugatti,Breakout
ace hood hustle,Breakout
ace hood lyrics,Breakout
ace hood remix,Breakout
body 2 body,Breakout
bugatti,Breakout
new ace hood,Breakout
rick ross,Breakout
ride ace hood,Breakout



