YouTube Search interest: jessie j
United States; Jan 2008 - Jul 2015

Interest over time
Week,jessie j
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,1
2010-09-12 - 2010-09-18,1
2010-09-19 - 2010-09-25,1
2010-09-26 - 2010-10-02,1
2010-10-03 - 2010-10-09,1
2010-10-10 - 2010-10-16,1
2010-10-17 - 2010-10-23,1
2010-10-24 - 2010-10-30,1
2010-10-31 - 2010-11-06,1
2010-11-07 - 2010-11-13,5
2010-11-14 - 2010-11-20,10
2010-11-21 - 2010-11-27,5
2010-11-28 - 2010-12-04,4
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,4
2010-12-26 - 2011-01-01,6
2011-01-02 - 2011-01-08,16
2011-01-09 - 2011-01-15,26
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,19
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,25
2011-02-27 - 2011-03-05,27
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,36
2011-03-20 - 2011-03-26,26
2011-03-27 - 2011-04-02,24
2011-04-03 - 2011-04-09,24
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,32
2011-05-01 - 2011-05-07,30
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,27
2011-05-22 - 2011-05-28,23
2011-05-29 - 2011-06-04,25
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,18
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,15
2011-07-17 - 2011-07-23,21
2011-07-24 - 2011-07-30,22
2011-07-31 - 2011-08-06,21
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,24
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,27
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,63
2011-11-13 - 2011-11-19,61
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,65
2011-12-18 - 2011-12-24,75
2011-12-25 - 2011-12-31,95
2012-01-01 - 2012-01-07,86
2012-01-08 - 2012-01-14,98
2012-01-15 - 2012-01-21,100
2012-01-22 - 2012-01-28,92
2012-01-29 - 2012-02-04,92
2012-02-05 - 2012-02-11,94
2012-02-12 - 2012-02-18,88
2012-02-19 - 2012-02-25,83
2012-02-26 - 2012-03-03,74
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,86
2012-04-15 - 2012-04-21,56
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,41
2012-05-06 - 2012-05-12,37
2012-05-13 - 2012-05-19,36
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,34
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,32
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,28
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,24
2012-09-02 - 2012-09-08,23
2012-09-09 - 2012-09-15,37
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,32
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,24
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,21
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,19
2013-04-07 - 2013-04-13,16
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,25
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,23
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,17
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,19
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,15
2013-11-03 - 2013-11-09,16
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,15
2013-12-08 - 2013-12-14,14
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,13
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,11
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,11
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,12
2014-04-13 - 2014-04-19,13
2014-04-20 - 2014-04-26,11
2014-04-27 - 2014-05-03,11
2014-05-04 - 2014-05-10,11
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,11
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,12
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,31
2014-08-24 - 2014-08-30,66
2014-08-31 - 2014-09-06,35
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,33
2014-10-12 - 2014-10-18,42
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,46
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,39
2014-12-14 - 2014-12-20,51
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,39
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,37
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,24
2015-02-08 - 2015-02-14,30
2015-02-15 - 2015-02-21,25
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,32
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,29
2015-06-28 - 2015-07-04,28
2015-07-05 - 2015-07-11,24
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,21


Top sub-regions for jessie j
Sub-region,jessie j
Hawaii,100
New York,75
Minnesota,75
Utah,74
Iowa,74
Massachusetts,74
Maryland,73
New Jersey,72
Illinois,72
Pennsylvania,72
Rhode Island,71
Wisconsin,71
Connecticut,70
Indiana,69
Delaware,69
Florida,69
Ohio,68
North Carolina,68
Arizona,66
Michigan,64
Montana,64
Maine,64
Nebraska,64
South Carolina,64
Louisiana,63
North Dakota,62
New Hampshire,62
Georgia,62
California,61
New Mexico,61
West Virginia,61
Nevada,59
Tennessee,59
Washington,59
Alabama,58
Kansas,57
South Dakota,57
Idaho,57
Vermont,57
Mississippi,57
Kentucky,56
Oklahoma,56
Texas,56
Missouri,56
Alaska,54
Colorado,53
Arkansas,53
Oregon,52
Wyoming,49
Virginia,37
District of Columbia,36


Top metros for jessie j
Metro,jessie j
Honolulu HI,100
Providence RI-New Bedford MA,78
New York NY,73
Salt Lake City UT,72
Minneapolis-St. Paul MN,66
Boston MA-Manchester NH,65
Cincinnati OH,63
Milwaukee WI,63
Philadelphia PA,62
Harrisburg-Lancaster-Lebanon-York PA,61
Grand Rapids-Kalamazoo-Battle Creek MI,61
Nashville TN,61
Orlando-Daytona Beach-Melbourne FL,60
Raleigh-Durham (Fayetteville) NC,60
Chicago IL,60
San Diego CA,60
Los Angeles CA,59
Greensboro-High Point-Winston Salem NC,58
Indianapolis IN,58
Baltimore MD,58
Cleveland-Akron (Canton) OH,57
Hartford & New Haven CT,57
Norfolk-Portsmouth-Newport News VA,57
Miami-Ft. Lauderdale FL,55
Pittsburgh PA,55
Atlanta GA,54
Sacramento-Stockton-Modesto CA,54
Seattle-Tacoma WA,53
Phoenix AZ,52
Detroit MI,52
Austin TX,51
Columbus OH,50
Charlotte NC,50
Portland OR,50
Tampa-St. Petersburg (Sarasota) FL,49
San Antonio TX,49
Houston TX,48
Las Vegas NV,47
Denver CO,45
St. Louis MO,42
Dallas-Ft. Worth TX,42
Kansas City MO,41
Washington DC (Hagerstown MD),36
San Francisco-Oakland-San Jose CA,32
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for jessie j
Town/City,jessie j
New York,100
Philadelphia,85
Las Vegas,82
San Jose,81
San Diego,76
Houston,71
Boston,71
San Antonio,70
Los Angeles,69
Chicago,68
Phoenix,67
San Francisco,65
Denver,61
Seattle,61
Austin,60



Top searches for jessie j
jessie j lyrics,100
jessie j domino,55
domino jessie,50
domino,50
domino lyrics,45
who you are,30
jessie j love,20
price tag,15
price tag jessie,15
jessie j live,10
price tag lyrics,10
jessie j cover,5
jesse j,5
jessie j karaoke,5
jessie j acoustic,5
jessie jay,5
jessie j songs,5
wild jessie j,5
whos laughing now,5
masterpiece jessie j,5
masterpiece,0
jessie j vevo,0
jessie james,0
flashlight jessie j,0
laserlight jessie j,0
jessie j interview,0



Rising searches for jessie j
domino,Breakout
domino jessie,Breakout
domino lyrics,Breakout
jessie j domino,Breakout
jessie j live,Breakout
jessie j love,Breakout
jessie j lyrics,Breakout
price tag,Breakout
price tag jessie,Breakout
price tag lyrics,Breakout



