YouTube Search interest: trace adkins
United States; Jan 2008 - Jul 2015

Interest over time
Week,trace adkins
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,33
2009-05-17 - 2009-05-23,29
2009-05-24 - 2009-05-30,33
2009-05-31 - 2009-06-06,30
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,25
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,28
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,30
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,34
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,32
2009-08-30 - 2009-09-05,34
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,34
2009-09-20 - 2009-09-26,29
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,33
2009-10-11 - 2009-10-17,31
2009-10-18 - 2009-10-24,34
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,48
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,41
2009-11-29 - 2009-12-05,47
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,43
2009-12-20 - 2009-12-26,36
2009-12-27 - 2010-01-02,36
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,38
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,38
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,35
2010-03-14 - 2010-03-20,28
2010-03-21 - 2010-03-27,32
2010-03-28 - 2010-04-03,32
2010-04-04 - 2010-04-10,30
2010-04-11 - 2010-04-17,33
2010-04-18 - 2010-04-24,38
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,35
2010-05-09 - 2010-05-15,36
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,33
2010-06-13 - 2010-06-19,32
2010-06-20 - 2010-06-26,36
2010-06-27 - 2010-07-03,37
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,42
2010-08-01 - 2010-08-07,44
2010-08-08 - 2010-08-14,44
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,48
2010-08-29 - 2010-09-04,50
2010-09-05 - 2010-09-11,47
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,43
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,47
2010-10-24 - 2010-10-30,45
2010-10-31 - 2010-11-06,49
2010-11-07 - 2010-11-13,49
2010-11-14 - 2010-11-20,55
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,48
2010-12-12 - 2010-12-18,39
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,48
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,53
2011-01-30 - 2011-02-05,56
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,98
2011-03-06 - 2011-03-12,100
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,77
2011-03-27 - 2011-04-02,77
2011-04-03 - 2011-04-09,80
2011-04-10 - 2011-04-16,77
2011-04-17 - 2011-04-23,78
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,81
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,71
2011-05-22 - 2011-05-28,73
2011-05-29 - 2011-06-04,76
2011-06-05 - 2011-06-11,86
2011-06-12 - 2011-06-18,80
2011-06-19 - 2011-06-25,91
2011-06-26 - 2011-07-02,77
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,68
2011-07-17 - 2011-07-23,72
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,82
2011-08-07 - 2011-08-13,86
2011-08-14 - 2011-08-20,76
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,66
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,48
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,45
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,42
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,43
2012-03-04 - 2012-03-10,38
2012-03-11 - 2012-03-17,40
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,38
2012-04-08 - 2012-04-14,39
2012-04-15 - 2012-04-21,39
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,32
2012-05-13 - 2012-05-19,35
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,35
2012-06-17 - 2012-06-23,35
2012-06-24 - 2012-06-30,35
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,33
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,35
2012-09-02 - 2012-09-08,32
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,26
2012-09-23 - 2012-09-29,31
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,34
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,31
2012-12-16 - 2012-12-22,26
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,29
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,28
2013-04-14 - 2013-04-20,28
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,31
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,22
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,23
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,24
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,23
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,16
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,20
2014-05-25 - 2014-05-31,23
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,17
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,17
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,13
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,14


Top sub-regions for trace adkins
Sub-region,trace adkins
West Virginia,100
Kentucky,84
Wyoming,73
South Dakota,73
Iowa,72
North Dakota,67
Tennessee,66
Alabama,66
Montana,65
Arkansas,62
Indiana,62
Kansas,61
Ohio,61
Maine,61
Missouri,59
Nebraska,58
Idaho,56
Wisconsin,56
Vermont,56
Oklahoma,55
South Carolina,51
North Carolina,51
Mississippi,48
Pennsylvania,43
Michigan,43
Georgia,43
Louisiana,42
Utah,42
New Hampshire,41
Minnesota,41
Colorado,40
New Mexico,38
Alaska,33
Texas,32
Delaware,32
Florida,31
Washington,30
Illinois,28
Virginia,27
Oregon,27
Arizona,27
Maryland,24
District of Columbia,23
Connecticut,22
Massachusetts,22
Nevada,21
Rhode Island,21
New York,19
New Jersey,16
California,13
Hawaii,12


Top metros for trace adkins
Metro,trace adkins
Lexington KY,100
Wilkes Barre-Scranton PA,77
Greenville-Spartanburg SC-Asheville NC-Anderson SC,77
Pittsburgh PA,65
Columbus OH,65
Grand Rapids-Kalamazoo-Battle Creek MI,62
Louisville KY,61
Nashville TN,61
Charlotte NC,60
Kansas City MO,59
Cincinnati OH,58
Indianapolis IN,56
St. Louis MO,56
Cleveland-Akron (Canton) OH,55
Salt Lake City UT,50
Raleigh-Durham (Fayetteville) NC,48
Atlanta GA,42
Tampa-St. Petersburg (Sarasota) FL,39
Minneapolis-St. Paul MN,38
Denver CO,33
Dallas-Ft. Worth TX,33
Orlando-Daytona Beach-Melbourne FL,32
Detroit MI,32
Seattle-Tacoma WA,30
Houston TX,28
Boston MA-Manchester NH,27
Philadelphia PA,26
Phoenix AZ,26
Washington DC (Hagerstown MD),23
Chicago IL,21
New York NY,13
Los Angeles CA,12
San Francisco-Oakland-San Jose CA,8
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for trace adkins
Town/City,trace adkins
Oklahoma City,100
Louisville,96
Kansas City,93
Columbus,91
St. Louis,87
Indianapolis,86
Herndon,77
Tampa,70
Atlanta,70
Orlando,59
Denver,59
Charlotte,58
Dallas,55
Richardson,53
San Antonio,50



Top searches for trace adkins
trace adkins lyrics,100
fishin trace adkins,50
trace adkins badonkadonk,50
just fishin,50
toby keith,45
blake shelton,45
trace adkins songs,35
honky tonk,30
arlington trace adkins,30
trace atkins,20
hillbilly bone,20
rough and ready,20
chrome trace adkins,15
chrome,15
trace adkins honkytonkbadonkydonk,15
honkytonkbadonkydonk,15
semper fi,15
tracy adkins,15
rodney atkins,15
montgomery gentry,10
one hot mama,10
honky tonk badonkadonk,10
songs about me,10
fishing trace adkins,10
honky tonk badonka,10
muddy water,10



Rising searches for trace adkins
arlington trace adkins,Breakout
blake shelton,Breakout
fishin trace adkins,Breakout
just fishin,Breakout
trace adkins lyrics,Breakout
trace adkins songs,+180%
trace adkins badonkadonk,+170%
toby keith,+70%
trace atkins,+40%



