YouTube Search interest: mario
United States; Jan 2008 - Jul 2015

Interest over time
Week,mario
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,68
2009-04-12 - 2009-04-18,60
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,62
2009-05-10 - 2009-05-16,63
2009-05-17 - 2009-05-23,66
2009-05-24 - 2009-05-30,70
2009-05-31 - 2009-06-06,74
2009-06-07 - 2009-06-13,75
2009-06-14 - 2009-06-20,76
2009-06-21 - 2009-06-27,78
2009-06-28 - 2009-07-04,77
2009-07-05 - 2009-07-11,79
2009-07-12 - 2009-07-18,88
2009-07-19 - 2009-07-25,96
2009-07-26 - 2009-08-01,98
2009-08-02 - 2009-08-08,100
2009-08-09 - 2009-08-15,92
2009-08-16 - 2009-08-22,91
2009-08-23 - 2009-08-29,91
2009-08-30 - 2009-09-05,86
2009-09-06 - 2009-09-12,80
2009-09-13 - 2009-09-19,75
2009-09-20 - 2009-09-26,83
2009-09-27 - 2009-10-03,79
2009-10-04 - 2009-10-10,80
2009-10-11 - 2009-10-17,85
2009-10-18 - 2009-10-24,85
2009-10-25 - 2009-10-31,82
2009-11-01 - 2009-11-07,81
2009-11-08 - 2009-11-14,83
2009-11-15 - 2009-11-21,85
2009-11-22 - 2009-11-28,90
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,78
2009-12-13 - 2009-12-19,76
2009-12-20 - 2009-12-26,86
2009-12-27 - 2010-01-02,90
2010-01-03 - 2010-01-09,81
2010-01-10 - 2010-01-16,75
2010-01-17 - 2010-01-23,76
2010-01-24 - 2010-01-30,73
2010-01-31 - 2010-02-06,69
2010-02-07 - 2010-02-13,73
2010-02-14 - 2010-02-20,74
2010-02-21 - 2010-02-27,71
2010-02-28 - 2010-03-06,67
2010-03-07 - 2010-03-13,69
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,69
2010-03-28 - 2010-04-03,74
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,68
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,64
2010-05-02 - 2010-05-08,67
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,69
2010-05-23 - 2010-05-29,87
2010-05-30 - 2010-06-05,80
2010-06-06 - 2010-06-12,75
2010-06-13 - 2010-06-19,74
2010-06-20 - 2010-06-26,79
2010-06-27 - 2010-07-03,78
2010-07-04 - 2010-07-10,82
2010-07-11 - 2010-07-17,78
2010-07-18 - 2010-07-24,72
2010-07-25 - 2010-07-31,72
2010-08-01 - 2010-08-07,71
2010-08-08 - 2010-08-14,71
2010-08-15 - 2010-08-21,70
2010-08-22 - 2010-08-28,66
2010-08-29 - 2010-09-04,62
2010-09-05 - 2010-09-11,63
2010-09-12 - 2010-09-18,56
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,61
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,59
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,69
2010-12-26 - 2011-01-01,72
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,67
2011-01-16 - 2011-01-22,67
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,68
2011-02-06 - 2011-02-12,63
2011-02-13 - 2011-02-19,67
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,67
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,64
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,58
2011-05-15 - 2011-05-21,57
2011-05-22 - 2011-05-28,58
2011-05-29 - 2011-06-04,62
2011-06-05 - 2011-06-11,71
2011-06-12 - 2011-06-18,67
2011-06-19 - 2011-06-25,69
2011-06-26 - 2011-07-02,71
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,66
2011-07-24 - 2011-07-30,69
2011-07-31 - 2011-08-06,70
2011-08-07 - 2011-08-13,69
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,61
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,70
2011-11-27 - 2011-12-03,61
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,63
2011-12-25 - 2011-12-31,68
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,55
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,59
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,57
2012-02-19 - 2012-02-25,67
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,64
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,60
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,56
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,58
2012-05-27 - 2012-06-02,61
2012-06-03 - 2012-06-09,64
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,70
2012-06-24 - 2012-06-30,72
2012-07-01 - 2012-07-07,69
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,61
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,65
2012-08-26 - 2012-09-01,60
2012-09-02 - 2012-09-08,59
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,50
2012-09-30 - 2012-10-06,51
2012-10-07 - 2012-10-13,52
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,51
2012-11-04 - 2012-11-10,52
2012-11-11 - 2012-11-17,56
2012-11-18 - 2012-11-24,66
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,62
2012-12-23 - 2012-12-29,67
2012-12-30 - 2013-01-05,65
2013-01-06 - 2013-01-12,55
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,51
2013-02-10 - 2013-02-16,54
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,53
2013-03-03 - 2013-03-09,52
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,50
2013-04-07 - 2013-04-13,46
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,49
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,61
2013-06-16 - 2013-06-22,60
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,62
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,58
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,56
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,44
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,44
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,51
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,47
2013-12-15 - 2013-12-21,51
2013-12-22 - 2013-12-28,56
2013-12-29 - 2014-01-04,55
2014-01-05 - 2014-01-11,52
2014-01-12 - 2014-01-18,46
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,44
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,41
2014-04-06 - 2014-04-12,44
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,45
2014-04-27 - 2014-05-03,45
2014-05-04 - 2014-05-10,46
2014-05-11 - 2014-05-17,46
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,65
2014-06-08 - 2014-06-14,62
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,55
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,55
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,51
2014-08-03 - 2014-08-09,50
2014-08-10 - 2014-08-16,50
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,43
2014-09-21 - 2014-09-27,41
2014-09-28 - 2014-10-04,39
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,38
2014-10-19 - 2014-10-25,40
2014-10-26 - 2014-11-01,40
2014-11-02 - 2014-11-08,41
2014-11-09 - 2014-11-15,43
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,40
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,39
2014-12-21 - 2014-12-27,47
2014-12-28 - 2015-01-03,46
2015-01-04 - 2015-01-10,43
2015-01-11 - 2015-01-17,41
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,45
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,42
2015-02-15 - 2015-02-21,43
2015-02-22 - 2015-02-28,41
2015-03-01 - 2015-03-07,44
2015-03-08 - 2015-03-14,44
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,45
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,41
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,41
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,40
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,42
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,47
2015-06-28 - 2015-07-04,43
2015-07-05 - 2015-07-11,45
2015-07-12 - 2015-07-18,43
2015-07-19 - 2015-07-25,40
2015-07-26 - 2015-08-01,42


Top sub-regions for mario
Sub-region,mario
Texas,100
New Jersey,98
New York,97
California,96
Florida,92
Pennsylvania,92
Ohio,86
Arizona,85
Nevada,85
Michigan,85
Illinois,84
Virginia,84
Connecticut,83
Kentucky,82
Maryland,81
Missouri,81
Indiana,81
North Carolina,81
Massachusetts,80
Georgia,79
Washington,78
Mississippi,78
Rhode Island,78
Louisiana,77
Arkansas,77
South Carolina,77
Wisconsin,77
Tennessee,76
Kansas,76
West Virginia,75
District of Columbia,75
Delaware,75
Oklahoma,75
Utah,73
Alabama,72
Nebraska,72
Minnesota,71
Alaska,70
South Dakota,70
New Mexico,70
Maine,69
Colorado,69
Iowa,69
New Hampshire,68
Idaho,67
Hawaii,64
North Dakota,63
Oregon,62
Montana,58
Wyoming,55
Vermont,51


Top metros for mario
Metro,mario
Laredo TX,100
Harlingen-Weslaco-Brownsville-McAllen TX,95
Los Angeles CA,93
New York NY,88
Dallas-Ft. Worth TX,87
Palm Springs CA,86
Miami-Ft. Lauderdale FL,85
Philadelphia PA,85
Bakersfield CA,83
Fresno-Visalia CA,83
Yakima-Pasco-Richland-Kennewick WA,83
Houston TX,82
Tampa-St. Petersburg (Sarasota) FL,81
Las Vegas NV,81
Sacramento-Stockton-Modesto CA,80
South Bend-Elkhart IN,80
Panama City FL,79
San Antonio TX,79
Boston MA-Manchester NH,79
Chicago IL,76
Cleveland-Akron (Canton) OH,76
Washington DC (Hagerstown MD),76
Rockford IL,76
New Orleans LA,76
Phoenix AZ,75
Flint-Saginaw-Bay City MI,75
Yuma AZ-El Centro CA,75
Detroit MI,74
El Paso TX,74
Kansas City MO,74
Seattle-Tacoma WA,74
Bluefield-Beckley-Oak Hill WV,74
Orlando-Daytona Beach-Melbourne FL,74
Wilkes Barre-Scranton PA,73
Providence RI-New Bedford MA,73
Huntsville-Decatur (Florence) AL,73
Grand Rapids-Kalamazoo-Battle Creek MI,73
Toledo OH,73
Lafayette LA,73
Corpus Christi TX,72
San Francisco-Oakland-San Jose CA,72
Salisbury MD,72
St. Louis MO,72
Binghamton NY,72
Tyler-Longview(Lufkin & Nacogdoches) TX,72
Louisville KY,72
Green Bay-Appleton WI,71
Norfolk-Portsmouth-Newport News VA,71
Anchorage AK,71
Terre Haute IN,71
Ft. Wayne IN,71
Hartford & New Haven CT,71
Ft. Myers-Naples FL,70
Rochester NY,70
Lexington KY,70
Erie PA,70
Amarillo TX,70
Raleigh-Durham (Fayetteville) NC,70
Pittsburgh PA,70
Davenport IA-Rock Island-Moline IL,69
Syracuse NY,69
Wichita Falls TX & Lawton OK,69
Jackson MS,69
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,69
Albuquerque-Santa Fe NM,69
Little Rock-Pine Bluff AR,69
Joplin MO-Pittsburg KS,69
Wilmington NC,69
Milwaukee WI,69
Savannah GA,69
Sioux City IA,69
Macon GA,69
Baltimore MD,68
Charleston SC,68
Charleston-Huntington WV,68
Marquette MI,68
Indianapolis IN,68
Cincinnati OH,68
Charlotte NC,68
Atlanta GA,68
Dayton OH,68
Salt Lake City UT,68
San Diego CA,68
Johnstown-Altoona PA,68
Omaha NE,68
Harrisburg-Lancaster-Lebanon-York PA,67
Abilene-Sweetwater TX,67
Youngstown OH,67
Columbus OH,67
Tucson (Sierra Vista) AZ,67
Wausau-Rhinelander WI,66
Reno NV,66
Beaumont-Port Arthur TX,66
Oklahoma City OK,66
Sioux Falls(Mitchell) SD,66
Montgomery (Selma) AL,66
Boise ID,66
Odessa-Midland TX,66
Albany-Schenectady-Troy NY,66
Monroe LA-El Dorado AR,66
Peoria-Bloomington IL,66
Greensboro-High Point-Winston Salem NC,65
Augusta GA,65
Rochester MN-Mason City IA-Austin MN,65
Knoxville TN,65
Evansville IN,65
Jacksonville FL,65
Chattanooga TN,65
Minneapolis-St. Paul MN,65
Lincoln & Hastings-Kearney NE,65
Wichita-Hutchinson KS,65
Springfield-Holyoke MA,65
Richmond-Petersburg VA,64
Austin TX,64
Waco-Temple-Bryan TX,64
Ft. Smith-Fayetteville-Springdale-Rogers AR,64
Memphis TN,64
Portland-Auburn ME,63
West Palm Beach-Ft. Pierce FL,63
Biloxi-Gulfport MS,63
Florence-Myrtle Beach SC,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,63
Birmingham AL,63
Denver CO,63
Baton Rouge LA,63
Jackson TN,62
Albany GA,62
Columbia SC,62
Traverse City-Cadillac MI,62
Shreveport LA,62
Lubbock TX,61
Tulsa OK,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Buffalo NY,61
Roanoke-Lynchburg VA,61
Chico-Redding CA,61
Harrisonburg VA,61
Columbus GA,61
Greenville-New Bern-Washington NC,61
Rapid City SD,61
Spokane WA,60
Honolulu HI,60
Nashville TN,60
Monterey-Salinas CA,60
La Crosse-Eau Claire WI,60
Utica NY,59
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,59
Santa Barbara-Santa Maria-San Luis Obispo CA,59
Champaign & Springfield-Decatur IL,58
Lansing MI,58
Madison WI,58
Tri-Cities TN-VA,58
Colorado Springs-Pueblo CO,58
Minot-Bismarck-Dickinson(Williston) ND,58
Bowling Green KY,58
Topeka KS,57
Des Moines-Ames IA,57
Fargo-Valley City ND,56
Columbia-Jefferson City MO,56
Springfield MO,56
Portland OR,56
Medford-Klamath Falls OR,55
Charlottesville VA,54
Duluth MN-Superior WI,54
Tallahassee FL-Thomasville GA,53
Gainesville FL,53
Eugene OR,52
Idaho Falls-Pocatello ID,51
Bangor ME,49
Burlington VT-Plattsburgh NY,49
Watertown NY,0
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Elmira NY,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for mario
Town/City,mario
Richardson,100
Los Angeles,95
Irvine,93
New York,92
Miami,88
Las Vegas,88
Houston,86
Phoenix,86
Orlando,82
San Antonio,81
St. Louis,80
Tampa,80
Dallas,79
Atlanta,78
Herndon,78



Top searches for mario
super mario,100
mario bros,45
super mario bros,30
mario kart,25
mario 64,15
mario music,15
mario song,15
super mario 2,15
super mario world,15
mario galaxy,15
sonic,15
mario theme,10
super mario wii,10
paper mario,10
mario and luigi,10
super mario galaxy,10
super mario 64,10
mario bros wii,10
mario party,10
mario kart wii,10
mario remix,10
mario games,5
mario galaxy 2,5
mario break up,5
mario sunshine,5
mario brothers,5
funny mario,5
super mario theme,5
super mario sunshine,5
mario and sonic,5
pokemon,5
baby mario,5
mario theme song,5
mario paint,5
super paper mario,5
lego,5
lego mario,5
mario frustration,5
mario bloopers,5
mario vs sonic,5
mario kart 8,5
super mario land,5
mario rap,5
mario 3d world,5
mario videos,5
mario rpg,5
mario piano,5
cat mario,5
mario 64 ds,5
spongebob,5



Rising searches for mario
mario break up,+2,250%
mario bros wii,+2,200%
mario galaxy 2,+650%
mario kart wii,+400%
super mario wii,+300%
mario kart,+200%
super mario 2,+120%
super mario world,+100%
mario music,+90%
mario bros,+80%



