YouTube Search interest: nickelback
United States; Jan 2008 - Jul 2015

Interest over time
Week,nickelback
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,17
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,17
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,24
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,24
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,20
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,20
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,17
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,18
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,17


Top sub-regions for nickelback
Sub-region,nickelback
South Dakota,100
West Virginia,94
North Dakota,94
Wyoming,89
Maine,85
Montana,81
Kentucky,80
Iowa,77
Missouri,68
Nebraska,68
Indiana,65
Kansas,64
Ohio,64
Idaho,64
Wisconsin,62
Arkansas,62
Oklahoma,61
Vermont,59
Michigan,57
Tennessee,57
New Hampshire,54
Pennsylvania,52
Minnesota,52
Utah,51
Alabama,51
Colorado,50
Alaska,50
North Carolina,50
Mississippi,48
South Carolina,47
Georgia,45
Virginia,43
Texas,43
Louisiana,42
New Mexico,42
Washington,42
Illinois,42
Arizona,39
Oregon,39
Florida,39
Rhode Island,36
Connecticut,36
Massachusetts,36
Nevada,35
New York,33
District of Columbia,33
Delaware,31
New Jersey,31
Maryland,30
California,27
Hawaii,22


Top metros for nickelback
Metro,nickelback
Rapid City SD,100
Minot-Bismarck-Dickinson(Williston) ND,98
Bangor ME,93
Sioux Falls(Mitchell) SD,92
Terre Haute IN,87
Tri-Cities TN-VA,84
Fargo-Valley City ND,84
Erie PA,82
Sioux City IA,81
Flint-Saginaw-Bay City MI,79
Duluth MN-Superior WI,78
Charleston-Huntington WV,78
Rochester MN-Mason City IA-Austin MN,75
Wausau-Rhinelander WI,74
Ft. Wayne IN,74
Missoula MT,73
Springfield MO,73
Lexington KY,72
Wilkes Barre-Scranton PA,71
Johnstown-Altoona PA,71
Lincoln & Hastings-Kearney NE,70
Binghamton NY,70
Des Moines-Ames IA,70
Wichita-Hutchinson KS,69
Portland-Auburn ME,69
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68
Green Bay-Appleton WI,67
Youngstown OH,67
Louisville KY,66
Omaha NE,66
Dayton OH,65
Davenport IA-Rock Island-Moline IL,64
Traverse City-Cadillac MI,63
Topeka KS,62
Abilene-Sweetwater TX,62
Amarillo TX,62
Albany-Schenectady-Troy NY,62
Evansville IN,60
La Crosse-Eau Claire WI,60
Colorado Springs-Pueblo CO,60
Knoxville TN,60
Chattanooga TN,59
Kansas City MO,59
Grand Rapids-Kalamazoo-Battle Creek MI,58
South Bend-Elkhart IN,58
Madison WI,57
Charlottesville VA,57
Tulsa OK,57
Spokane WA,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Boise ID,56
Peoria-Bloomington IL,56
Rockford IL,56
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,56
Pittsburgh PA,56
Shreveport LA,55
Yakima-Pasco-Richland-Kennewick WA,55
Indianapolis IN,55
Toledo OH,55
Roanoke-Lynchburg VA,55
Chico-Redding CA,54
Little Rock-Pine Bluff AR,54
Burlington VT-Plattsburgh NY,54
Columbia-Jefferson City MO,53
Tyler-Longview(Lufkin & Nacogdoches) TX,53
Cleveland-Akron (Canton) OH,53
Columbus OH,53
Reno NV,52
Harrisburg-Lancaster-Lebanon-York PA,52
St. Louis MO,52
Eugene OR,52
Oklahoma City OK,52
Huntsville-Decatur (Florence) AL,50
Champaign & Springfield-Decatur IL,50
Corpus Christi TX,49
Syracuse NY,48
Birmingham AL,47
Anchorage AK,47
Buffalo NY,46
Lafayette LA,46
Salt Lake City UT,46
Montgomery (Selma) AL,46
Augusta GA,46
Minneapolis-St. Paul MN,45
Cincinnati OH,45
Greensboro-High Point-Winston Salem NC,45
Nashville TN,45
Lansing MI,45
Macon GA,45
Greenville-New Bern-Washington NC,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Charlotte NC,45
Rochester NY,44
Jackson MS,44
Memphis TN,43
Waco-Temple-Bryan TX,42
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Bakersfield CA,41
Milwaukee WI,40
Orlando-Daytona Beach-Melbourne FL,40
Denver CO,40
Tampa-St. Petersburg (Sarasota) FL,40
Jacksonville FL,40
Raleigh-Durham (Fayetteville) NC,39
Detroit MI,38
Dallas-Ft. Worth TX,38
Atlanta GA,38
Albuquerque-Santa Fe NM,38
Phoenix AZ,38
Seattle-Tacoma WA,37
San Antonio TX,36
Springfield-Holyoke MA,36
Fresno-Visalia CA,36
Hartford & New Haven CT,36
Norfolk-Portsmouth-Newport News VA,36
Florence-Myrtle Beach SC,35
Tucson (Sierra Vista) AZ,35
Washington DC (Hagerstown MD),35
Columbia SC,35
Boston MA-Manchester NH,34
Philadelphia PA,34
Ft. Myers-Naples FL,34
Houston TX,33
Savannah GA,33
Providence RI-New Bedford MA,33
Portland OR,33
Sacramento-Stockton-Modesto CA,33
New Orleans LA,32
Baton Rouge LA,32
El Paso TX,32
Chicago IL,32
Tallahassee FL-Thomasville GA,31
Richmond-Petersburg VA,31
Baltimore MD,31
Harlingen-Weslaco-Brownsville-McAllen TX,29
West Palm Beach-Ft. Pierce FL,29
Charleston SC,29
Las Vegas NV,26
Miami-Ft. Lauderdale FL,25
San Francisco-Oakland-San Jose CA,25
Austin TX,24
New York NY,23
Los Angeles CA,21
Honolulu HI,20
San Diego CA,19
Columbus GA,0
Albany GA,0
Utica NY,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Lafayette IN,0
Alpena MI,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0


Top cities for nickelback
Town/City,nickelback
St. Louis,100
Herndon,100
Louisville,89
Oklahoma City,85
Omaha,81
Indianapolis,81
Columbus,78
Richardson,78
Reston,75
Atlanta,73
Denver,70
Orlando,68
Phoenix,65
Dallas,63
Seattle,59



Top searches for nickelback
nickelback lyrics,100
nickelback rockstar,60
rockstar,60
far away,55
nickelback far away,55
nickelback somebody,35
photograph nickelback,30
photograph,30
gotta be somebody,30
nickelback hero,25
hero,25
nickelback someday,25
someday,25
animals,20
nickelback animals,20
afternoon nickelback,20
this afternoon nickelback,20
stand together nickelback,20
nickleback,20
nickelback songs,20
nickelback live,15
savin me nickelback,15
savin me,15
nickelback lullaby,15
linkin park,10
nickelback rockstar lyrics,10
if everyone cared,10
3 doors down,10
daughtry,10
kid rock,10
three days grace,10
hinder,10
next contestant nickelback,5
bottoms up nickelback,5
shinedown,5
creed,5
bottoms up,5
seether,5
photograph nickelback lyrics,5
nickelback animal,5
green day,5



Rising searches for nickelback
afternoon nickelback,Breakout
gotta be somebody,Breakout
nickelback somebody,Breakout
this afternoon nickelback,Breakout
nickelback lyrics,+1,050%
far away,+170%
nickelback far away,+160%
nickelback someday,+150%
someday,+150%
photograph,+100%



