YouTube Search interest: damien
United States; Jan 2008 - Jul 2015

Interest over time
Week,damien
2009-05-17 - 2009-05-23,46
2009-05-24 - 2009-05-30,72
2009-05-31 - 2009-06-06,66
2009-06-07 - 2009-06-13,51
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,41
2009-07-05 - 2009-07-11,48
2009-07-12 - 2009-07-18,51
2009-07-19 - 2009-07-25,44
2009-07-26 - 2009-08-01,46
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,52
2009-08-16 - 2009-08-22,60
2009-08-23 - 2009-08-29,47
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,46
2009-09-20 - 2009-09-26,48
2009-09-27 - 2009-10-03,46
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,45
2009-11-15 - 2009-11-21,53
2009-11-22 - 2009-11-28,44
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,46
2009-12-13 - 2009-12-19,52
2009-12-20 - 2009-12-26,40
2009-12-27 - 2010-01-02,43
2010-01-03 - 2010-01-09,47
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,51
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,52
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,46
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,50
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,44
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,54
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,79
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,77
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,65
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,54
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,58
2010-08-01 - 2010-08-07,58
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,61
2010-09-05 - 2010-09-11,58
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,61
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,60
2010-10-10 - 2010-10-16,55
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,52
2010-12-05 - 2010-12-11,59
2010-12-12 - 2010-12-18,57
2010-12-19 - 2010-12-25,53
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,50
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,47
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,53
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,45
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,57
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,48
2011-07-31 - 2011-08-06,48
2011-08-07 - 2011-08-13,46
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,45
2011-10-23 - 2011-10-29,47
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,54
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,53
2011-12-18 - 2011-12-24,49
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,47
2012-01-08 - 2012-01-14,48
2012-01-15 - 2012-01-21,46
2012-01-22 - 2012-01-28,51
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,46
2012-04-01 - 2012-04-07,47
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,49
2012-04-22 - 2012-04-28,51
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,100
2012-05-13 - 2012-05-19,76
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,42
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,43
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,51
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,48
2012-12-02 - 2012-12-08,50
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,49
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,45
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,55
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,46
2013-02-10 - 2013-02-16,40
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,37
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,37
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,36
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,40
2013-07-07 - 2013-07-13,40
2013-07-14 - 2013-07-20,44
2013-07-21 - 2013-07-27,39
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,35
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,38
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,28
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,31
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,29
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,29
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,29
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,30
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,35
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,30
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,37
2014-09-21 - 2014-09-27,39
2014-09-28 - 2014-10-04,36
2014-10-05 - 2014-10-11,38
2014-10-12 - 2014-10-18,42
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,48
2014-11-16 - 2014-11-22,54
2014-11-23 - 2014-11-29,51
2014-11-30 - 2014-12-06,68
2014-12-07 - 2014-12-13,60
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,45
2014-12-28 - 2015-01-03,38
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,35
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,39
2015-02-15 - 2015-02-21,37
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,31
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,31
2015-04-19 - 2015-04-25,31
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,38
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,27
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,27
2015-06-21 - 2015-06-27,28
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,21


Top sub-regions for damien
Sub-region,damien
Hawaii,100
Maine,81
Utah,78
Massachusetts,73
Vermont,72
New Hampshire,71
Rhode Island,70
Idaho,68
Minnesota,68
New York,66
Colorado,66
Pennsylvania,64
Alaska,64
Kentucky,64
Connecticut,64
Wyoming,63
Tennessee,63
Oregon,63
Washington,62
Oklahoma,62
North Dakota,62
Missouri,60
Wisconsin,60
Montana,60
Michigan,60
Ohio,60
South Carolina,59
Indiana,59
Georgia,59
North Carolina,58
California,58
New Mexico,58
District of Columbia,57
Florida,57
Louisiana,57
Illinois,56
Virginia,56
New Jersey,55
West Virginia,54
Kansas,54
Texas,54
Maryland,54
South Dakota,53
Iowa,52
Arizona,52
Arkansas,52
Delaware,51
Nebraska,51
Alabama,50
Mississippi,48
Nevada,48


Top metros for damien
Metro,damien
Honolulu HI,100
Austin TX,88
Boston MA-Manchester NH,79
Salt Lake City UT,77
Seattle-Tacoma WA,73
Denver CO,73
Atlanta GA,71
Minneapolis-St. Paul MN,69
Philadelphia PA,68
Portland OR,67
Hartford & New Haven CT,64
New York NY,64
San Diego CA,64
Baltimore MD,64
Raleigh-Durham (Fayetteville) NC,62
Chicago IL,59
Washington DC (Hagerstown MD),58
Detroit MI,58
Dallas-Ft. Worth TX,56
Los Angeles CA,56
Tampa-St. Petersburg (Sarasota) FL,56
St. Louis MO,56
Orlando-Daytona Beach-Melbourne FL,52
San Francisco-Oakland-San Jose CA,52
Miami-Ft. Lauderdale FL,52
Phoenix AZ,51
Sacramento-Stockton-Modesto CA,49
Houston TX,46
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for damien
Town/City,damien
Honolulu,100
Minneapolis,86
Seattle,84
Boston,81
New York,79
Denver,79
Portland,78
San Francisco,76
Austin,74
Atlanta,74
Philadelphia,73
Los Angeles,72
Orlando,67
St. Louis,67
Miami,67



Top searches for damien
damien rice,100
damien walters,25
damien marley,20
damien rice 9,15
9 crimes,15
dmx,10
damien dmx,10
cannonball,10
damien rice cannonball,10
volcano damien rice,10
volcano,10
delicate damien rice,5
damien jurado,5
damien walters parkour,5
damien sandow,5
damian marley,5
damien rice live,5
nas damien marley,5
rootless tree,5
damien 3,5
damien walters 2011,5
ray lamontagne,5
hallelujah damien rice,5
damien dawn,5
damien wayne,5
welcome to jamrock,5
damien walters 2012,0
the blowers daughter,0
one damien rice,0
damien jurado sheets,0
damien walters 2010,0
lisa hannigan,0
cold water,0
dmx damien 2,0
damien marley patience,0
damien echols,0
damien the voice,0
dmx damien 3,0
nine crimes,0
damien walters 2009,0
lonelily damien rice,0
damien rice elephant,0
amie damien rice,0
damien sandow theme,0
damian rice,0
damien walters 2013,0



Rising searches for damien
damien jurado,Breakout
damien walters,Breakout
damien walters parkour,Breakout
damien dmx,+350%
dmx,+300%
delicate damien rice,+190%
volcano damien rice,+190%
9 crimes,+150%
volcano,+140%
cannonball,+130%



