YouTube Search interest: lil jon
United States; Jan 2008 - Jul 2015

Interest over time
Week,lil jon
2010-05-02 - 2010-05-08,84
2010-05-09 - 2010-05-15,75
2010-05-16 - 2010-05-22,80
2010-05-23 - 2010-05-29,80
2010-05-30 - 2010-06-05,81
2010-06-06 - 2010-06-12,96
2010-06-13 - 2010-06-19,87
2010-06-20 - 2010-06-26,90
2010-06-27 - 2010-07-03,92
2010-07-04 - 2010-07-10,91
2010-07-11 - 2010-07-17,89
2010-07-18 - 2010-07-24,88
2010-07-25 - 2010-07-31,88
2010-08-01 - 2010-08-07,85
2010-08-08 - 2010-08-14,90
2010-08-15 - 2010-08-21,89
2010-08-22 - 2010-08-28,93
2010-08-29 - 2010-09-04,100
2010-09-05 - 2010-09-11,92
2010-09-12 - 2010-09-18,92
2010-09-19 - 2010-09-25,96
2010-09-26 - 2010-10-02,92
2010-10-03 - 2010-10-09,91
2010-10-10 - 2010-10-16,90
2010-10-17 - 2010-10-23,87
2010-10-24 - 2010-10-30,87
2010-10-31 - 2010-11-06,81
2010-11-07 - 2010-11-13,86
2010-11-14 - 2010-11-20,80
2010-11-21 - 2010-11-27,79
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,71
2010-12-12 - 2010-12-18,70
2010-12-19 - 2010-12-25,74
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,79
2011-01-09 - 2011-01-15,81
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,77
2011-01-30 - 2011-02-05,79
2011-02-06 - 2011-02-12,82
2011-02-13 - 2011-02-19,77
2011-02-20 - 2011-02-26,75
2011-02-27 - 2011-03-05,83
2011-03-06 - 2011-03-12,79
2011-03-13 - 2011-03-19,80
2011-03-20 - 2011-03-26,80
2011-03-27 - 2011-04-02,83
2011-04-03 - 2011-04-09,78
2011-04-10 - 2011-04-16,82
2011-04-17 - 2011-04-23,80
2011-04-24 - 2011-04-30,81
2011-05-01 - 2011-05-07,85
2011-05-08 - 2011-05-14,84
2011-05-15 - 2011-05-21,82
2011-05-22 - 2011-05-28,81
2011-05-29 - 2011-06-04,82
2011-06-05 - 2011-06-11,78
2011-06-12 - 2011-06-18,68
2011-06-19 - 2011-06-25,78
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,76
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,79
2011-07-31 - 2011-08-06,77
2011-08-07 - 2011-08-13,82
2011-08-14 - 2011-08-20,80
2011-08-21 - 2011-08-27,87
2011-08-28 - 2011-09-03,91
2011-09-04 - 2011-09-10,93
2011-09-11 - 2011-09-17,88
2011-09-18 - 2011-09-24,91
2011-09-25 - 2011-10-01,90
2011-10-02 - 2011-10-08,90
2011-10-09 - 2011-10-15,86
2011-10-16 - 2011-10-22,88
2011-10-23 - 2011-10-29,87
2011-10-30 - 2011-11-05,85
2011-11-06 - 2011-11-12,88
2011-11-13 - 2011-11-19,87
2011-11-20 - 2011-11-26,87
2011-11-27 - 2011-12-03,87
2011-12-04 - 2011-12-10,83
2011-12-11 - 2011-12-17,79
2011-12-18 - 2011-12-24,74
2011-12-25 - 2011-12-31,72
2012-01-01 - 2012-01-07,78
2012-01-08 - 2012-01-14,70
2012-01-15 - 2012-01-21,70
2012-01-22 - 2012-01-28,69
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,68
2012-02-12 - 2012-02-18,66
2012-02-19 - 2012-02-25,70
2012-02-26 - 2012-03-03,70
2012-03-04 - 2012-03-10,67
2012-03-11 - 2012-03-17,74
2012-03-18 - 2012-03-24,72
2012-03-25 - 2012-03-31,69
2012-04-01 - 2012-04-07,62
2012-04-08 - 2012-04-14,64
2012-04-15 - 2012-04-21,67
2012-04-22 - 2012-04-28,65
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,60
2012-05-13 - 2012-05-19,67
2012-05-20 - 2012-05-26,62
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,59
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,58
2012-07-22 - 2012-07-28,58
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,54
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,57
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,49
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,51
2012-11-18 - 2012-11-24,45
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,45
2013-01-06 - 2013-01-12,46
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,41
2013-04-14 - 2013-04-20,42
2013-04-21 - 2013-04-27,45
2013-04-28 - 2013-05-04,45
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,45
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,46
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,42
2013-07-07 - 2013-07-13,41
2013-07-14 - 2013-07-20,33
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,34
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,34
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,53
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,50
2013-10-20 - 2013-10-26,44
2013-10-27 - 2013-11-02,46
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,42
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,42
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,43
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,46
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,61
2014-03-02 - 2014-03-08,57
2014-03-09 - 2014-03-15,69
2014-03-16 - 2014-03-22,74
2014-03-23 - 2014-03-29,81
2014-03-30 - 2014-04-05,84
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,93
2014-04-20 - 2014-04-26,98
2014-04-27 - 2014-05-03,82
2014-05-04 - 2014-05-10,86
2014-05-11 - 2014-05-17,74
2014-05-18 - 2014-05-24,83
2014-05-25 - 2014-05-31,72
2014-06-01 - 2014-06-07,66
2014-06-08 - 2014-06-14,59
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,57
2014-06-29 - 2014-07-05,52
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,51
2014-07-20 - 2014-07-26,49
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,47
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,41
2014-08-24 - 2014-08-30,45
2014-08-31 - 2014-09-06,42
2014-09-07 - 2014-09-13,47
2014-09-14 - 2014-09-20,45
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,45
2014-10-05 - 2014-10-11,49
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,40
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,34
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,29
2014-12-07 - 2014-12-13,35
2014-12-14 - 2014-12-20,34
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,40
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,34
2015-01-25 - 2015-01-31,29
2015-02-01 - 2015-02-07,30
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,30
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,29
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,25
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,24


Top sub-regions for lil jon
Sub-region,lil jon
South Dakota,100
Alabama,93
South Carolina,88
Wisconsin,87
Mississippi,86
Indiana,86
North Dakota,86
Iowa,85
Missouri,84
Nebraska,81
Kentucky,81
Ohio,79
Georgia,79
Michigan,78
Arkansas,77
North Carolina,77
Kansas,75
Wyoming,75
Tennessee,74
Florida,73
West Virginia,73
Louisiana,72
Maine,72
Idaho,72
New Mexico,71
Montana,70
Minnesota,70
Oklahoma,70
Texas,69
Arizona,69
Colorado,67
Hawaii,66
Illinois,66
Pennsylvania,65
Nevada,65
Alaska,63
New Hampshire,61
California,61
Washington,60
Vermont,58
Utah,58
Massachusetts,57
District of Columbia,56
Virginia,55
Maryland,54
Connecticut,53
Delaware,53
Rhode Island,53
Oregon,52
New Jersey,51
New York,50


Top metros for lil jon
Metro,lil jon
Jackson MS,100
Sioux Falls(Mitchell) SD,97
Columbia SC,90
Savannah GA,89
Jacksonville FL,89
Birmingham AL,89
Wichita-Hutchinson KS,88
Greenville-Spartanburg SC-Asheville NC-Anderson SC,87
Green Bay-Appleton WI,85
Springfield MO,84
Madison WI,83
Champaign & Springfield-Decatur IL,82
Grand Rapids-Kalamazoo-Battle Creek MI,82
Colorado Springs-Pueblo CO,82
Toledo OH,81
St. Louis MO,81
Indianapolis IN,81
Charlotte NC,81
Tampa-St. Petersburg (Sarasota) FL,81
Milwaukee WI,79
Omaha NE,79
Louisville KY,79
Columbus OH,77
Cleveland-Akron (Canton) OH,77
Dayton OH,77
Pittsburgh PA,75
Oklahoma City OK,75
Richmond-Petersburg VA,75
Roanoke-Lynchburg VA,74
Flint-Saginaw-Bay City MI,74
Raleigh-Durham (Fayetteville) NC,74
Dallas-Ft. Worth TX,74
Kansas City MO,73
Albuquerque-Santa Fe NM,73
Atlanta GA,73
Portland-Auburn ME,72
Cincinnati OH,71
Orlando-Daytona Beach-Melbourne FL,71
Buffalo NY,71
Mobile AL-Pensacola (Ft. Walton Beach) FL,70
Little Rock-Pine Bluff AR,70
Nashville TN,70
Sacramento-Stockton-Modesto CA,69
Harrisburg-Lancaster-Lebanon-York PA,68
Phoenix AZ,68
Wilkes Barre-Scranton PA,68
Albany-Schenectady-Troy NY,66
Detroit MI,66
Waco-Temple-Bryan TX,65
Denver CO,64
Minneapolis-St. Paul MN,64
Memphis TN,64
Greensboro-High Point-Winston Salem NC,64
West Palm Beach-Ft. Pierce FL,64
Lexington KY,63
New Orleans LA,63
Chicago IL,62
Honolulu HI,61
Norfolk-Portsmouth-Newport News VA,61
San Diego CA,60
Los Angeles CA,60
Rochester NY,59
Tucson (Sierra Vista) AZ,59
Fresno-Visalia CA,59
Hartford & New Haven CT,58
Syracuse NY,57
Seattle-Tacoma WA,56
Salt Lake City UT,56
Las Vegas NV,56
Harlingen-Weslaco-Brownsville-McAllen TX,56
Houston TX,55
Providence RI-New Bedford MA,55
Miami-Ft. Lauderdale FL,55
San Antonio TX,54
Baltimore MD,53
Washington DC (Hagerstown MD),53
Boston MA-Manchester NH,53
Philadelphia PA,52
Austin TX,48
San Francisco-Oakland-San Jose CA,47
Portland OR,46
New York NY,46
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for lil jon
Town/City,lil jon
St. Louis,100
Indianapolis,100
Tampa,98
Atlanta,97
Louisville,95
Richardson,94
Columbus,93
Phoenix,90
Orlando,89
Sacramento,84
Charlotte,81
Denver,80
Chicago,79
Dallas,79
Los Angeles,77



Top searches for lil jon
low lil jon,100
low,95
get low,90
lil jon what,75
lil wayne jon,75
usher,40
ludacris,40
shots,40
lil jon shots,40
shots shots shots,35
outta your mind,35
lil john,30
pitbull,30
jon young,30
lovers and friends,25
lmfao,25
throw it up,25
snap yo fingers,20
get low lyrics,20
lil jon yeah,15
roll call,15
lil jon hey,15
yelawolf,10
yelawolf lil jon,10
ying yang twins,10
busta rhymes,10
shots lmfao,10
one night stand,10
dave chappelle,10
ice cube,10
usher yeah,10
lil jon 2011,10
lil jon 2010,10
work lil jon,10
lazy town,10
bia bia,10
drink lil jon,10
turbulence lil jon,5



Rising searches for lil jon
lil jon shots,Breakout
outta your mind,Breakout
shots,Breakout
shots shots shots,Breakout
lil jon what,+400%
get low,+350%
low lil jon,+300%
low,+250%
usher,+250%
ludacris,+160%



