YouTube Search interest: arctic monkeys
United States; Jan 2008 - Jul 2015

Interest over time
Week,arctic monkeys
2010-02-07 - 2010-02-13,15
2010-02-14 - 2010-02-20,15
2010-02-21 - 2010-02-27,16
2010-02-28 - 2010-03-06,14
2010-03-07 - 2010-03-13,16
2010-03-14 - 2010-03-20,14
2010-03-21 - 2010-03-27,17
2010-03-28 - 2010-04-03,16
2010-04-04 - 2010-04-10,18
2010-04-11 - 2010-04-17,19
2010-04-18 - 2010-04-24,17
2010-04-25 - 2010-05-01,15
2010-05-02 - 2010-05-08,16
2010-05-09 - 2010-05-15,15
2010-05-16 - 2010-05-22,14
2010-05-23 - 2010-05-29,13
2010-05-30 - 2010-06-05,16
2010-06-06 - 2010-06-12,14
2010-06-13 - 2010-06-19,14
2010-06-20 - 2010-06-26,14
2010-06-27 - 2010-07-03,10
2010-07-04 - 2010-07-10,11
2010-07-11 - 2010-07-17,12
2010-07-18 - 2010-07-24,13
2010-07-25 - 2010-07-31,11
2010-08-01 - 2010-08-07,14
2010-08-08 - 2010-08-14,13
2010-08-15 - 2010-08-21,13
2010-08-22 - 2010-08-28,12
2010-08-29 - 2010-09-04,11
2010-09-05 - 2010-09-11,15
2010-09-12 - 2010-09-18,12
2010-09-19 - 2010-09-25,13
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,13
2010-10-10 - 2010-10-16,13
2010-10-17 - 2010-10-23,15
2010-10-24 - 2010-10-30,15
2010-10-31 - 2010-11-06,13
2010-11-07 - 2010-11-13,14
2010-11-14 - 2010-11-20,14
2010-11-21 - 2010-11-27,16
2010-11-28 - 2010-12-04,14
2010-12-05 - 2010-12-11,14
2010-12-12 - 2010-12-18,14
2010-12-19 - 2010-12-25,13
2010-12-26 - 2011-01-01,12
2011-01-02 - 2011-01-08,13
2011-01-09 - 2011-01-15,14
2011-01-16 - 2011-01-22,10
2011-01-23 - 2011-01-29,11
2011-01-30 - 2011-02-05,12
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,12
2011-02-20 - 2011-02-26,13
2011-02-27 - 2011-03-05,13
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,12
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,14
2011-04-10 - 2011-04-16,13
2011-04-17 - 2011-04-23,12
2011-04-24 - 2011-04-30,14
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,18
2011-05-22 - 2011-05-28,20
2011-05-29 - 2011-06-04,18
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,20
2011-06-19 - 2011-06-25,15
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,18
2011-07-17 - 2011-07-23,14
2011-07-24 - 2011-07-30,15
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,19
2011-08-21 - 2011-08-27,15
2011-08-28 - 2011-09-03,13
2011-09-04 - 2011-09-10,16
2011-09-11 - 2011-09-17,15
2011-09-18 - 2011-09-24,17
2011-09-25 - 2011-10-01,16
2011-10-02 - 2011-10-08,17
2011-10-09 - 2011-10-15,17
2011-10-16 - 2011-10-22,16
2011-10-23 - 2011-10-29,16
2011-10-30 - 2011-11-05,14
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,12
2011-11-27 - 2011-12-03,15
2011-12-04 - 2011-12-10,14
2011-12-11 - 2011-12-17,13
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,13
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,16
2012-01-22 - 2012-01-28,16
2012-01-29 - 2012-02-04,16
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,18
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,19
2012-04-29 - 2012-05-05,18
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,16
2012-06-03 - 2012-06-09,15
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,12
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,12
2012-07-15 - 2012-07-21,12
2012-07-22 - 2012-07-28,24
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,15
2012-08-12 - 2012-08-18,17
2012-08-19 - 2012-08-25,15
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,16
2012-09-09 - 2012-09-15,12
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,13
2012-11-04 - 2012-11-10,14
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,11
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,11
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,13
2013-01-13 - 2013-01-19,13
2013-01-20 - 2013-01-26,12
2013-01-27 - 2013-02-02,13
2013-02-03 - 2013-02-09,14
2013-02-10 - 2013-02-16,13
2013-02-17 - 2013-02-23,10
2013-02-24 - 2013-03-02,15
2013-03-03 - 2013-03-09,12
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,12
2013-03-24 - 2013-03-30,10
2013-03-31 - 2013-04-06,12
2013-04-07 - 2013-04-13,11
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,12
2013-04-28 - 2013-05-04,12
2013-05-05 - 2013-05-11,10
2013-05-12 - 2013-05-18,10
2013-05-19 - 2013-05-25,13
2013-05-26 - 2013-06-01,13
2013-06-02 - 2013-06-08,14
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,27
2013-06-23 - 2013-06-29,27
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,60
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,53
2013-10-06 - 2013-10-12,49
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,50
2013-10-27 - 2013-11-02,49
2013-11-03 - 2013-11-09,52
2013-11-10 - 2013-11-16,56
2013-11-17 - 2013-11-23,57
2013-11-24 - 2013-11-30,58
2013-12-01 - 2013-12-07,65
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,77
2013-12-22 - 2013-12-28,73
2013-12-29 - 2014-01-04,74
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,87
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,85
2014-02-02 - 2014-02-08,91
2014-02-09 - 2014-02-15,99
2014-02-16 - 2014-02-22,100
2014-02-23 - 2014-03-01,97
2014-03-02 - 2014-03-08,92
2014-03-09 - 2014-03-15,94
2014-03-16 - 2014-03-22,88
2014-03-23 - 2014-03-29,87
2014-03-30 - 2014-04-05,84
2014-04-06 - 2014-04-12,88
2014-04-13 - 2014-04-19,91
2014-04-20 - 2014-04-26,87
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,74
2014-05-25 - 2014-05-31,66
2014-06-01 - 2014-06-07,75
2014-06-08 - 2014-06-14,72
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,83
2014-06-29 - 2014-07-05,71
2014-07-06 - 2014-07-12,73
2014-07-13 - 2014-07-19,66
2014-07-20 - 2014-07-26,62
2014-07-27 - 2014-08-02,69
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,64
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,72
2014-08-31 - 2014-09-06,68
2014-09-07 - 2014-09-13,68
2014-09-14 - 2014-09-20,68
2014-09-21 - 2014-09-27,66
2014-09-28 - 2014-10-04,66
2014-10-05 - 2014-10-11,70
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,65
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,64
2014-11-09 - 2014-11-15,58
2014-11-16 - 2014-11-22,61
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,64
2014-12-14 - 2014-12-20,58
2014-12-21 - 2014-12-27,54
2014-12-28 - 2015-01-03,60
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,51
2015-02-01 - 2015-02-07,56
2015-02-08 - 2015-02-14,59
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,50
2015-03-01 - 2015-03-07,47
2015-03-08 - 2015-03-14,49
2015-03-15 - 2015-03-21,46
2015-03-22 - 2015-03-28,47
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,46
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,47
2015-04-26 - 2015-05-02,40
2015-05-03 - 2015-05-09,45
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,40
2015-05-24 - 2015-05-30,41
2015-05-31 - 2015-06-06,41
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,39
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,32
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,28


Top sub-regions for arctic monkeys
Sub-region,arctic monkeys
California,100
Pennsylvania,74
Vermont,74
Massachusetts,74
Arizona,73
Illinois,72
New Jersey,71
Rhode Island,71
Texas,70
Wisconsin,70
Washington,69
Oregon,69
New York,69
Nevada,69
Maine,68
Colorado,67
Delaware,66
New Hampshire,66
New Mexico,66
Connecticut,66
Ohio,65
Michigan,64
Maryland,64
Virginia,63
Florida,63
Kansas,62
Indiana,61
Minnesota,61
Montana,59
Oklahoma,58
Missouri,58
North Carolina,58
Iowa,54
Utah,54
Alaska,53
Idaho,52
Kentucky,51
North Dakota,51
Tennessee,50
Nebraska,50
Hawaii,48
District of Columbia,44
South Dakota,44
Georgia,43
South Carolina,43
Arkansas,42
West Virginia,41
Louisiana,40
Alabama,39
Mississippi,28
Wyoming,0


Top metros for arctic monkeys
Metro,arctic monkeys
San Diego CA,100
Los Angeles CA,93
Las Vegas NV,68
Indianapolis IN,66
Philadelphia PA,65
Chicago IL,64
San Antonio TX,64
New York NY,63
Boston MA-Manchester NH,63
Pittsburgh PA,61
San Francisco-Oakland-San Jose CA,61
Cleveland-Akron (Canton) OH,60
Sacramento-Stockton-Modesto CA,60
Seattle-Tacoma WA,58
Portland OR,57
Denver CO,57
Hartford & New Haven CT,56
Houston TX,56
Phoenix AZ,56
Detroit MI,55
Minneapolis-St. Paul MN,53
Washington DC (Hagerstown MD),53
Baltimore MD,52
Orlando-Daytona Beach-Melbourne FL,52
Miami-Ft. Lauderdale FL,52
St. Louis MO,52
Tampa-St. Petersburg (Sarasota) FL,50
Dallas-Ft. Worth TX,50
Atlanta GA,44
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for arctic monkeys
Town/City,arctic monkeys
El Paso,100
Los Angeles,93
San Diego,86
Tucson,79
Austin,74
New York,68
Milpitas,67
Portland,66
Sterling,65
Boston,63
San Antonio,63
Seattle,62
Houston,60
San Jose,59
San Francisco,58



Top searches for arctic monkeys
the arctic monkeys,100
arctic monkeys lyrics,45
arctic monkeys live,20
r u mine,20
arctic monkeys album,15
arctic monkeys full,15
arctic monkeys cover,10
arctic monkeys 505,10
505,10
mardy bum,5
arctic monkeys arabella,5
the strokes,5
artic monkeys,5
crying lightning,5
arctic monkeys acoustic,5
arctic monkeys romance,5
arctic monkeys brianstorm,5
brianstorm,5
arctic monkeys cornerstone,5
arctic monkeys interview,5
teddy picker,5
arctic monkeys remix,5
2013 arctic monkeys,5
cornerstone,5
kooks,5
the kooks,5
old yellow bricks,5
the artic monkeys,5
alex turner,0
no buses,0
arctic monkeys drake,0
arctic monkeys playlist,0
arctic monkeys 2011,0
riot van,0
arctic monkeys glastonbury,0
dancing shoes,0



Rising searches for arctic monkeys
505,Breakout
arctic monkeys 505,Breakout
arctic monkeys acoustic,Breakout
arctic monkeys album,Breakout
arctic monkeys arabella,Breakout
arctic monkeys cover,Breakout
arctic monkeys full,Breakout
arctic monkeys lyrics,Breakout
crying lightning,Breakout
r u mine,Breakout



