YouTube Search interest: rise against
United States; Jan 2008 - Jul 2015

Interest over time
Week,rise against
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,50
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,47
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,49
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,46
2010-11-14 - 2010-11-20,45
2010-11-21 - 2010-11-27,47
2010-11-28 - 2010-12-04,52
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,46
2010-12-26 - 2011-01-01,44
2011-01-02 - 2011-01-08,51
2011-01-09 - 2011-01-15,50
2011-01-16 - 2011-01-22,62
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,67
2011-02-13 - 2011-02-19,72
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,90
2011-03-13 - 2011-03-19,97
2011-03-20 - 2011-03-26,99
2011-03-27 - 2011-04-02,96
2011-04-03 - 2011-04-09,87
2011-04-10 - 2011-04-16,80
2011-04-17 - 2011-04-23,73
2011-04-24 - 2011-04-30,75
2011-05-01 - 2011-05-07,79
2011-05-08 - 2011-05-14,80
2011-05-15 - 2011-05-21,74
2011-05-22 - 2011-05-28,69
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,71
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,100
2011-06-26 - 2011-07-02,80
2011-07-03 - 2011-07-09,69
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,70
2011-08-07 - 2011-08-13,73
2011-08-14 - 2011-08-20,75
2011-08-21 - 2011-08-27,75
2011-08-28 - 2011-09-03,70
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,63
2011-09-25 - 2011-10-01,64
2011-10-02 - 2011-10-08,64
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,65
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,59
2012-01-15 - 2012-01-21,63
2012-01-22 - 2012-01-28,64
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,64
2012-02-12 - 2012-02-18,57
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,60
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,56
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,62
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,53
2012-05-13 - 2012-05-19,46
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,47
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,43
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,39
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,35
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,32
2013-02-24 - 2013-03-02,31
2013-03-03 - 2013-03-09,28
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,26
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,31
2013-10-06 - 2013-10-12,29
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,26
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,23
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,29
2014-07-13 - 2014-07-19,38
2014-07-20 - 2014-07-26,37
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,28
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,30
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,25
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,27
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,24
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,21


Top sub-regions for rise against
Sub-region,rise against
Colorado,100
Wisconsin,99
Wyoming,98
Pennsylvania,97
South Dakota,93
Ohio,89
West Virginia,88
Utah,87
Missouri,87
Maine,85
Montana,84
Illinois,83
Vermont,83
North Dakota,83
Michigan,83
New Hampshire,83
Iowa,83
Idaho,82
Indiana,80
New Mexico,80
Arizona,77
Kentucky,76
Nebraska,76
Nevada,75
Minnesota,71
California,69
Florida,67
Kansas,64
Massachusetts,64
Oklahoma,64
Rhode Island,63
New Jersey,62
North Carolina,62
Maryland,61
Arkansas,61
Washington,60
Texas,59
Connecticut,59
Delaware,59
Alaska,59
South Carolina,57
Tennessee,56
Virginia,55
New York,55
Louisiana,54
District of Columbia,53
Georgia,52
Alabama,52
Oregon,52
Mississippi,44
Hawaii,34


Top metros for rise against
Metro,rise against
Johnstown-Altoona PA,100
Wilkes Barre-Scranton PA,93
Flint-Saginaw-Bay City MI,75
Pittsburgh PA,75
Denver CO,72
Milwaukee WI,71
Toledo OH,70
Albuquerque-Santa Fe NM,68
Jacksonville FL,68
Harrisburg-Lancaster-Lebanon-York PA,68
Dayton OH,66
Green Bay-Appleton WI,66
Colorado Springs-Pueblo CO,65
Syracuse NY,65
St. Louis MO,64
Detroit MI,62
Salt Lake City UT,62
Los Angeles CA,62
San Diego CA,60
Portland-Auburn ME,60
Tampa-St. Petersburg (Sarasota) FL,59
Cleveland-Akron (Canton) OH,59
Tucson (Sierra Vista) AZ,59
Omaha NE,58
Cincinnati OH,57
Orlando-Daytona Beach-Melbourne FL,57
Chicago IL,56
Phoenix AZ,56
Louisville KY,56
Fresno-Visalia CA,55
Grand Rapids-Kalamazoo-Battle Creek MI,55
Philadelphia PA,54
Minneapolis-St. Paul MN,53
Buffalo NY,52
Las Vegas NV,52
Columbus OH,52
Lexington KY,52
Albany-Schenectady-Troy NY,52
Providence RI-New Bedford MA,52
Norfolk-Portsmouth-Newport News VA,50
Kansas City MO,50
Boston MA-Manchester NH,49
Richmond-Petersburg VA,48
Baltimore MD,48
Hartford & New Haven CT,48
Rochester NY,47
Dallas-Ft. Worth TX,46
Indianapolis IN,45
Seattle-Tacoma WA,42
Houston TX,40
Charlotte NC,40
Atlanta GA,39
Raleigh-Durham (Fayetteville) NC,38
Sacramento-Stockton-Modesto CA,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,37
Oklahoma City OK,37
Nashville TN,37
New York NY,37
Washington DC (Hagerstown MD),37
San Antonio TX,37
West Palm Beach-Ft. Pierce FL,36
Greensboro-High Point-Winston Salem NC,36
Portland OR,35
Austin TX,33
Miami-Ft. Lauderdale FL,24
San Francisco-Oakland-San Jose CA,24
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for rise against
Town/City,rise against
Irvine,100
Denver,99
St. Louis,98
Los Angeles,93
Richardson,88
Tampa,86
San Diego,84
Las Vegas,81
Phoenix,80
Columbus,76
Orlando,74
Chicago,74
Philadelphia,65
Minneapolis,64
Seattle,59



Top searches for rise against
savior rise against,100
savior,95
rise against lyrics,65
against me,40
hero,30
hero of war,25
rise against satellite,25
satellite,20
make it stop,20
rise against live,20
give it all,15
rise up,15
rise against acoustic,10
audience of one,10
rise against cover,10
rise against reeducation,10
ready to fall,10
reeducation through labor,10
rise against album,5
rise against survive,5
paper wings,5
rise against amv,5
injection rise against,5
endgame rise against,5
endgame,5
behind closed doors,5
rage against,5
rise against drones,5
drones,5
architects rise against,5
architects,5
worth dying for,5
everchanging rise against,5
collapse rise against,5
roadside rise against,5



Rising searches for rise against
audience of one,Breakout
hero of war,Breakout
make it stop,Breakout
rise against satellite,Breakout
satellite,Breakout
savior,Breakout
savior rise against,Breakout
rise against lyrics,+2,050%
hero,+300%
against me,+160%



