YouTube Search interest: ludacris
United States; Jan 2008 - Jul 2015

Interest over time
Week,ludacris
2009-05-10 - 2009-05-16,18
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,16
2009-05-31 - 2009-06-06,15
2009-06-07 - 2009-06-13,15
2009-06-14 - 2009-06-20,14
2009-06-21 - 2009-06-27,14
2009-06-28 - 2009-07-04,13
2009-07-05 - 2009-07-11,14
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,16
2009-07-26 - 2009-08-01,14
2009-08-02 - 2009-08-08,15
2009-08-09 - 2009-08-15,16
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,16
2009-09-06 - 2009-09-12,16
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,17
2009-09-27 - 2009-10-03,15
2009-10-04 - 2009-10-10,15
2009-10-11 - 2009-10-17,16
2009-10-18 - 2009-10-24,15
2009-10-25 - 2009-10-31,20
2009-11-01 - 2009-11-07,21
2009-11-08 - 2009-11-14,21
2009-11-15 - 2009-11-21,21
2009-11-22 - 2009-11-28,23
2009-11-29 - 2009-12-05,28
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,37
2009-12-27 - 2010-01-02,36
2010-01-03 - 2010-01-09,38
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,58
2010-01-31 - 2010-02-06,57
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,72
2010-02-21 - 2010-02-27,89
2010-02-28 - 2010-03-06,90
2010-03-07 - 2010-03-13,97
2010-03-14 - 2010-03-20,95
2010-03-21 - 2010-03-27,98
2010-03-28 - 2010-04-03,100
2010-04-04 - 2010-04-10,83
2010-04-11 - 2010-04-17,77
2010-04-18 - 2010-04-24,81
2010-04-25 - 2010-05-01,77
2010-05-02 - 2010-05-08,70
2010-05-09 - 2010-05-15,68
2010-05-16 - 2010-05-22,64
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,50
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,45
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,44
2010-08-01 - 2010-08-07,39
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,36
2010-08-22 - 2010-08-28,34
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,32
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,34
2010-10-10 - 2010-10-16,31
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,30
2010-11-21 - 2010-11-27,30
2010-11-28 - 2010-12-04,27
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,30
2010-12-19 - 2010-12-25,30
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,30
2011-01-23 - 2011-01-29,31
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,29
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,27
2011-03-06 - 2011-03-12,28
2011-03-13 - 2011-03-19,28
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,27
2011-04-03 - 2011-04-09,28
2011-04-10 - 2011-04-16,26
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,28
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,27
2011-05-22 - 2011-05-28,27
2011-05-29 - 2011-06-04,25
2011-06-05 - 2011-06-11,32
2011-06-12 - 2011-06-18,32
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,29
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,26
2011-09-04 - 2011-09-10,26
2011-09-11 - 2011-09-17,26
2011-09-18 - 2011-09-24,24
2011-09-25 - 2011-10-01,26
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,27
2011-10-16 - 2011-10-22,26
2011-10-23 - 2011-10-29,25
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,25
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,32
2011-11-27 - 2011-12-03,30
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,26
2011-12-18 - 2011-12-24,25
2011-12-25 - 2011-12-31,26
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,24
2012-01-22 - 2012-01-28,22
2012-01-29 - 2012-02-04,23
2012-02-05 - 2012-02-11,22
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,20
2012-03-04 - 2012-03-10,19
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,18
2012-04-22 - 2012-04-28,19
2012-04-29 - 2012-05-05,20
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,17
2012-05-27 - 2012-06-02,17
2012-06-03 - 2012-06-09,18
2012-06-10 - 2012-06-16,17
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,18
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,18
2012-07-22 - 2012-07-28,18
2012-07-29 - 2012-08-04,19
2012-08-05 - 2012-08-11,17
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,15
2012-08-26 - 2012-09-01,15
2012-09-02 - 2012-09-08,14
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,15
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,19
2012-11-04 - 2012-11-10,22
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,21
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,22
2012-12-23 - 2012-12-29,20
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,19
2013-01-20 - 2013-01-26,18
2013-01-27 - 2013-02-02,17
2013-02-03 - 2013-02-09,16
2013-02-10 - 2013-02-16,15
2013-02-17 - 2013-02-23,14
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,12
2013-04-07 - 2013-04-13,12
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,13
2013-04-28 - 2013-05-04,14
2013-05-05 - 2013-05-11,12
2013-05-12 - 2013-05-18,12
2013-05-19 - 2013-05-25,14
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,12
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,9
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,11
2013-10-06 - 2013-10-12,10
2013-10-13 - 2013-10-19,10
2013-10-20 - 2013-10-26,9
2013-10-27 - 2013-11-02,9
2013-11-03 - 2013-11-09,8
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,9
2013-11-24 - 2013-11-30,9
2013-12-01 - 2013-12-07,9
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,9
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,8
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,10
2014-02-16 - 2014-02-22,10
2014-02-23 - 2014-03-01,9
2014-03-02 - 2014-03-08,10
2014-03-09 - 2014-03-15,8
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,10
2014-04-20 - 2014-04-26,11
2014-04-27 - 2014-05-03,14
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,11
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,10
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,6
2014-12-28 - 2015-01-03,7
2015-01-04 - 2015-01-10,7
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,8
2015-01-25 - 2015-01-31,8
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,8
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,6
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,6


Top sub-regions for ludacris
Sub-region,ludacris
Mississippi,100
Georgia,92
Alabama,89
South Carolina,85
Kentucky,83
Missouri,83
North Carolina,82
District of Columbia,81
Arkansas,81
Ohio,80
Louisiana,80
Indiana,76
Florida,76
Tennessee,75
Michigan,74
Texas,74
South Dakota,71
Wisconsin,71
Kansas,70
Oklahoma,69
Pennsylvania,69
Illinois,69
West Virginia,69
Rhode Island,67
Vermont,67
Maryland,65
Colorado,64
North Dakota,63
New Mexico,63
Arizona,62
Massachusetts,62
Virginia,62
Nebraska,62
New York,60
Iowa,60
Minnesota,60
Delaware,59
Maine,59
Connecticut,58
Wyoming,58
Washington,57
Nevada,57
New Hampshire,57
New Jersey,56
Alaska,54
California,54
Montana,51
Idaho,48
Hawaii,46
Oregon,40
Utah,40


Top metros for ludacris
Metro,ludacris
Jackson MS,100
Columbia SC,95
Shreveport LA,94
Montgomery (Selma) AL,91
Augusta GA,86
Albany GA,86
Little Rock-Pine Bluff AR,81
Florence-Myrtle Beach SC,81
Savannah GA,80
Macon GA,78
Flint-Saginaw-Bay City MI,77
Louisville KY,77
Indianapolis IN,77
Atlanta GA,77
Birmingham AL,76
West Palm Beach-Ft. Pierce FL,76
Raleigh-Durham (Fayetteville) NC,75
Tallahassee FL-Thomasville GA,75
Memphis TN,74
Kansas City MO,74
Topeka KS,73
Greenville-New Bern-Washington NC,71
Toledo OH,70
Cleveland-Akron (Canton) OH,70
St. Louis MO,70
Youngstown OH,70
Huntsville-Decatur (Florence) AL,70
Ft. Wayne IN,69
Grand Rapids-Kalamazoo-Battle Creek MI,69
Tyler-Longview(Lufkin & Nacogdoches) TX,68
Cincinnati OH,68
Greensboro-High Point-Winston Salem NC,68
Columbus GA,68
Dallas-Ft. Worth TX,68
Columbus OH,67
Detroit MI,67
Milwaukee WI,67
Champaign & Springfield-Decatur IL,66
Waco-Temple-Bryan TX,66
Norfolk-Portsmouth-Newport News VA,66
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,66
Syracuse NY,66
Dayton OH,66
Philadelphia PA,65
Sioux Falls(Mitchell) SD,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65
Oklahoma City OK,65
South Bend-Elkhart IN,64
Tri-Cities TN-VA,64
Burlington VT-Plattsburgh NY,64
Houston TX,64
Tampa-St. Petersburg (Sarasota) FL,64
Lexington KY,63
Chattanooga TN,63
Richmond-Petersburg VA,63
Evansville IN,63
Charleston-Huntington WV,63
Baton Rouge LA,63
Pittsburgh PA,63
Lafayette LA,63
Charleston SC,63
Lansing MI,63
Madison WI,62
Jacksonville FL,62
Charlotte NC,62
Orlando-Daytona Beach-Melbourne FL,61
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,60
Roanoke-Lynchburg VA,60
New Orleans LA,60
Phoenix AZ,60
Peoria-Bloomington IL,60
Springfield-Holyoke MA,60
La Crosse-Eau Claire WI,59
Chicago IL,59
Colorado Springs-Pueblo CO,59
Wilkes Barre-Scranton PA,59
Providence RI-New Bedford MA,59
Mobile AL-Pensacola (Ft. Walton Beach) FL,58
Miami-Ft. Lauderdale FL,58
Boston MA-Manchester NH,57
Bakersfield CA,57
Washington DC (Hagerstown MD),57
Nashville TN,57
El Paso TX,57
Baltimore MD,57
San Antonio TX,57
Austin TX,57
Wichita-Hutchinson KS,57
Las Vegas NV,57
Green Bay-Appleton WI,56
Hartford & New Haven CT,56
Fargo-Valley City ND,56
Denver CO,55
Ft. Smith-Fayetteville-Springdale-Rogers AR,54
Seattle-Tacoma WA,54
Minneapolis-St. Paul MN,54
Des Moines-Ames IA,54
Johnstown-Altoona PA,54
Los Angeles CA,54
New York NY,53
Portland-Auburn ME,53
Albuquerque-Santa Fe NM,53
Gainesville FL,53
Springfield MO,52
Omaha NE,52
Davenport IA-Rock Island-Moline IL,51
Fresno-Visalia CA,51
Harrisburg-Lancaster-Lebanon-York PA,51
Albany-Schenectady-Troy NY,50
Spokane WA,50
Tulsa OK,50
Rochester NY,50
Reno NV,49
Knoxville TN,49
Tucson (Sierra Vista) AZ,48
Lincoln & Hastings-Kearney NE,47
Sacramento-Stockton-Modesto CA,47
San Diego CA,46
Buffalo NY,45
Honolulu HI,45
Ft. Myers-Naples FL,45
Boise ID,42
Eugene OR,41
Santa Barbara-Santa Maria-San Luis Obispo CA,40
Harlingen-Weslaco-Brownsville-McAllen TX,37
Salt Lake City UT,36
San Francisco-Oakland-San Jose CA,35
Portland OR,34
Binghamton NY,0
Erie PA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for ludacris
Town/City,ludacris
Jackson,100
Atlanta,94
St. Louis,83
Louisville,81
Ashburn,81
Detroit,80
Richardson,79
Herndon,77
Reston,76
Tampa,72
Orlando,71
Indianapolis,71
Columbus,70
Miami,69
Washington,68



Top searches for ludacris
how low,100
how low ludacris,100
lil wayne,95
ciara,65
my chick bad,65
ciara ride,55
chris brown,55
usher,45
new ludacris,40
i like,35
ludacris get back,25
get back,25
lil jon,25
ludacris runaway love,25
trey songz,25
runaway love,25
ludacris fantasy,20
fantasy,20
baby justin bieber,20
blueberry yum yum,20
50 cent,20
ludacris freestyle,15
jason aldean,15
ludacris 2010,15
nelly,15
t-pain,15
jeremiah,15
t pain,15
young jeezy,15
break your heart,15
representin ludacris,10
snoop dogg,10
ludacris 2011,10
sexting,10
get low,10
get low ludacris,10
sexting ludacris,10
plies,10
ludacris stand up,10
t.i,10



Rising searches for ludacris
ciara ride,Breakout
how low,Breakout
how low ludacris,Breakout
my chick bad,Breakout
ciara,+450%
chris brown,+200%
usher,+140%
new ludacris,+70%
lil wayne,+50%



