YouTube Search interest: brad paisley
United States; Jan 2008 - Jul 2015

Interest over time
Week,brad paisley
2009-01-25 - 2009-01-31,21
2009-02-01 - 2009-02-07,20
2009-02-08 - 2009-02-14,19
2009-02-15 - 2009-02-21,18
2009-02-22 - 2009-02-28,18
2009-03-01 - 2009-03-07,20
2009-03-08 - 2009-03-14,18
2009-03-15 - 2009-03-21,28
2009-03-22 - 2009-03-28,29
2009-03-29 - 2009-04-04,29
2009-04-05 - 2009-04-11,31
2009-04-12 - 2009-04-18,27
2009-04-19 - 2009-04-25,30
2009-04-26 - 2009-05-02,33
2009-05-03 - 2009-05-09,36
2009-05-10 - 2009-05-16,33
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,34
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,36
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,38
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,30
2009-08-16 - 2009-08-22,33
2009-08-23 - 2009-08-29,28
2009-08-30 - 2009-09-05,30
2009-09-06 - 2009-09-12,29
2009-09-13 - 2009-09-19,28
2009-09-20 - 2009-09-26,28
2009-09-27 - 2009-10-03,27
2009-10-04 - 2009-10-10,26
2009-10-11 - 2009-10-17,25
2009-10-18 - 2009-10-24,26
2009-10-25 - 2009-10-31,26
2009-11-01 - 2009-11-07,26
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,30
2009-11-22 - 2009-11-28,25
2009-11-29 - 2009-12-05,27
2009-12-06 - 2009-12-12,26
2009-12-13 - 2009-12-19,26
2009-12-20 - 2009-12-26,25
2009-12-27 - 2010-01-02,23
2010-01-03 - 2010-01-09,22
2010-01-10 - 2010-01-16,24
2010-01-17 - 2010-01-23,24
2010-01-24 - 2010-01-30,22
2010-01-31 - 2010-02-06,23
2010-02-07 - 2010-02-13,23
2010-02-14 - 2010-02-20,21
2010-02-21 - 2010-02-27,19
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,32
2010-03-14 - 2010-03-20,23
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,19
2010-04-04 - 2010-04-10,22
2010-04-11 - 2010-04-17,21
2010-04-18 - 2010-04-24,28
2010-04-25 - 2010-05-01,24
2010-05-02 - 2010-05-08,28
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,27
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,29
2010-06-13 - 2010-06-19,29
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,27
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,26
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,26
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,23
2010-08-29 - 2010-09-04,27
2010-09-05 - 2010-09-11,27
2010-09-12 - 2010-09-18,23
2010-09-19 - 2010-09-25,24
2010-09-26 - 2010-10-02,26
2010-10-03 - 2010-10-09,27
2010-10-10 - 2010-10-16,26
2010-10-17 - 2010-10-23,26
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,28
2010-11-07 - 2010-11-13,44
2010-11-14 - 2010-11-20,38
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,26
2010-12-12 - 2010-12-18,28
2010-12-19 - 2010-12-25,27
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,30
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,35
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,32
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,30
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,43
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,35
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,38
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,70
2011-06-26 - 2011-07-02,69
2011-07-03 - 2011-07-09,63
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,68
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,97
2011-08-07 - 2011-08-13,88
2011-08-14 - 2011-08-20,78
2011-08-21 - 2011-08-27,76
2011-08-28 - 2011-09-03,72
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,63
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,48
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,58
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,45
2011-12-18 - 2011-12-24,40
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,36
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,38
2012-02-05 - 2012-02-11,34
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,31
2012-02-26 - 2012-03-03,34
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,31
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,32
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,31
2012-04-15 - 2012-04-21,31
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,30
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,23
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,22
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,25
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,31
2012-11-04 - 2012-11-10,28
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,21
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,21
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,17
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,100
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,28
2013-05-12 - 2013-05-18,29
2013-05-19 - 2013-05-25,27
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,27
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,23
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,22
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,18
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,16
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,13
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,13
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,14
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,13
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,14
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,16
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,17
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,15
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,13
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,11
2015-03-08 - 2015-03-14,11
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,11
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,11
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,9


Top sub-regions for brad paisley
Sub-region,brad paisley
West Virginia,100
Kentucky,83
North Dakota,79
Iowa,69
South Dakota,69
Tennessee,69
Indiana,63
Alabama,63
Ohio,62
Maine,62
Wyoming,61
Missouri,61
Oklahoma,59
Kansas,59
Montana,58
South Carolina,58
Nebraska,58
Wisconsin,57
Idaho,57
Arkansas,57
North Carolina,56
Vermont,52
New Mexico,50
Mississippi,49
Minnesota,49
Utah,48
Michigan,48
Texas,46
New Hampshire,45
Pennsylvania,45
Georgia,43
Louisiana,43
Colorado,41
Illinois,37
Florida,35
Arizona,34
Delaware,33
Alaska,31
Massachusetts,30
Washington,30
Oregon,30
Connecticut,30
Virginia,30
Maryland,29
Rhode Island,26
District of Columbia,24
Nevada,22
New York,22
New Jersey,21
Hawaii,21
California,17


Top metros for brad paisley
Metro,brad paisley
Charleston-Huntington WV,100
Tri-Cities TN-VA,96
Lexington KY,71
Evansville IN,71
Chattanooga TN,64
Knoxville TN,64
Fargo-Valley City ND,63
Springfield MO,62
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
La Crosse-Eau Claire WI,60
Topeka KS,58
Sioux Falls(Mitchell) SD,57
Roanoke-Lynchburg VA,57
Green Bay-Appleton WI,56
Louisville KY,56
Huntsville-Decatur (Florence) AL,56
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
Johnstown-Altoona PA,54
Cincinnati OH,54
Davenport IA-Rock Island-Moline IL,54
Peoria-Bloomington IL,54
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,53
Des Moines-Ames IA,52
Boise ID,52
Florence-Myrtle Beach SC,52
Dayton OH,51
Wichita-Hutchinson KS,51
Toledo OH,50
Nashville TN,50
Little Rock-Pine Bluff AR,50
Tyler-Longview(Lufkin & Nacogdoches) TX,49
Flint-Saginaw-Bay City MI,49
Greenville-New Bern-Washington NC,49
Lincoln & Hastings-Kearney NE,49
Birmingham AL,48
Grand Rapids-Kalamazoo-Battle Creek MI,48
Champaign & Springfield-Decatur IL,47
Portland-Auburn ME,47
South Bend-Elkhart IN,47
Omaha NE,47
Wilkes Barre-Scranton PA,46
Ft. Wayne IN,46
Shreveport LA,46
Spokane WA,45
Lansing MI,45
Harrisburg-Lancaster-Lebanon-York PA,45
Pittsburgh PA,44
Indianapolis IN,44
Charlotte NC,44
Cleveland-Akron (Canton) OH,43
Oklahoma City OK,43
Columbus OH,43
Madison WI,43
Syracuse NY,43
Charleston SC,42
Colorado Springs-Pueblo CO,42
Greensboro-High Point-Winston Salem NC,42
St. Louis MO,42
Raleigh-Durham (Fayetteville) NC,42
Buffalo NY,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Albuquerque-Santa Fe NM,40
Savannah GA,40
Waco-Temple-Bryan TX,40
San Antonio TX,38
Columbia SC,38
Tulsa OK,38
Kansas City MO,38
Burlington VT-Plattsburgh NY,38
Salt Lake City UT,37
Minneapolis-St. Paul MN,36
Jacksonville FL,36
Harlingen-Weslaco-Brownsville-McAllen TX,35
Baton Rouge LA,35
El Paso TX,35
Albany-Schenectady-Troy NY,34
Milwaukee WI,34
Memphis TN,33
Tampa-St. Petersburg (Sarasota) FL,32
Springfield-Holyoke MA,32
Rochester NY,31
Atlanta GA,31
Dallas-Ft. Worth TX,31
Detroit MI,31
Houston TX,31
Richmond-Petersburg VA,30
Austin TX,30
Norfolk-Portsmouth-Newport News VA,29
Ft. Myers-Naples FL,29
Denver CO,28
Tucson (Sierra Vista) AZ,28
Phoenix AZ,27
New Orleans LA,27
Fresno-Visalia CA,27
Hartford & New Haven CT,26
Baltimore MD,26
West Palm Beach-Ft. Pierce FL,25
Orlando-Daytona Beach-Melbourne FL,25
Boston MA-Manchester NH,25
Providence RI-New Bedford MA,25
Chicago IL,25
Philadelphia PA,22
Seattle-Tacoma WA,21
Sacramento-Stockton-Modesto CA,21
Portland OR,18
Washington DC (Hagerstown MD),18
Las Vegas NV,16
San Diego CA,15
Honolulu HI,14
Miami-Ft. Lauderdale FL,14
New York NY,12
Los Angeles CA,12
San Francisco-Oakland-San Jose CA,8
Binghamton NY,0
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for brad paisley
Town/City,brad paisley
Louisville,100
Cincinnati,93
San Antonio,91
Indianapolis,90
Nashville,89
Columbus,86
St. Louis,86
Charlotte,73
Houston,70
Dallas,64
Atlanta,63
Denver,62
Minneapolis,60
Phoenix,55
Richardson,54



Top searches for brad paisley
carrie underwood,100
remind me,85
brad paisley lyrics,80
then,50
brad paisley then,50
whiskey lullaby,40
country,35
kenny chesney,20
jason aldean,20
brad paisley water,20
brad paisley alabama,20
brad paisley when,20
tim mcgraw,20
alabama,20
brad paisley songs,15
country music,15
blake shelton,15
brad paisley everything,15
old alabama,15
little moments,15
luke bryan,15
keith urban,15
rascal flatts,15
toby keith,10
brad paisley live,10
brad paisley online,10
ticks brad paisley,10
ticks,10
george strait,10
zac brown band,10
lady antebellum,10
alcohol,10
brad paisley alcohol,10
alan jackson,10
eric church,10
miranda lambert,10
whiskey lullaby lyrics,10
accidental racist,10
brad paisley camouflage,5
shes everything,5
billy currington,5
country songs,5
alison krauss,5
dierks bentley,5
garth brooks,5
sara evans,5
josh turner,5
darius rucker,5



Rising searches for brad paisley
brad paisley then,Breakout
brad paisley water,Breakout
remind me,Breakout
then,Breakout
brad paisley lyrics,+3,150%
carrie underwood,+900%
jason aldean,+750%
brad paisley alabama,+650%
whiskey lullaby,+400%
country,+200%



