YouTube Search interest: rascal flatts
United States; Jan 2008 - Jul 2015

Interest over time
Week,rascal flatts
2009-01-11 - 2009-01-17,30
2009-01-18 - 2009-01-24,32
2009-01-25 - 2009-01-31,34
2009-02-01 - 2009-02-07,38
2009-02-08 - 2009-02-14,40
2009-02-15 - 2009-02-21,37
2009-02-22 - 2009-02-28,38
2009-03-01 - 2009-03-07,39
2009-03-08 - 2009-03-14,49
2009-03-15 - 2009-03-21,58
2009-03-22 - 2009-03-28,54
2009-03-29 - 2009-04-04,53
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,70
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,61
2009-05-03 - 2009-05-09,59
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,59
2009-06-14 - 2009-06-20,51
2009-06-21 - 2009-06-27,49
2009-06-28 - 2009-07-04,49
2009-07-05 - 2009-07-11,44
2009-07-12 - 2009-07-18,49
2009-07-19 - 2009-07-25,51
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,46
2009-08-09 - 2009-08-15,48
2009-08-16 - 2009-08-22,46
2009-08-23 - 2009-08-29,49
2009-08-30 - 2009-09-05,45
2009-09-06 - 2009-09-12,44
2009-09-13 - 2009-09-19,44
2009-09-20 - 2009-09-26,44
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,43
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,45
2009-10-25 - 2009-10-31,44
2009-11-01 - 2009-11-07,47
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,48
2009-11-22 - 2009-11-28,44
2009-11-29 - 2009-12-05,44
2009-12-06 - 2009-12-12,45
2009-12-13 - 2009-12-19,44
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,42
2010-01-17 - 2010-01-23,37
2010-01-24 - 2010-01-30,41
2010-01-31 - 2010-02-06,40
2010-02-07 - 2010-02-13,44
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,46
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,44
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,42
2010-04-11 - 2010-04-17,41
2010-04-18 - 2010-04-24,49
2010-04-25 - 2010-05-01,47
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,45
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,45
2010-06-06 - 2010-06-12,44
2010-06-13 - 2010-06-19,40
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,38
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,41
2010-07-25 - 2010-07-31,41
2010-08-01 - 2010-08-07,42
2010-08-08 - 2010-08-14,41
2010-08-15 - 2010-08-21,41
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,40
2010-09-05 - 2010-09-11,40
2010-09-12 - 2010-09-18,41
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,44
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,41
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,42
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,53
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,52
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,50
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,60
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,64
2011-03-13 - 2011-03-19,100
2011-03-20 - 2011-03-26,79
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,77
2011-04-17 - 2011-04-23,75
2011-04-24 - 2011-04-30,79
2011-05-01 - 2011-05-07,74
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,78
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,66
2011-06-26 - 2011-07-02,68
2011-07-03 - 2011-07-09,69
2011-07-10 - 2011-07-16,70
2011-07-17 - 2011-07-23,69
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,77
2011-08-07 - 2011-08-13,77
2011-08-14 - 2011-08-20,79
2011-08-21 - 2011-08-27,75
2011-08-28 - 2011-09-03,76
2011-09-04 - 2011-09-10,78
2011-09-11 - 2011-09-17,79
2011-09-18 - 2011-09-24,77
2011-09-25 - 2011-10-01,78
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,76
2011-10-16 - 2011-10-22,70
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,80
2011-11-13 - 2011-11-19,71
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,64
2011-12-25 - 2011-12-31,55
2012-01-01 - 2012-01-07,56
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,58
2012-01-22 - 2012-01-28,54
2012-01-29 - 2012-02-04,53
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,55
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,56
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,49
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,52
2012-06-10 - 2012-06-16,56
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,48
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,53
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,56
2012-08-19 - 2012-08-25,59
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,62
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,59
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,50
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,56
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,51
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,45
2012-12-23 - 2012-12-29,40
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,40
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,44
2013-02-03 - 2013-02-09,41
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,37
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,41
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,40
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,34
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,31
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,28
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,27
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,30
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,30
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,36
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,35
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,24
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,23
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,16
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,16
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,21
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,19
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,16


Top sub-regions for rascal flatts
Sub-region,rascal flatts
West Virginia,100
Iowa,93
Kentucky,92
South Dakota,92
Ohio,86
Indiana,84
Nebraska,81
North Dakota,81
Missouri,77
Maine,77
Tennessee,75
Wyoming,73
Wisconsin,73
Michigan,73
Kansas,73
Montana,72
Alabama,70
South Carolina,70
Idaho,69
Oklahoma,68
North Carolina,68
Minnesota,64
Arkansas,64
Utah,63
New Hampshire,61
Pennsylvania,60
Vermont,57
Mississippi,55
Texas,54
New Mexico,53
Georgia,53
Louisiana,52
Colorado,51
Connecticut,48
Illinois,48
Massachusetts,44
Florida,44
Arizona,44
Delaware,43
Rhode Island,41
Washington,40
Maryland,37
Oregon,37
Virginia,36
Hawaii,34
Alaska,34
Nevada,34
New York,33
New Jersey,31
District of Columbia,29
California,24


Top metros for rascal flatts
Metro,rascal flatts
Youngstown OH,100
Traverse City-Cadillac MI,99
Sioux City IA,88
Charleston-Huntington WV,87
Tri-Cities TN-VA,87
Sioux Falls(Mitchell) SD,85
Evansville IN,82
Erie PA,82
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,82
Lexington KY,81
Green Bay-Appleton WI,80
Flint-Saginaw-Bay City MI,78
Dayton OH,76
Davenport IA-Rock Island-Moline IL,76
Des Moines-Ames IA,75
La Crosse-Eau Claire WI,75
Columbia-Jefferson City MO,75
Chattanooga TN,74
Grand Rapids-Kalamazoo-Battle Creek MI,74
Cincinnati OH,74
Springfield MO,74
Louisville KY,73
Toledo OH,73
Wichita-Hutchinson KS,72
Knoxville TN,72
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,71
Lincoln & Hastings-Kearney NE,71
Florence-Myrtle Beach SC,71
Ft. Wayne IN,71
Columbus OH,70
Fargo-Valley City ND,69
Cleveland-Akron (Canton) OH,68
Peoria-Bloomington IL,67
Champaign & Springfield-Decatur IL,66
St. Louis MO,65
Corpus Christi TX,65
Indianapolis IN,65
Omaha NE,64
Topeka KS,64
Kansas City MO,64
South Bend-Elkhart IN,64
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
Little Rock-Pine Bluff AR,62
Lansing MI,62
Birmingham AL,62
Portland-Auburn ME,60
Johnstown-Altoona PA,60
Charlotte NC,59
Madison WI,58
Buffalo NY,58
Colorado Springs-Pueblo CO,58
Syracuse NY,57
Boise ID,57
Nashville TN,57
Pittsburgh PA,57
Greensboro-High Point-Winston Salem NC,57
Huntsville-Decatur (Florence) AL,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Wilkes Barre-Scranton PA,55
Tulsa OK,55
Tyler-Longview(Lufkin & Nacogdoches) TX,55
Rochester NY,54
Harrisburg-Lancaster-Lebanon-York PA,54
Roanoke-Lynchburg VA,54
Savannah GA,53
Oklahoma City OK,53
Greenville-New Bern-Washington NC,52
Spokane WA,52
Burlington VT-Plattsburgh NY,51
Albany-Schenectady-Troy NY,51
Minneapolis-St. Paul MN,51
Raleigh-Durham (Fayetteville) NC,51
Salt Lake City UT,51
Macon GA,51
Shreveport LA,50
Detroit MI,50
Tallahassee FL-Thomasville GA,50
Tampa-St. Petersburg (Sarasota) FL,49
Milwaukee WI,49
Charleston SC,49
Reno NV,46
San Antonio TX,46
Ft. Smith-Fayetteville-Springdale-Rogers AR,46
Columbia SC,45
Eugene OR,45
Hartford & New Haven CT,45
New Orleans LA,45
Fresno-Visalia CA,44
Albuquerque-Santa Fe NM,44
Memphis TN,43
Jacksonville FL,43
Jackson MS,42
Baton Rouge LA,42
Denver CO,42
Dallas-Ft. Worth TX,41
Richmond-Petersburg VA,39
Waco-Temple-Bryan TX,39
Houston TX,39
Springfield-Holyoke MA,39
Boston MA-Manchester NH,39
Norfolk-Portsmouth-Newport News VA,38
Phoenix AZ,38
Ft. Myers-Naples FL,38
Providence RI-New Bedford MA,38
Harlingen-Weslaco-Brownsville-McAllen TX,37
Baltimore MD,37
Atlanta GA,37
Orlando-Daytona Beach-Melbourne FL,37
Tucson (Sierra Vista) AZ,37
Philadelphia PA,36
Austin TX,35
Honolulu HI,34
Chicago IL,33
El Paso TX,33
Sacramento-Stockton-Modesto CA,32
Seattle-Tacoma WA,32
West Palm Beach-Ft. Pierce FL,29
Portland OR,28
Las Vegas NV,25
Washington DC (Hagerstown MD),25
San Diego CA,23
New York NY,22
Los Angeles CA,21
Miami-Ft. Lauderdale FL,18
San Francisco-Oakland-San Jose CA,12
Binghamton NY,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for rascal flatts
Town/City,rascal flatts
Louisville,100
Cincinnati,98
St. Louis,96
Columbus,95
Indianapolis,94
Oklahoma City,88
San Antonio,81
Minneapolis,69
Charlotte,64
Denver,63
Richardson,62
Houston,62
Atlanta,59
Dallas,59
Phoenix,58



Top searches for rascal flatts
rascal flatts lyrics,100
rascal flatts you,95
broken road,40
my wish,30
rascal flatts easy,30
easy,30
here rascal flatts,25
here,25
rascal flatts goodbye,25
goodbye,25
natasha bedingfield,20
here comes goodbye,20
why rascal flatts,15
why,15
rascal flatts songs,15
stand rascal flatts,15
stand,15
carrie underwood,15
jason aldean,10
tim mcgraw,10
summer nights,10
keith urban,10
kenny chesney,10
brad paisley,10
lady antebellum,10
these days,5
rascal flatts live,5
unstoppable rascal flatts,5
unstoppable,5
banjo rascal flatts,5
banjo,5
rewind rascal flatts,5
luke bryan,5
rascal flatts changed,5
blake shelton,5
rascal flatts forever,5
skin,5
rascal flatts skin,5
sugarland,5
miranda lambert,5
zac brown band,5
rascal flats,5
toby keith,5
mayberry rascal flatts,5
everyday rascal flatts,5



Rising searches for rascal flatts
easy,Breakout
goodbye,Breakout
here comes goodbye,Breakout
natasha bedingfield,Breakout
rascal flatts easy,Breakout
rascal flatts goodbye,Breakout
why rascal flatts,Breakout
rascal flatts lyrics,+1,300%
here rascal flatts,+350%
here,+300%



