YouTube Search interest: the killers
United States; Jan 2008 - Jul 2015

Interest over time
Week,the killers
2009-06-28 - 2009-07-04,41
2009-07-05 - 2009-07-11,44
2009-07-12 - 2009-07-18,46
2009-07-19 - 2009-07-25,44
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,44
2009-08-09 - 2009-08-15,47
2009-08-16 - 2009-08-22,48
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,48
2009-09-06 - 2009-09-12,49
2009-09-13 - 2009-09-19,48
2009-09-20 - 2009-09-26,53
2009-09-27 - 2009-10-03,47
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,46
2009-10-18 - 2009-10-24,48
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,51
2009-11-22 - 2009-11-28,53
2009-11-29 - 2009-12-05,52
2009-12-06 - 2009-12-12,51
2009-12-13 - 2009-12-19,49
2009-12-20 - 2009-12-26,45
2009-12-27 - 2010-01-02,43
2010-01-03 - 2010-01-09,43
2010-01-10 - 2010-01-16,39
2010-01-17 - 2010-01-23,38
2010-01-24 - 2010-01-30,40
2010-01-31 - 2010-02-06,37
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,38
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,41
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,38
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,39
2010-04-25 - 2010-05-01,38
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,42
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,37
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,37
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,38
2010-08-01 - 2010-08-07,32
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,34
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,36
2010-09-26 - 2010-10-02,36
2010-10-03 - 2010-10-09,36
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,37
2010-11-14 - 2010-11-20,36
2010-11-21 - 2010-11-27,32
2010-11-28 - 2010-12-04,36
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,38
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,31
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,32
2011-01-23 - 2011-01-29,30
2011-01-30 - 2011-02-05,31
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,30
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,32
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,29
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,30
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,28
2011-05-08 - 2011-05-14,29
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,25
2011-06-05 - 2011-06-11,29
2011-06-12 - 2011-06-18,28
2011-06-19 - 2011-06-25,27
2011-06-26 - 2011-07-02,32
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,26
2011-09-18 - 2011-09-24,27
2011-09-25 - 2011-10-01,28
2011-10-02 - 2011-10-08,31
2011-10-09 - 2011-10-15,31
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,28
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,29
2011-11-13 - 2011-11-19,28
2011-11-20 - 2011-11-26,27
2011-11-27 - 2011-12-03,34
2011-12-04 - 2011-12-10,31
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,28
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,25
2012-01-08 - 2012-01-14,27
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,27
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,26
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,24
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,28
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,25
2012-05-13 - 2012-05-19,27
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,25
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,27
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,42
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,41
2012-08-19 - 2012-08-25,39
2012-08-26 - 2012-09-01,37
2012-09-02 - 2012-09-08,38
2012-09-09 - 2012-09-15,38
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,48
2012-09-30 - 2012-10-06,38
2012-10-07 - 2012-10-13,37
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,31
2012-11-18 - 2012-11-24,26
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,52
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,29
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,29
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,26
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,26
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,21
2013-04-21 - 2013-04-27,24
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,23
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,28
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,21
2014-05-18 - 2014-05-24,21
2014-05-25 - 2014-05-31,19
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,24
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,18
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,15
2015-07-12 - 2015-07-18,17
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,17


Top sub-regions for the killers
Sub-region,the killers
Utah,100
California,94
Virginia,80
Pennsylvania,79
Nevada,73
Arizona,72
Texas,72
Massachusetts,72
Missouri,70
Idaho,69
Ohio,69
District of Columbia,69
Wisconsin,68
Michigan,68
Illinois,68
New Jersey,68
New York,68
Colorado,68
Rhode Island,67
Washington,66
Delaware,66
New Mexico,66
New Hampshire,66
North Dakota,64
Indiana,64
Connecticut,64
Montana,63
Kansas,63
South Dakota,63
Wyoming,62
Maine,62
Minnesota,61
Kentucky,61
Nebraska,60
Florida,59
Oklahoma,59
Iowa,57
Oregon,57
Vermont,57
North Carolina,57
South Carolina,53
Maryland,53
Arkansas,53
Tennessee,52
Georgia,49
West Virginia,48
Alabama,46
Alaska,46
Mississippi,45
Louisiana,44
Hawaii,42


Top metros for the killers
Metro,the killers
El Paso TX,100
Los Angeles CA,89
Salt Lake City UT,87
San Francisco-Oakland-San Jose CA,77
San Diego CA,75
Tucson (Sierra Vista) AZ,73
San Antonio TX,69
Buffalo NY,69
St. Louis MO,68
Philadelphia PA,67
Washington DC (Hagerstown MD),67
Austin TX,67
Pittsburgh PA,67
Albany-Schenectady-Troy NY,65
Harlingen-Weslaco-Brownsville-McAllen TX,63
Dallas-Ft. Worth TX,63
Las Vegas NV,62
Kansas City MO,62
Boston MA-Manchester NH,62
Chicago IL,62
Denver CO,61
New York NY,60
Cincinnati OH,60
Wilkes Barre-Scranton PA,59
Milwaukee WI,59
Cleveland-Akron (Canton) OH,58
Detroit MI,57
Grand Rapids-Kalamazoo-Battle Creek MI,57
Columbus OH,57
Harrisburg-Lancaster-Lebanon-York PA,57
Phoenix AZ,57
Indianapolis IN,56
Sacramento-Stockton-Modesto CA,55
Providence RI-New Bedford MA,55
Seattle-Tacoma WA,55
Hartford & New Haven CT,54
Louisville KY,54
Minneapolis-St. Paul MN,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Miami-Ft. Lauderdale FL,50
Baltimore MD,50
Portland OR,50
Houston TX,49
Fresno-Visalia CA,48
Orlando-Daytona Beach-Melbourne FL,47
Charlotte NC,47
Oklahoma City OK,46
Tampa-St. Petersburg (Sarasota) FL,45
Norfolk-Portsmouth-Newport News VA,45
Raleigh-Durham (Fayetteville) NC,44
Atlanta GA,42
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for the killers
Town/City,the killers
Irvine,100
Los Angeles,91
El Paso,86
Milpitas,86
Sterling,83
Salt Lake City,79
Richardson,69
San Diego,66
Pleasanton,62
Tucson,61
St. Louis,61
Las Vegas,60
San Francisco,58
San Antonio,57
Austin,57



Top searches for the killers
the killers young,100
killers mr brightside,95
mr brightside,95
the killers lyrics,80
human the killers,80
human,80
human killers,80
somebody told me,55
the killers live,45
killers spaceman,30
the killers spaceman,30
spaceman,30
read my mind,30
killers runaways,20
the killers runaways,20
mr brightside lyrics,15
the killers remix,15
romeo and juliet,15
the killers trailer,15
killers trailer,15
bones the killers,15
mr. brightside,15
the killers cover,15
the killers album,10
the killers acoustic,10
the killer,10
the strokes,10
shadowplay the killers,10
brandon flowers,5
mr.brightside the killers,5
natural born killers,5
mr.brightside,5
serial killers,5
the killers interview,5
the killers christmas,5



Rising searches for the killers
human,Breakout
human killers,Breakout
human the killers,Breakout
killers spaceman,Breakout
spaceman,Breakout
the killers spaceman,Breakout
the killers lyrics,+1,550%
mr brightside,+1,050%
killers mr brightside,+950%
somebody told me,+250%



