YouTube Search interest: train
United States; Jan 2008 - Jul 2015

Interest over time
Week,train
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,57
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,59
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,54
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,91
2013-07-28 - 2013-08-03,80
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,72
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,68
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,65
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,66
2013-10-13 - 2013-10-19,70
2013-10-20 - 2013-10-26,68
2013-10-27 - 2013-11-02,65
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,62
2013-11-17 - 2013-11-23,61
2013-11-24 - 2013-11-30,65
2013-12-01 - 2013-12-07,74
2013-12-08 - 2013-12-14,63
2013-12-15 - 2013-12-21,71
2013-12-22 - 2013-12-28,70
2013-12-29 - 2014-01-04,65
2014-01-05 - 2014-01-11,64
2014-01-12 - 2014-01-18,60
2014-01-19 - 2014-01-25,62
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,60
2014-02-09 - 2014-02-15,58
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,59
2014-03-02 - 2014-03-08,58
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,57
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,55
2014-04-06 - 2014-04-12,57
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,60
2014-04-27 - 2014-05-03,57
2014-05-04 - 2014-05-10,54
2014-05-11 - 2014-05-17,57
2014-05-18 - 2014-05-24,58
2014-05-25 - 2014-05-31,58
2014-06-01 - 2014-06-07,60
2014-06-08 - 2014-06-14,71
2014-06-15 - 2014-06-21,72
2014-06-22 - 2014-06-28,65
2014-06-29 - 2014-07-05,63
2014-07-06 - 2014-07-12,61
2014-07-13 - 2014-07-19,60
2014-07-20 - 2014-07-26,59
2014-07-27 - 2014-08-02,61
2014-08-03 - 2014-08-09,59
2014-08-10 - 2014-08-16,59
2014-08-17 - 2014-08-23,58
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,58
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,61
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,54
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,55
2014-11-09 - 2014-11-15,64
2014-11-16 - 2014-11-22,58
2014-11-23 - 2014-11-29,57
2014-11-30 - 2014-12-06,64
2014-12-07 - 2014-12-13,57
2014-12-14 - 2014-12-20,58
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,57
2015-01-04 - 2015-01-10,56
2015-01-11 - 2015-01-17,58
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,55
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,55
2015-02-15 - 2015-02-21,55
2015-02-22 - 2015-02-28,56
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,54
2015-03-22 - 2015-03-28,51
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,50
2015-04-12 - 2015-04-18,53
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,49
2015-05-03 - 2015-05-09,51
2015-05-10 - 2015-05-16,58
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,51
2015-05-31 - 2015-06-06,49
2015-06-07 - 2015-06-13,50
2015-06-14 - 2015-06-20,50
2015-06-21 - 2015-06-27,48
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,50


Top sub-regions for train
Sub-region,train
West Virginia,100
North Dakota,98
Montana,97
Kentucky,96
South Dakota,95
Maine,94
Iowa,94
Wisconsin,93
Missouri,93
Ohio,92
Pennsylvania,92
Indiana,91
Tennessee,90
Minnesota,89
Nebraska,89
North Carolina,88
Wyoming,88
Utah,87
New York,87
Idaho,86
Michigan,85
Vermont,85
Alabama,84
New Hampshire,84
Massachusetts,82
South Carolina,82
Kansas,82
Illinois,81
Georgia,81
Arkansas,80
New Jersey,79
Connecticut,79
Colorado,79
Oklahoma,78
Washington,77
Mississippi,76
Maryland,76
Louisiana,75
Texas,74
Florida,73
Delaware,73
New Mexico,72
California,72
Arizona,71
Rhode Island,71
Oregon,70
Alaska,69
District of Columbia,69
Virginia,66
Nevada,64
Hawaii,61


Top metros for train
Metro,train
Bluefield-Beckley-Oak Hill WV,100
Charleston-Huntington WV,96
Terre Haute IN,94
Erie PA,93
Cheyenne WY-Scottsbluff NE,93
Billings MT,92
Tri-Cities TN-VA,92
Bangor ME,91
Knoxville TN,91
Wilkes Barre-Scranton PA,89
Utica NY,89
Elmira NY,88
La Crosse-Eau Claire WI,88
Marquette MI,88
Duluth MN-Superior WI,87
Chattanooga TN,85
Sioux Falls(Mitchell) SD,85
Clarksburg-Weston WV,85
Fargo-Valley City ND,84
Peoria-Bloomington IL,84
South Bend-Elkhart IN,84
Lexington KY,83
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,83
Johnstown-Altoona PA,83
Wausau-Rhinelander WI,83
Huntsville-Decatur (Florence) AL,82
Portland-Auburn ME,82
Lafayette IN,81
Champaign & Springfield-Decatur IL,81
Lincoln & Hastings-Kearney NE,81
Green Bay-Appleton WI,81
Harrisburg-Lancaster-Lebanon-York PA,81
Minot-Bismarck-Dickinson(Williston) ND,81
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,80
Traverse City-Cadillac MI,80
Binghamton NY,79
St. Louis MO,79
Springfield MO,79
Albany-Schenectady-Troy NY,79
Wichita-Hutchinson KS,78
Topeka KS,78
Indianapolis IN,78
Rochester MN-Mason City IA-Austin MN,78
Davenport IA-Rock Island-Moline IL,77
Youngstown OH,77
Rapid City SD,77
Watertown NY,77
Boise ID,77
Charlottesville VA,77
Harrisonburg VA,77
Louisville KY,76
Charlotte NC,76
Grand Rapids-Kalamazoo-Battle Creek MI,76
Jackson TN,76
Sioux City IA,75
Boston MA-Manchester NH,75
Bowling Green KY,75
Toledo OH,75
Des Moines-Ames IA,75
Cincinnati OH,75
Pittsburgh PA,75
Cleveland-Akron (Canton) OH,75
Joplin MO-Pittsburg KS,75
Evansville IN,74
Wilmington NC,74
Kansas City MO,74
Greenville-Spartanburg SC-Asheville NC-Anderson SC,74
Dayton OH,74
Birmingham AL,74
New York NY,74
Minneapolis-St. Paul MN,74
Flint-Saginaw-Bay City MI,73
Columbus OH,73
Ft. Wayne IN,73
Salt Lake City UT,73
Tyler-Longview(Lufkin & Nacogdoches) TX,73
Panama City FL,73
Florence-Myrtle Beach SC,73
Buffalo NY,73
Burlington VT-Plattsburgh NY,72
Omaha NE,72
Reno NV,72
Missoula MT,72
Medford-Klamath Falls OR,72
Wichita Falls TX & Lawton OK,72
Little Rock-Pine Bluff AR,72
Spokane WA,71
Raleigh-Durham (Fayetteville) NC,71
Albany GA,71
Hartford & New Haven CT,71
Salisbury MD,71
Rockford IL,70
Greensboro-High Point-Winston Salem NC,70
Philadelphia PA,70
Nashville TN,70
Biloxi-Gulfport MS,70
Syracuse NY,70
Denver CO,70
Madison WI,70
Seattle-Tacoma WA,70
Milwaukee WI,69
Columbia-Jefferson City MO,69
Savannah GA,69
Detroit MI,69
Charleston SC,68
Greenville-New Bern-Washington NC,68
Atlanta GA,68
Eugene OR,68
Amarillo TX,67
Springfield-Holyoke MA,67
Rochester NY,67
Mobile AL-Pensacola (Ft. Walton Beach) FL,67
Lafayette LA,67
Anchorage AK,67
Gainesville FL,66
Baltimore MD,66
Dallas-Ft. Worth TX,66
Colorado Springs-Pueblo CO,66
Columbus-Tupelo-West Point MS,66
Providence RI-New Bedford MA,65
Norfolk-Portsmouth-Newport News VA,65
Montgomery (Selma) AL,65
Beaumont-Port Arthur TX,65
Jacksonville FL,65
Augusta GA,65
Tulsa OK,64
Shreveport LA,64
Albuquerque-Santa Fe NM,64
Roanoke-Lynchburg VA,64
Lansing MI,64
Idaho Falls-Pocatello ID,64
Lubbock TX,64
Phoenix AZ,63
Columbia SC,63
Baton Rouge LA,63
Los Angeles CA,63
Chico-Redding CA,63
Tampa-St. Petersburg (Sarasota) FL,63
Chicago IL,63
Macon GA,63
Monroe LA-El Dorado AR,62
Richmond-Petersburg VA,62
Sacramento-Stockton-Modesto CA,62
New Orleans LA,61
San Antonio TX,61
Ft. Myers-Naples FL,61
Oklahoma City OK,60
Memphis TN,60
Jackson MS,60
Austin TX,60
Ft. Smith-Fayetteville-Springdale-Rogers AR,60
Orlando-Daytona Beach-Melbourne FL,59
Columbus GA,59
Portland OR,59
Santa Barbara-Santa Maria-San Luis Obispo CA,58
Yakima-Pasco-Richland-Kennewick WA,58
Bakersfield CA,57
West Palm Beach-Ft. Pierce FL,57
Houston TX,57
Waco-Temple-Bryan TX,57
Tucson (Sierra Vista) AZ,56
Abilene-Sweetwater TX,56
Fresno-Visalia CA,56
Honolulu HI,56
Odessa-Midland TX,56
San Diego CA,54
Palm Springs CA,54
Washington DC (Hagerstown MD),53
Las Vegas NV,53
Tallahassee FL-Thomasville GA,52
El Paso TX,52
Miami-Ft. Lauderdale FL,49
Corpus Christi TX,48
San Francisco-Oakland-San Jose CA,48
Monterey-Salinas CA,48
Harlingen-Weslaco-Brownsville-McAllen TX,38
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for train
Town/City,train
New York,100
St. Louis,96
Atlanta,94
Columbus,87
Denver,86
Philadelphia,85
Minneapolis,85
Portland,84
Washington,83
Boston,83
Phoenix,82
San Francisco,81
Los Angeles,81
Seattle,81
Richardson,80



Top searches for train
the train,100
crazy train,40
crazy,40
soul train,35
love train,25
train video,20
soul sister,20
train soul sister,20
train song,20
night train,15
train marry me,15
marry me,15
thomas train,15
drive by train,15
hey soul sister,15
thomas,15
drive by,15
thomas the train,10
ozzy,10
crazy train ozzy,10
1 train,10
ozzy osbourne,10
drops of jupiter,10
train songs,10
midnight train,10
train crash,5
runaway train,5
long black train,5
big train,5
jason aldean,5
trains,5
blue train,5
crazy train lyrics,5
josh turner,5
train horn,5
train videos,5
girl on train,5
bullet train,5
hit by train,5
steam train,5
choo choo train,5
lego train,5
freight train,5
train crashes,5
peace train,5
last train home,5
john mayer,5
stop this train,5
ghost train,5
mystery train,5



Rising searches for train
drive by,Breakout
drive by train,Breakout
hey soul sister,Breakout
marry me,Breakout
soul sister,Breakout
train marry me,Breakout
train soul sister,Breakout
1 train,+200%
ozzy osbourne,+200%
soul train,+120%



