YouTube Search interest: godsmack
United States; Jan 2008 - Jul 2015

Interest over time
Week,godsmack
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,66
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,68
2011-05-15 - 2011-05-21,63
2011-05-22 - 2011-05-28,62
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,62
2011-07-03 - 2011-07-09,66
2011-07-10 - 2011-07-16,70
2011-07-17 - 2011-07-23,65
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,70
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,61
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,53
2011-10-23 - 2011-10-29,54
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,52
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,66
2012-05-06 - 2012-05-12,65
2012-05-13 - 2012-05-19,68
2012-05-20 - 2012-05-26,67
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,64
2012-06-10 - 2012-06-16,59
2012-06-17 - 2012-06-23,57
2012-06-24 - 2012-06-30,67
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,61
2012-07-15 - 2012-07-21,61
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,45
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,47
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,40
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,44
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,40
2013-07-21 - 2013-07-27,41
2013-07-28 - 2013-08-03,40
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,31
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,31
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,36
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,39
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,33
2014-02-09 - 2014-02-15,31
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,36
2014-03-09 - 2014-03-15,35
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,35
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,35
2014-04-13 - 2014-04-19,34
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,30
2014-05-11 - 2014-05-17,32
2014-05-18 - 2014-05-24,35
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,37
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,37
2014-07-06 - 2014-07-12,35
2014-07-13 - 2014-07-19,33
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,43
2014-08-03 - 2014-08-09,61
2014-08-10 - 2014-08-16,53
2014-08-17 - 2014-08-23,43
2014-08-24 - 2014-08-30,43
2014-08-31 - 2014-09-06,48
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,42
2014-09-21 - 2014-09-27,39
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,34
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,36
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,35
2014-11-23 - 2014-11-29,35
2014-11-30 - 2014-12-06,33
2014-12-07 - 2014-12-13,37
2014-12-14 - 2014-12-20,37
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,36
2015-01-04 - 2015-01-10,33
2015-01-11 - 2015-01-17,35
2015-01-18 - 2015-01-24,38
2015-01-25 - 2015-01-31,36
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,34
2015-03-01 - 2015-03-07,35
2015-03-08 - 2015-03-14,34
2015-03-15 - 2015-03-21,34
2015-03-22 - 2015-03-28,31
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,31
2015-04-12 - 2015-04-18,32
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,35
2015-05-03 - 2015-05-09,32
2015-05-10 - 2015-05-16,34
2015-05-17 - 2015-05-23,37
2015-05-24 - 2015-05-30,32
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,29
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,33
2015-06-28 - 2015-07-04,33
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,32


Top sub-regions for godsmack
Sub-region,godsmack
Maine,100
West Virginia,96
Wyoming,80
Kentucky,74
South Dakota,73
Montana,66
North Dakota,64
Oklahoma,62
Missouri,62
New Hampshire,62
Ohio,60
Iowa,59
Arkansas,58
Kansas,57
Idaho,57
Indiana,57
Tennessee,55
Wisconsin,54
New Mexico,54
Vermont,54
Michigan,52
Nebraska,51
Pennsylvania,49
North Carolina,46
Alaska,44
South Carolina,44
Alabama,43
Colorado,42
Minnesota,41
Washington,39
Arizona,38
Louisiana,38
Mississippi,38
Oregon,36
Texas,36
Utah,36
Georgia,35
Florida,33
Massachusetts,32
Rhode Island,32
Illinois,32
Nevada,31
Connecticut,30
Virginia,30
Delaware,29
New York,27
Maryland,25
New Jersey,23
District of Columbia,22
California,18
Hawaii,13


Top metros for godsmack
Metro,godsmack
Charleston-Huntington WV,100
Portland-Auburn ME,86
Springfield MO,85
Lexington KY,77
Flint-Saginaw-Bay City MI,73
Syracuse NY,68
Albany-Schenectady-Troy NY,63
Wilkes Barre-Scranton PA,62
Little Rock-Pine Bluff AR,61
Oklahoma City OK,60
Harrisburg-Lancaster-Lebanon-York PA,60
Dayton OH,60
Cincinnati OH,58
Grand Rapids-Kalamazoo-Battle Creek MI,56
Toledo OH,56
Kansas City MO,56
Pittsburgh PA,53
Greensboro-High Point-Winston Salem NC,52
Cleveland-Akron (Canton) OH,52
Louisville KY,51
St. Louis MO,50
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48
Madison WI,48
Albuquerque-Santa Fe NM,47
Charlotte NC,44
Indianapolis IN,44
Buffalo NY,42
Providence RI-New Bedford MA,40
Columbus OH,40
Salt Lake City UT,39
Phoenix AZ,38
Raleigh-Durham (Fayetteville) NC,37
Nashville TN,36
Tampa-St. Petersburg (Sarasota) FL,36
Milwaukee WI,36
Detroit MI,36
Hartford & New Haven CT,35
Orlando-Daytona Beach-Melbourne FL,34
San Antonio TX,34
Denver CO,33
Boston MA-Manchester NH,32
Minneapolis-St. Paul MN,32
Norfolk-Portsmouth-Newport News VA,31
Portland OR,31
Dallas-Ft. Worth TX,28
Baltimore MD,28
Sacramento-Stockton-Modesto CA,28
Philadelphia PA,27
Atlanta GA,27
Las Vegas NV,27
Houston TX,27
Seattle-Tacoma WA,27
Austin TX,24
Chicago IL,24
Washington DC (Hagerstown MD),23
Los Angeles CA,16
Miami-Ft. Lauderdale FL,16
San Diego CA,15
New York NY,15
San Francisco-Oakland-San Jose CA,12
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for godsmack
Town/City,godsmack
Oklahoma City,100
Kansas City,95
Albuquerque,94
Cincinnati,86
St. Louis,84
Louisville,83
Columbus,78
Phoenix,70
San Antonio,69
Orlando,65
Portland,64
Denver,61
Atlanta,58
Seattle,55
Richardson,54



Top searches for godsmack
godsmack voodoo,100
voodoo,100
godsmack stand alone,100
i stand alone,95
godsmack live,45
disturbed,40
awake godsmack,35
serenity godsmack,30
serenity,25
whatever godsmack,25
godsmack crying,25
whatever,25
godsmack love hate,25
whiskey hangover godsmack,20
godsmack drum battle,20
rocky mountain way,15
new godsmack,15
godsmack shinedown,15
voodoo godsmack lyrics,15
keep away godsmack,10
godsmack album,10
godsmack speak,10
greed godsmack,10
godsmack bad religion,10
bad religion,10
godsmack enemy,10
godsmack acoustic,10
godsmack moon baby,10
alive godsmack,10
drowning pool,10
godsmack drum solo,10
rob zombie,10
mudvayne,10
1000hp godsmack,5



Rising searches for godsmack
godsmack crying,Breakout
godsmack love hate,Breakout
whiskey hangover godsmack,Breakout
i stand alone,+650%
godsmack stand alone,+500%
godsmack voodoo,+350%
voodoo,+300%
whatever,+250%
whatever godsmack,+200%
awake godsmack,+130%



