YouTube Search interest: panic at the disco
United States; Jan 2008 - Jul 2015

Interest over time
Week,panic at the disco
2010-03-21 - 2010-03-27,25
2010-03-28 - 2010-04-03,24
2010-04-04 - 2010-04-10,24
2010-04-11 - 2010-04-17,24
2010-04-18 - 2010-04-24,23
2010-04-25 - 2010-05-01,22
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,24
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,22
2010-06-06 - 2010-06-12,21
2010-06-13 - 2010-06-19,22
2010-06-20 - 2010-06-26,24
2010-06-27 - 2010-07-03,22
2010-07-04 - 2010-07-10,22
2010-07-11 - 2010-07-17,26
2010-07-18 - 2010-07-24,21
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,21
2010-08-08 - 2010-08-14,23
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,19
2010-08-29 - 2010-09-04,21
2010-09-05 - 2010-09-11,23
2010-09-12 - 2010-09-18,20
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,21
2010-10-03 - 2010-10-09,24
2010-10-10 - 2010-10-16,21
2010-10-17 - 2010-10-23,24
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,24
2010-11-07 - 2010-11-13,21
2010-11-14 - 2010-11-20,20
2010-11-21 - 2010-11-27,18
2010-11-28 - 2010-12-04,19
2010-12-05 - 2010-12-11,18
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,21
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,21
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,27
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,66
2011-04-03 - 2011-04-09,59
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,53
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,51
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,38
2011-07-24 - 2011-07-30,39
2011-07-31 - 2011-08-06,43
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,42
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,33
2012-01-29 - 2012-02-04,34
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,32
2012-02-26 - 2012-03-03,31
2012-03-04 - 2012-03-10,32
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,31
2012-04-01 - 2012-04-07,29
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,28
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,30
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,28
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,27
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,25
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,24
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,19
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,21
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,21
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,22
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,41
2013-07-28 - 2013-08-03,39
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,73
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,52
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,92
2013-10-13 - 2013-10-19,77
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,63
2013-11-03 - 2013-11-09,57
2013-11-10 - 2013-11-16,58
2013-11-17 - 2013-11-23,54
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,50
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,48
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,45
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,51
2014-03-09 - 2014-03-15,46
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,43
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,41
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,40
2014-04-27 - 2014-05-03,36
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,40
2014-05-25 - 2014-05-31,38
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,38
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,39
2014-07-06 - 2014-07-12,39
2014-07-13 - 2014-07-19,39
2014-07-20 - 2014-07-26,43
2014-07-27 - 2014-08-02,46
2014-08-03 - 2014-08-09,40
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,41
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,43
2014-09-14 - 2014-09-20,65
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,44
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,40
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,41
2014-11-09 - 2014-11-15,39
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,39
2014-11-30 - 2014-12-06,34
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,36
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,42
2015-01-25 - 2015-01-31,39
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,39
2015-02-22 - 2015-02-28,38
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,44
2015-03-15 - 2015-03-21,43
2015-03-22 - 2015-03-28,46
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,78
2015-04-26 - 2015-05-02,58
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,58
2015-05-17 - 2015-05-23,54
2015-05-24 - 2015-05-30,53
2015-05-31 - 2015-06-06,47
2015-06-07 - 2015-06-13,43
2015-06-14 - 2015-06-20,44
2015-06-21 - 2015-06-27,41
2015-06-28 - 2015-07-04,43
2015-07-05 - 2015-07-11,62
2015-07-12 - 2015-07-18,49
2015-07-19 - 2015-07-25,48
2015-07-26 - 2015-08-01,42


Top sub-regions for panic at the disco
Sub-region,panic at the disco
Utah,100
Ohio,95
Missouri,90
Michigan,89
Nevada,88
Indiana,88
Arizona,88
Colorado,87
Wisconsin,87
Pennsylvania,85
West Virginia,84
Oklahoma,84
Idaho,82
Kentucky,79
New Jersey,78
New Mexico,78
Nebraska,77
Rhode Island,76
Iowa,76
Florida,76
New Hampshire,76
Texas,76
Illinois,75
Wyoming,73
South Dakota,73
Connecticut,73
Kansas,72
North Dakota,71
Delaware,70
Maine,70
Arkansas,70
Tennessee,70
California,68
North Carolina,66
Washington,66
Montana,65
Maryland,65
Massachusetts,64
Vermont,64
South Carolina,64
New York,63
Georgia,62
Alabama,61
Virginia,60
Louisiana,59
Minnesota,59
Oregon,57
Mississippi,54
Alaska,54
Hawaii,53
District of Columbia,44


Top metros for panic at the disco
Metro,panic at the disco
Cleveland-Akron (Canton) OH,100
Dayton OH,98
Tulsa OK,94
Salt Lake City UT,94
Milwaukee WI,93
Pittsburgh PA,92
Flint-Saginaw-Bay City MI,91
Albuquerque-Santa Fe NM,91
Las Vegas NV,91
Grand Rapids-Kalamazoo-Battle Creek MI,89
Providence RI-New Bedford MA,89
Wilkes Barre-Scranton PA,88
Tampa-St. Petersburg (Sarasota) FL,88
Norfolk-Portsmouth-Newport News VA,88
Denver CO,88
Buffalo NY,88
Kansas City MO,88
Cincinnati OH,88
Tucson (Sierra Vista) AZ,85
Philadelphia PA,85
Oklahoma City OK,85
Jacksonville FL,85
Madison WI,85
Indianapolis IN,84
Toledo OH,83
Phoenix AZ,83
Sacramento-Stockton-Modesto CA,82
Mobile AL-Pensacola (Ft. Walton Beach) FL,82
Columbus OH,81
Omaha NE,81
Syracuse NY,79
Albany-Schenectady-Troy NY,78
Dallas-Ft. Worth TX,78
St. Louis MO,77
Rochester NY,77
Orlando-Daytona Beach-Melbourne FL,76
Hartford & New Haven CT,75
Detroit MI,72
Greenville-Spartanburg SC-Asheville NC-Anderson SC,72
Los Angeles CA,71
Chicago IL,71
San Antonio TX,70
West Palm Beach-Ft. Pierce FL,69
Louisville KY,69
Harrisburg-Lancaster-Lebanon-York PA,68
Richmond-Petersburg VA,67
New York NY,67
Baltimore MD,67
Harlingen-Weslaco-Brownsville-McAllen TX,66
Boston MA-Manchester NH,66
Seattle-Tacoma WA,66
Raleigh-Durham (Fayetteville) NC,65
Nashville TN,65
Greensboro-High Point-Winston Salem NC,65
Austin TX,63
Charlotte NC,63
Fresno-Visalia CA,62
Houston TX,61
Honolulu HI,60
Portland OR,57
Atlanta GA,56
Washington DC (Hagerstown MD),56
San Diego CA,55
Miami-Ft. Lauderdale FL,51
Minneapolis-St. Paul MN,50
San Francisco-Oakland-San Jose CA,45
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for panic at the disco
Town/City,panic at the disco
Las Vegas,100
Phoenix,98
San Antonio,91
Denver,90
St. Louis,88
Tampa,86
Oklahoma City,86
Columbus,82
Richardson,81
Orlando,81
Los Angeles,81
Philadelphia,75
Irvine,75
Portland,73
San Diego,72



Top searches for panic at the disco
mona lisa,100
fall out boy,65
miss jackson,55
this is gospel,55
new perspective,50
my chemical romance,30
this is halloween,20
time to dance,20
northern downpour,15
camisado,10
that green gentleman,10
sarah smiles,10
brendon urie,10
pretty odd,5
paramore misery business,5



Rising searches for panic at the disco
miss jackson,Breakout
mona lisa,Breakout
new perspective,Breakout
northern downpour,Breakout
that green gentleman,Breakout
this is gospel,Breakout
camisado,+50%
time to dance,+40%



